,FREQ,EER_TYPE,EER_BASKET,REF_AREA,UNIT_MEASURE,TIME_FORMAT,COLLECTION,TITLE_TS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK
0,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-04-11,66.6,A,F,
1,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-04-12,66.58,A,F,
2,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-04-13,,H,F,
3,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-04-14,,H,F,
4,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-04-15,66.65,A,F,
5,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-04-16,66.6,A,F,
6,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-04-17,66.61,A,F,
7,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-04-18,66.52,A,F,
8,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-04-19,66.29,A,F,
9,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-04-20,,H,F,
10,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-04-21,,H,F,
11,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-04-22,66.39,A,F,
12,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-04-23,66.4,A,F,
13,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-04-24,66.47,A,F,
14,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-04-25,66.53,A,F,
15,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-04-26,66.49,A,F,
16,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-04-27,,H,F,
17,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-04-28,,H,F,
18,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-04-29,66.1,A,F,
19,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-04-30,66.16,A,F,
20,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-05-01,66.16,A,F,
21,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-05-02,66.37,A,F,
22,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-05-03,66.21,A,F,
23,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-05-04,,H,F,
24,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-05-05,,H,F,
25,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-05-06,66.26,A,F,
26,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-05-07,66.25,A,F,
27,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-05-08,66.31,A,F,
28,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-05-09,66.12,A,F,
29,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-05-10,66.13,A,F,
30,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-05-11,,H,F,
31,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-05-12,,H,F,
32,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-05-13,66.31,A,F,
33,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-05-14,66.36,A,F,
34,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-05-15,66.55,A,F,
35,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-05-16,66.56,A,F,
36,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-05-17,66.56,A,F,
37,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-05-18,,H,F,
38,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-05-19,,H,F,
39,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-05-20,66.7,A,F,
40,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-05-21,66.72,A,F,
41,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-05-22,66.76,A,F,
42,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-05-23,66.73,A,F,
43,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-05-24,66.95,A,F,
44,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-05-25,,H,F,
45,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-05-26,,H,F,
46,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-05-27,66.95,A,F,
47,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-05-28,67.15,A,F,
48,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-05-29,67.28,A,F,
49,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-05-30,66.67,A,F,
