Price,Adj Close,Close,High,Low,Open,Volume
Ticker,LBS=F,LBS=F,LBS=F,LBS=F,LBS=F,LBS=F
date,,,,,,
2000-07-17,251.5,251.5,260.5,251.5,260.0,446
2000-07-18,253.3000030517578,253.3000030517578,254.0,247.5,248.0,362
2000-07-19,253.6999969482422,253.6999969482422,254.3000030517578,248.5,250.5,861
2000-07-20,243.6999969482422,243.6999969482422,256.5,243.6999969482422,254.0,973
2000-07-21,249.39999389648438,249.39999389648438,253.6999969482422,240.1999969482422,241.5,449
2000-07-24,252.0,252.0,254.60000610351562,246.5,248.5,409
2000-07-25,253.60000610351562,253.60000610351562,255.0,249.0,252.8000030517578,581
2000-07-26,259.5,259.5,259.79998779296875,251.60000610351562,253.60000610351562,461
2000-07-27,256.70001220703125,256.70001220703125,262.3999938964844,256.3999938964844,261.0,516
2000-07-28,253.1999969482422,253.1999969482422,259.0,249.5,259.0,244
2000-07-31,250.0,250.0,253.89999389648438,249.39999389648438,250.0,327
2000-08-01,246.39999389648438,246.39999389648438,249.6999969482422,246.0,248.10000610351562,418
2000-08-02,243.89999389648438,243.89999389648438,247.89999389648438,242.0,246.0,499
2000-08-03,240.3000030517578,240.3000030517578,245.89999389648438,239.5,243.0,443
2000-08-04,239.39999389648438,239.39999389648438,242.89999389648438,237.1999969482422,241.0,249
2000-08-07,236.1999969482422,236.1999969482422,240.10000610351562,235.5,238.89999389648438,314
2000-08-08,237.5,237.5,238.5,234.5,235.1999969482422,687
2000-08-09,243.1999969482422,243.1999969482422,243.5,237.60000610351562,238.6999969482422,425
2000-08-10,247.6999969482422,247.6999969482422,248.0,241.3000030517578,241.5,648
2000-08-11,237.6999969482422,237.6999969482422,249.8000030517578,237.6999969482422,249.8000030517578,415
2000-08-14,236.39999389648438,236.39999389648438,239.0,234.39999389648438,237.0,250
2000-08-15,236.60000610351562,236.60000610351562,238.0,235.8000030517578,238.0,336
2000-08-16,236.5,236.5,238.6999969482422,233.0,234.5,453
2000-08-17,231.3000030517578,231.3000030517578,239.0,229.89999389648438,237.0,284
2000-08-18,231.5,231.5,233.3000030517578,230.5,233.0,245
2000-08-21,232.60000610351562,232.60000610351562,233.6999969482422,229.6999969482422,231.3000030517578,480
2000-08-22,228.1999969482422,228.1999969482422,235.5,227.3000030517578,233.5,393
2000-08-23,227.3000030517578,227.3000030517578,229.89999389648438,226.1999969482422,228.0,242
2000-08-24,229.0,229.0,229.6999969482422,226.6999969482422,228.3000030517578,458
2000-08-25,223.8000030517578,223.8000030517578,229.1999969482422,223.0,229.0,290
2000-08-28,222.0,222.0,225.39999389648438,221.10000610351562,224.5,530
2000-08-29,215.3000030517578,215.3000030517578,223.1999969482422,213.1999969482422,220.0,432
2000-08-30,219.1999969482422,219.1999969482422,219.5,214.0,216.0,359
2000-08-31,221.8000030517578,221.8000030517578,224.60000610351562,218.10000610351562,220.0,258
2000-09-01,216.5,216.5,223.1999969482422,215.39999389648438,222.0,411
2000-09-05,217.60000610351562,217.60000610351562,221.5,217.10000610351562,218.5,459
2000-09-06,217.5,217.5,219.5,213.60000610351562,218.10000610351562,278
2000-09-07,216.5,216.5,219.39999389648438,212.1999969482422,216.60000610351562,218
2000-09-08,219.3000030517578,219.3000030517578,221.39999389648438,217.1999969482422,219.5,215
2000-09-11,222.10000610351562,222.10000610351562,223.0,218.1999969482422,220.39999389648438,173
2000-09-12,222.6999969482422,222.6999969482422,223.1999969482422,219.5,221.0,392
2000-09-13,231.8000030517578,231.8000030517578,234.5,224.0,224.0,313
2000-09-14,229.0,229.0,236.0,227.10000610351562,233.89999389648438,0
2000-09-15,237.0,237.0,237.5,229.10000610351562,232.0,601
2000-09-18,245.8000030517578,245.8000030517578,250.3000030517578,243.3000030517578,249.89999389648438,627
2000-09-19,241.39999389648438,241.39999389648438,244.5,240.60000610351562,244.5,640
2000-09-20,238.3000030517578,238.3000030517578,240.3000030517578,237.0,238.5,613
2000-09-21,233.3000030517578,233.3000030517578,239.0,232.5,238.5,1091
2000-09-22,224.0,224.0,231.5,223.6999969482422,229.0,438
2000-09-25,226.10000610351562,226.10000610351562,227.3000030517578,222.5,222.5,438
2000-09-26,222.6999969482422,222.6999969482422,226.60000610351562,221.60000610351562,226.5,402
2000-09-27,227.10000610351562,227.10000610351562,227.1999969482422,221.0,221.5,493
2000-09-28,226.60000610351562,226.60000610351562,228.5,224.0,228.5,600
2000-09-29,230.10000610351562,230.10000610351562,231.39999389648438,224.8000030517578,225.5,586
2000-10-02,229.6999969482422,229.6999969482422,234.0,229.1999969482422,231.5,632
2000-10-03,224.0,224.0,227.0,221.6999969482422,225.0,556
2000-10-04,225.3000030517578,225.3000030517578,227.60000610351562,222.0,222.6999969482422,272
2000-10-05,225.39999389648438,225.39999389648438,227.8000030517578,222.60000610351562,225.60000610351562,330
2000-10-06,223.0,223.0,225.0,221.60000610351562,223.0,332
2000-10-09,225.10000610351562,225.10000610351562,226.89999389648438,224.10000610351562,225.0,278
2000-10-10,225.1999969482422,225.1999969482422,226.1999969482422,222.6999969482422,226.0,595
2000-10-11,226.10000610351562,226.10000610351562,231.10000610351562,225.0,225.1999969482422,200
2000-10-12,226.1999969482422,226.1999969482422,227.5,224.3000030517578,226.10000610351562,816
2000-10-13,219.3000030517578,219.3000030517578,221.5,217.6999969482422,219.0,323
2000-10-16,218.1999969482422,218.1999969482422,220.89999389648438,217.6999969482422,220.0,331
2000-10-17,218.1999969482422,218.1999969482422,219.8000030517578,216.6999969482422,218.1999969482422,522
2000-10-18,219.5,219.5,220.1999969482422,214.39999389648438,218.1999969482422,579
2000-10-19,223.3000030517578,223.3000030517578,224.1999969482422,220.89999389648438,221.0,379
2000-10-20,222.10000610351562,222.10000610351562,226.3000030517578,221.6999969482422,224.5,215
2000-10-23,222.5,222.5,224.1999969482422,221.6999969482422,222.89999389648438,494
2000-10-24,219.39999389648438,219.39999389648438,222.5,218.5,222.5,323
2000-10-25,218.6999969482422,218.6999969482422,219.6999969482422,216.5,218.5,496
2000-10-26,216.39999389648438,216.39999389648438,221.39999389648438,215.8000030517578,218.3000030517578,578
2000-10-27,211.8000030517578,211.8000030517578,215.6999969482422,211.0,215.39999389648438,614
2000-10-30,206.39999389648438,206.39999389648438,209.6999969482422,204.1999969482422,209.6999969482422,710
2000-10-31,207.1999969482422,207.1999969482422,208.0,202.1999969482422,207.0,320
2000-11-01,208.3000030517578,208.3000030517578,209.89999389648438,206.3000030517578,207.89999389648438,595
2000-11-02,204.3000030517578,204.3000030517578,210.0,204.3000030517578,210.0,358
2000-11-03,208.3000030517578,208.3000030517578,208.6999969482422,205.39999389648438,205.6999969482422,201
2000-11-06,207.39999389648438,207.39999389648438,209.5,206.5,209.39999389648438,481
2000-11-07,214.10000610351562,214.10000610351562,215.0,208.5,209.0,326
2000-11-08,215.5,215.5,217.0,212.3000030517578,215.1999969482422,299
2000-11-09,215.0,215.0,216.60000610351562,213.3000030517578,214.89999389648438,276
