					CZCE History data(2018AP)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice|
2018-01-02 |AP805        |8,095.00   |8,088.00 |8,106.00 |8,086.00 |8,101.00 |8,098.00  |6.00      |3.00      |16,426    |12,360      |-1,394   |133,013.09   |0.00                   |
2018-01-02 |AP807        |8,028.00   |8,030.00 |8,060.00 |8,016.00 |8,020.00 |8,043.00  |-8.00     |15.00     |168       |954         |-48      |1,351.17     |0.00                   |
2018-01-02 |AP810        |7,165.00   |7,163.00 |7,218.00 |7,163.00 |7,187.00 |7,191.00  |22.00     |26.00     |3,940     |4,590       |-1,010   |28,330.70    |0.00                   |
2018-01-02 |AP811        |7,138.00   |7,168.00 |7,179.00 |7,151.00 |7,161.00 |7,164.00  |23.00     |26.00     |168       |498         |-56      |1,203.60     |0.00                   |
2018-01-02 |AP812        |7,177.00   |7,204.00 |7,218.00 |7,179.00 |7,189.00 |7,198.00  |12.00     |21.00     |188       |346         |-104     |1,353.23     |0.00                   |
2018-01-03 |AP805        |8,098.00   |8,103.00 |8,122.00 |8,088.00 |8,094.00 |8,100.00  |-4.00     |2.00      |20,154    |11,852      |-508     |163,248.43   |0.00                   |
2018-01-03 |AP807        |8,043.00   |8,024.00 |8,050.00 |8,018.00 |8,034.00 |8,038.00  |-9.00     |-5.00     |164       |916         |-38      |1,318.18     |0.00                   |
2018-01-03 |AP810        |7,191.00   |7,185.00 |7,215.00 |7,155.00 |7,173.00 |7,176.00  |-18.00    |-15.00    |2,388     |4,870       |280      |17,135.73    |0.00                   |
2018-01-03 |AP811        |7,164.00   |7,163.00 |7,163.00 |7,130.00 |7,147.00 |7,144.00  |-17.00    |-20.00    |50        |500         |2        |357.20       |0.00                   |
2018-01-03 |AP812        |7,198.00   |7,167.00 |7,188.00 |7,166.00 |7,188.00 |7,180.00  |-10.00    |-18.00    |34        |358         |12       |244.13       |0.00                   |
2018-01-04 |AP805        |8,100.00   |8,098.00 |8,114.00 |8,076.00 |8,092.00 |8,094.00  |-8.00     |-6.00     |16,652    |11,252      |-600     |134,779.05   |0.00                   |
2018-01-04 |AP807        |8,038.00   |8,030.00 |8,038.00 |8,022.00 |8,038.00 |8,034.00  |0.00      |-4.00     |98        |874         |-42      |787.32       |0.00                   |
2018-01-04 |AP810        |7,176.00   |7,162.00 |7,187.00 |7,161.00 |7,180.00 |7,175.00  |4.00      |-1.00     |1,000     |4,628       |-242     |7,175.18     |0.00                   |
2018-01-04 |AP811        |7,144.00   |7,148.00 |7,160.00 |7,145.00 |7,160.00 |7,151.00  |16.00     |7.00      |50        |498         |-2       |357.55       |0.00                   |
2018-01-04 |AP812        |7,180.00   |7,183.00 |7,200.00 |7,177.00 |7,200.00 |7,191.00  |20.00     |11.00     |52        |378         |20       |373.95       |0.00                   |
2018-01-05 |AP805        |8,094.00   |8,098.00 |8,111.00 |8,082.00 |8,099.00 |8,097.00  |5.00      |3.00      |9,538     |10,090      |-1,162   |77,225.83    |0.00                   |
2018-01-05 |AP807        |8,034.00   |8,043.00 |8,050.00 |8,030.00 |8,040.00 |8,035.00  |6.00      |1.00      |128       |800         |-74      |1,028.52     |0.00                   |
2018-01-05 |AP810        |7,175.00   |7,180.00 |7,240.00 |7,175.00 |7,231.00 |7,220.00  |56.00     |45.00     |2,064     |4,278       |-350     |14,902.72    |0.00                   |
2018-01-05 |AP811        |7,151.00   |7,178.00 |7,211.00 |7,176.00 |7,204.00 |7,195.00  |53.00     |44.00     |142       |422         |-76      |1,021.74     |0.00                   |
2018-01-05 |AP812        |7,191.00   |7,205.00 |7,237.00 |7,205.00 |7,230.00 |7,225.00  |39.00     |34.00     |110       |308         |-70      |794.70       |0.00                   |
2018-01-08 |AP805        |8,097.00   |8,103.00 |8,103.00 |8,080.00 |8,084.00 |8,087.00  |-13.00    |-10.00    |6,932     |9,794       |-296     |56,061.96    |0.00                   |
2018-01-08 |AP807        |8,035.00   |8,040.00 |8,040.00 |8,010.00 |8,015.00 |8,024.00  |-20.00    |-11.00    |130       |732         |-68      |1,043.18     |0.00                   |
2018-01-08 |AP810        |7,220.00   |7,232.00 |7,249.00 |7,172.00 |7,181.00 |7,208.00  |-39.00    |-12.00    |1,626     |4,426       |148      |11,720.18    |0.00                   |
2018-01-08 |AP811        |7,195.00   |7,205.00 |7,217.00 |7,163.00 |7,172.00 |7,180.00  |-23.00    |-15.00    |108       |398         |-24      |775.49       |0.00                   |
2018-01-08 |AP812        |7,225.00   |7,238.00 |7,238.00 |7,195.00 |7,213.00 |7,213.00  |-12.00    |-12.00    |50        |318         |10       |360.67       |0.00                   |
2018-01-09 |AP805        |8,087.00   |8,086.00 |8,090.00 |7,933.00 |7,966.00 |7,988.00  |-121.00   |-99.00    |71,128    |15,934      |6,140    |568,163.62   |0.00                   |
2018-01-09 |AP807        |8,024.00   |8,015.00 |8,015.00 |7,851.00 |7,884.00 |7,917.00  |-140.00   |-107.00   |488       |588         |-144     |3,863.44     |0.00                   |
2018-01-09 |AP810        |7,208.00   |7,171.00 |7,195.00 |7,134.00 |7,151.00 |7,156.00  |-57.00    |-52.00    |2,056     |4,694       |268      |14,713.32    |0.00                   |
2018-01-09 |AP811        |7,180.00   |7,166.00 |7,180.00 |7,133.00 |7,147.00 |7,151.00  |-33.00    |-29.00    |92        |398         |0        |657.86       |0.00                   |
2018-01-09 |AP812        |7,213.00   |7,203.00 |7,215.00 |7,171.00 |7,189.00 |7,188.00  |-24.00    |-25.00    |104       |356         |38       |747.59       |0.00                   |
2018-01-10 |AP805        |7,988.00   |7,956.00 |7,980.00 |7,933.00 |7,938.00 |7,958.00  |-50.00    |-30.00    |30,192    |16,004      |70       |240,256.66   |0.00                   |
2018-01-10 |AP807        |7,917.00   |7,880.00 |7,881.00 |7,858.00 |7,864.00 |7,870.00  |-53.00    |-47.00    |190       |554         |-34      |1,495.32     |0.00                   |
2018-01-10 |AP810        |7,156.00   |7,145.00 |7,167.00 |7,131.00 |7,133.00 |7,146.00  |-23.00    |-10.00    |1,066     |4,524       |-170     |7,618.00     |0.00                   |
2018-01-10 |AP811        |7,151.00   |7,147.00 |7,157.00 |7,131.00 |7,136.00 |7,145.00  |-15.00    |-6.00     |34        |398         |0        |242.94       |0.00                   |
2018-01-10 |AP812        |7,188.00   |7,186.00 |7,186.00 |7,170.00 |7,170.00 |7,177.00  |-18.00    |-11.00    |24        |362         |6        |172.24       |0.00                   |
2018-01-11 |AP805        |7,958.00   |7,931.00 |7,953.00 |7,854.00 |7,865.00 |7,898.00  |-93.00    |-60.00    |43,240    |20,238      |4,234    |341,492.80   |0.00                   |
2018-01-11 |AP807        |7,870.00   |7,863.00 |7,875.00 |7,769.00 |7,782.00 |7,805.00  |-88.00    |-65.00    |268       |484         |-70      |2,091.73     |0.00                   |
2018-01-11 |AP810        |7,146.00   |7,126.00 |7,154.00 |7,102.00 |7,108.00 |7,117.00  |-38.00    |-29.00    |1,326     |4,616       |92       |9,437.59     |0.00                   |
2018-01-11 |AP811        |7,145.00   |7,139.00 |7,149.00 |7,084.00 |7,092.00 |7,102.00  |-53.00    |-43.00    |172       |446         |48       |1,221.57     |0.00                   |
2018-01-11 |AP812        |7,177.00   |7,178.00 |7,181.00 |7,130.00 |7,130.00 |7,151.00  |-47.00    |-26.00    |52        |370         |8        |371.86       |0.00                   |
2018-01-12 |AP805        |7,898.00   |7,821.00 |7,855.00 |7,784.00 |7,787.00 |7,817.00  |-111.00   |-81.00    |38,852    |24,070      |3,832    |303,720.04   |0.00                   |
2018-01-12 |AP807        |7,805.00   |7,758.00 |7,763.00 |7,712.00 |7,718.00 |7,734.00  |-87.00    |-71.00    |92        |428         |-56      |711.52       |0.00                   |
2018-01-12 |AP810        |7,117.00   |7,094.00 |7,118.00 |7,070.00 |7,102.00 |7,097.00  |-15.00    |-20.00    |1,472     |4,416       |-200     |10,446.34    |0.00                   |
2018-01-12 |AP811        |7,102.00   |7,006.00 |7,100.00 |6,981.00 |7,072.00 |7,071.00  |-30.00    |-31.00    |214       |464         |18       |1,513.20     |0.00                   |
2018-01-12 |AP812        |7,151.00   |7,116.00 |7,128.00 |7,099.00 |7,110.00 |7,110.00  |-41.00    |-41.00    |160       |336         |-34      |1,137.55     |0.00                   |
2018-01-15 |AP805        |7,817.00   |7,763.00 |7,795.00 |7,758.00 |7,777.00 |7,776.00  |-40.00    |-41.00    |26,164    |25,024      |954      |203,463.68   |0.00                   |
2018-01-15 |AP807        |7,734.00   |7,709.00 |7,709.00 |7,690.00 |7,702.00 |7,699.00  |-32.00    |-35.00    |44        |432         |4        |338.75       |0.00                   |
2018-01-15 |AP810        |7,097.00   |7,070.00 |7,098.00 |7,070.00 |7,090.00 |7,088.00  |-7.00     |-9.00     |1,298     |4,564       |148      |9,200.41     |0.00                   |
2018-01-15 |AP811        |7,071.00   |7,035.00 |7,064.00 |7,035.00 |7,061.00 |7,053.00  |-10.00    |-18.00    |66        |472         |8        |465.49       |0.00                   |
2018-01-15 |AP812        |7,110.00   |7,089.00 |7,100.00 |7,088.00 |7,098.00 |7,093.00  |-12.00    |-17.00    |42        |342         |6        |297.92       |0.00                   |
2018-01-16 |AP805        |7,776.00   |7,764.00 |7,815.00 |7,711.00 |7,723.00 |7,771.00  |-53.00    |-5.00     |44,712    |28,730      |3,706    |347,436.63   |0.00                   |
2018-01-16 |AP807        |7,699.00   |7,722.00 |7,747.00 |7,641.00 |7,660.00 |7,684.00  |-39.00    |-15.00    |116       |396         |-36      |891.35       |0.00                   |
2018-01-16 |AP810        |7,088.00   |7,092.00 |7,108.00 |7,050.00 |7,060.00 |7,073.00  |-28.00    |-15.00    |1,880     |4,846       |282      |13,296.98    |0.00                   |
2018-01-16 |AP811        |7,053.00   |7,052.00 |7,070.00 |7,018.00 |7,046.00 |7,049.00  |-7.00     |-4.00     |212       |522         |50       |1,494.41     |0.00                   |
2018-01-16 |AP812        |7,093.00   |7,097.00 |7,136.00 |7,069.00 |7,090.00 |7,096.00  |-3.00     |3.00      |136       |392         |50       |965.10       |0.00                   |
2018-01-16 |AP901        |7,093.00   |7,732.00 |7,732.00 |7,170.00 |7,189.00 |7,351.00  |96.00     |258.00    |128       |66          |66       |940.89       |0.00                   |
2018-01-17 |AP805        |7,771.00   |7,736.00 |7,744.00 |7,658.00 |7,670.00 |7,689.00  |-101.00   |-82.00    |88,156    |31,314      |2,584    |677,864.39   |0.00                   |
2018-01-17 |AP807        |7,684.00   |7,662.00 |7,668.00 |7,590.00 |7,610.00 |7,628.00  |-74.00    |-56.00    |142       |452         |56       |1,083.14     |0.00                   |
2018-01-17 |AP810        |7,073.00   |7,060.00 |7,072.00 |6,970.00 |6,993.00 |7,001.00  |-80.00    |-72.00    |4,302     |5,784       |938      |30,118.10    |0.00                   |
2018-01-17 |AP811        |7,049.00   |7,052.00 |7,054.00 |6,988.00 |6,999.00 |7,013.00  |-50.00    |-36.00    |304       |534         |12       |2,131.82     |0.00                   |
2018-01-17 |AP812        |7,096.00   |7,156.00 |7,156.00 |7,033.00 |7,060.00 |7,078.00  |-36.00    |-18.00    |384       |392         |0        |2,718.01     |0.00                   |
2018-01-17 |AP901        |7,351.00   |7,280.00 |7,324.00 |7,123.00 |7,130.00 |7,187.00  |-221.00   |-164.00   |730       |470         |404      |5,246.18     |0.00                   |
2018-01-18 |AP805        |7,689.00   |7,668.00 |7,708.00 |7,666.00 |7,671.00 |7,687.00  |-18.00    |-2.00     |48,086    |32,514      |1,200    |369,635.22   |0.00                   |
2018-01-18 |AP807        |7,628.00   |7,635.00 |7,638.00 |7,596.00 |7,596.00 |7,624.00  |-32.00    |-4.00     |14        |444         |-8       |106.73       |0.00                   |
2018-01-18 |AP810        |7,001.00   |6,985.00 |7,026.00 |6,981.00 |6,982.00 |6,997.00  |-19.00    |-4.00     |2,228     |5,728       |-56      |15,589.30    |0.00                   |
2018-01-18 |AP811        |7,013.00   |7,009.00 |7,040.00 |7,002.00 |7,022.00 |7,024.00  |9.00      |11.00     |224       |616         |82       |1,573.45     |0.00                   |
2018-01-18 |AP812        |7,078.00   |7,077.00 |7,108.00 |7,060.00 |7,065.00 |7,084.00  |-13.00    |6.00      |122       |426         |34       |864.27       |0.00                   |
2018-01-18 |AP901        |7,187.00   |7,147.00 |7,216.00 |7,121.00 |7,126.00 |7,156.00  |-61.00    |-31.00    |284       |634         |164      |2,032.43     |0.00                   |
2018-01-19 |AP805        |7,687.00   |7,670.00 |7,701.00 |7,641.00 |7,657.00 |7,673.00  |-30.00    |-14.00    |57,942    |31,622      |-892     |444,565.95   |0.00                   |
2018-01-19 |AP807        |7,624.00   |7,620.00 |7,722.00 |7,620.00 |7,710.00 |7,678.00  |86.00     |54.00     |368       |452         |8        |2,825.36     |0.00                   |
2018-01-19 |AP810        |6,997.00   |6,982.00 |7,015.00 |6,961.00 |6,998.00 |6,997.00  |1.00      |0.00      |1,866     |5,770       |42       |13,056.46    |0.00                   |
2018-01-19 |AP811        |7,024.00   |7,013.00 |7,039.00 |7,013.00 |7,034.00 |7,029.00  |10.00     |5.00      |82        |590         |-26      |576.35       |0.00                   |
2018-01-19 |AP812        |7,084.00   |7,087.00 |7,089.00 |7,050.00 |7,071.00 |7,072.00  |-13.00    |-12.00    |60        |388         |-38      |424.31       |0.00                   |
2018-01-19 |AP901        |7,156.00   |7,129.00 |7,143.00 |7,110.00 |7,139.00 |7,128.00  |-17.00    |-28.00    |68        |662         |28       |484.68       |0.00                   |
2018-01-22 |AP805        |7,673.00   |7,682.00 |7,708.00 |7,667.00 |7,697.00 |7,686.00  |24.00     |13.00     |41,406    |30,488      |-1,134   |318,242.65   |0.00                   |
2018-01-22 |AP807        |7,678.00   |7,730.00 |7,730.00 |7,662.00 |7,681.00 |7,687.00  |3.00      |9.00      |156       |408         |-44      |1,199.12     |0.00                   |
2018-01-22 |AP810        |6,997.00   |7,001.00 |7,040.00 |7,001.00 |7,022.00 |7,022.00  |25.00     |25.00     |1,124     |5,542       |-228     |7,892.22     |0.00                   |
2018-01-22 |AP811        |7,029.00   |7,068.00 |7,068.00 |7,047.00 |7,052.00 |7,056.00  |23.00     |27.00     |54        |568         |-22      |381.01       |0.00                   |
2018-01-22 |AP812        |7,072.00   |7,109.00 |7,109.00 |7,091.00 |7,091.00 |7,098.00  |19.00     |26.00     |26        |380         |-8       |184.55       |0.00                   |
2018-01-22 |AP901        |7,128.00   |7,096.00 |7,154.00 |7,096.00 |7,130.00 |7,138.00  |2.00      |10.00     |106       |726         |64       |756.60       |0.00                   |
2018-01-23 |AP805        |7,686.00   |7,714.00 |7,740.00 |7,681.00 |7,699.00 |7,711.00  |13.00     |25.00     |54,140    |28,442      |-2,046   |417,458.03   |0.00                   |
2018-01-23 |AP807        |7,687.00   |7,729.00 |7,730.00 |7,700.00 |7,700.00 |7,718.00  |13.00     |31.00     |10        |400         |-8       |77.18        |0.00                   |
2018-01-23 |AP810        |7,022.00   |7,010.00 |7,044.00 |6,996.00 |7,021.00 |7,019.00  |-1.00     |-3.00     |1,188     |5,346       |-196     |8,338.78     |0.00                   |
2018-01-23 |AP811        |7,056.00   |7,058.00 |7,064.00 |7,036.00 |7,053.00 |7,054.00  |-3.00     |-2.00     |98        |528         |-40      |691.28       |0.00                   |
2018-01-23 |AP812        |7,098.00   |7,094.00 |7,104.00 |7,069.00 |7,084.00 |7,087.00  |-14.00    |-11.00    |96        |304         |-76      |680.35       |0.00                   |
2018-01-23 |AP901        |7,138.00   |7,151.00 |7,151.00 |7,119.00 |7,133.00 |7,137.00  |-5.00     |-1.00     |22        |726         |0        |157.01       |0.00                   |
2018-01-24 |AP805        |7,711.00   |7,706.00 |7,708.00 |7,664.00 |7,677.00 |7,687.00  |-34.00    |-24.00    |27,376    |28,900      |458      |210,427.64   |0.00                   |
2018-01-24 |AP807        |7,718.00   |7,729.00 |7,729.00 |7,675.00 |7,675.00 |7,692.00  |-43.00    |-26.00    |46        |392         |-8       |353.83       |0.00                   |
2018-01-24 |AP810        |7,019.00   |7,018.00 |7,018.00 |7,001.00 |7,005.00 |7,011.00  |-14.00    |-8.00     |514       |5,320       |-26      |3,603.60     |0.00                   |
2018-01-24 |AP811        |7,054.00   |7,033.00 |7,047.00 |7,033.00 |7,047.00 |7,044.00  |-7.00     |-10.00    |8         |532         |4        |56.35        |0.00                   |
2018-01-24 |AP812        |7,087.00   |7,059.00 |7,063.00 |7,059.00 |7,063.00 |7,061.00  |-24.00    |-26.00    |4         |302         |-2       |28.24        |0.00                   |
2018-01-24 |AP901        |7,137.00   |7,119.00 |7,119.00 |7,119.00 |7,119.00 |7,119.00  |-18.00    |-18.00    |2         |724         |-2       |14.24        |0.00                   |
2018-01-25 |AP805        |7,687.00   |7,687.00 |7,701.00 |7,657.00 |7,661.00 |7,679.00  |-26.00    |-8.00     |27,324    |29,692      |792      |209,819.87   |0.00                   |
