					ZCE Futures Historical Data(2026AP)
Date       |Contract Code|Pre Settle|Open     |High     |Low      |Close    |Settle|Chg 1   |Chg 2   |Volume (lot)|O.I.|OI Change|Turnover (RMB 10,000)|Final Settle
2026-01-05 |AP601        |9,849.00   |10,000.00|10,100.00|9,800.00 |10,100.00|10,029.00 |251.00    |180.00    |225       |133         |-225     |2,256.55     |9,694.00               
2026-01-05 |AP603        |9,313.00   |9,300.00 |9,735.00 |9,250.00 |9,706.00 |9,527.00  |393.00    |214.00    |5,757     |4,487       |945      |54,846.71    |                       
2026-01-05 |AP604        |9,221.00   |9,131.00 |9,660.00 |9,131.00 |9,650.00 |9,470.00  |429.00    |249.00    |713       |1,374       |311      |6,751.91     |                       
2026-01-05 |AP605        |9,161.00   |9,100.00 |9,558.00 |9,050.00 |9,547.00 |9,325.00  |386.00    |164.00    |246,757   |157,882     |23,658   |2,300,954.10 |                       
2026-01-05 |AP610        |8,145.00   |8,080.00 |8,494.00 |8,080.00 |8,450.00 |8,324.00  |305.00    |179.00    |3,534     |4,554       |553      |29,416.54    |                       
2026-01-05 |AP611        |7,962.00   |7,920.00 |8,288.00 |7,910.00 |8,232.00 |8,175.00  |270.00    |213.00    |99        |156         |34       |809.37       |                       
2026-01-05 |AP612        |8,055.00   |7,992.00 |8,336.00 |7,992.00 |8,267.00 |8,239.00  |212.00    |184.00    |26        |23          |4        |214.21       |                       
2026-01-06 |AP601        |10,029.00  |10,000.00|10,000.00|10,000.00|10,000.00|10,000.00 |-29.00    |-29.00    |7         |126         |-7       |70.00        |9,739.00               
2026-01-06 |AP603        |9,527.00   |9,706.00 |9,758.00 |9,661.00 |9,740.00 |9,716.00  |213.00    |189.00    |3,016     |4,483       |-4       |29,302.67    |                       
2026-01-06 |AP604        |9,470.00   |9,681.00 |9,708.00 |9,582.00 |9,688.00 |9,664.00  |218.00    |194.00    |353       |1,247       |-127     |3,411.22     |                       
2026-01-06 |AP605        |9,325.00   |9,526.00 |9,618.00 |9,479.00 |9,614.00 |9,551.00  |289.00    |226.00    |133,091   |141,873     |-16,009  |1,271,199.23 |                       
2026-01-06 |AP610        |8,324.00   |8,466.00 |8,550.00 |8,411.00 |8,531.00 |8,500.00  |207.00    |176.00    |2,966     |5,361       |807      |25,212.24    |                       
2026-01-06 |AP611        |8,175.00   |8,279.00 |8,346.00 |8,236.00 |8,341.00 |8,312.00  |166.00    |137.00    |54        |174         |18       |448.85       |                       
2026-01-06 |AP612        |8,239.00   |8,337.00 |8,380.00 |8,278.00 |8,362.00 |8,345.00  |123.00    |106.00    |16        |30          |7        |133.52       |                       
2026-01-07 |AP601        |10,000.00  |10,000.00|10,000.00|9,999.00 |9,999.00 |10,000.00 |-1.00     |0.00      |21        |105         |-21      |210.00       |9,779.00               
2026-01-07 |AP603        |9,716.00   |9,785.00 |9,795.00 |9,652.00 |9,697.00 |9,708.00  |-19.00    |-8.00     |2,908     |4,065       |-418     |28,230.02    |                       
2026-01-07 |AP604        |9,664.00   |9,740.00 |9,750.00 |9,573.00 |9,599.00 |9,620.00  |-65.00    |-44.00    |382       |1,012       |-235     |3,674.87     |                       
2026-01-07 |AP605        |9,551.00   |9,640.00 |9,694.00 |9,528.00 |9,583.00 |9,584.00  |32.00     |33.00     |96,396    |133,649     |-8,224   |923,828.85   |                       
2026-01-07 |AP610        |8,500.00   |8,550.00 |8,600.00 |8,454.00 |8,474.00 |8,496.00  |-26.00    |-4.00     |1,371     |5,530       |169      |11,647.71    |                       
2026-01-07 |AP611        |8,312.00   |8,384.00 |8,384.00 |8,270.00 |8,294.00 |8,288.00  |-18.00    |-24.00    |39        |182         |8        |323.25       |                       
2026-01-07 |AP612        |8,345.00   |8,402.00 |8,402.00 |8,350.00 |8,366.00 |8,373.00  |21.00     |28.00     |3         |31          |1        |25.12        |                       
2026-01-08 |AP601        |10,000.00  |10,000.00|10,000.00|9,999.00 |9,999.00 |9,999.00  |-1.00     |-1.00     |14        |91          |-14      |139.99       |9,815.00               
