					CZCE History data(2020CJ)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice|
2020-01-02 |CJ001        |11,110.00  |10,990.00|10,995.00|10,830.00|10,830.00|10,955.00 |-280.00   |-155.00   |36        |88          |-31      |197.20       |10,945.00              |
2020-01-02 |CJ003        |10,960.00  |10,990.00|11,000.00|10,945.00|10,965.00|10,975.00 |5.00      |15.00     |61        |2,057       |-14      |334.78       |0.00                   |
2020-01-02 |CJ005        |10,895.00  |10,940.00|10,960.00|10,880.00|10,930.00|10,925.00 |35.00     |30.00     |25,280    |31,370      |1,584    |138,076.76   |0.00                   |
2020-01-02 |CJ007        |10,905.00  |10,915.00|10,945.00|10,900.00|10,920.00|10,925.00 |15.00     |20.00     |8         |605         |-1       |43.71        |0.00                   |
2020-01-02 |CJ009        |10,920.00  |10,935.00|10,960.00|10,900.00|10,935.00|10,935.00 |15.00     |15.00     |208       |2,206       |75       |1,137.44     |0.00                   |
2020-01-02 |CJ012        |11,030.00  |11,065.00|11,085.00|11,010.00|11,055.00|11,050.00 |25.00     |20.00     |11        |57          |1        |60.79        |0.00                   |
2020-01-03 |CJ001        |10,955.00  |10,650.00|10,800.00|10,650.00|10,780.00|10,760.00 |-175.00   |-195.00   |4         |65          |-23      |21.52        |10,930.00              |
2020-01-03 |CJ003        |10,975.00  |10,945.00|11,015.00|10,920.00|10,955.00|10,960.00 |-20.00    |-15.00    |59        |2,040       |-17      |323.36       |0.00                   |
2020-01-03 |CJ005        |10,925.00  |10,930.00|10,970.00|10,860.00|10,905.00|10,915.00 |-20.00    |-10.00    |32,463    |30,415      |-955     |177,200.73   |0.00                   |
2020-01-03 |CJ007        |10,925.00  |10,885.00|10,950.00|10,880.00|10,910.00|10,885.00 |-15.00    |-40.00    |313       |903         |298      |1,703.68     |0.00                   |
2020-01-03 |CJ009        |10,935.00  |10,935.00|10,970.00|10,880.00|10,910.00|10,930.00 |-25.00    |-5.00     |484       |2,500       |294      |2,645.38     |0.00                   |
2020-01-03 |CJ012        |11,050.00  |11,040.00|11,080.00|11,040.00|11,075.00|11,065.00 |25.00     |15.00     |6         |59          |2        |33.19        |0.00                   |
2020-01-06 |CJ001        |10,760.00  |10,710.00|10,830.00|10,710.00|10,760.00|10,790.00 |0.00      |30.00     |7         |57          |-8       |37.77        |10,915.00              |
2020-01-06 |CJ003        |10,960.00  |10,940.00|10,975.00|10,820.00|10,870.00|10,880.00 |-90.00    |-80.00    |316       |1,922       |-118     |1,719.13     |0.00                   |
2020-01-06 |CJ005        |10,915.00  |10,880.00|10,935.00|10,745.00|10,800.00|10,835.00 |-115.00   |-80.00    |62,479    |31,723      |1,308    |338,460.72   |0.00                   |
2020-01-06 |CJ007        |10,885.00  |10,895.00|10,925.00|10,795.00|10,835.00|10,845.00 |-50.00    |-40.00    |136       |979         |76       |737.59       |0.00                   |
2020-01-06 |CJ009        |10,930.00  |10,900.00|10,940.00|10,815.00|10,875.00|10,880.00 |-55.00    |-50.00    |545       |2,578       |78       |2,964.57     |0.00                   |
2020-01-06 |CJ012        |11,065.00  |11,050.00|11,055.00|10,970.00|11,010.00|11,040.00 |-55.00    |-25.00    |475       |525         |466      |2,621.82     |0.00                   |
2020-01-07 |CJ001        |10,790.00  |10,750.00|10,750.00|10,635.00|10,655.00|10,725.00 |-135.00   |-65.00    |19        |34          |-23      |101.90       |10,900.00              |
2020-01-07 |CJ003        |10,880.00  |10,835.00|10,885.00|10,500.00|10,615.00|10,680.00 |-265.00   |-200.00   |464       |2,014       |92       |2,478.23     |0.00                   |
2020-01-07 |CJ005        |10,835.00  |10,815.00|10,830.00|10,420.00|10,480.00|10,585.00 |-355.00   |-250.00   |130,976   |45,142      |13,419   |693,340.58   |0.00                   |
