					CZCE History data(2021CJ)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice
2021-01-04 |CJ101        |9,905.00   |9,610.00 |9,945.00 |9,610.00 |9,655.00 |9,755.00  |-250.00   |-150.00   |10        |101         |-10      |48.78        |9,755.00               
2021-01-04 |CJ103        |10,040.00  |10,010.00|10,010.00|9,910.00 |9,990.00 |9,970.00  |-50.00    |-70.00    |48        |994         |4        |239.28       |                       
2021-01-04 |CJ105        |10,205.00  |10,190.00|10,195.00|10,050.00|10,150.00|10,125.00 |-55.00    |-80.00    |18,990    |21,856      |-851     |96,131.79    |                       
2021-01-04 |CJ107        |10,205.00  |10,130.00|10,170.00|10,095.00|10,140.00|10,120.00 |-65.00    |-85.00    |23        |687         |5        |116.36       |                       
2021-01-04 |CJ109        |10,215.00  |10,200.00|10,225.00|10,115.00|10,205.00|10,195.00 |-10.00    |-20.00    |726       |2,474       |134      |3,701.26     |                       
2021-01-04 |CJ112        |10,290.00  |10,260.00|10,310.00|10,220.00|10,310.00|10,265.00 |20.00     |-25.00    |11        |59          |6        |56.47        |                       
2021-01-05 |CJ101        |9,755.00   |0.00     |0.00     |0.00     |0.00     |9,755.00  |0.00      |0.00      |0         |95          |-6       |0.00         |9,730.00               
2021-01-05 |CJ103        |9,970.00   |9,985.00 |10,020.00|9,930.00 |9,935.00 |9,960.00  |-35.00    |-10.00    |104       |936         |-58      |517.92       |                       
2021-01-05 |CJ105        |10,125.00  |10,160.00|10,210.00|10,085.00|10,145.00|10,135.00 |20.00     |10.00     |15,957    |22,073      |217      |80,873.12    |                       
2021-01-05 |CJ107        |10,120.00  |10,155.00|10,155.00|10,155.00|10,155.00|10,155.00 |35.00     |35.00     |1         |687         |0        |5.08         |                       
2021-01-05 |CJ109        |10,195.00  |10,225.00|10,270.00|10,160.00|10,205.00|10,205.00 |10.00     |10.00     |184       |2,502       |28       |939.06       |                       
2021-01-05 |CJ112        |10,265.00  |10,270.00|10,295.00|10,255.00|10,260.00|10,270.00 |-5.00     |5.00      |4         |56          |-3       |20.54        |                       
2021-01-06 |CJ101        |9,755.00   |0.00     |0.00     |0.00     |0.00     |9,755.00  |0.00      |0.00      |0         |35          |-60      |0.00         |9,725.00               
2021-01-06 |CJ103        |9,960.00   |10,005.00|10,005.00|9,920.00 |9,935.00 |9,935.00  |-25.00    |-25.00    |48        |893         |-43      |238.44       |                       
