					ZCE Futures Historical Data(2024CJ)
Date       |Contract Code|Pre Settle|Open     |High     |Low      |Close    |Settle|Chg 1   |Chg 2   |Volume (lot)|O.I.|OI Change|Turnover (RMB 10,000)|Final Settle
2024-01-02 |CJ401        |14,750.00  |14,700.00|14,810.00|14,540.00|14,755.00|14,735.00 |5.00      |-15.00    |76        |415         |-475     |559.90       |14,670.00              
2024-01-02 |CJ403        |14,880.00  |14,765.00|15,045.00|14,765.00|14,890.00|14,885.00 |10.00     |5.00      |370       |5,361       |-152     |2,753.42     |                       
2024-01-02 |CJ405        |15,155.00  |15,100.00|15,300.00|15,025.00|15,120.00|15,150.00 |-35.00    |-5.00     |28,696    |69,622      |573      |217,367.91   |                       
2024-01-02 |CJ407        |15,465.00  |15,405.00|15,560.00|15,350.00|15,430.00|15,450.00 |-35.00    |-15.00    |714       |5,540       |145      |5,514.91     |                       
2024-01-02 |CJ409        |15,630.00  |15,575.00|15,740.00|15,515.00|15,595.00|15,615.00 |-35.00    |-15.00    |4,257     |25,603      |216      |33,232.30    |                       
2024-01-02 |CJ412        |14,705.00  |14,620.00|14,935.00|14,590.00|14,860.00|14,785.00 |155.00    |80.00     |459       |1,930       |193      |3,393.02     |                       
2024-01-03 |CJ401        |14,735.00  |14,730.00|14,760.00|14,195.00|14,690.00|14,645.00 |-45.00    |-90.00    |53        |265         |-150     |388.05       |14,675.00              
2024-01-03 |CJ403        |14,885.00  |14,885.00|15,010.00|14,825.00|14,855.00|14,865.00 |-30.00    |-20.00    |260       |5,206       |-155     |1,932.57     |                       
2024-01-03 |CJ405        |15,150.00  |15,095.00|15,170.00|15,035.00|15,095.00|15,090.00 |-55.00    |-60.00    |18,028    |69,047      |-575     |136,036.58   |                       
2024-01-03 |CJ407        |15,450.00  |15,450.00|15,515.00|15,350.00|15,395.00|15,395.00 |-55.00    |-55.00    |634       |5,648       |108      |4,880.24     |                       
