					CZCE History data(2018CY)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice|
2018-01-02 |CY801        |22,805.00  |22,800.00|22,800.00|22,800.00|22,800.00|22,800.00 |-5.00     |-5.00     |4         |18          |-4       |45.60        |23,050.00              |
2018-01-02 |CY802        |22,415.00  |0.00     |0.00     |0.00     |0.00     |22,410.00 |-5.00     |-5.00     |0         |0           |0        |0.00         |0.00                   |
2018-01-02 |CY803        |23,210.00  |22,600.00|23,500.00|22,600.00|23,500.00|23,090.00 |290.00    |-120.00   |10        |0           |0        |115.45       |0.00                   |
2018-01-02 |CY804        |23,245.00  |0.00     |0.00     |0.00     |0.00     |23,125.00 |-120.00   |-120.00   |0         |0           |0        |0.00         |0.00                   |
2018-01-02 |CY805        |23,100.00  |22,800.00|23,215.00|22,800.00|23,070.00|23,145.00 |-30.00    |45.00     |18        |164         |8        |208.33       |0.00                   |
2018-01-02 |CY806        |22,650.00  |0.00     |0.00     |0.00     |0.00     |22,695.00 |45.00     |45.00     |0         |0           |0        |0.00         |0.00                   |
2018-01-02 |CY807        |23,250.00  |0.00     |0.00     |0.00     |0.00     |23,295.00 |45.00     |45.00     |0         |0           |0        |0.00         |0.00                   |
2018-01-02 |CY808        |22,765.00  |0.00     |0.00     |0.00     |0.00     |22,810.00 |45.00     |45.00     |0         |0           |0        |0.00         |0.00                   |
2018-01-02 |CY809        |23,235.00  |0.00     |0.00     |0.00     |0.00     |23,235.00 |0.00      |0.00      |0         |60          |0        |0.00         |0.00                   |
2018-01-02 |CY810        |23,685.00  |0.00     |0.00     |0.00     |0.00     |23,730.00 |45.00     |45.00     |0         |2           |0        |0.00         |0.00                   |
2018-01-02 |CY811        |22,830.00  |0.00     |0.00     |0.00     |0.00     |22,875.00 |45.00     |45.00     |0         |0           |0        |0.00         |0.00                   |
2018-01-02 |CY812        |22,830.00  |0.00     |0.00     |0.00     |0.00     |22,875.00 |45.00     |45.00     |0         |0           |0        |0.00         |0.00                   |
2018-01-03 |CY801        |22,800.00  |0.00     |0.00     |0.00     |0.00     |22,800.00 |0.00      |0.00      |0         |18          |0        |0.00         |23,010.00              |
2018-01-03 |CY802        |22,410.00  |0.00     |0.00     |0.00     |0.00     |22,335.00 |-75.00    |-75.00    |0         |0           |0        |0.00         |0.00                   |
2018-01-03 |CY803        |23,090.00  |0.00     |0.00     |0.00     |0.00     |23,010.00 |-80.00    |-80.00    |0         |0           |0        |0.00         |0.00                   |
2018-01-03 |CY804        |23,125.00  |0.00     |0.00     |0.00     |0.00     |23,045.00 |-80.00    |-80.00    |0         |0           |0        |0.00         |0.00                   |
2018-01-03 |CY805        |23,145.00  |23,180.00|23,200.00|23,000.00|23,000.00|23,065.00 |-145.00   |-80.00    |52        |150         |-14      |599.73       |0.00                   |
2018-01-03 |CY806        |22,695.00  |0.00     |0.00     |0.00     |0.00     |22,615.00 |-80.00    |-80.00    |0         |0           |0        |0.00         |0.00                   |
2018-01-03 |CY807        |23,295.00  |0.00     |0.00     |0.00     |0.00     |23,215.00 |-80.00    |-80.00    |0         |0           |0        |0.00         |0.00                   |
2018-01-03 |CY808        |22,810.00  |0.00     |0.00     |0.00     |0.00     |22,730.00 |-80.00    |-80.00    |0         |0           |0        |0.00         |0.00                   |
2018-01-03 |CY809        |23,235.00  |23,305.00|23,305.00|23,305.00|23,305.00|23,305.00 |70.00     |70.00     |4         |60          |0        |46.61        |0.00                   |
2018-01-03 |CY810        |23,730.00  |0.00     |0.00     |0.00     |0.00     |23,800.00 |70.00     |70.00     |0         |2           |0        |0.00         |0.00                   |
2018-01-03 |CY811        |22,875.00  |24,650.00|24,650.00|23,640.00|23,640.00|24,145.00 |765.00    |1,270.00  |4         |2           |2        |48.29        |0.00                   |
2018-01-03 |CY812        |22,875.00  |0.00     |0.00     |0.00     |0.00     |24,145.00 |1,270.00  |1,270.00  |0         |0           |0        |0.00         |0.00                   |
2018-01-04 |CY801        |22,800.00  |0.00     |0.00     |0.00     |0.00     |22,800.00 |0.00      |0.00      |0         |18          |0        |0.00         |22,970.00              |
2018-01-04 |CY802        |22,335.00  |0.00     |0.00     |0.00     |0.00     |22,305.00 |-30.00    |-30.00    |0         |0           |0        |0.00         |0.00                   |
2018-01-04 |CY803        |23,010.00  |0.00     |0.00     |0.00     |0.00     |22,980.00 |-30.00    |-30.00    |0         |0           |0        |0.00         |0.00                   |
2018-01-04 |CY804        |23,045.00  |0.00     |0.00     |0.00     |0.00     |23,015.00 |-30.00    |-30.00    |0         |0           |0        |0.00         |0.00                   |
2018-01-04 |CY805        |23,065.00  |23,025.00|23,055.00|23,010.00|23,010.00|23,035.00 |-55.00    |-30.00    |28        |138         |-12      |322.52       |0.00                   |
2018-01-04 |CY806        |22,615.00  |0.00     |0.00     |0.00     |0.00     |22,585.00 |-30.00    |-30.00    |0         |0           |0        |0.00         |0.00                   |
2018-01-04 |CY807        |23,215.00  |0.00     |0.00     |0.00     |0.00     |23,185.00 |-30.00    |-30.00    |0         |0           |0        |0.00         |0.00                   |
2018-01-04 |CY808        |22,730.00  |0.00     |0.00     |0.00     |0.00     |22,700.00 |-30.00    |-30.00    |0         |0           |0        |0.00         |0.00                   |
2018-01-04 |CY809        |23,305.00  |0.00     |0.00     |0.00     |0.00     |23,305.00 |0.00      |0.00      |0         |60          |0        |0.00         |0.00                   |
2018-01-04 |CY810        |23,800.00  |0.00     |0.00     |0.00     |0.00     |23,770.00 |-30.00    |-30.00    |0         |2           |0        |0.00         |0.00                   |
2018-01-04 |CY811        |24,145.00  |23,195.00|23,195.00|23,195.00|23,195.00|23,195.00 |-950.00   |-950.00   |2         |0           |-2       |23.20        |0.00                   |
2018-01-04 |CY812        |24,145.00  |0.00     |0.00     |0.00     |0.00     |23,195.00 |-950.00   |-950.00   |0         |0           |0        |0.00         |0.00                   |
2018-01-05 |CY801        |22,800.00  |22,800.00|22,800.00|22,800.00|22,800.00|22,800.00 |0.00      |0.00      |2         |16          |-2       |22.80        |22,930.00              |
2018-01-05 |CY802        |22,305.00  |0.00     |0.00     |0.00     |0.00     |22,305.00 |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2018-01-05 |CY803        |22,980.00  |0.00     |0.00     |0.00     |0.00     |22,980.00 |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
