					CZCE History data(2021CY)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice
2021-01-04 |CY101        |20,795.00  |20,850.00|21,415.00|20,830.00|21,415.00|21,170.00 |620.00    |375.00    |57        |1,333       |-3       |603.41       |20,600.00              
2021-01-04 |CY102        |20,280.00  |0.00     |0.00     |0.00     |0.00     |20,645.00 |365.00    |365.00    |0         |0           |0        |0.00         |                       
2021-01-04 |CY103        |20,460.00  |0.00     |0.00     |0.00     |0.00     |20,830.00 |370.00    |370.00    |0         |0           |0        |0.00         |                       
2021-01-04 |CY104        |22,205.00  |0.00     |0.00     |0.00     |0.00     |22,605.00 |400.00    |400.00    |0         |0           |0        |0.00         |                       
2021-01-04 |CY105        |21,865.00  |21,835.00|22,330.00|21,730.00|22,310.00|22,140.00 |445.00    |275.00    |12,441    |8,101       |1,266    |137,725.65   |                       
2021-01-04 |CY106        |21,400.00  |0.00     |0.00     |0.00     |0.00     |21,670.00 |270.00    |270.00    |0         |0           |0        |0.00         |                       
2021-01-04 |CY107        |22,410.00  |0.00     |0.00     |0.00     |0.00     |22,690.00 |280.00    |280.00    |0         |0           |0        |0.00         |                       
2021-01-04 |CY108        |22,510.00  |0.00     |0.00     |0.00     |0.00     |22,795.00 |285.00    |285.00    |0         |0           |0        |0.00         |                       
2021-01-04 |CY109        |22,315.00  |22,520.00|22,690.00|22,515.00|22,685.00|22,600.00 |370.00    |285.00    |18        |140         |9        |203.39       |                       
2021-01-04 |CY110        |22,065.00  |0.00     |0.00     |0.00     |0.00     |22,345.00 |280.00    |280.00    |0         |0           |0        |0.00         |                       
2021-01-04 |CY111        |22,065.00  |0.00     |0.00     |0.00     |0.00     |22,345.00 |280.00    |280.00    |0         |0           |0        |0.00         |                       
2021-01-04 |CY112        |22,065.00  |0.00     |0.00     |0.00     |0.00     |22,345.00 |280.00    |280.00    |0         |0           |0        |0.00         |                       
2021-01-05 |CY101        |21,170.00  |21,785.00|21,785.00|21,235.00|21,415.00|21,400.00 |245.00    |230.00    |170       |1,172       |-161     |1,791.77     |20,700.00              
2021-01-05 |CY102        |20,645.00  |0.00     |0.00     |0.00     |0.00     |20,870.00 |225.00    |225.00    |0         |0           |0        |0.00         |                       
2021-01-05 |CY103        |20,830.00  |0.00     |0.00     |0.00     |0.00     |21,055.00 |225.00    |225.00    |0         |0           |0        |0.00         |                       
2021-01-05 |CY104        |22,605.00  |0.00     |0.00     |0.00     |0.00     |22,850.00 |245.00    |245.00    |0         |0           |0        |0.00         |                       
2021-01-05 |CY105        |22,140.00  |22,260.00|22,475.00|22,095.00|22,200.00|22,300.00 |60.00     |160.00    |16,492    |8,304       |203      |183,877.61   |                       
2021-01-05 |CY106        |21,670.00  |0.00     |0.00     |0.00     |0.00     |21,825.00 |155.00    |155.00    |0         |0           |0        |0.00         |                       
2021-01-05 |CY107        |22,690.00  |0.00     |0.00     |0.00     |0.00     |22,855.00 |165.00    |165.00    |0         |0           |0        |0.00         |                       
2021-01-05 |CY108        |22,795.00  |0.00     |0.00     |0.00     |0.00     |22,960.00 |165.00    |165.00    |0         |0           |0        |0.00         |                       
2021-01-05 |CY109        |22,600.00  |22,650.00|22,780.00|22,625.00|22,680.00|22,695.00 |80.00     |95.00     |13        |138         |-2       |147.52       |                       
2021-01-05 |CY110        |22,345.00  |0.00     |0.00     |0.00     |0.00     |22,440.00 |95.00     |95.00     |0         |0           |0        |0.00         |                       
2021-01-05 |CY111        |22,345.00  |0.00     |0.00     |0.00     |0.00     |22,440.00 |95.00     |95.00     |0         |0           |0        |0.00         |                       
2021-01-05 |CY112        |22,345.00  |0.00     |0.00     |0.00     |0.00     |22,440.00 |95.00     |95.00     |0         |0           |0        |0.00         |                       
2021-01-06 |CY101        |21,400.00  |21,455.00|21,585.00|21,450.00|21,585.00|21,470.00 |185.00    |70.00     |73        |1,112       |-60      |769.57       |20,800.00              
2021-01-06 |CY102        |20,870.00  |0.00     |0.00     |0.00     |0.00     |20,940.00 |70.00     |70.00     |0         |0           |0        |0.00         |                       
2021-01-06 |CY103        |21,055.00  |0.00     |0.00     |0.00     |0.00     |21,125.00 |70.00     |70.00     |0         |0           |0        |0.00         |                       
2021-01-06 |CY104        |22,850.00  |0.00     |0.00     |0.00     |0.00     |22,925.00 |75.00     |75.00     |0         |0           |0        |0.00         |                       
2021-01-06 |CY105        |22,300.00  |22,200.00|22,435.00|22,160.00|22,375.00|22,320.00 |75.00     |20.00     |17,166    |8,638       |334      |191,580.53   |                       
2021-01-06 |CY106        |21,825.00  |0.00     |0.00     |0.00     |0.00     |21,845.00 |20.00     |20.00     |0         |0           |0        |0.00         |                       
2021-01-06 |CY107        |22,855.00  |0.00     |0.00     |0.00     |0.00     |22,875.00 |20.00     |20.00     |0         |0           |0        |0.00         |                       
2021-01-06 |CY108        |22,960.00  |0.00     |0.00     |0.00     |0.00     |22,980.00 |20.00     |20.00     |0         |0           |0        |0.00         |                       
2021-01-06 |CY109        |22,695.00  |22,685.00|22,750.00|22,645.00|22,730.00|22,700.00 |35.00     |5.00      |16        |140         |2        |181.61       |                       
2021-01-06 |CY110        |22,440.00  |0.00     |0.00     |0.00     |0.00     |22,445.00 |5.00      |5.00      |0         |0           |0        |0.00         |                       
2021-01-06 |CY111        |22,440.00  |0.00     |0.00     |0.00     |0.00     |22,445.00 |5.00      |5.00      |0         |0           |0        |0.00         |                       
2021-01-06 |CY112        |22,440.00  |0.00     |0.00     |0.00     |0.00     |22,445.00 |5.00      |5.00      |0         |0           |0        |0.00         |                       
2021-01-07 |CY101        |21,470.00  |21,600.00|21,600.00|21,600.00|21,600.00|21,600.00 |130.00    |130.00    |36        |1,072       |-40      |386.95       |20,930.00              
2021-01-07 |CY102        |20,940.00  |0.00     |0.00     |0.00     |0.00     |21,065.00 |125.00    |125.00    |0         |0           |0        |0.00         |                       
2021-01-07 |CY103        |21,125.00  |0.00     |0.00     |0.00     |0.00     |21,255.00 |130.00    |130.00    |0         |0           |0        |0.00         |                       
2021-01-07 |CY104        |22,925.00  |0.00     |0.00     |0.00     |0.00     |23,065.00 |140.00    |140.00    |0         |0           |0        |0.00         |                       
2021-01-07 |CY105        |22,320.00  |22,405.00|22,640.00|22,295.00|22,615.00|22,480.00 |295.00    |160.00    |20,011    |8,845       |207      |224,916.48   |                       
2021-01-07 |CY106        |21,845.00  |0.00     |0.00     |0.00     |0.00     |22,000.00 |155.00    |155.00    |0         |0           |0        |0.00         |                       
2021-01-07 |CY107        |22,875.00  |0.00     |0.00     |0.00     |0.00     |23,040.00 |165.00    |165.00    |0         |0           |0        |0.00         |                       
2021-01-07 |CY108        |22,980.00  |0.00     |0.00     |0.00     |0.00     |23,145.00 |165.00    |165.00    |0         |0           |0        |0.00         |                       
2021-01-07 |CY109        |22,700.00  |22,885.00|22,885.00|22,695.00|22,855.00|22,825.00 |155.00    |125.00    |9         |143         |3        |102.72       |                       
2021-01-07 |CY110        |22,445.00  |0.00     |0.00     |0.00     |0.00     |22,570.00 |125.00    |125.00    |0         |0           |0        |0.00         |                       
2021-01-07 |CY111        |22,445.00  |0.00     |0.00     |0.00     |0.00     |22,570.00 |125.00    |125.00    |0         |0           |0        |0.00         |                       
2021-01-07 |CY112        |22,445.00  |0.00     |0.00     |0.00     |0.00     |22,570.00 |125.00    |125.00    |0         |0           |0        |0.00         |                       
2021-01-08 |CY101        |21,600.00  |0.00     |0.00     |0.00     |0.00     |21,660.00 |60.00     |60.00     |0         |1,072       |0        |0.00         |21,050.00              
2021-01-08 |CY102        |21,065.00  |0.00     |0.00     |0.00     |0.00     |21,095.00 |30.00     |30.00     |0         |0           |0        |0.00         |                       
2021-01-08 |CY103        |21,255.00  |0.00     |0.00     |0.00     |0.00     |21,285.00 |30.00     |30.00     |0         |0           |0        |0.00         |                       
2021-01-08 |CY104        |23,065.00  |0.00     |0.00     |0.00     |0.00     |23,095.00 |30.00     |30.00     |0         |0           |0        |0.00         |                       
2021-01-08 |CY105        |22,480.00  |22,610.00|22,690.00|22,250.00|22,320.00|22,510.00 |-160.00   |30.00     |13,858    |8,754       |-91      |155,967.23   |                       
2021-01-08 |CY106        |22,000.00  |0.00     |0.00     |0.00     |0.00     |22,030.00 |30.00     |30.00     |0         |0           |0        |0.00         |                       
2021-01-08 |CY107        |23,040.00  |0.00     |0.00     |0.00     |0.00     |23,070.00 |30.00     |30.00     |0         |0           |0        |0.00         |                       
2021-01-08 |CY108        |23,145.00  |0.00     |0.00     |0.00     |0.00     |23,175.00 |30.00     |30.00     |0         |0           |0        |0.00         |                       
2021-01-08 |CY109        |22,825.00  |22,850.00|22,975.00|22,705.00|22,760.00|22,845.00 |-65.00    |20.00     |14        |148         |5        |159.90       |                       
2021-01-08 |CY110        |22,570.00  |0.00     |0.00     |0.00     |0.00     |22,590.00 |20.00     |20.00     |0         |0           |0        |0.00         |                       
2021-01-08 |CY111        |22,570.00  |0.00     |0.00     |0.00     |0.00     |22,590.00 |20.00     |20.00     |0         |0           |0        |0.00         |                       
2021-01-08 |CY112        |22,570.00  |0.00     |0.00     |0.00     |0.00     |22,590.00 |20.00     |20.00     |0         |0           |0        |0.00         |                       
2021-01-11 |CY101        |21,660.00  |22,500.00|22,500.00|22,500.00|22,500.00|22,500.00 |840.00    |840.00    |283       |792         |-280     |3,029.75     |21,240.00              
2021-01-11 |CY102        |21,095.00  |0.00     |0.00     |0.00     |0.00     |21,915.00 |820.00    |820.00    |0         |0           |0        |0.00         |                       
2021-01-11 |CY103        |21,285.00  |0.00     |0.00     |0.00     |0.00     |22,110.00 |825.00    |825.00    |0         |0           |0        |0.00         |                       
2021-01-11 |CY104        |23,095.00  |0.00     |0.00     |0.00     |0.00     |23,990.00 |895.00    |895.00    |0         |0           |0        |0.00         |                       
2021-01-11 |CY105        |22,510.00  |22,390.00|22,485.00|21,975.00|21,975.00|22,205.00 |-535.00   |-305.00   |15,036    |8,740       |-14      |166,935.57   |                       
2021-01-11 |CY106        |22,030.00  |0.00     |0.00     |0.00     |0.00     |21,730.00 |-300.00   |-300.00   |0         |0           |0        |0.00         |                       
2021-01-11 |CY107        |23,070.00  |0.00     |0.00     |0.00     |0.00     |22,755.00 |-315.00   |-315.00   |0         |0           |0        |0.00         |                       
2021-01-11 |CY108        |23,175.00  |0.00     |0.00     |0.00     |0.00     |22,860.00 |-315.00   |-315.00   |0         |0           |0        |0.00         |                       
2021-01-11 |CY109        |22,845.00  |22,770.00|22,780.00|22,480.00|22,480.00|22,595.00 |-365.00   |-250.00   |14        |143         |-5       |158.16       |                       
