					ZCE Futures Historical Data(2026CY)
Date       |Contract Code|Pre Settle|Open     |High     |Low      |Close    |Settle|Chg 1   |Chg 2   |Volume (lot)|O.I.|OI Change|Turnover (RMB 10,000)|Final Settle
2026-01-05 |CY601        |20,180.00  |0.00     |0.00     |0.00     |0.00     |20,180.00 |0.00      |0.00      |0         |378         |0        |0.00         |20,120.00              
2026-01-05 |CY602        |20,635.00  |0.00     |0.00     |0.00     |0.00     |20,635.00 |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-05 |CY603        |20,565.00  |20,590.00|20,760.00|20,500.00|20,575.00|20,630.00 |10.00     |65.00     |10,967    |18,643      |-947     |113,129.26   |                       
2026-01-05 |CY604        |20,745.00  |20,640.00|20,875.00|20,640.00|20,650.00|20,735.00 |-95.00    |-10.00    |13        |3           |0        |134.77       |                       
2026-01-05 |CY605        |20,570.00  |20,625.00|20,830.00|20,515.00|20,650.00|20,710.00 |80.00     |140.00    |83        |164         |34       |859.47       |                       
2026-01-05 |CY606        |20,495.00  |0.00     |0.00     |0.00     |0.00     |20,635.00 |140.00    |140.00    |0         |0           |0        |0.00         |                       
2026-01-05 |CY607        |20,780.00  |0.00     |0.00     |0.00     |0.00     |20,780.00 |0.00      |0.00      |0         |1           |0        |0.00         |                       
2026-01-05 |CY608        |21,130.00  |0.00     |0.00     |0.00     |0.00     |21,130.00 |0.00      |0.00      |0         |4           |0        |0.00         |                       
2026-01-05 |CY609        |20,660.00  |20,785.00|20,785.00|20,785.00|20,785.00|20,785.00 |125.00    |125.00    |1         |14          |0        |10.39        |                       
2026-01-05 |CY610        |20,500.00  |0.00     |0.00     |0.00     |0.00     |20,505.00 |5.00      |5.00      |0         |0           |0        |0.00         |                       
2026-01-05 |CY611        |20,955.00  |0.00     |0.00     |0.00     |0.00     |20,980.00 |25.00     |25.00     |0         |1           |0        |0.00         |                       
2026-01-05 |CY612        |20,710.00  |20,720.00|20,720.00|20,720.00|20,720.00|20,720.00 |10.00     |10.00     |1         |0           |-1       |10.36        |                       
2026-01-06 |CY601        |20,180.00  |20,205.00|20,250.00|20,205.00|20,250.00|20,210.00 |70.00     |30.00     |32        |378         |0        |323.33       |20,150.00              
2026-01-06 |CY602        |20,635.00  |0.00     |0.00     |0.00     |0.00     |20,640.00 |5.00      |5.00      |0         |0           |0        |0.00         |                       
2026-01-06 |CY603        |20,630.00  |20,560.00|20,900.00|20,560.00|20,875.00|20,720.00 |245.00    |90.00     |10,324    |18,697      |54       |106,946.99   |                       
2026-01-06 |CY604        |20,735.00  |0.00     |0.00     |0.00     |0.00     |20,735.00 |0.00      |0.00      |0         |3           |0        |0.00         |                       
2026-01-06 |CY605        |20,710.00  |20,655.00|20,880.00|20,650.00|20,880.00|20,760.00 |170.00    |50.00     |61        |171         |7        |633.14       |                       
2026-01-06 |CY606        |20,635.00  |0.00     |0.00     |0.00     |0.00     |20,900.00 |265.00    |265.00    |0         |0           |0        |0.00         |                       
2026-01-06 |CY607        |20,780.00  |0.00     |0.00     |0.00     |0.00     |20,960.00 |180.00    |180.00    |0         |1           |0        |0.00         |                       
2026-01-06 |CY608        |21,130.00  |0.00     |0.00     |0.00     |0.00     |21,350.00 |220.00    |220.00    |0         |4           |0        |0.00         |                       
2026-01-06 |CY609        |20,785.00  |20,695.00|20,695.00|20,695.00|20,695.00|20,695.00 |-90.00    |-90.00    |1         |14          |0        |10.35        |                       
2026-01-06 |CY610        |20,505.00  |0.00     |0.00     |0.00     |0.00     |20,415.00 |-90.00    |-90.00    |0         |0           |0        |0.00         |                       
2026-01-06 |CY611        |20,980.00  |21,100.00|21,100.00|21,100.00|21,100.00|21,100.00 |120.00    |120.00    |1         |0           |-1       |10.55        |                       
2026-01-06 |CY612        |20,720.00  |0.00     |0.00     |0.00     |0.00     |20,760.00 |40.00     |40.00     |0         |0           |0        |0.00         |                       
2026-01-07 |CY601        |20,210.00  |20,225.00|20,225.00|20,225.00|20,225.00|20,225.00 |15.00     |15.00     |54        |372         |-6       |546.08       |20,170.00              
2026-01-07 |CY602        |20,640.00  |0.00     |0.00     |0.00     |0.00     |20,655.00 |15.00     |15.00     |0         |0           |0        |0.00         |                       
2026-01-07 |CY603        |20,720.00  |20,910.00|21,165.00|20,850.00|21,050.00|20,985.00 |330.00    |265.00    |14,469    |17,949      |-748     |151,833.34   |                       
2026-01-07 |CY604        |20,735.00  |21,200.00|21,200.00|20,810.00|20,810.00|21,025.00 |75.00     |290.00    |19        |0           |-3       |199.76       |                       
2026-01-07 |CY605        |20,760.00  |20,950.00|21,125.00|20,885.00|21,000.00|21,005.00 |240.00    |245.00    |517       |203         |32       |5,429.30     |                       
2026-01-07 |CY606        |20,900.00  |0.00     |0.00     |0.00     |0.00     |21,145.00 |245.00    |245.00    |0         |0           |0        |0.00         |                       
2026-01-07 |CY607        |20,960.00  |0.00     |0.00     |0.00     |0.00     |20,960.00 |0.00      |0.00      |0         |1           |0        |0.00         |                       
2026-01-07 |CY608        |21,350.00  |0.00     |0.00     |0.00     |0.00     |21,390.00 |40.00     |40.00     |0         |4           |0        |0.00         |                       
2026-01-07 |CY609        |20,695.00  |20,960.00|21,060.00|20,935.00|21,050.00|20,990.00 |355.00    |295.00    |9         |14          |0        |94.46        |                       
2026-01-07 |CY610        |20,415.00  |0.00     |0.00     |0.00     |0.00     |20,705.00 |290.00    |290.00    |0         |0           |0        |0.00         |                       
2026-01-07 |CY611        |21,100.00  |0.00     |0.00     |0.00     |0.00     |21,150.00 |50.00     |50.00     |0         |0           |0        |0.00         |                       
2026-01-07 |CY612        |20,760.00  |0.00     |0.00     |0.00     |0.00     |21,055.00 |295.00    |295.00    |0         |0           |0        |0.00         |                       
2026-01-08 |CY601        |20,225.00  |0.00     |0.00     |0.00     |0.00     |20,225.00 |0.00      |0.00      |0         |372         |0        |0.00         |20,185.00              
2026-01-08 |CY602        |20,655.00  |0.00     |0.00     |0.00     |0.00     |20,655.00 |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-08 |CY603        |20,985.00  |21,200.00|21,200.00|20,720.00|20,795.00|20,925.00 |-190.00   |-60.00    |11,728    |17,043      |-906     |122,697.83   |                       
2026-01-08 |CY604        |21,025.00  |20,600.00|20,925.00|20,600.00|20,925.00|20,765.00 |-100.00   |-260.00   |6         |0           |0        |62.29        |                       
2026-01-08 |CY605        |21,005.00  |21,000.00|21,170.00|20,780.00|20,845.00|20,900.00 |-160.00   |-105.00   |605       |265         |62       |6,321.95     |                       
2026-01-08 |CY606        |21,145.00  |0.00     |0.00     |0.00     |0.00     |21,145.00 |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-08 |CY607        |20,960.00  |0.00     |0.00     |0.00     |0.00     |20,960.00 |0.00      |0.00      |0         |1           |0        |0.00         |                       
2026-01-08 |CY608        |21,390.00  |21,390.00|21,390.00|21,390.00|21,390.00|21,390.00 |0.00      |0.00      |1         |4           |0        |10.70        |                       
2026-01-08 |CY609        |20,990.00  |21,215.00|21,215.00|20,910.00|20,910.00|21,010.00 |-80.00    |20.00     |3         |16          |2        |31.52        |                       
2026-01-08 |CY610        |20,705.00  |0.00     |0.00     |0.00     |0.00     |20,725.00 |20.00     |20.00     |0         |0           |0        |0.00         |                       
2026-01-08 |CY611        |21,150.00  |0.00     |0.00     |0.00     |0.00     |21,150.00 |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-08 |CY612        |21,055.00  |0.00     |0.00     |0.00     |0.00     |21,055.00 |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-09 |CY601        |20,225.00  |20,225.00|20,225.00|20,225.00|20,225.00|20,225.00 |0.00      |0.00      |4         |372         |0        |40.45        |20,205.00              
2026-01-09 |CY602        |20,655.00  |0.00     |0.00     |0.00     |0.00     |20,655.00 |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-09 |CY603        |20,925.00  |20,795.00|20,920.00|20,690.00|20,690.00|20,810.00 |-235.00   |-115.00   |9,754     |16,816      |-227     |101,490.26   |                       
2026-01-09 |CY604        |20,765.00  |0.00     |0.00     |0.00     |0.00     |20,765.00 |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-09 |CY605        |20,900.00  |20,920.00|20,920.00|20,750.00|20,760.00|20,785.00 |-140.00   |-115.00   |640       |266         |1        |6,651.86     |                       
2026-01-09 |CY606        |21,145.00  |0.00     |0.00     |0.00     |0.00     |21,145.00 |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-09 |CY607        |20,960.00  |21,120.00|21,120.00|21,120.00|21,120.00|21,120.00 |160.00    |160.00    |1         |2           |1        |10.56        |                       
2026-01-09 |CY608        |21,390.00  |21,470.00|21,470.00|21,470.00|21,470.00|21,470.00 |80.00     |80.00     |1         |4           |0        |10.74        |                       
2026-01-09 |CY609        |21,010.00  |20,970.00|20,970.00|20,970.00|20,970.00|20,970.00 |-40.00    |-40.00    |1         |16          |0        |10.49        |                       
2026-01-09 |CY610        |20,725.00  |0.00     |0.00     |0.00     |0.00     |20,725.00 |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-09 |CY611        |21,150.00  |0.00     |0.00     |0.00     |0.00     |21,150.00 |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-09 |CY612        |21,055.00  |0.00     |0.00     |0.00     |0.00     |21,055.00 |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-12 |CY601        |20,225.00  |0.00     |0.00     |0.00     |0.00     |20,225.00 |0.00      |0.00      |0         |372         |0        |0.00         |20,210.00              
