					CZCE History data(2015CF)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice|
2015-01-05 |CF501        |13,185.00  |12,585.00|13,645.00|12,585.00|12,925.00|12,905.00 |-260.00   |-280.00   |3,198     |25,648      |-1,886   |20,636.72    |12,895.00              |
2015-01-05 |CF503        |13,110.00  |13,215.00|13,215.00|12,830.00|12,920.00|13,020.00 |-190.00   |-90.00    |94        |1,094       |16       |611.83       |0.00                   |
2015-01-05 |CF505        |13,310.00  |13,040.00|13,080.00|12,890.00|13,030.00|13,010.00 |-280.00   |-300.00   |247,762   |473,520     |-38,470  |1,611,413.81 |0.00                   |
2015-01-05 |CF507        |13,330.00  |13,205.00|13,205.00|13,040.00|13,130.00|13,155.00 |-200.00   |-175.00   |56        |1,392       |-38      |368.29       |0.00                   |
2015-01-05 |CF509        |13,640.00  |13,370.00|13,430.00|13,230.00|13,375.00|13,350.00 |-265.00   |-290.00   |21,034    |77,714      |-1,746   |140,410.14   |0.00                   |
2015-01-05 |CF511        |13,795.00  |13,550.00|13,580.00|13,465.00|13,560.00|13,535.00 |-235.00   |-260.00   |114       |574         |4        |771.59       |0.00                   |
2015-01-06 |CF501        |12,905.00  |12,910.00|13,000.00|12,910.00|12,980.00|12,990.00 |75.00     |85.00     |1,154     |25,112      |-536     |7,494.59     |12,920.00              |
2015-01-06 |CF503        |13,020.00  |12,930.00|13,010.00|12,925.00|12,990.00|12,975.00 |-30.00    |-45.00    |320       |880         |-214     |2,076.08     |0.00                   |
2015-01-06 |CF505        |13,010.00  |13,020.00|13,150.00|13,015.00|13,110.00|13,090.00 |100.00    |80.00     |174,140   |478,214     |4,694    |1,139,770.33 |0.00                   |
2015-01-06 |CF507        |13,155.00  |13,150.00|13,160.00|13,140.00|13,160.00|13,160.00 |5.00      |5.00      |146       |1,248       |-144     |960.65       |0.00                   |
2015-01-06 |CF509        |13,350.00  |13,365.00|13,480.00|13,355.00|13,445.00|13,420.00 |95.00     |70.00     |15,120    |78,184      |470      |101,468.96   |0.00                   |
2015-01-06 |CF511        |13,535.00  |13,555.00|13,665.00|13,540.00|13,620.00|13,580.00 |85.00     |45.00     |128       |656         |82       |869.12       |0.00                   |
2015-01-07 |CF501        |12,990.00  |13,040.00|13,040.00|12,985.00|13,030.00|13,000.00 |40.00     |10.00     |3,208     |22,498      |-2,614   |20,853.45    |12,945.00              |
2015-01-07 |CF503        |12,975.00  |12,995.00|13,045.00|12,980.00|13,030.00|13,010.00 |55.00     |35.00     |142       |808         |-72      |923.87       |0.00                   |
2015-01-07 |CF505        |13,090.00  |13,120.00|13,210.00|13,050.00|13,070.00|13,130.00 |-20.00    |40.00     |193,080   |474,024     |-4,190   |1,267,357.12 |0.00                   |
2015-01-07 |CF507        |13,160.00  |13,215.00|13,255.00|13,150.00|13,160.00|13,190.00 |0.00      |30.00     |28        |1,244       |-4       |184.65       |0.00                   |
2015-01-07 |CF509        |13,420.00  |13,440.00|13,540.00|13,370.00|13,410.00|13,450.00 |-10.00    |30.00     |25,560    |78,838      |654      |171,871.65   |0.00                   |
2015-01-07 |CF511        |13,580.00  |13,650.00|13,695.00|13,575.00|13,625.00|13,630.00 |45.00     |50.00     |60        |660         |4        |408.88       |0.00                   |
2015-01-08 |CF501        |13,000.00  |12,980.00|13,100.00|12,980.00|13,010.00|13,045.00 |10.00     |45.00     |750       |21,816      |-682     |4,891.08     |12,970.00              |
2015-01-08 |CF503        |13,010.00  |13,050.00|13,100.00|12,980.00|13,035.00|13,060.00 |25.00     |50.00     |14        |814         |6        |91.44        |0.00                   |
2015-01-08 |CF505        |13,130.00  |13,080.00|13,180.00|13,035.00|13,145.00|13,125.00 |15.00     |-5.00     |174,134   |479,466     |5,442    |1,142,867.39 |0.00                   |
2015-01-08 |CF507        |13,190.00  |13,155.00|13,225.00|13,155.00|13,210.00|13,190.00 |20.00     |0.00      |16        |1,244       |0        |105.54       |0.00                   |
2015-01-08 |CF509        |13,450.00  |13,410.00|13,515.00|13,370.00|13,490.00|13,465.00 |40.00     |15.00     |16,354    |81,140      |2,302    |110,118.84   |0.00                   |
2015-01-08 |CF511        |13,630.00  |13,560.00|13,665.00|13,550.00|13,660.00|13,595.00 |30.00     |-35.00    |62        |656         |-4       |421.38       |0.00                   |
2015-01-09 |CF501        |13,045.00  |13,090.00|13,090.00|13,025.00|13,050.00|13,050.00 |5.00      |5.00      |694       |21,070      |-746     |4,527.62     |12,995.00              |
2015-01-09 |CF503        |13,060.00  |13,085.00|13,095.00|13,030.00|13,050.00|13,065.00 |-10.00    |5.00      |18        |822         |8        |117.58       |0.00                   |
2015-01-09 |CF505        |13,125.00  |13,165.00|13,190.00|13,080.00|13,110.00|13,130.00 |-15.00    |5.00      |132,142   |469,210     |-10,256  |867,407.98   |0.00                   |
2015-01-09 |CF507        |13,190.00  |13,230.00|13,230.00|13,180.00|13,180.00|13,200.00 |-10.00    |10.00     |14        |1,242       |-2       |92.42        |0.00                   |
2015-01-09 |CF509        |13,465.00  |13,500.00|13,525.00|13,425.00|13,450.00|13,465.00 |-15.00    |0.00      |9,854     |81,330      |190      |66,348.15    |0.00                   |
2015-01-09 |CF511        |13,595.00  |13,665.00|13,670.00|13,620.00|13,640.00|13,645.00 |45.00     |50.00     |24        |652         |-4       |163.76       |0.00                   |
2015-01-12 |CF501        |13,050.00  |13,080.00|13,140.00|13,030.00|13,030.00|13,090.00 |-20.00    |40.00     |3,126     |18,510      |-2,560   |20,456.02    |13,020.00              |
2015-01-12 |CF503        |13,065.00  |13,095.00|13,135.00|13,050.00|13,090.00|13,095.00 |25.00     |30.00     |100       |892         |70       |654.83       |0.00                   |
2015-01-12 |CF505        |13,130.00  |13,130.00|13,150.00|13,055.00|13,085.00|13,105.00 |-45.00    |-25.00    |143,944   |469,506     |296      |943,140.01   |0.00                   |
2015-01-12 |CF507        |13,200.00  |0.00     |0.00     |0.00     |0.00     |13,180.00 |-20.00    |-20.00    |0         |1,242       |0        |0.00         |0.00                   |
2015-01-12 |CF509        |13,465.00  |13,470.00|13,495.00|13,405.00|13,440.00|13,450.00 |-25.00    |-15.00    |10,630    |80,186      |-1,144   |71,486.97    |0.00                   |
2015-01-12 |CF511        |13,645.00  |13,665.00|13,690.00|13,630.00|13,630.00|13,655.00 |-15.00    |10.00     |14        |652         |0        |95.59        |0.00                   |
2015-01-13 |CF501        |13,090.00  |12,980.00|12,990.00|12,860.00|12,860.00|12,920.00 |-230.00   |-170.00   |1,342     |17,320      |-1,190   |8,670.81     |13,025.00              |
2015-01-13 |CF503        |13,095.00  |12,995.00|12,995.00|12,920.00|12,920.00|12,965.00 |-175.00   |-130.00   |130       |842         |-50      |842.75       |0.00                   |
2015-01-13 |CF505        |13,105.00  |13,050.00|13,080.00|12,905.00|12,910.00|12,980.00 |-195.00   |-125.00   |284,468   |436,884     |-32,622  |1,846,131.73 |0.00                   |
2015-01-13 |CF507        |13,180.00  |13,130.00|13,130.00|13,045.00|13,050.00|13,090.00 |-130.00   |-90.00    |108       |1,236       |-6       |706.74       |0.00                   |
2015-01-13 |CF509        |13,450.00  |13,410.00|13,435.00|13,280.00|13,280.00|13,340.00 |-170.00   |-110.00   |21,526    |80,120      |-66      |143,583.78   |0.00                   |
2015-01-13 |CF511        |13,655.00  |13,590.00|13,615.00|13,545.00|13,545.00|13,580.00 |-110.00   |-75.00    |70        |640         |-12      |475.30       |0.00                   |
2015-01-14 |CF501        |12,920.00  |12,845.00|12,930.00|12,815.00|12,890.00|12,870.00 |-30.00    |-50.00    |1,876     |17,258      |-62      |12,070.31    |13,015.00              |
2015-01-14 |CF503        |12,965.00  |12,910.00|12,950.00|12,910.00|12,950.00|12,930.00 |-15.00    |-35.00    |24        |836         |-6       |155.14       |0.00                   |
2015-01-14 |CF505        |12,980.00  |12,900.00|12,970.00|12,860.00|12,890.00|12,910.00 |-90.00    |-70.00    |199,174   |422,086     |-14,798  |1,285,716.94 |0.00                   |
2015-01-14 |CF507        |13,090.00  |12,985.00|13,070.00|12,975.00|13,070.00|13,010.00 |-20.00    |-80.00    |6         |1,238       |2        |39.03        |0.00                   |
2015-01-14 |CF509        |13,340.00  |13,280.00|13,350.00|13,235.00|13,280.00|13,295.00 |-60.00    |-45.00    |18,918    |80,596      |476      |125,778.54   |0.00                   |
2015-01-14 |CF511        |13,580.00  |13,520.00|13,600.00|13,520.00|13,550.00|13,555.00 |-30.00    |-25.00    |74        |654         |14       |501.63       |0.00                   |
2015-01-15 |CF501        |12,870.00  |12,900.00|12,980.00|12,850.00|12,850.00|12,940.00 |-20.00    |70.00     |452       |16,370      |-888     |2,921.94     |13,000.00              |
