					CZCE History data(2021CF)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice
2021-01-04 |CF101        |15,080.00  |14,920.00|15,300.00|14,920.00|15,300.00|15,190.00 |220.00    |110.00    |16,141    |60,483      |-7,222   |122,602.63   |14,885.00              
2021-01-04 |CF103        |15,035.00  |15,030.00|15,330.00|15,030.00|15,325.00|15,220.00 |290.00    |185.00    |30,887    |17,589      |1,537    |235,018.33   |                       
2021-01-04 |CF105        |15,085.00  |15,080.00|15,380.00|15,075.00|15,375.00|15,260.00 |290.00    |175.00    |387,284   |570,538     |73,978   |2,954,915.26 |                       
2021-01-04 |CF107        |15,125.00  |15,135.00|15,380.00|15,135.00|15,380.00|15,290.00 |255.00    |165.00    |155       |5,505       |-45      |1,185.01     |                       
2021-01-04 |CF109        |15,225.00  |15,255.00|15,520.00|15,250.00|15,520.00|15,405.00 |295.00    |180.00    |13,042    |51,271      |1,606    |100,454.61   |                       
2021-01-04 |CF111        |15,415.00  |15,500.00|15,705.00|15,500.00|15,705.00|15,625.00 |290.00    |210.00    |13        |165         |5        |101.57       |                       
2021-01-05 |CF101        |15,190.00  |15,290.00|15,430.00|15,195.00|15,280.00|15,310.00 |90.00     |120.00    |9,092     |53,039      |-7,444   |69,599.14    |14,930.00              
2021-01-05 |CF103        |15,220.00  |15,325.00|15,435.00|15,160.00|15,230.00|15,310.00 |10.00     |90.00     |38,689    |17,715      |126      |296,127.64   |                       
2021-01-05 |CF105        |15,260.00  |15,350.00|15,485.00|15,215.00|15,300.00|15,370.00 |40.00     |110.00    |437,951   |592,912     |22,374   |3,365,968.53 |                       
2021-01-05 |CF107        |15,290.00  |15,380.00|15,515.00|15,305.00|15,365.00|15,410.00 |75.00     |120.00    |122       |5,527       |22       |939.91       |                       
2021-01-05 |CF109        |15,405.00  |15,495.00|15,655.00|15,370.00|15,485.00|15,545.00 |80.00     |140.00    |20,001    |53,729      |2,458    |155,438.98   |                       
2021-01-05 |CF111        |15,625.00  |15,780.00|15,840.00|15,645.00|15,710.00|15,760.00 |85.00     |135.00    |18        |169         |4        |141.82       |                       
2021-01-06 |CF101        |15,310.00  |15,260.00|15,425.00|15,260.00|15,410.00|15,350.00 |100.00    |40.00     |9,201     |46,118      |-6,921   |70,396.68    |14,995.00              
2021-01-06 |CF103        |15,310.00  |15,270.00|15,405.00|15,200.00|15,380.00|15,300.00 |70.00     |-10.00    |34,634    |18,323      |608      |264,963.94   |                       
2021-01-06 |CF105        |15,370.00  |15,325.00|15,465.00|15,250.00|15,430.00|15,360.00 |60.00     |-10.00    |373,578   |596,015     |3,103    |2,868,651.65 |                       
2021-01-06 |CF107        |15,410.00  |15,370.00|15,495.00|15,295.00|15,445.00|15,390.00 |35.00     |-20.00    |800       |6,228       |701      |6,156.27     |                       
2021-01-06 |CF109        |15,545.00  |15,525.00|15,645.00|15,430.00|15,610.00|15,540.00 |65.00     |-5.00     |18,170    |56,976      |3,247    |141,182.83   |                       
2021-01-06 |CF111        |15,760.00  |15,770.00|15,840.00|15,725.00|15,750.00|15,750.00 |-10.00    |-10.00    |617       |775         |606      |4,859.09     |                       
2021-01-07 |CF101        |15,350.00  |15,460.00|15,530.00|15,350.00|15,470.00|15,455.00 |120.00    |105.00    |12,433    |35,767      |-10,351  |96,018.48    |15,080.00              
2021-01-07 |CF103        |15,300.00  |15,425.00|15,545.00|15,325.00|15,510.00|15,445.00 |210.00    |145.00    |28,764    |18,650      |327      |222,106.74   |                       
2021-01-07 |CF105        |15,360.00  |15,440.00|15,580.00|15,345.00|15,535.00|15,485.00 |175.00    |125.00    |533,876   |631,053     |35,038   |4,133,109.77 |                       
2021-01-07 |CF107        |15,390.00  |15,495.00|15,600.00|15,390.00|15,560.00|15,480.00 |170.00    |90.00     |256       |6,229       |1        |1,981.71     |                       
2021-01-07 |CF109        |15,540.00  |15,625.00|15,750.00|15,520.00|15,695.00|15,650.00 |155.00    |110.00    |19,260    |58,741      |1,765    |150,718.58   |                       
2021-01-07 |CF111        |15,750.00  |15,940.00|15,950.00|15,795.00|15,875.00|15,875.00 |125.00    |125.00    |170       |931         |156      |1,349.28     |                       
2021-01-08 |CF101        |15,455.00  |15,455.00|15,530.00|15,270.00|15,350.00|15,400.00 |-105.00   |-55.00    |8,688     |28,367      |-7,400   |66,824.35    |15,145.00              
2021-01-08 |CF103        |15,445.00  |15,480.00|15,570.00|15,265.00|15,370.00|15,435.00 |-75.00    |-10.00    |23,492    |19,058      |408      |181,312.14   |                       
