					ZCE Futures Historical Data(2025CF)
Date       |Contract Code|Pre Settle|Open     |High     |Low      |Close    |Settle|Chg 1   |Chg 2   |Volume (lot)|O.I.|OI Change|Turnover (RMB 10,000)|Final Settle
2025-01-02 |CF501        |13,460.00  |13,410.00|13,520.00|13,410.00|13,495.00|13,475.00 |35.00     |15.00     |2,637     |65,628      |-1,950   |17,767.86    |13,405.00              
2025-01-02 |CF503        |13,455.00  |13,450.00|13,510.00|13,415.00|13,490.00|13,480.00 |35.00     |25.00     |15,743    |25,605      |631      |106,092.30   |                       
2025-01-02 |CF505        |13,505.00  |13,485.00|13,555.00|13,455.00|13,535.00|13,520.00 |30.00     |15.00     |140,235   |648,164     |1,703    |947,939.53   |                       
2025-01-02 |CF507        |13,555.00  |13,525.00|13,600.00|13,510.00|13,580.00|13,565.00 |25.00     |10.00     |291       |3,477       |-37      |1,973.84     |                       
2025-01-02 |CF509        |13,660.00  |13,650.00|13,715.00|13,615.00|13,685.00|13,680.00 |25.00     |20.00     |9,607     |47,885      |-259     |65,701.00    |                       
2025-01-02 |CF511        |13,790.00  |13,755.00|13,835.00|13,755.00|13,815.00|13,805.00 |25.00     |15.00     |59        |463         |-16      |407.24       |                       
2025-01-03 |CF501        |13,475.00  |13,505.00|13,575.00|13,385.00|13,390.00|13,465.00 |-85.00    |-10.00    |3,142     |63,271      |-2,357   |21,154.83    |13,420.00              
2025-01-03 |CF503        |13,480.00  |13,490.00|13,555.00|13,345.00|13,350.00|13,425.00 |-130.00   |-55.00    |30,902    |26,063      |458      |207,463.13   |                       
2025-01-03 |CF505        |13,520.00  |13,560.00|13,600.00|13,400.00|13,405.00|13,485.00 |-115.00   |-35.00    |281,386   |649,378     |1,214    |1,897,072.62 |                       
2025-01-03 |CF507        |13,565.00  |13,590.00|13,640.00|13,455.00|13,455.00|13,510.00 |-110.00   |-55.00    |865       |3,538       |61       |5,842.20     |                       
2025-01-03 |CF509        |13,680.00  |13,710.00|13,755.00|13,560.00|13,570.00|13,620.00 |-110.00   |-60.00    |21,841    |47,578      |-307     |148,760.39   |                       
2025-01-03 |CF511        |13,805.00  |13,860.00|13,870.00|13,700.00|13,710.00|13,780.00 |-95.00    |-25.00    |261       |462         |-1       |1,798.09     |                       
2025-01-06 |CF501        |13,465.00  |13,325.00|13,425.00|13,325.00|13,335.00|13,365.00 |-130.00   |-100.00   |17,089    |46,619      |-16,652  |114,197.52   |13,425.00              
2025-01-06 |CF503        |13,425.00  |13,355.00|13,395.00|13,270.00|13,290.00|13,330.00 |-135.00   |-95.00    |24,843    |28,633      |2,570    |165,567.41   |                       
2025-01-06 |CF505        |13,485.00  |13,400.00|13,445.00|13,330.00|13,345.00|13,385.00 |-140.00   |-100.00   |246,382   |664,200     |14,822   |1,648,966.55 |                       
2025-01-06 |CF507        |13,510.00  |13,440.00|13,485.00|13,380.00|13,395.00|13,430.00 |-115.00   |-80.00    |630       |3,824       |286      |4,231.09     |                       
2025-01-06 |CF509        |13,620.00  |13,585.00|13,605.00|13,500.00|13,515.00|13,550.00 |-105.00   |-70.00    |17,960    |48,478      |900      |121,666.80   |                       
2025-01-06 |CF511        |13,780.00  |13,705.00|13,740.00|13,640.00|13,655.00|13,685.00 |-125.00   |-95.00    |85        |495         |33       |581.69       |                       
