					CZCE History data(2019RI)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice|
2019-01-02 |RI901        |2,198.00   |0.00     |0.00     |0.00     |0.00     |2,198.00  |0.00      |0.00      |0         |0           |0        |0.00         |2,198.00               |
2019-01-02 |RI903        |2,427.00   |0.00     |0.00     |0.00     |0.00     |2,427.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-02 |RI905        |2,310.00   |0.00     |0.00     |0.00     |0.00     |2,310.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-02 |RI907        |2,473.00   |0.00     |0.00     |0.00     |0.00     |2,473.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-02 |RI909        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |2           |0        |0.00         |0.00                   |
2019-01-02 |RI911        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-03 |RI901        |2,198.00   |0.00     |0.00     |0.00     |0.00     |2,198.00  |0.00      |0.00      |0         |0           |0        |0.00         |2,198.00               |
2019-01-03 |RI903        |2,427.00   |0.00     |0.00     |0.00     |0.00     |2,427.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-03 |RI905        |2,310.00   |0.00     |0.00     |0.00     |0.00     |2,310.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-03 |RI907        |2,473.00   |0.00     |0.00     |0.00     |0.00     |2,473.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-03 |RI909        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |2           |0        |0.00         |0.00                   |
2019-01-03 |RI911        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-04 |RI901        |2,198.00   |0.00     |0.00     |0.00     |0.00     |2,198.00  |0.00      |0.00      |0         |0           |0        |0.00         |2,198.00               |
2019-01-04 |RI903        |2,427.00   |0.00     |0.00     |0.00     |0.00     |2,427.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-04 |RI905        |2,310.00   |0.00     |0.00     |0.00     |0.00     |2,310.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-04 |RI907        |2,473.00   |0.00     |0.00     |0.00     |0.00     |2,473.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-04 |RI909        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |2           |0        |0.00         |0.00                   |
2019-01-04 |RI911        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-07 |RI901        |2,198.00   |0.00     |0.00     |0.00     |0.00     |2,198.00  |0.00      |0.00      |0         |0           |0        |0.00         |2,198.00               |
2019-01-07 |RI903        |2,427.00   |0.00     |0.00     |0.00     |0.00     |2,427.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-07 |RI905        |2,310.00   |0.00     |0.00     |0.00     |0.00     |2,310.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-07 |RI907        |2,473.00   |0.00     |0.00     |0.00     |0.00     |2,473.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-07 |RI909        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |2           |0        |0.00         |0.00                   |
2019-01-07 |RI911        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-08 |RI901        |2,198.00   |0.00     |0.00     |0.00     |0.00     |2,198.00  |0.00      |0.00      |0         |0           |0        |0.00         |2,198.00               |
2019-01-08 |RI903        |2,427.00   |0.00     |0.00     |0.00     |0.00     |2,427.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-08 |RI905        |2,310.00   |0.00     |0.00     |0.00     |0.00     |2,310.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-08 |RI907        |2,473.00   |0.00     |0.00     |0.00     |0.00     |2,473.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-08 |RI909        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |2           |0        |0.00         |0.00                   |
2019-01-08 |RI911        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-09 |RI901        |2,198.00   |0.00     |0.00     |0.00     |0.00     |2,198.00  |0.00      |0.00      |0         |0           |0        |0.00         |2,198.00               |
2019-01-09 |RI903        |2,427.00   |0.00     |0.00     |0.00     |0.00     |2,427.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-09 |RI905        |2,310.00   |0.00     |0.00     |0.00     |0.00     |2,310.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-09 |RI907        |2,473.00   |0.00     |0.00     |0.00     |0.00     |2,473.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-09 |RI909        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |2           |0        |0.00         |0.00                   |
2019-01-09 |RI911        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-10 |RI901        |2,198.00   |0.00     |0.00     |0.00     |0.00     |2,198.00  |0.00      |0.00      |0         |0           |0        |0.00         |2,198.00               |
2019-01-10 |RI903        |2,427.00   |0.00     |0.00     |0.00     |0.00     |2,427.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-10 |RI905        |2,310.00   |0.00     |0.00     |0.00     |0.00     |2,310.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-10 |RI907        |2,473.00   |0.00     |0.00     |0.00     |0.00     |2,473.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-10 |RI909        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |2           |0        |0.00         |0.00                   |
2019-01-10 |RI911        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-11 |RI901        |2,198.00   |0.00     |0.00     |0.00     |0.00     |2,198.00  |0.00      |0.00      |0         |0           |0        |0.00         |2,198.00               |
2019-01-11 |RI903        |2,427.00   |0.00     |0.00     |0.00     |0.00     |2,427.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-11 |RI905        |2,310.00   |0.00     |0.00     |0.00     |0.00     |2,310.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-11 |RI907        |2,473.00   |0.00     |0.00     |0.00     |0.00     |2,473.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-11 |RI909        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |2           |0        |0.00         |0.00                   |
2019-01-11 |RI911        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-14 |RI901        |2,198.00   |0.00     |0.00     |0.00     |0.00     |2,198.00  |0.00      |0.00      |0         |0           |0        |0.00         |2,198.00               |
2019-01-14 |RI903        |2,427.00   |0.00     |0.00     |0.00     |0.00     |2,427.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-14 |RI905        |2,310.00   |0.00     |0.00     |0.00     |0.00     |2,310.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-14 |RI907        |2,473.00   |0.00     |0.00     |0.00     |0.00     |2,473.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-14 |RI909        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |2           |0        |0.00         |0.00                   |
2019-01-14 |RI911        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-15 |RI901        |2,198.00   |0.00     |0.00     |0.00     |0.00     |2,198.00  |0.00      |0.00      |0         |0           |0        |0.00         |2,198.00               |
2019-01-15 |RI903        |2,427.00   |0.00     |0.00     |0.00     |0.00     |2,427.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-15 |RI905        |2,310.00   |0.00     |0.00     |0.00     |0.00     |2,310.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-15 |RI907        |2,473.00   |0.00     |0.00     |0.00     |0.00     |2,473.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-15 |RI909        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |2           |0        |0.00         |0.00                   |
2019-01-15 |RI911        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-16 |RI001        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-16 |RI903        |2,427.00   |0.00     |0.00     |0.00     |0.00     |2,427.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-16 |RI905        |2,310.00   |0.00     |0.00     |0.00     |0.00     |2,310.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-16 |RI907        |2,473.00   |0.00     |0.00     |0.00     |0.00     |2,473.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-16 |RI909        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |2           |0        |0.00         |0.00                   |
2019-01-16 |RI911        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-17 |RI001        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-17 |RI903        |2,427.00   |0.00     |0.00     |0.00     |0.00     |2,427.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-17 |RI905        |2,310.00   |0.00     |0.00     |0.00     |0.00     |2,310.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-17 |RI907        |2,473.00   |0.00     |0.00     |0.00     |0.00     |2,473.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-17 |RI909        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |2           |0        |0.00         |0.00                   |
2019-01-17 |RI911        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-18 |RI001        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-18 |RI903        |2,427.00   |0.00     |0.00     |0.00     |0.00     |2,427.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-18 |RI905        |2,310.00   |0.00     |0.00     |0.00     |0.00     |2,310.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-18 |RI907        |2,473.00   |0.00     |0.00     |0.00     |0.00     |2,473.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-18 |RI909        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |2           |0        |0.00         |0.00                   |
2019-01-18 |RI911        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-21 |RI001        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-21 |RI903        |2,427.00   |0.00     |0.00     |0.00     |0.00     |2,427.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-21 |RI905        |2,310.00   |0.00     |0.00     |0.00     |0.00     |2,310.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-21 |RI907        |2,473.00   |0.00     |0.00     |0.00     |0.00     |2,473.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-21 |RI909        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |2           |0        |0.00         |0.00                   |
2019-01-21 |RI911        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-22 |RI001        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-22 |RI903        |2,427.00   |0.00     |0.00     |0.00     |0.00     |2,427.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-22 |RI905        |2,310.00   |0.00     |0.00     |0.00     |0.00     |2,310.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-22 |RI907        |2,473.00   |0.00     |0.00     |0.00     |0.00     |2,473.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-22 |RI909        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |2           |0        |0.00         |0.00                   |
2019-01-22 |RI911        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-23 |RI001        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-23 |RI903        |2,427.00   |0.00     |0.00     |0.00     |0.00     |2,427.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-23 |RI905        |2,310.00   |0.00     |0.00     |0.00     |0.00     |2,310.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-23 |RI907        |2,473.00   |0.00     |0.00     |0.00     |0.00     |2,473.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-23 |RI909        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |2           |0        |0.00         |0.00                   |
2019-01-23 |RI911        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-24 |RI001        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-24 |RI903        |2,427.00   |0.00     |0.00     |0.00     |0.00     |2,427.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-24 |RI905        |2,310.00   |0.00     |0.00     |0.00     |0.00     |2,310.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-24 |RI907        |2,473.00   |0.00     |0.00     |0.00     |0.00     |2,473.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-24 |RI909        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |2           |0        |0.00         |0.00                   |
2019-01-24 |RI911        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,430.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-25 |RI001        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,400.00  |-30.00    |-30.00    |0         |0           |0        |0.00         |0.00                   |
2019-01-25 |RI903        |2,427.00   |0.00     |0.00     |0.00     |0.00     |2,397.00  |-30.00    |-30.00    |0         |0           |0        |0.00         |0.00                   |
2019-01-25 |RI905        |2,310.00   |0.00     |0.00     |0.00     |0.00     |2,281.00  |-29.00    |-29.00    |0         |0           |0        |0.00         |0.00                   |
2019-01-25 |RI907        |2,473.00   |0.00     |0.00     |0.00     |0.00     |2,442.00  |-31.00    |-31.00    |0         |0           |0        |0.00         |0.00                   |
2019-01-25 |RI909        |2,430.00   |2,390.00 |2,411.00 |2,390.00 |2,411.00 |2,400.00  |-19.00    |-30.00    |28        |20          |18       |134.38       |0.00                   |
2019-01-25 |RI911        |2,430.00   |0.00     |0.00     |0.00     |0.00     |2,400.00  |-30.00    |-30.00    |0         |0           |0        |0.00         |0.00                   |
2019-01-28 |RI001        |2,400.00   |0.00     |0.00     |0.00     |0.00     |2,400.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-28 |RI903        |2,397.00   |0.00     |0.00     |0.00     |0.00     |2,397.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-28 |RI905        |2,281.00   |0.00     |0.00     |0.00     |0.00     |2,281.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-28 |RI907        |2,442.00   |0.00     |0.00     |0.00     |0.00     |2,442.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-28 |RI909        |2,400.00   |0.00     |0.00     |0.00     |0.00     |2,400.00  |0.00      |0.00      |0         |20          |0        |0.00         |0.00                   |
2019-01-28 |RI911        |2,400.00   |0.00     |0.00     |0.00     |0.00     |2,400.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-29 |RI001        |2,400.00   |0.00     |0.00     |0.00     |0.00     |2,400.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-29 |RI903        |2,397.00   |0.00     |0.00     |0.00     |0.00     |2,397.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-29 |RI905        |2,281.00   |0.00     |0.00     |0.00     |0.00     |2,281.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-29 |RI907        |2,442.00   |0.00     |0.00     |0.00     |0.00     |2,442.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-29 |RI909        |2,400.00   |0.00     |0.00     |0.00     |0.00     |2,400.00  |0.00      |0.00      |0         |20          |0        |0.00         |0.00                   |
2019-01-29 |RI911        |2,400.00   |0.00     |0.00     |0.00     |0.00     |2,400.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-30 |RI001        |2,400.00   |0.00     |0.00     |0.00     |0.00     |2,400.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-30 |RI903        |2,397.00   |0.00     |0.00     |0.00     |0.00     |2,397.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-30 |RI905        |2,281.00   |0.00     |0.00     |0.00     |0.00     |2,281.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-30 |RI907        |2,442.00   |0.00     |0.00     |0.00     |0.00     |2,442.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-30 |RI909        |2,400.00   |0.00     |0.00     |0.00     |0.00     |2,400.00  |0.00      |0.00      |0         |20          |0        |0.00         |0.00                   |
2019-01-30 |RI911        |2,400.00   |0.00     |0.00     |0.00     |0.00     |2,400.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-31 |RI001        |2,400.00   |0.00     |0.00     |0.00     |0.00     |2,400.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-31 |RI903        |2,397.00   |0.00     |0.00     |0.00     |0.00     |2,397.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-31 |RI905        |2,281.00   |0.00     |0.00     |0.00     |0.00     |2,281.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-31 |RI907        |2,442.00   |0.00     |0.00     |0.00     |0.00     |2,442.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-31 |RI909        |2,400.00   |0.00     |0.00     |0.00     |0.00     |2,400.00  |0.00      |0.00      |0         |20          |0        |0.00         |0.00                   |
2019-01-31 |RI911        |2,400.00   |0.00     |0.00     |0.00     |0.00     |2,400.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
