					CZCE History data(2021RI)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice
2021-01-04 |RI101        |2,656.00   |0.00     |0.00     |0.00     |0.00     |2,656.00  |0.00      |0.00      |0         |0           |0        |0.00         |2,656.00               
2021-01-04 |RI103        |2,674.00   |0.00     |0.00     |0.00     |0.00     |2,674.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-04 |RI105        |2,762.00   |0.00     |0.00     |0.00     |0.00     |2,762.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-04 |RI107        |2,674.00   |0.00     |0.00     |0.00     |0.00     |2,674.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-04 |RI109        |2,801.00   |0.00     |0.00     |0.00     |0.00     |2,801.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-04 |RI111        |2,801.00   |0.00     |0.00     |0.00     |0.00     |2,801.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-05 |RI101        |2,656.00   |0.00     |0.00     |0.00     |0.00     |2,656.00  |0.00      |0.00      |0         |0           |0        |0.00         |2,656.00               
2021-01-05 |RI103        |2,674.00   |0.00     |0.00     |0.00     |0.00     |2,674.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-05 |RI105        |2,762.00   |0.00     |0.00     |0.00     |0.00     |2,762.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-05 |RI107        |2,674.00   |0.00     |0.00     |0.00     |0.00     |2,674.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-05 |RI109        |2,801.00   |0.00     |0.00     |0.00     |0.00     |2,801.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-05 |RI111        |2,801.00   |0.00     |0.00     |0.00     |0.00     |2,801.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-06 |RI101        |2,656.00   |0.00     |0.00     |0.00     |0.00     |2,656.00  |0.00      |0.00      |0         |0           |0        |0.00         |2,656.00               
2021-01-06 |RI103        |2,674.00   |0.00     |0.00     |0.00     |0.00     |2,674.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-06 |RI105        |2,762.00   |0.00     |0.00     |0.00     |0.00     |2,762.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-06 |RI107        |2,674.00   |0.00     |0.00     |0.00     |0.00     |2,674.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-06 |RI109        |2,801.00   |0.00     |0.00     |0.00     |0.00     |2,801.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-06 |RI111        |2,801.00   |0.00     |0.00     |0.00     |0.00     |2,801.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-07 |RI101        |2,656.00   |0.00     |0.00     |0.00     |0.00     |2,656.00  |0.00      |0.00      |0         |0           |0        |0.00         |2,656.00               
2021-01-07 |RI103        |2,674.00   |0.00     |0.00     |0.00     |0.00     |2,674.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-07 |RI105        |2,762.00   |0.00     |0.00     |0.00     |0.00     |2,762.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-07 |RI107        |2,674.00   |0.00     |0.00     |0.00     |0.00     |2,674.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-07 |RI109        |2,801.00   |0.00     |0.00     |0.00     |0.00     |2,801.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-07 |RI111        |2,801.00   |0.00     |0.00     |0.00     |0.00     |2,801.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-08 |RI101        |2,656.00   |0.00     |0.00     |0.00     |0.00     |2,565.00  |-91.00    |-91.00    |0         |0           |0        |0.00         |2,647.00               
2021-01-08 |RI103        |2,674.00   |0.00     |0.00     |0.00     |0.00     |2,582.00  |-92.00    |-92.00    |0         |0           |0        |0.00         |                       
2021-01-08 |RI105        |2,762.00   |0.00     |0.00     |0.00     |0.00     |2,667.00  |-95.00    |-95.00    |0         |0           |0        |0.00         |                       
2021-01-08 |RI107        |2,674.00   |0.00     |0.00     |0.00     |0.00     |2,582.00  |-92.00    |-92.00    |0         |0           |0        |0.00         |                       
2021-01-08 |RI109        |2,801.00   |0.00     |0.00     |0.00     |0.00     |2,705.00  |-96.00    |-96.00    |0         |0           |0        |0.00         |                       
2021-01-08 |RI111        |2,801.00   |2,601.00 |2,809.00 |2,601.00 |2,809.00 |2,705.00  |8.00      |-96.00    |2         |0           |0        |10.82        |                       
2021-01-11 |RI101        |2,565.00   |0.00     |0.00     |0.00     |0.00     |2,565.00  |0.00      |0.00      |0         |0           |0        |0.00         |2,638.00               
2021-01-11 |RI103        |2,582.00   |0.00     |0.00     |0.00     |0.00     |2,582.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-11 |RI105        |2,667.00   |0.00     |0.00     |0.00     |0.00     |2,667.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-11 |RI107        |2,582.00   |0.00     |0.00     |0.00     |0.00     |2,582.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-11 |RI109        |2,705.00   |0.00     |0.00     |0.00     |0.00     |2,705.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-11 |RI111        |2,705.00   |0.00     |0.00     |0.00     |0.00     |2,705.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-12 |RI101        |2,565.00   |0.00     |0.00     |0.00     |0.00     |2,565.00  |0.00      |0.00      |0         |0           |0        |0.00         |2,629.00               
2021-01-12 |RI103        |2,582.00   |0.00     |0.00     |0.00     |0.00     |2,582.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-12 |RI105        |2,667.00   |0.00     |0.00     |0.00     |0.00     |2,667.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-12 |RI107        |2,582.00   |0.00     |0.00     |0.00     |0.00     |2,582.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-12 |RI109        |2,705.00   |0.00     |0.00     |0.00     |0.00     |2,705.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-12 |RI111        |2,705.00   |0.00     |0.00     |0.00     |0.00     |2,705.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-13 |RI101        |2,565.00   |0.00     |0.00     |0.00     |0.00     |2,565.00  |0.00      |0.00      |0         |0           |0        |0.00         |2,620.00               
2021-01-13 |RI103        |2,582.00   |0.00     |0.00     |0.00     |0.00     |2,582.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-13 |RI105        |2,667.00   |0.00     |0.00     |0.00     |0.00     |2,667.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-13 |RI107        |2,582.00   |0.00     |0.00     |0.00     |0.00     |2,582.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-13 |RI109        |2,705.00   |0.00     |0.00     |0.00     |0.00     |2,705.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-13 |RI111        |2,705.00   |0.00     |0.00     |0.00     |0.00     |2,705.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-14 |RI101        |2,565.00   |0.00     |0.00     |0.00     |0.00     |2,565.00  |0.00      |0.00      |0         |0           |0        |0.00         |2,611.00               
2021-01-14 |RI103        |2,582.00   |0.00     |0.00     |0.00     |0.00     |2,582.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-14 |RI105        |2,667.00   |0.00     |0.00     |0.00     |0.00     |2,667.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-14 |RI107        |2,582.00   |0.00     |0.00     |0.00     |0.00     |2,582.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-14 |RI109        |2,705.00   |0.00     |0.00     |0.00     |0.00     |2,705.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-14 |RI111        |2,705.00   |0.00     |0.00     |0.00     |0.00     |2,705.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
