					CZCE History data(2016SF)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice|
2016-01-04 |SF601        |3,684.00   |3,780.00 |3,832.00 |3,780.00 |3,832.00 |3,816.00  |148.00    |132.00    |6         |0           |-6       |11.44        |3,670.00               |
2016-01-04 |SF602        |3,594.00   |0.00     |0.00     |0.00     |0.00     |3,724.00  |130.00    |130.00    |0         |0           |0        |0.00         |0.00                   |
2016-01-04 |SF603        |3,664.00   |0.00     |0.00     |0.00     |0.00     |3,796.00  |132.00    |132.00    |0         |0           |0        |0.00         |0.00                   |
2016-01-04 |SF604        |3,600.00   |0.00     |0.00     |0.00     |0.00     |3,730.00  |130.00    |130.00    |0         |0           |0        |0.00         |0.00                   |
2016-01-04 |SF605        |3,728.00   |3,628.00 |3,728.00 |3,626.00 |3,704.00 |3,692.00  |-24.00    |-36.00    |42        |114         |12       |77.51        |0.00                   |
2016-01-04 |SF606        |3,720.00   |0.00     |0.00     |0.00     |0.00     |3,684.00  |-36.00    |-36.00    |0         |0           |0        |0.00         |0.00                   |
2016-01-04 |SF607        |3,498.00   |0.00     |0.00     |0.00     |0.00     |3,464.00  |-34.00    |-34.00    |0         |0           |0        |0.00         |0.00                   |
2016-01-04 |SF608        |3,498.00   |0.00     |0.00     |0.00     |0.00     |3,464.00  |-34.00    |-34.00    |0         |0           |0        |0.00         |0.00                   |
2016-01-04 |SF609        |3,498.00   |0.00     |0.00     |0.00     |0.00     |3,464.00  |-34.00    |-34.00    |0         |0           |0        |0.00         |0.00                   |
2016-01-04 |SF610        |3,474.00   |0.00     |0.00     |0.00     |0.00     |3,440.00  |-34.00    |-34.00    |0         |0           |0        |0.00         |0.00                   |
2016-01-04 |SF611        |3,738.00   |0.00     |0.00     |0.00     |0.00     |3,702.00  |-36.00    |-36.00    |0         |0           |0        |0.00         |0.00                   |
2016-01-04 |SF612        |3,738.00   |0.00     |0.00     |0.00     |0.00     |3,702.00  |-36.00    |-36.00    |0         |0           |0        |0.00         |0.00                   |
