					CZCE History data(2022SF)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice
2022-01-04 |SF201        |8,268.00   |8,400.00 |8,450.00 |8,102.00 |8,146.00 |8,222.00  |-122.00   |-46.00    |728       |3,653       |-605     |2,992.48     |8,356.00               
2022-01-04 |SF202        |8,262.00   |8,270.00 |8,368.00 |8,112.00 |8,150.00 |8,190.00  |-112.00   |-72.00    |2,816     |10,879      |-735     |11,529.91    |                       
2022-01-04 |SF203        |8,408.00   |8,400.00 |8,406.00 |8,256.00 |8,286.00 |8,322.00  |-122.00   |-86.00    |23,702    |26,429      |2,216    |98,608.49    |                       
2022-01-04 |SF204        |8,390.00   |8,380.00 |8,396.00 |8,238.00 |8,282.00 |8,310.00  |-108.00   |-80.00    |13,167    |7,530       |3,412    |54,706.21    |                       
2022-01-04 |SF205        |8,388.00   |8,386.00 |8,388.00 |8,230.00 |8,266.00 |8,302.00  |-122.00   |-86.00    |127,828   |81,186      |6,585    |530,596.64   |                       
2022-01-04 |SF206        |8,376.00   |8,310.00 |8,350.00 |8,214.00 |8,254.00 |8,262.00  |-122.00   |-114.00   |1,071     |1,704       |824      |4,424.02     |                       
2022-01-04 |SF207        |8,366.00   |8,282.00 |8,282.00 |8,224.00 |8,244.00 |8,250.00  |-122.00   |-116.00   |24        |2,466       |-7       |98.99        |                       
2022-01-04 |SF208        |8,344.00   |0.00     |0.00     |0.00     |0.00     |8,230.00  |-114.00   |-114.00   |0         |1,813       |0        |0.00         |                       
2022-01-04 |SF209        |8,268.00   |8,218.00 |8,260.00 |8,136.00 |8,158.00 |8,192.00  |-110.00   |-76.00    |739       |2,861       |144      |3,026.52     |                       
2022-01-04 |SF210        |8,236.00   |0.00     |0.00     |0.00     |0.00     |8,176.00  |-60.00    |-60.00    |0         |578         |0        |0.00         |                       
2022-01-04 |SF211        |8,230.00   |8,188.00 |8,256.00 |8,130.00 |8,178.00 |8,172.00  |-52.00    |-58.00    |13        |1,158       |0        |53.11        |                       
2022-01-04 |SF212        |8,248.00   |0.00     |0.00     |0.00     |0.00     |8,218.00  |-30.00    |-30.00    |0         |3           |0        |0.00         |                       
2022-01-05 |SF201        |8,222.00   |8,102.00 |8,234.00 |8,102.00 |8,160.00 |8,164.00  |-62.00    |-58.00    |480       |3,244       |-409     |1,961.11     |8,316.00               
2022-01-05 |SF202        |8,190.00   |8,120.00 |8,232.00 |8,116.00 |8,156.00 |8,180.00  |-34.00    |-10.00    |2,767     |9,753       |-1,126   |11,316.68    |                       
2022-01-05 |SF203        |8,322.00   |8,288.00 |8,400.00 |8,270.00 |8,282.00 |8,342.00  |-40.00    |20.00     |21,755    |27,701      |1,272    |90,735.91    |                       
2022-01-05 |SF204        |8,310.00   |8,300.00 |8,392.00 |8,264.00 |8,272.00 |8,336.00  |-38.00    |26.00     |10,895    |10,140      |2,610    |45,405.71    |                       
2022-01-05 |SF205        |8,302.00   |8,266.00 |8,384.00 |8,250.00 |8,264.00 |8,326.00  |-38.00    |24.00     |124,040   |83,794      |2,608    |516,321.13   |                       
2022-01-05 |SF206        |8,262.00   |8,184.00 |8,332.00 |8,184.00 |8,222.00 |8,262.00  |-40.00    |0.00      |2,691     |3,435       |1,731    |11,115.00    |                       
2022-01-05 |SF207        |8,250.00   |8,300.00 |8,310.00 |8,252.00 |8,252.00 |8,286.00  |2.00      |36.00     |22        |2,463       |-3       |91.13        |                       
2022-01-05 |SF208        |8,230.00   |8,308.00 |8,308.00 |8,238.00 |8,238.00 |8,300.00  |8.00      |70.00     |9         |1,808       |-5       |37.35        |                       
2022-01-05 |SF209        |8,192.00   |8,182.00 |8,268.00 |8,148.00 |8,156.00 |8,206.00  |-36.00    |14.00     |562       |2,951       |90       |2,305.91     |                       
2022-01-05 |SF210        |8,176.00   |0.00     |0.00     |0.00     |0.00     |8,168.00  |-8.00     |-8.00     |0         |578         |0        |0.00         |                       
2022-01-05 |SF211        |8,172.00   |8,246.00 |8,270.00 |8,180.00 |8,180.00 |8,216.00  |8.00      |44.00     |10        |1,163       |5        |41.08        |                       
2022-01-05 |SF212        |8,218.00   |8,190.00 |8,240.00 |8,174.00 |8,184.00 |8,200.00  |-34.00    |-18.00    |8         |8           |5        |32.80        |                       
2022-01-06 |SF201        |8,164.00   |8,242.00 |8,300.00 |8,242.00 |8,250.00 |8,272.00  |86.00     |108.00    |156       |3,138       |-106     |645.16       |8,304.00               
2022-01-06 |SF202        |8,180.00   |8,126.00 |8,298.00 |8,126.00 |8,256.00 |8,244.00  |76.00     |64.00     |1,851     |8,577       |-1,176   |7,629.20     |                       
2022-01-06 |SF203        |8,342.00   |8,298.00 |8,452.00 |8,270.00 |8,386.00 |8,384.00  |44.00     |42.00     |27,683    |28,698      |997      |116,043.26   |                       
2022-01-06 |SF204        |8,336.00   |8,270.00 |8,446.00 |8,260.00 |8,382.00 |8,380.00  |46.00     |44.00     |15,609    |12,860      |2,720    |65,392.97    |                       
2022-01-06 |SF205        |8,326.00   |8,264.00 |8,438.00 |8,250.00 |8,374.00 |8,364.00  |48.00     |38.00     |153,223   |83,983      |189      |640,672.51   |                       
2022-01-06 |SF206        |8,262.00   |8,272.00 |8,394.00 |8,220.00 |8,338.00 |8,320.00  |76.00     |58.00     |3,853     |5,129       |1,694    |16,028.15    |                       
2022-01-06 |SF207        |8,286.00   |8,312.00 |8,312.00 |8,312.00 |8,312.00 |8,312.00  |26.00     |26.00     |1         |2,464       |1        |4.16         |                       
