					ZCE Futures Historical Data(2024SF)
Date       |Contract Code|Pre Settle|Open     |High     |Low      |Close    |Settle|Chg 1   |Chg 2   |Volume (lot)|O.I.|OI Change|Turnover (RMB 10,000)|Final Settle
2024-01-02 |SF401        |6,682.00   |6,700.00 |6,700.00 |6,632.00 |6,700.00 |6,696.00  |18.00     |14.00     |55        |7,334       |-55      |184.12       |6,794.00               
2024-01-02 |SF402        |6,682.00   |6,650.00 |6,724.00 |6,618.00 |6,690.00 |6,686.00  |8.00      |4.00      |78,903    |124,480     |-9,642   |263,758.67   |                       
2024-01-02 |SF403        |6,776.00   |6,760.00 |6,826.00 |6,720.00 |6,796.00 |6,780.00  |20.00     |4.00      |89,221    |295,516     |10,871   |302,474.63   |                       
2024-01-02 |SF404        |6,770.00   |6,754.00 |6,814.00 |6,714.00 |6,786.00 |6,774.00  |16.00     |4.00      |2,922     |28,605      |18       |9,895.53     |                       
2024-01-02 |SF405        |6,770.00   |6,754.00 |6,818.00 |6,716.00 |6,788.00 |6,776.00  |18.00     |6.00      |16,986    |52,840      |1,360    |57,542.34    |                       
2024-01-02 |SF406        |6,730.00   |6,722.00 |6,802.00 |6,676.00 |6,760.00 |6,726.00  |30.00     |-4.00     |892       |4,517       |226      |2,999.81     |                       
2024-01-02 |SF407        |6,904.00   |6,900.00 |6,982.00 |6,870.00 |6,944.00 |6,902.00  |40.00     |-2.00     |66        |281         |-6       |227.72       |                       
2024-01-02 |SF408        |6,900.00   |6,890.00 |6,960.00 |6,890.00 |6,934.00 |6,932.00  |34.00     |32.00     |4         |109         |2        |13.86        |                       
2024-01-02 |SF409        |6,898.00   |6,886.00 |6,942.00 |6,866.00 |6,916.00 |6,908.00  |18.00     |10.00     |272       |1,576       |-31      |939.52       |                       
2024-01-02 |SF410        |6,860.00   |6,860.00 |6,898.00 |6,824.00 |6,880.00 |6,878.00  |20.00     |18.00     |181       |1,222       |-93      |622.42       |                       
2024-01-02 |SF411        |6,994.00   |6,988.00 |7,014.00 |6,942.00 |7,014.00 |6,978.00  |20.00     |-16.00    |70        |130         |35       |244.23       |                       
2024-01-02 |SF412        |7,018.00   |6,988.00 |7,008.00 |6,988.00 |7,008.00 |6,994.00  |-10.00    |-24.00    |11        |32          |3        |38.46        |                       
2024-01-03 |SF401        |6,696.00   |6,720.00 |6,790.00 |6,720.00 |6,790.00 |6,732.00  |94.00     |36.00     |6         |7,328       |-6       |20.20        |6,784.00               
2024-01-03 |SF402        |6,686.00   |6,714.00 |6,778.00 |6,664.00 |6,760.00 |6,736.00  |74.00     |50.00     |70,994    |98,609      |-25,871  |239,067.68   |                       
2024-01-03 |SF403        |6,780.00   |6,802.00 |6,872.00 |6,758.00 |6,830.00 |6,824.00  |50.00     |44.00     |148,805   |311,589     |16,073   |507,626.90   |                       
2024-01-03 |SF404        |6,774.00   |6,806.00 |6,856.00 |6,748.00 |6,822.00 |6,812.00  |48.00     |38.00     |3,552     |28,313      |-292     |12,097.28    |                       
2024-01-03 |SF405        |6,776.00   |6,790.00 |6,858.00 |6,752.00 |6,822.00 |6,812.00  |46.00     |36.00     |22,392    |54,101      |1,261    |76,253.30    |                       
