					CZCE History data(2016FG)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice|
2016-01-04 |FG601        |879.00     |885.00   |885.00   |874.00   |875.00   |877.00    |-4.00     |-2.00     |796       |2,668       |-796     |1,396.60     |882.00                 |
2016-01-04 |FG602        |876.00     |0.00     |0.00     |0.00     |0.00     |876.00    |0.00      |0.00      |0         |12          |0        |0.00         |0.00                   |
2016-01-04 |FG603        |844.00     |0.00     |0.00     |0.00     |0.00     |844.00    |0.00      |0.00      |0         |6           |0        |0.00         |0.00                   |
2016-01-04 |FG604        |837.00     |0.00     |0.00     |0.00     |0.00     |837.00    |0.00      |0.00      |0         |10          |0        |0.00         |0.00                   |
2016-01-04 |FG605        |833.00     |833.00   |839.00   |822.00   |823.00   |828.00    |-10.00    |-5.00     |222,522   |250,970     |1,574    |368,714.58   |0.00                   |
2016-01-04 |FG606        |871.00     |876.00   |876.00   |863.00   |867.00   |867.00    |-4.00     |-4.00     |32        |414         |2        |55.47        |0.00                   |
2016-01-04 |FG607        |867.00     |0.00     |0.00     |0.00     |0.00     |865.00    |-2.00     |-2.00     |0         |76          |0        |0.00         |0.00                   |
2016-01-04 |FG608        |867.00     |0.00     |0.00     |0.00     |0.00     |866.00    |-1.00     |-1.00     |0         |38          |0        |0.00         |0.00                   |
2016-01-04 |FG609        |839.00     |838.00   |845.00   |830.00   |830.00   |836.00    |-9.00     |-3.00     |6,864     |32,866      |-866     |11,470.99    |0.00                   |
2016-01-04 |FG610        |837.00     |0.00     |0.00     |0.00     |0.00     |835.00    |-2.00     |-2.00     |0         |12          |0        |0.00         |0.00                   |
2016-01-04 |FG611        |835.00     |825.00   |836.00   |825.00   |828.00   |831.00    |-7.00     |-4.00     |8         |62          |0        |13.29        |0.00                   |
2016-01-04 |FG612        |907.00     |938.00   |943.00   |905.00   |907.00   |917.00    |0.00      |10.00     |122       |454         |32       |223.77       |0.00                   |
2016-01-05 |FG601        |877.00     |867.00   |913.00   |867.00   |886.00   |898.00    |9.00      |21.00     |1,006     |1,754       |-914     |1,806.01     |882.00                 |
2016-01-05 |FG602        |876.00     |0.00     |0.00     |0.00     |0.00     |876.00    |0.00      |0.00      |0         |12          |0        |0.00         |0.00                   |
2016-01-05 |FG603        |844.00     |0.00     |0.00     |0.00     |0.00     |844.00    |0.00      |0.00      |0         |6           |0        |0.00         |0.00                   |
2016-01-05 |FG604        |837.00     |0.00     |0.00     |0.00     |0.00     |837.00    |0.00      |0.00      |0         |10          |0        |0.00         |0.00                   |
2016-01-05 |FG605        |828.00     |823.00   |830.00   |822.00   |829.00   |826.00    |1.00      |-2.00     |183,616   |249,124     |-1,846   |303,478.79   |0.00                   |
2016-01-05 |FG606        |867.00     |867.00   |870.00   |865.00   |869.00   |868.00    |2.00      |1.00      |12        |414         |0        |20.82        |0.00                   |
2016-01-05 |FG607        |865.00     |0.00     |0.00     |0.00     |0.00     |865.00    |0.00      |0.00      |0         |76          |0        |0.00         |0.00                   |
2016-01-05 |FG608        |866.00     |0.00     |0.00     |0.00     |0.00     |866.00    |0.00      |0.00      |0         |38          |0        |0.00         |0.00                   |
2016-01-05 |FG609        |836.00     |830.00   |837.00   |830.00   |835.00   |834.00    |-1.00     |-2.00     |6,016     |31,410      |-1,456   |10,029.30    |0.00                   |
2016-01-05 |FG610        |835.00     |815.00   |821.00   |815.00   |821.00   |818.00    |-14.00    |-17.00    |4         |12          |0        |6.54         |0.00                   |
2016-01-05 |FG611        |831.00     |829.00   |829.00   |829.00   |829.00   |829.00    |-2.00     |-2.00     |2         |62          |0        |3.32         |0.00                   |
2016-01-05 |FG612        |917.00     |910.00   |913.00   |908.00   |912.00   |911.00    |-5.00     |-6.00     |76        |462         |8        |138.46       |0.00                   |
2016-01-06 |FG601        |898.00     |915.00   |928.00   |887.00   |889.00   |899.00    |-9.00     |1.00      |362       |1,640       |-114     |651.18       |884.00                 |
2016-01-06 |FG602        |876.00     |0.00     |0.00     |0.00     |0.00     |876.00    |0.00      |0.00      |0         |12          |0        |0.00         |0.00                   |
2016-01-06 |FG603        |844.00     |0.00     |0.00     |0.00     |0.00     |844.00    |0.00      |0.00      |0         |6           |0        |0.00         |0.00                   |
2016-01-06 |FG604        |837.00     |0.00     |0.00     |0.00     |0.00     |837.00    |0.00      |0.00      |0         |10          |0        |0.00         |0.00                   |
2016-01-06 |FG605        |826.00     |829.00   |831.00   |820.00   |823.00   |825.00    |-3.00     |-1.00     |175,958   |249,072     |-52      |290,184.98   |0.00                   |
2016-01-06 |FG606        |868.00     |866.00   |867.00   |866.00   |867.00   |866.00    |-1.00     |-2.00     |10        |414         |0        |17.33        |0.00                   |
2016-01-06 |FG607        |865.00     |0.00     |0.00     |0.00     |0.00     |864.00    |-1.00     |-1.00     |0         |76          |0        |0.00         |0.00                   |
2016-01-06 |FG608        |866.00     |0.00     |0.00     |0.00     |0.00     |865.00    |-1.00     |-1.00     |0         |38          |0        |0.00         |0.00                   |
2016-01-06 |FG609        |834.00     |835.00   |837.00   |828.00   |830.00   |831.00    |-4.00     |-3.00     |6,582     |32,542      |1,132    |10,940.00    |0.00                   |
2016-01-06 |FG610        |818.00     |0.00     |0.00     |0.00     |0.00     |818.00    |0.00      |0.00      |0         |12          |0        |0.00         |0.00                   |
2016-01-06 |FG611        |829.00     |0.00     |0.00     |0.00     |0.00     |829.00    |0.00      |0.00      |0         |62          |0        |0.00         |0.00                   |
2016-01-06 |FG612        |911.00     |905.00   |911.00   |905.00   |907.00   |907.00    |-4.00     |-4.00     |40        |476         |14       |72.57        |0.00                   |
2016-01-07 |FG601        |899.00     |897.00   |913.00   |864.00   |913.00   |896.00    |14.00     |-3.00     |156       |1,604       |-36      |279.51       |885.00                 |
2016-01-07 |FG602        |876.00     |0.00     |0.00     |0.00     |0.00     |876.00    |0.00      |0.00      |0         |12          |0        |0.00         |0.00                   |
2016-01-07 |FG603        |844.00     |0.00     |0.00     |0.00     |0.00     |844.00    |0.00      |0.00      |0         |6           |0        |0.00         |0.00                   |
2016-01-07 |FG604        |837.00     |823.00   |845.00   |823.00   |845.00   |831.00    |8.00      |-6.00     |22        |12          |2        |36.57        |0.00                   |
2016-01-07 |FG605        |825.00     |822.00   |830.00   |821.00   |830.00   |825.00    |5.00      |0.00      |211,016   |250,832     |1,760    |348,350.74   |0.00                   |
2016-01-07 |FG606        |866.00     |868.00   |870.00   |865.00   |869.00   |869.00    |3.00      |3.00      |18        |402         |-12      |31.27        |0.00                   |
2016-01-07 |FG607        |864.00     |864.00   |864.00   |864.00   |864.00   |864.00    |0.00      |0.00      |2         |76          |0        |3.46         |0.00                   |
2016-01-07 |FG608        |865.00     |0.00     |0.00     |0.00     |0.00     |865.00    |0.00      |0.00      |0         |38          |0        |0.00         |0.00                   |
2016-01-07 |FG609        |831.00     |828.00   |834.00   |827.00   |832.00   |831.00    |1.00      |0.00      |9,402     |30,988      |-1,554   |15,623.29    |0.00                   |
2016-01-07 |FG610        |818.00     |0.00     |0.00     |0.00     |0.00     |818.00    |0.00      |0.00      |0         |12          |0        |0.00         |0.00                   |
2016-01-07 |FG611        |829.00     |831.00   |831.00   |822.00   |830.00   |827.00    |1.00      |-2.00     |8         |64          |2        |13.22        |0.00                   |
2016-01-07 |FG612        |907.00     |908.00   |909.00   |906.00   |907.00   |908.00    |0.00      |1.00      |34        |490         |14       |61.72        |0.00                   |
2016-01-08 |FG601        |896.00     |862.00   |898.00   |862.00   |898.00   |886.00    |2.00      |-10.00    |14        |1,600       |-4       |24.82        |886.00                 |
2016-01-08 |FG602        |876.00     |0.00     |0.00     |0.00     |0.00     |876.00    |0.00      |0.00      |0         |12          |0        |0.00         |0.00                   |
2016-01-08 |FG603        |844.00     |860.00   |860.00   |860.00   |860.00   |860.00    |16.00     |16.00     |2         |4           |-2       |3.44         |0.00                   |
2016-01-08 |FG604        |831.00     |0.00     |0.00     |0.00     |0.00     |831.00    |0.00      |0.00      |0         |12          |0        |0.00         |0.00                   |
2016-01-08 |FG605        |825.00     |829.00   |848.00   |827.00   |841.00   |838.00    |16.00     |13.00     |631,398   |327,306     |76,474   |1,058,665.02 |0.00                   |
2016-01-08 |FG606        |869.00     |868.00   |882.00   |868.00   |868.00   |876.00    |-1.00     |7.00      |350       |308         |-94      |613.00       |0.00                   |
2016-01-08 |FG607        |864.00     |875.00   |875.00   |875.00   |875.00   |875.00    |11.00     |11.00     |2         |78          |2        |3.50         |0.00                   |
2016-01-08 |FG608        |865.00     |0.00     |0.00     |0.00     |0.00     |864.00    |-1.00     |-1.00     |0         |38          |0        |0.00         |0.00                   |
2016-01-08 |FG609        |831.00     |833.00   |843.00   |829.00   |835.00   |836.00    |4.00      |5.00      |24,268    |35,230      |4,242    |40,580.25    |0.00                   |
2016-01-08 |FG610        |818.00     |0.00     |0.00     |0.00     |0.00     |818.00    |0.00      |0.00      |0         |12          |0        |0.00         |0.00                   |
