					CZCE History data(2022FG)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice
2022-01-04 |FG201        |1,638.00   |1,624.00 |1,704.00 |1,624.00 |1,670.00 |1,648.00  |32.00     |10.00     |2,112     |1,521       |-1,818   |6,960.29     |1,765.00               
2022-01-04 |FG202        |1,699.00   |1,687.00 |1,725.00 |1,678.00 |1,708.00 |1,708.00  |9.00      |9.00      |172       |4,068       |-64      |587.47       |                       
2022-01-04 |FG203        |1,704.00   |1,686.00 |1,708.00 |1,684.00 |1,698.00 |1,698.00  |-6.00     |-6.00     |471       |6,824       |-212     |1,599.97     |                       
2022-01-04 |FG204        |1,713.00   |1,696.00 |1,726.00 |1,696.00 |1,712.00 |1,702.00  |-1.00     |-11.00    |1,053     |2,268       |-1,013   |3,584.13     |                       
2022-01-04 |FG205        |1,713.00   |1,700.00 |1,725.00 |1,692.00 |1,703.00 |1,707.00  |-10.00    |-6.00     |210,419   |270,912     |21,726   |718,290.10   |                       
2022-01-04 |FG206        |1,735.00   |1,734.00 |1,756.00 |1,722.00 |1,731.00 |1,730.00  |-4.00     |-5.00     |231       |6,162       |-192     |799.08       |                       
2022-01-04 |FG207        |1,739.00   |1,705.00 |1,749.00 |1,705.00 |1,731.00 |1,738.00  |-8.00     |-1.00     |244       |19,241      |-191     |848.05       |                       
2022-01-04 |FG208        |1,773.00   |1,747.00 |1,783.00 |1,747.00 |1,753.00 |1,761.00  |-20.00    |-12.00    |772       |57,095      |-366     |2,719.05     |                       
2022-01-04 |FG209        |1,750.00   |1,745.00 |1,765.00 |1,733.00 |1,746.00 |1,748.00  |-4.00     |-2.00     |11,598    |39,713      |-103     |40,543.77    |                       
2022-01-04 |FG210        |1,770.00   |1,761.00 |1,782.00 |1,755.00 |1,760.00 |1,772.00  |-10.00    |2.00      |42        |2,572       |21       |148.84       |                       
2022-01-04 |FG211        |1,762.00   |1,743.00 |1,777.00 |1,743.00 |1,750.00 |1,770.00  |-12.00    |8.00      |5,039     |11,877      |-5,005   |17,838.32    |                       
2022-01-04 |FG212        |1,772.00   |1,766.00 |1,766.00 |1,766.00 |1,766.00 |1,766.00  |-6.00     |-6.00     |1         |12          |-1       |3.53         |                       
2022-01-05 |FG201        |1,648.00   |1,639.00 |1,700.00 |1,639.00 |1,700.00 |1,644.00  |52.00     |-4.00     |1,321     |245         |-1,276   |4,342.33     |1,749.00               
2022-01-05 |FG202        |1,708.00   |1,722.00 |1,750.00 |1,714.00 |1,742.00 |1,733.00  |34.00     |25.00     |124       |3,998       |-70      |429.67       |                       
2022-01-05 |FG203        |1,698.00   |1,699.00 |1,734.00 |1,698.00 |1,728.00 |1,720.00  |30.00     |22.00     |245       |6,757       |-67      |842.59       |                       
2022-01-05 |FG204        |1,702.00   |1,713.00 |1,753.00 |1,713.00 |1,749.00 |1,737.00  |47.00     |35.00     |62        |2,278       |10       |215.44       |                       
2022-01-05 |FG205        |1,707.00   |1,703.00 |1,743.00 |1,702.00 |1,733.00 |1,725.00  |26.00     |18.00     |256,735   |258,394     |-12,518  |885,632.03   |                       
2022-01-05 |FG206        |1,730.00   |1,732.00 |1,771.00 |1,731.00 |1,762.00 |1,754.00  |32.00     |24.00     |40        |6,160       |-2       |140.28       |                       
2022-01-05 |FG207        |1,738.00   |1,735.00 |1,765.00 |1,733.00 |1,760.00 |1,749.00  |22.00     |11.00     |62        |19,249      |8        |216.84       |                       
2022-01-05 |FG208        |1,761.00   |1,764.00 |1,795.00 |1,758.00 |1,784.00 |1,782.00  |23.00     |21.00     |694       |56,871      |-224     |2,473.51     |                       
2022-01-05 |FG209        |1,748.00   |1,746.00 |1,777.00 |1,744.00 |1,766.00 |1,762.00  |18.00     |14.00     |12,227    |39,214      |-499     |43,095.72    |                       
2022-01-05 |FG210        |1,772.00   |1,772.00 |1,794.00 |1,766.00 |1,791.00 |1,781.00  |19.00     |9.00      |58        |2,582       |10       |206.62       |                       
2022-01-05 |FG211        |1,770.00   |1,767.00 |1,784.00 |1,760.00 |1,779.00 |1,773.00  |9.00      |3.00      |89        |11,869      |-8       |315.57       |                       
2022-01-05 |FG212        |1,766.00   |1,775.00 |1,799.00 |1,775.00 |1,799.00 |1,789.00  |33.00     |23.00     |3         |10          |-2       |10.73        |                       
2022-01-06 |FG201        |1,644.00   |1,660.00 |1,758.00 |1,660.00 |1,670.00 |1,723.00  |26.00     |79.00     |194       |65          |-180     |668.34       |1,739.00               
2022-01-06 |FG202        |1,733.00   |1,750.00 |1,801.00 |1,750.00 |1,800.00 |1,765.00  |67.00     |32.00     |155       |3,995       |-3       |547.05       |                       
2022-01-06 |FG203        |1,720.00   |1,732.00 |1,791.00 |1,731.00 |1,791.00 |1,759.00  |71.00     |39.00     |225       |6,767       |10       |791.52       |                       
2022-01-06 |FG204        |1,737.00   |1,745.00 |1,814.00 |1,745.00 |1,814.00 |1,784.00  |77.00     |47.00     |96        |2,285       |7        |342.49       |                       
2022-01-06 |FG205        |1,725.00   |1,733.00 |1,811.00 |1,730.00 |1,806.00 |1,769.00  |81.00     |44.00     |366,736   |242,124     |-16,270  |1,297,729.06 |                       
2022-01-06 |FG206        |1,754.00   |1,774.00 |1,850.00 |1,774.00 |1,850.00 |1,818.00  |96.00     |64.00     |232       |6,275       |115      |843.43       |                       
2022-01-06 |FG207        |1,749.00   |1,760.00 |1,847.00 |1,755.00 |1,844.00 |1,812.00  |95.00     |63.00     |243       |19,363      |114      |880.83       |                       
2022-01-06 |FG208        |1,782.00   |1,792.00 |1,893.00 |1,783.00 |1,893.00 |1,845.00  |111.00    |63.00     |2,299     |56,210      |-661     |8,484.54     |                       
2022-01-06 |FG209        |1,762.00   |1,768.00 |1,861.00 |1,765.00 |1,857.00 |1,814.00  |95.00     |52.00     |29,597    |43,222      |4,008    |107,373.13   |                       
2022-01-06 |FG210        |1,781.00   |1,791.00 |1,883.00 |1,791.00 |1,878.00 |1,847.00  |97.00     |66.00     |227       |2,588       |6        |838.66       |                       
2022-01-06 |FG211        |1,773.00   |1,777.00 |1,866.00 |1,777.00 |1,863.00 |1,828.00  |90.00     |55.00     |120       |11,843      |-26      |438.71       |                       
2022-01-06 |FG212        |1,789.00   |1,819.00 |1,872.00 |1,818.00 |1,872.00 |1,853.00  |83.00     |64.00     |9         |13          |3        |33.35        |                       
2022-01-07 |FG201        |1,723.00   |1,791.00 |1,819.00 |1,791.00 |1,819.00 |1,810.00  |96.00     |87.00     |8         |57          |-8       |28.96        |1,739.00               
2022-01-07 |FG202        |1,765.00   |1,785.00 |1,840.00 |1,785.00 |1,839.00 |1,788.00  |74.00     |23.00     |1,082     |3,002       |-993     |3,868.44     |                       
2022-01-07 |FG203        |1,759.00   |1,796.00 |1,820.00 |1,785.00 |1,820.00 |1,807.00  |61.00     |48.00     |306       |6,860       |93       |1,106.05     |                       
2022-01-07 |FG204        |1,784.00   |1,823.00 |1,858.00 |1,817.00 |1,858.00 |1,833.00  |74.00     |49.00     |82        |2,301       |16       |300.56       |                       
2022-01-07 |FG205        |1,769.00   |1,806.00 |1,857.00 |1,805.00 |1,854.00 |1,827.00  |85.00     |58.00     |356,892   |231,007     |-11,117  |1,304,420.76 |                       
2022-01-07 |FG206        |1,818.00   |1,832.00 |1,888.00 |1,832.00 |1,885.00 |1,869.00  |67.00     |51.00     |139       |6,358       |83       |519.54       |                       
2022-01-07 |FG207        |1,812.00   |1,827.00 |1,890.00 |1,827.00 |1,890.00 |1,835.00  |78.00     |23.00     |975       |18,694      |-669     |3,578.69     |                       
2022-01-07 |FG208        |1,845.00   |1,881.00 |1,933.00 |1,881.00 |1,933.00 |1,909.00  |88.00     |64.00     |2,044     |55,545      |-665     |7,804.12     |                       
2022-01-07 |FG209        |1,814.00   |1,855.00 |1,903.00 |1,853.00 |1,903.00 |1,876.00  |89.00     |62.00     |21,788    |42,457      |-765     |81,763.94    |                       
2022-01-07 |FG210        |1,847.00   |1,880.00 |1,920.00 |1,878.00 |1,920.00 |1,902.00  |73.00     |55.00     |343       |2,638       |50       |1,304.83     |                       
2022-01-07 |FG211        |1,828.00   |1,850.00 |1,910.00 |1,850.00 |1,907.00 |1,870.00  |79.00     |42.00     |204       |11,697      |-146     |762.79       |                       
2022-01-07 |FG212        |1,853.00   |1,892.00 |1,923.00 |1,878.00 |1,923.00 |1,902.00  |70.00     |49.00     |430       |419         |406      |1,635.90     |                       
2022-01-10 |FG201        |1,810.00   |1,737.00 |1,737.00 |1,737.00 |1,737.00 |1,737.00  |-73.00    |-73.00    |8         |57          |0        |27.79        |1,732.00               
2022-01-10 |FG202        |1,788.00   |1,852.00 |1,886.00 |1,844.00 |1,868.00 |1,865.00  |80.00     |77.00     |964       |2,715       |-287     |3,595.84     |                       
2022-01-10 |FG203        |1,807.00   |1,834.00 |1,863.00 |1,829.00 |1,851.00 |1,846.00  |44.00     |39.00     |370       |6,806       |-54      |1,366.39     |                       
