					ZCE Futures Historical Data(2024FG)
Date       |Contract Code|Pre Settle|Open     |High     |Low      |Close    |Settle|Chg 1   |Chg 2   |Volume (lot)|O.I.|OI Change|Turnover (RMB 10,000)|Final Settle
2024-01-02 |FG401        |1,768.00   |1,775.00 |1,789.00 |1,750.00 |1,773.00 |1,775.00  |5.00      |7.00      |1,964     |10,271      |-1,418   |6,972.16     |1,767.00               
2024-01-02 |FG402        |1,840.00   |1,832.00 |1,842.00 |1,811.00 |1,826.00 |1,828.00  |-14.00    |-12.00    |11,673    |58,322      |-3,044   |42,678.64    |                       
2024-01-02 |FG403        |1,853.00   |1,867.00 |1,867.00 |1,821.00 |1,835.00 |1,838.00  |-18.00    |-15.00    |3,316     |33,377      |-991     |12,188.41    |                       
2024-01-02 |FG404        |1,906.00   |1,908.00 |1,908.00 |1,866.00 |1,883.00 |1,885.00  |-23.00    |-21.00    |3,530     |26,901      |-675     |13,307.31    |                       
2024-01-02 |FG405        |1,902.00   |1,880.00 |1,899.00 |1,859.00 |1,880.00 |1,881.00  |-22.00    |-21.00    |644,589   |860,259     |-24,774  |2,424,411.50 |                       
2024-01-02 |FG406        |1,894.00   |1,888.00 |1,888.00 |1,851.00 |1,870.00 |1,877.00  |-24.00    |-17.00    |538       |8,686       |-281     |2,019.46     |                       
2024-01-02 |FG407        |1,864.00   |1,864.00 |1,874.00 |1,828.00 |1,844.00 |1,847.00  |-20.00    |-17.00    |928       |5,980       |-679     |3,427.93     |                       
2024-01-02 |FG408        |1,868.00   |1,850.00 |1,878.00 |1,833.00 |1,844.00 |1,852.00  |-24.00    |-16.00    |813       |11,843      |-627     |3,010.76     |                       
2024-01-02 |FG409        |1,845.00   |1,826.00 |1,840.00 |1,803.00 |1,822.00 |1,823.00  |-23.00    |-22.00    |17,793    |158,956     |1,049    |64,867.05    |                       
2024-01-02 |FG410        |1,830.00   |1,814.00 |1,825.00 |1,794.00 |1,811.00 |1,814.00  |-19.00    |-16.00    |923       |3,570       |-709     |3,348.47     |                       
2024-01-02 |FG411        |1,808.00   |1,798.00 |1,801.00 |1,770.00 |1,785.00 |1,789.00  |-23.00    |-19.00    |917       |4,256       |-690     |3,280.53     |                       
2024-01-02 |FG412        |1,797.00   |1,783.00 |1,788.00 |1,767.00 |1,777.00 |1,778.00  |-20.00    |-19.00    |169       |274         |-41      |600.88       |                       
2024-01-03 |FG401        |1,775.00   |1,775.00 |1,864.00 |1,775.00 |1,851.00 |1,848.00  |76.00     |73.00     |1,379     |9,058       |-1,213   |5,096.69     |1,780.00               
2024-01-03 |FG402        |1,828.00   |1,831.00 |1,919.00 |1,822.00 |1,908.00 |1,894.00  |80.00     |66.00     |21,248    |56,122      |-2,200   |80,470.05    |                       
2024-01-03 |FG403        |1,838.00   |1,835.00 |1,930.00 |1,831.00 |1,917.00 |1,907.00  |79.00     |69.00     |8,079     |34,233      |856      |30,806.41    |                       
2024-01-03 |FG404        |1,885.00   |1,883.00 |1,986.00 |1,883.00 |1,968.00 |1,962.00  |83.00     |77.00     |5,444     |28,190      |1,289    |21,356.95    |                       
2024-01-03 |FG405        |1,881.00   |1,881.00 |1,985.00 |1,872.00 |1,965.00 |1,952.00  |84.00     |71.00     |1,286,555 |923,203     |62,944   |5,022,135.88 |                       
2024-01-03 |FG406        |1,877.00   |1,870.00 |1,971.00 |1,868.00 |1,952.00 |1,945.00  |75.00     |68.00     |885       |8,771       |85       |3,442.26     |                       
2024-01-03 |FG407        |1,847.00   |1,852.00 |1,940.00 |1,850.00 |1,923.00 |1,916.00  |76.00     |69.00     |845       |6,148       |168      |3,238.52     |                       
2024-01-03 |FG408        |1,852.00   |1,847.00 |1,935.00 |1,846.00 |1,920.00 |1,911.00  |68.00     |59.00     |324       |11,898      |55       |1,238.28     |                       
2024-01-03 |FG409        |1,823.00   |1,818.00 |1,908.00 |1,815.00 |1,889.00 |1,881.00  |66.00     |58.00     |51,410    |164,088     |5,132    |193,367.62   |                       
2024-01-03 |FG410        |1,814.00   |1,801.00 |1,888.00 |1,801.00 |1,872.00 |1,865.00  |58.00     |51.00     |285       |3,659       |89       |1,063.08     |                       
2024-01-03 |FG411        |1,789.00   |1,775.00 |1,855.00 |1,775.00 |1,835.00 |1,836.00  |46.00     |47.00     |497       |4,421       |165      |1,824.57     |                       
2024-01-03 |FG412        |1,778.00   |1,781.00 |1,839.00 |1,781.00 |1,825.00 |1,822.00  |47.00     |44.00     |186       |294         |20       |677.78       |                       
2024-01-04 |FG401        |1,848.00   |1,845.00 |1,852.00 |1,800.00 |1,820.00 |1,822.00  |-28.00    |-26.00    |1,920     |7,815       |-1,243   |6,994.88     |1,788.00               
2024-01-04 |FG402        |1,894.00   |1,911.00 |1,923.00 |1,852.00 |1,861.00 |1,883.00  |-33.00    |-11.00    |17,135    |48,817      |-7,305   |64,513.72    |                       
2024-01-04 |FG403        |1,907.00   |1,922.00 |1,932.00 |1,861.00 |1,871.00 |1,901.00  |-36.00    |-6.00     |5,654     |31,893      |-2,340   |21,494.48    |                       
2024-01-04 |FG404        |1,962.00   |1,976.00 |1,981.00 |1,907.00 |1,917.00 |1,953.00  |-45.00    |-9.00     |3,041     |26,581      |-1,609   |11,880.77    |                       
2024-01-04 |FG405        |1,952.00   |1,973.00 |1,979.00 |1,902.00 |1,910.00 |1,937.00  |-42.00    |-15.00    |985,793   |877,670     |-45,533  |3,818,139.84 |                       
2024-01-04 |FG406        |1,945.00   |1,949.00 |1,963.00 |1,893.00 |1,897.00 |1,925.00  |-48.00    |-20.00    |353       |8,723       |-48      |1,359.11     |                       
2024-01-04 |FG407        |1,916.00   |1,917.00 |1,939.00 |1,863.00 |1,871.00 |1,912.00  |-45.00    |-4.00     |1,665     |5,144       |-1,004   |6,367.69     |                       
2024-01-04 |FG408        |1,911.00   |1,920.00 |1,937.00 |1,866.00 |1,871.00 |1,914.00  |-40.00    |3.00      |2,081     |10,192      |-1,706   |7,966.05     |                       
2024-01-04 |FG409        |1,881.00   |1,897.00 |1,905.00 |1,832.00 |1,841.00 |1,867.00  |-40.00    |-14.00    |40,716    |163,509     |-579     |152,011.53   |                       
