					CZCE History data(2021JR)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice
2021-01-04 |JR101        |2,520.00   |2,460.00 |2,460.00 |2,460.00 |2,460.00 |2,460.00  |-60.00    |-60.00    |3         |0           |-3       |14.76        |2,637.00               
2021-01-04 |JR103        |2,445.00   |0.00     |0.00     |0.00     |0.00     |2,387.00  |-58.00    |-58.00    |0         |0           |0        |0.00         |                       
2021-01-04 |JR105        |2,457.00   |2,654.00 |2,654.00 |2,479.00 |2,654.00 |2,638.00  |197.00    |181.00    |11        |8           |7        |58.04        |                       
2021-01-04 |JR107        |2,408.00   |0.00     |0.00     |0.00     |0.00     |2,585.00  |177.00    |177.00    |0         |0           |0        |0.00         |                       
2021-01-04 |JR109        |2,432.00   |0.00     |0.00     |0.00     |0.00     |2,611.00  |179.00    |179.00    |0         |0           |0        |0.00         |                       
2021-01-04 |JR111        |2,432.00   |0.00     |0.00     |0.00     |0.00     |2,611.00  |179.00    |179.00    |0         |0           |0        |0.00         |                       
2021-01-05 |JR101        |2,460.00   |0.00     |0.00     |0.00     |0.00     |2,583.00  |123.00    |123.00    |0         |0           |0        |0.00         |2,622.00               
2021-01-05 |JR103        |2,387.00   |0.00     |0.00     |0.00     |0.00     |2,507.00  |120.00    |120.00    |0         |0           |0        |0.00         |                       
2021-01-05 |JR105        |2,638.00   |2,879.00 |2,879.00 |2,700.00 |2,800.00 |2,818.00  |162.00    |180.00    |63        |19          |11       |355.06       |                       
2021-01-05 |JR107        |2,585.00   |0.00     |0.00     |0.00     |0.00     |2,761.00  |176.00    |176.00    |0         |0           |0        |0.00         |                       
2021-01-05 |JR109        |2,611.00   |0.00     |0.00     |0.00     |0.00     |2,789.00  |178.00    |178.00    |0         |0           |0        |0.00         |                       
2021-01-05 |JR111        |2,611.00   |0.00     |0.00     |0.00     |0.00     |2,789.00  |178.00    |178.00    |0         |0           |0        |0.00         |                       
2021-01-06 |JR101        |2,583.00   |0.00     |0.00     |0.00     |0.00     |2,683.00  |100.00    |100.00    |0         |0           |0        |0.00         |2,617.00               
2021-01-06 |JR103        |2,507.00   |0.00     |0.00     |0.00     |0.00     |2,604.00  |97.00     |97.00     |0         |0           |0        |0.00         |                       
2021-01-06 |JR105        |2,818.00   |2,849.00 |2,959.00 |2,849.00 |2,958.00 |2,927.00  |140.00    |109.00    |148       |47          |28       |866.47       |                       
2021-01-06 |JR107        |2,761.00   |0.00     |0.00     |0.00     |0.00     |2,868.00  |107.00    |107.00    |0         |0           |0        |0.00         |                       
2021-01-06 |JR109        |2,789.00   |0.00     |0.00     |0.00     |0.00     |2,897.00  |108.00    |108.00    |0         |0           |0        |0.00         |                       
2021-01-06 |JR111        |2,789.00   |0.00     |0.00     |0.00     |0.00     |2,897.00  |108.00    |108.00    |0         |0           |0        |0.00         |                       
2021-01-07 |JR101        |2,683.00   |0.00     |0.00     |0.00     |0.00     |2,735.00  |52.00     |52.00     |0         |0           |0        |0.00         |2,618.00               
2021-01-07 |JR103        |2,604.00   |0.00     |0.00     |0.00     |0.00     |2,655.00  |51.00     |51.00     |0         |0           |0        |0.00         |                       
2021-01-07 |JR105        |2,927.00   |3,049.00 |3,049.00 |2,933.00 |2,953.00 |2,984.00  |26.00     |57.00     |300       |78          |31       |1,790.44     |                       
2021-01-07 |JR107        |2,868.00   |2,601.00 |2,820.00 |2,601.00 |2,820.00 |2,764.00  |-48.00    |-104.00   |4         |1           |1        |22.11        |                       
2021-01-07 |JR109        |2,897.00   |0.00     |0.00     |0.00     |0.00     |2,792.00  |-105.00   |-105.00   |0         |0           |0        |0.00         |                       
2021-01-07 |JR111        |2,897.00   |0.00     |0.00     |0.00     |0.00     |2,792.00  |-105.00   |-105.00   |0         |0           |0        |0.00         |                       
2021-01-08 |JR101        |2,735.00   |0.00     |0.00     |0.00     |0.00     |2,678.00  |-57.00    |-57.00    |0         |0           |0        |0.00         |2,616.00               
2021-01-08 |JR103        |2,655.00   |0.00     |0.00     |0.00     |0.00     |2,600.00  |-55.00    |-55.00    |0         |0           |0        |0.00         |                       
2021-01-08 |JR105        |2,984.00   |2,953.00 |2,983.00 |2,900.00 |2,911.00 |2,922.00  |-73.00    |-62.00    |60        |71          |-7       |350.66       |                       
2021-01-08 |JR107        |2,764.00   |0.00     |0.00     |0.00     |0.00     |2,801.00  |37.00     |37.00     |0         |1           |0        |0.00         |                       
2021-01-08 |JR109        |2,792.00   |0.00     |0.00     |0.00     |0.00     |2,734.00  |-58.00    |-58.00    |0         |0           |0        |0.00         |                       
2021-01-08 |JR111        |2,792.00   |0.00     |0.00     |0.00     |0.00     |2,734.00  |-58.00    |-58.00    |0         |0           |0        |0.00         |                       
2021-01-11 |JR101        |2,678.00   |0.00     |0.00     |0.00     |0.00     |2,629.00  |-49.00    |-49.00    |0         |0           |0        |0.00         |2,609.00               
2021-01-11 |JR103        |2,600.00   |0.00     |0.00     |0.00     |0.00     |2,552.00  |-48.00    |-48.00    |0         |0           |0        |0.00         |                       
2021-01-11 |JR105        |2,922.00   |2,882.00 |2,882.00 |2,862.00 |2,870.00 |2,868.00  |-52.00    |-54.00    |39        |53          |-18      |223.73       |                       
2021-01-11 |JR107        |2,801.00   |0.00     |0.00     |0.00     |0.00     |2,801.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2021-01-11 |JR109        |2,734.00   |0.00     |0.00     |0.00     |0.00     |2,683.00  |-51.00    |-51.00    |0         |0           |0        |0.00         |                       
2021-01-11 |JR111        |2,734.00   |0.00     |0.00     |0.00     |0.00     |2,683.00  |-51.00    |-51.00    |0         |0           |0        |0.00         |                       
2021-01-12 |JR101        |2,629.00   |0.00     |0.00     |0.00     |0.00     |2,692.00  |63.00     |63.00     |0         |0           |0        |0.00         |2,609.00               
2021-01-12 |JR103        |2,552.00   |0.00     |0.00     |0.00     |0.00     |2,613.00  |61.00     |61.00     |0         |0           |0        |0.00         |                       
2021-01-12 |JR105        |2,868.00   |2,897.00 |2,966.00 |2,897.00 |2,946.00 |2,937.00  |78.00     |69.00     |51        |55          |2        |299.55       |                       
2021-01-12 |JR107        |2,801.00   |2,920.00 |2,920.00 |2,920.00 |2,920.00 |2,920.00  |119.00    |119.00    |1         |0           |-1       |5.84         |                       
2021-01-12 |JR109        |2,683.00   |0.00     |0.00     |0.00     |0.00     |2,797.00  |114.00    |114.00    |0         |0           |0        |0.00         |                       
2021-01-12 |JR111        |2,683.00   |0.00     |0.00     |0.00     |0.00     |2,797.00  |114.00    |114.00    |0         |0           |0        |0.00         |                       
2021-01-13 |JR101        |2,692.00   |0.00     |0.00     |0.00     |0.00     |2,712.00  |20.00     |20.00     |0         |0           |0        |0.00         |2,620.00               
2021-01-13 |JR103        |2,613.00   |0.00     |0.00     |0.00     |0.00     |2,633.00  |20.00     |20.00     |0         |0           |0        |0.00         |                       
2021-01-13 |JR105        |2,937.00   |3,028.00 |3,028.00 |2,808.00 |2,880.00 |2,959.00  |-57.00    |22.00     |56        |51          |-4       |331.39       |                       
2021-01-13 |JR107        |2,920.00   |0.00     |0.00     |0.00     |0.00     |2,942.00  |22.00     |22.00     |0         |0           |0        |0.00         |                       
2021-01-13 |JR109        |2,797.00   |0.00     |0.00     |0.00     |0.00     |2,818.00  |21.00     |21.00     |0         |0           |0        |0.00         |                       
2021-01-13 |JR111        |2,797.00   |0.00     |0.00     |0.00     |0.00     |2,818.00  |21.00     |21.00     |0         |0           |0        |0.00         |                       
2021-01-14 |JR101        |2,712.00   |0.00     |0.00     |0.00     |0.00     |2,659.00  |-53.00    |-53.00    |0         |0           |0        |0.00         |2,635.00               
2021-01-14 |JR103        |2,633.00   |0.00     |0.00     |0.00     |0.00     |2,581.00  |-52.00    |-52.00    |0         |0           |0        |0.00         |                       
2021-01-14 |JR105        |2,959.00   |2,860.00 |2,919.00 |2,860.00 |2,917.00 |2,901.00  |-42.00    |-58.00    |9         |49          |-2       |52.22        |                       
2021-01-14 |JR107        |2,942.00   |0.00     |0.00     |0.00     |0.00     |2,884.00  |-58.00    |-58.00    |0         |0           |0        |0.00         |                       
2021-01-14 |JR109        |2,818.00   |0.00     |0.00     |0.00     |0.00     |2,763.00  |-55.00    |-55.00    |0         |0           |0        |0.00         |                       
2021-01-14 |JR111        |2,818.00   |0.00     |0.00     |0.00     |0.00     |2,763.00  |-55.00    |-55.00    |0         |0           |0        |0.00         |                       
2021-01-15 |JR101        |2,659.00   |0.00     |0.00     |0.00     |0.00     |2,677.00  |18.00     |18.00     |0         |0           |0        |0.00         |2,651.00               
2021-01-15 |JR103        |2,581.00   |0.00     |0.00     |0.00     |0.00     |2,599.00  |18.00     |18.00     |0         |0           |0        |0.00         |                       
2021-01-15 |JR105        |2,901.00   |2,911.00 |2,948.00 |2,909.00 |2,915.00 |2,921.00  |14.00     |20.00     |13        |52          |3        |75.95        |                       
2021-01-15 |JR107        |2,884.00   |0.00     |0.00     |0.00     |0.00     |2,904.00  |20.00     |20.00     |0         |0           |0        |0.00         |                       
2021-01-15 |JR109        |2,763.00   |0.00     |0.00     |0.00     |0.00     |2,782.00  |19.00     |19.00     |0         |0           |0        |0.00         |                       
2021-01-15 |JR111        |2,763.00   |0.00     |0.00     |0.00     |0.00     |2,782.00  |19.00     |19.00     |0         |0           |0        |0.00         |                       
2021-01-18 |JR103        |2,599.00   |0.00     |0.00     |0.00     |0.00     |2,633.00  |34.00     |34.00     |0         |0           |0        |0.00         |                       
2021-01-18 |JR105        |2,921.00   |2,957.00 |2,970.00 |2,940.00 |2,940.00 |2,959.00  |19.00     |38.00     |8         |48          |-4       |47.35        |                       
2021-01-18 |JR107        |2,904.00   |0.00     |0.00     |0.00     |0.00     |2,942.00  |38.00     |38.00     |0         |0           |0        |0.00         |                       
