					CZCE History data(2020LR)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice|
2020-01-02 |LR001        |2,699.00   |0.00     |0.00     |0.00     |0.00     |2,699.00  |0.00      |0.00      |0         |0           |0        |0.00         |2,699.00               |
2020-01-02 |LR003        |2,532.00   |0.00     |0.00     |0.00     |0.00     |2,532.00  |0.00      |0.00      |0         |1           |0        |0.00         |0.00                   |
2020-01-02 |LR005        |2,586.00   |0.00     |0.00     |0.00     |0.00     |2,586.00  |0.00      |0.00      |0         |1           |0        |0.00         |0.00                   |
2020-01-02 |LR007        |2,720.00   |0.00     |0.00     |0.00     |0.00     |2,720.00  |0.00      |0.00      |0         |4           |0        |0.00         |0.00                   |
2020-01-03 |LR001        |2,699.00   |0.00     |0.00     |0.00     |0.00     |2,693.00  |-6.00     |-6.00     |0         |0           |0        |0.00         |2,698.00               |
2020-01-03 |LR003        |2,532.00   |2,526.00 |2,526.00 |2,526.00 |2,526.00 |2,526.00  |-6.00     |-6.00     |2         |0           |-1       |10.11        |0.00                   |
2020-01-03 |LR005        |2,586.00   |0.00     |0.00     |0.00     |0.00     |2,580.00  |-6.00     |-6.00     |0         |1           |0        |0.00         |0.00                   |
2020-01-03 |LR007        |2,720.00   |0.00     |0.00     |0.00     |0.00     |2,720.00  |0.00      |0.00      |0         |4           |0        |0.00         |0.00                   |
2020-01-06 |LR001        |2,693.00   |0.00     |0.00     |0.00     |0.00     |2,693.00  |0.00      |0.00      |0         |0           |0        |0.00         |2,698.00               |
2020-01-06 |LR003        |2,526.00   |0.00     |0.00     |0.00     |0.00     |2,526.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2020-01-06 |LR005        |2,580.00   |0.00     |0.00     |0.00     |0.00     |2,580.00  |0.00      |0.00      |0         |1           |0        |0.00         |0.00                   |
2020-01-06 |LR007        |2,720.00   |0.00     |0.00     |0.00     |0.00     |2,720.00  |0.00      |0.00      |0         |4           |0        |0.00         |0.00                   |
2020-01-07 |LR001        |2,693.00   |0.00     |0.00     |0.00     |0.00     |2,693.00  |0.00      |0.00      |0         |0           |0        |0.00         |2,697.00               |
2020-01-07 |LR003        |2,526.00   |0.00     |0.00     |0.00     |0.00     |2,526.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2020-01-07 |LR005        |2,580.00   |0.00     |0.00     |0.00     |0.00     |2,580.00  |0.00      |0.00      |0         |1           |0        |0.00         |0.00                   |
2020-01-07 |LR007        |2,720.00   |0.00     |0.00     |0.00     |0.00     |2,720.00  |0.00      |0.00      |0         |4           |0        |0.00         |0.00                   |
2020-01-08 |LR001        |2,693.00   |0.00     |0.00     |0.00     |0.00     |2,693.00  |0.00      |0.00      |0         |0           |0        |0.00         |2,697.00               |
2020-01-08 |LR003        |2,526.00   |0.00     |0.00     |0.00     |0.00     |2,526.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2020-01-08 |LR005        |2,580.00   |0.00     |0.00     |0.00     |0.00     |2,580.00  |0.00      |0.00      |0         |1           |0        |0.00         |0.00                   |
2020-01-08 |LR007        |2,720.00   |0.00     |0.00     |0.00     |0.00     |2,720.00  |0.00      |0.00      |0         |4           |0        |0.00         |0.00                   |
2020-01-09 |LR001        |2,693.00   |0.00     |0.00     |0.00     |0.00     |2,693.00  |0.00      |0.00      |0         |0           |0        |0.00         |2,696.00               |
2020-01-09 |LR003        |2,526.00   |0.00     |0.00     |0.00     |0.00     |2,526.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2020-01-09 |LR005        |2,580.00   |0.00     |0.00     |0.00     |0.00     |2,580.00  |0.00      |0.00      |0         |1           |0        |0.00         |0.00                   |
2020-01-09 |LR007        |2,720.00   |0.00     |0.00     |0.00     |0.00     |2,720.00  |0.00      |0.00      |0         |4           |0        |0.00         |0.00                   |
2020-01-10 |LR001        |2,693.00   |0.00     |0.00     |0.00     |0.00     |2,693.00  |0.00      |0.00      |0         |0           |0        |0.00         |2,695.00               |
2020-01-10 |LR003        |2,526.00   |0.00     |0.00     |0.00     |0.00     |2,526.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2020-01-10 |LR005        |2,580.00   |0.00     |0.00     |0.00     |0.00     |2,580.00  |0.00      |0.00      |0         |1           |0        |0.00         |0.00                   |
2020-01-10 |LR007        |2,720.00   |0.00     |0.00     |0.00     |0.00     |2,720.00  |0.00      |0.00      |0         |4           |0        |0.00         |0.00                   |
2020-01-13 |LR001        |2,693.00   |0.00     |0.00     |0.00     |0.00     |2,693.00  |0.00      |0.00      |0         |0           |0        |0.00         |2,695.00               |
2020-01-13 |LR003        |2,526.00   |0.00     |0.00     |0.00     |0.00     |2,526.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2020-01-13 |LR005        |2,580.00   |0.00     |0.00     |0.00     |0.00     |2,580.00  |0.00      |0.00      |0         |1           |0        |0.00         |0.00                   |
2020-01-13 |LR007        |2,720.00   |0.00     |0.00     |0.00     |0.00     |2,720.00  |0.00      |0.00      |0         |4           |0        |0.00         |0.00                   |
2020-01-14 |LR001        |2,693.00   |0.00     |0.00     |0.00     |0.00     |2,693.00  |0.00      |0.00      |0         |0           |0        |0.00         |2,694.00               |
