					CZCE History data(2021LR)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice
2021-01-04 |LR101        |3,011.00   |0.00     |0.00     |0.00     |0.00     |3,011.00  |0.00      |0.00      |0         |0           |0        |0.00         |3,011.00               
2021-01-04 |LR103        |3,069.00   |0.00     |0.00     |0.00     |0.00     |3,069.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-04 |LR105        |3,069.00   |0.00     |0.00     |0.00     |0.00     |3,069.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-04 |LR107        |2,973.00   |0.00     |0.00     |0.00     |0.00     |2,973.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-04 |LR109        |2,973.00   |0.00     |0.00     |0.00     |0.00     |2,973.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-04 |LR111        |2,973.00   |0.00     |0.00     |0.00     |0.00     |2,973.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-05 |LR101        |3,011.00   |0.00     |0.00     |0.00     |0.00     |3,011.00  |0.00      |0.00      |0         |0           |0        |0.00         |3,011.00               
2021-01-05 |LR103        |3,069.00   |0.00     |0.00     |0.00     |0.00     |3,069.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-05 |LR105        |3,069.00   |0.00     |0.00     |0.00     |0.00     |3,069.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-05 |LR107        |2,973.00   |0.00     |0.00     |0.00     |0.00     |2,973.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-05 |LR109        |2,973.00   |0.00     |0.00     |0.00     |0.00     |2,973.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-05 |LR111        |2,973.00   |0.00     |0.00     |0.00     |0.00     |2,973.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-06 |LR101        |3,011.00   |0.00     |0.00     |0.00     |0.00     |3,011.00  |0.00      |0.00      |0         |0           |0        |0.00         |3,011.00               
2021-01-06 |LR103        |3,069.00   |0.00     |0.00     |0.00     |0.00     |3,069.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-06 |LR105        |3,069.00   |0.00     |0.00     |0.00     |0.00     |3,069.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
