					CZCE History data(2017SM)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice|
2017-01-03 |SM701        |8,392.00   |8,056.00 |8,400.00 |8,056.00 |8,400.00 |8,386.00  |8.00      |-6.00     |50        |392         |-50      |209.65       |8,388.00               |
2017-01-03 |SM702        |8,246.00   |0.00     |0.00     |0.00     |0.00     |8,240.00  |-6.00     |-6.00     |0         |0           |0        |0.00         |0.00                   |
2017-01-03 |SM703        |8,368.00   |0.00     |0.00     |0.00     |0.00     |8,362.00  |-6.00     |-6.00     |0         |0           |0        |0.00         |0.00                   |
2017-01-03 |SM704        |8,368.00   |0.00     |0.00     |0.00     |0.00     |8,362.00  |-6.00     |-6.00     |0         |0           |0        |0.00         |0.00                   |
2017-01-03 |SM705        |6,928.00   |6,900.00 |6,968.00 |6,512.00 |6,518.00 |6,694.00  |-410.00   |-234.00   |26,502    |23,732      |3,988    |88,691.89    |0.00                   |
2017-01-03 |SM706        |7,614.00   |0.00     |0.00     |0.00     |0.00     |7,358.00  |-256.00   |-256.00   |0         |0           |0        |0.00         |0.00                   |
2017-01-03 |SM707        |7,614.00   |0.00     |0.00     |0.00     |0.00     |7,358.00  |-256.00   |-256.00   |0         |0           |0        |0.00         |0.00                   |
2017-01-03 |SM708        |7,452.00   |0.00     |0.00     |0.00     |0.00     |7,200.00  |-252.00   |-252.00   |0         |0           |0        |0.00         |0.00                   |
2017-01-03 |SM709        |6,836.00   |6,702.00 |6,706.00 |6,476.00 |6,476.00 |6,580.00  |-360.00   |-256.00   |32        |110         |22       |105.28       |0.00                   |
2017-01-03 |SM710        |7,702.00   |0.00     |0.00     |0.00     |0.00     |7,414.00  |-288.00   |-288.00   |0         |0           |0        |0.00         |0.00                   |
2017-01-03 |SM711        |7,702.00   |0.00     |0.00     |0.00     |0.00     |7,414.00  |-288.00   |-288.00   |0         |0           |0        |0.00         |0.00                   |
2017-01-03 |SM712        |7,702.00   |0.00     |0.00     |0.00     |0.00     |7,414.00  |-288.00   |-288.00   |0         |0           |0        |0.00         |0.00                   |
2017-01-04 |SM701        |8,386.00   |0.00     |0.00     |0.00     |0.00     |8,126.00  |-260.00   |-260.00   |0         |392         |0        |0.00         |8,360.00               |
2017-01-04 |SM702        |8,240.00   |0.00     |0.00     |0.00     |0.00     |7,984.00  |-256.00   |-256.00   |0         |0           |0        |0.00         |0.00                   |
2017-01-04 |SM703        |8,362.00   |0.00     |0.00     |0.00     |0.00     |8,102.00  |-260.00   |-260.00   |0         |0           |0        |0.00         |0.00                   |
2017-01-04 |SM704        |8,362.00   |0.00     |0.00     |0.00     |0.00     |8,102.00  |-260.00   |-260.00   |0         |0           |0        |0.00         |0.00                   |
2017-01-04 |SM705        |6,694.00   |6,502.00 |6,570.00 |6,384.00 |6,492.00 |6,486.00  |-202.00   |-208.00   |28,318    |23,502      |-230     |91,828.83    |0.00                   |
2017-01-04 |SM706        |7,358.00   |0.00     |0.00     |0.00     |0.00     |7,130.00  |-228.00   |-228.00   |0         |0           |0        |0.00         |0.00                   |
2017-01-04 |SM707        |7,358.00   |0.00     |0.00     |0.00     |0.00     |7,130.00  |-228.00   |-228.00   |0         |0           |0        |0.00         |0.00                   |
2017-01-04 |SM708        |7,200.00   |0.00     |0.00     |0.00     |0.00     |6,976.00  |-224.00   |-224.00   |0         |0           |0        |0.00         |0.00                   |
2017-01-04 |SM709        |6,580.00   |6,402.00 |6,498.00 |6,318.00 |6,406.00 |6,420.00  |-174.00   |-160.00   |350       |126         |16       |1,123.32     |0.00                   |
2017-01-04 |SM710        |7,414.00   |0.00     |0.00     |0.00     |0.00     |7,234.00  |-180.00   |-180.00   |0         |0           |0        |0.00         |0.00                   |
2017-01-04 |SM711        |7,414.00   |0.00     |0.00     |0.00     |0.00     |7,234.00  |-180.00   |-180.00   |0         |0           |0        |0.00         |0.00                   |
2017-01-04 |SM712        |7,414.00   |0.00     |0.00     |0.00     |0.00     |7,234.00  |-180.00   |-180.00   |0         |0           |0        |0.00         |0.00                   |
2017-01-05 |SM701        |8,126.00   |0.00     |0.00     |0.00     |0.00     |8,156.00  |30.00     |30.00     |0         |392         |0        |0.00         |8,334.00               |
2017-01-05 |SM702        |7,984.00   |0.00     |0.00     |0.00     |0.00     |8,014.00  |30.00     |30.00     |0         |0           |0        |0.00         |0.00                   |
2017-01-05 |SM703        |8,102.00   |0.00     |0.00     |0.00     |0.00     |8,132.00  |30.00     |30.00     |0         |0           |0        |0.00         |0.00                   |
2017-01-05 |SM704        |8,102.00   |0.00     |0.00     |0.00     |0.00     |8,132.00  |30.00     |30.00     |0         |0           |0        |0.00         |0.00                   |
2017-01-05 |SM705        |6,486.00   |6,556.00 |6,594.00 |6,450.00 |6,456.00 |6,510.00  |-30.00    |24.00     |18,968    |23,804      |302      |61,740.08    |0.00                   |
2017-01-05 |SM706        |7,130.00   |0.00     |0.00     |0.00     |0.00     |7,156.00  |26.00     |26.00     |0         |0           |0        |0.00         |0.00                   |
2017-01-05 |SM707        |7,130.00   |0.00     |0.00     |0.00     |0.00     |7,156.00  |26.00     |26.00     |0         |0           |0        |0.00         |0.00                   |
2017-01-05 |SM708        |6,976.00   |0.00     |0.00     |0.00     |0.00     |7,002.00  |26.00     |26.00     |0         |0           |0        |0.00         |0.00                   |
2017-01-05 |SM709        |6,420.00   |6,498.00 |6,512.00 |6,402.00 |6,402.00 |6,442.00  |-18.00    |22.00     |52        |122         |-4       |167.47       |0.00                   |
