					CZCE History data(2021SM)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice
2021-01-04 |SM101        |6,758.00   |6,468.00 |6,854.00 |6,468.00 |6,828.00 |6,752.00  |70.00     |-6.00     |1,177     |4,965       |-382     |3,973.49     |6,780.00               
2021-01-04 |SM102        |6,680.00   |6,846.00 |6,846.00 |6,816.00 |6,816.00 |6,832.00  |136.00    |152.00    |2         |23          |-1       |6.83         |                       
2021-01-04 |SM103        |6,754.00   |6,794.00 |6,914.00 |6,712.00 |6,866.00 |6,816.00  |112.00    |62.00     |22,305    |14,684      |-172     |76,004.63    |                       
2021-01-04 |SM104        |6,754.00   |6,802.00 |6,924.00 |6,708.00 |6,872.00 |6,824.00  |118.00    |70.00     |31,936    |16,410      |83       |108,947.11   |                       
2021-01-04 |SM105        |6,778.00   |6,818.00 |6,942.00 |6,720.00 |6,898.00 |6,846.00  |120.00    |68.00     |210,325   |115,751     |3,871    |719,794.53   |                       
2021-01-04 |SM106        |6,748.00   |6,730.00 |6,894.00 |6,626.00 |6,838.00 |6,802.00  |90.00     |54.00     |1,179     |210         |209      |4,009.66     |                       
2021-01-04 |SM107        |6,848.00   |6,650.00 |6,650.00 |6,650.00 |6,650.00 |6,650.00  |-198.00   |-198.00   |1         |2           |1        |3.33         |                       
2021-01-04 |SM108        |6,684.00   |6,700.00 |6,700.00 |6,700.00 |6,700.00 |6,700.00  |16.00     |16.00     |1         |9           |-1       |3.35         |                       
2021-01-04 |SM109        |6,692.00   |6,730.00 |6,846.00 |6,686.00 |6,806.00 |6,760.00  |114.00    |68.00     |1,426     |1,985       |76       |4,819.02     |                       
2021-01-04 |SM110        |6,732.00   |6,776.00 |6,776.00 |6,776.00 |6,776.00 |6,776.00  |44.00     |44.00     |1         |45          |1        |3.39         |                       
2021-01-04 |SM111        |6,742.00   |0.00     |0.00     |0.00     |0.00     |6,742.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2021-01-04 |SM112        |6,800.00   |0.00     |0.00     |0.00     |0.00     |6,844.00  |44.00     |44.00     |0         |1           |0        |0.00         |                       
