					ZCE Futures Historical Data(2023SM)
Date       |Contract Code|Pre Settle|Open     |High     |Low      |Close    |Settle|Chg 1   |Chg 2   |Volume (lot)|O.I.|OI Change|Turnover (RMB 10,000)|Final Settle
2023-01-03 |SM301        |7,760.00   |8,536.00 |8,536.00 |7,546.00 |7,634.00 |7,620.00  |-126.00   |-140.00   |454       |2,091       |-412     |1,729.75     |7,506.00               
2023-01-03 |SM302        |7,726.00   |7,686.00 |7,690.00 |7,540.00 |7,596.00 |7,634.00  |-130.00   |-92.00    |11,686    |17,189      |-6,459   |44,602.72    |                       
2023-01-03 |SM303        |7,706.00   |7,674.00 |7,676.00 |7,532.00 |7,586.00 |7,576.00  |-120.00   |-130.00   |31,015    |93,368      |1,937    |117,477.11   |                       
2023-01-03 |SM304        |7,688.00   |7,668.00 |7,668.00 |7,526.00 |7,580.00 |7,568.00  |-108.00   |-120.00   |12,310    |43,310      |1,784    |46,574.32    |                       
2023-01-03 |SM305        |7,682.00   |7,660.00 |7,660.00 |7,508.00 |7,566.00 |7,556.00  |-116.00   |-126.00   |136,026   |169,309     |-10,007  |513,874.97   |                       
2023-01-03 |SM306        |7,588.00   |7,648.00 |7,648.00 |7,478.00 |7,516.00 |7,512.00  |-72.00    |-76.00    |6,110     |5,459       |2,667    |22,946.71    |                       
2023-01-03 |SM307        |7,576.00   |7,508.00 |7,508.00 |7,508.00 |7,508.00 |7,508.00  |-68.00    |-68.00    |1         |316         |0        |3.75         |                       
2023-01-03 |SM308        |7,548.00   |0.00     |0.00     |0.00     |0.00     |7,544.00  |-4.00     |-4.00     |0         |1,269       |0        |0.00         |                       
2023-01-03 |SM309        |7,602.00   |7,570.00 |7,570.00 |7,446.00 |7,488.00 |7,484.00  |-114.00   |-118.00   |605       |2,263       |-34      |2,263.79     |                       
2023-01-03 |SM310        |7,598.00   |7,474.00 |7,500.00 |7,452.00 |7,480.00 |7,474.00  |-118.00   |-124.00   |559       |158         |-542     |2,089.01     |                       
2023-01-03 |SM311        |7,652.00   |0.00     |0.00     |0.00     |0.00     |7,524.00  |-128.00   |-128.00   |0         |31          |0        |0.00         |                       
2023-01-03 |SM312        |7,504.00   |0.00     |0.00     |0.00     |0.00     |7,504.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2023-01-04 |SM301        |7,620.00   |7,614.00 |7,620.00 |7,564.00 |7,564.00 |7,586.00  |-56.00    |-34.00    |182       |1,935       |-156     |690.31       |7,532.00               
2023-01-04 |SM302        |7,634.00   |7,582.00 |7,654.00 |7,552.00 |7,582.00 |7,588.00  |-52.00    |-46.00    |4,906     |14,461      |-2,728   |18,612.32    |                       
2023-01-04 |SM303        |7,576.00   |7,552.00 |7,646.00 |7,534.00 |7,570.00 |7,578.00  |-6.00     |2.00      |32,829    |96,307      |2,939    |124,382.16   |                       
2023-01-04 |SM304        |7,568.00   |7,566.00 |7,640.00 |7,532.00 |7,564.00 |7,566.00  |-4.00     |-2.00     |19,628    |49,472      |6,162    |74,256.08    |                       
2023-01-04 |SM305        |7,556.00   |7,558.00 |7,628.00 |7,510.00 |7,546.00 |7,558.00  |-10.00    |2.00      |122,415   |169,773     |464      |462,544.86   |                       
2023-01-04 |SM306        |7,512.00   |7,532.00 |7,580.00 |7,474.00 |7,504.00 |7,510.00  |-8.00     |-2.00     |10,698    |10,922      |5,463    |40,163.74    |                       
2023-01-04 |SM307        |7,508.00   |0.00     |0.00     |0.00     |0.00     |7,508.00  |0.00      |0.00      |0         |316         |0        |0.00         |                       
2023-01-04 |SM308        |7,544.00   |0.00     |0.00     |0.00     |0.00     |7,538.00  |-6.00     |-6.00     |0         |1,269       |0        |0.00         |                       
2023-01-04 |SM309        |7,484.00   |7,508.00 |7,530.00 |7,450.00 |7,472.00 |7,478.00  |-12.00    |-6.00     |328       |2,391       |128      |1,226.47     |                       
2023-01-04 |SM310        |7,474.00   |7,484.00 |7,484.00 |7,458.00 |7,458.00 |7,476.00  |-16.00    |2.00      |3         |159         |1        |11.21        |                       
2023-01-04 |SM311        |7,524.00   |0.00     |0.00     |0.00     |0.00     |7,524.00  |0.00      |0.00      |0         |31          |0        |0.00         |                       
2023-01-04 |SM312        |7,504.00   |0.00     |0.00     |0.00     |0.00     |7,504.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2023-01-05 |SM301        |7,586.00   |8,318.00 |8,318.00 |7,550.00 |7,550.00 |7,564.00  |-36.00    |-22.00    |84        |1,925       |-10      |317.65       |7,554.00               
2023-01-05 |SM302        |7,588.00   |7,544.00 |7,660.00 |7,526.00 |7,556.00 |7,568.00  |-32.00    |-20.00    |3,093     |12,597      |-1,864   |11,704.54    |                       
2023-01-05 |SM303        |7,578.00   |7,534.00 |7,606.00 |7,498.00 |7,532.00 |7,560.00  |-46.00    |-18.00    |36,122    |97,102      |795      |136,535.56   |                       
2023-01-05 |SM304        |7,566.00   |7,522.00 |7,598.00 |7,488.00 |7,526.00 |7,552.00  |-40.00    |-14.00    |23,743    |54,357      |4,885    |89,642.82    |                       
2023-01-05 |SM305        |7,558.00   |7,500.00 |7,584.00 |7,472.00 |7,520.00 |7,532.00  |-38.00    |-26.00    |110,955   |168,105     |-1,668   |417,815.00   |                       
2023-01-05 |SM306        |7,510.00   |7,454.00 |7,560.00 |7,428.00 |7,482.00 |7,498.00  |-28.00    |-12.00    |9,319     |13,719      |2,797    |34,930.37    |                       
2023-01-05 |SM307        |7,508.00   |7,470.00 |7,492.00 |7,464.00 |7,488.00 |7,480.00  |-20.00    |-28.00    |129       |315         |-1       |482.39       |                       
2023-01-05 |SM308        |7,538.00   |7,470.00 |7,498.00 |7,462.00 |7,470.00 |7,470.00  |-68.00    |-68.00    |83        |1,195       |-74      |310.00       |                       
2023-01-05 |SM309        |7,478.00   |7,418.00 |7,500.00 |7,418.00 |7,456.00 |7,468.00  |-22.00    |-10.00    |239       |2,365       |-26      |892.36       |                       
2023-01-05 |SM310        |7,476.00   |7,438.00 |7,438.00 |7,428.00 |7,428.00 |7,438.00  |-48.00    |-38.00    |41        |120         |-39      |152.47       |                       
2023-01-05 |SM311        |7,524.00   |0.00     |0.00     |0.00     |0.00     |7,484.00  |-40.00    |-40.00    |0         |31          |0        |0.00         |                       
2023-01-05 |SM312        |7,504.00   |0.00     |0.00     |0.00     |0.00     |7,482.00  |-22.00    |-22.00    |0         |1           |0        |0.00         |                       
2023-01-06 |SM301        |7,564.00   |7,550.00 |8,280.00 |7,540.00 |7,700.00 |7,598.00  |136.00    |34.00     |93        |1,889       |-36      |353.32       |7,564.00               
2023-01-06 |SM302        |7,568.00   |7,564.00 |7,630.00 |7,488.00 |7,600.00 |7,548.00  |32.00     |-20.00    |2,860     |11,675      |-922     |10,792.16    |                       
2023-01-06 |SM303        |7,560.00   |7,546.00 |7,600.00 |7,426.00 |7,552.00 |7,510.00  |-8.00     |-50.00    |29,238    |91,401      |-5,701   |109,769.90   |                       
2023-01-06 |SM304        |7,552.00   |7,538.00 |7,590.00 |7,420.00 |7,544.00 |7,504.00  |-8.00     |-48.00    |19,315    |56,443      |2,086    |72,460.65    |                       
2023-01-06 |SM305        |7,532.00   |7,522.00 |7,572.00 |7,394.00 |7,526.00 |7,490.00  |-6.00     |-42.00    |163,519   |159,293     |-8,812   |612,329.29   |                       
2023-01-06 |SM306        |7,498.00   |7,498.00 |7,522.00 |7,368.00 |7,488.00 |7,446.00  |-10.00    |-52.00    |15,071    |17,301      |3,582    |56,102.58    |                       
2023-01-06 |SM307        |7,480.00   |7,480.00 |7,496.00 |7,366.00 |7,368.00 |7,452.00  |-112.00   |-28.00    |131       |260         |-55      |488.04       |                       
2023-01-06 |SM308        |7,470.00   |7,470.00 |7,470.00 |7,470.00 |7,470.00 |7,470.00  |0.00      |0.00      |3         |1,192       |-3       |11.21        |                       
2023-01-06 |SM309        |7,468.00   |7,468.00 |7,488.00 |7,330.00 |7,440.00 |7,428.00  |-28.00    |-40.00    |351       |2,374       |9        |1,303.51     |                       
2023-01-06 |SM310        |7,438.00   |7,344.00 |7,474.00 |7,344.00 |7,436.00 |7,458.00  |-2.00     |20.00     |14        |121         |1        |52.20        |                       
2023-01-06 |SM311        |7,484.00   |0.00     |0.00     |0.00     |0.00     |7,484.00  |0.00      |0.00      |0         |31          |0        |0.00         |                       
2023-01-06 |SM312        |7,482.00   |0.00     |0.00     |0.00     |0.00     |7,482.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2023-01-09 |SM301        |7,598.00   |7,762.00 |7,762.00 |7,586.00 |7,714.00 |7,688.00  |116.00    |90.00     |12        |1,885       |-4       |46.13        |7,594.00               
2023-01-09 |SM302        |7,548.00   |7,604.00 |7,718.00 |7,586.00 |7,706.00 |7,628.00  |158.00    |80.00     |3,009     |9,544       |-2,131   |11,475.76    |                       
2023-01-09 |SM303        |7,510.00   |7,566.00 |7,670.00 |7,548.00 |7,652.00 |7,642.00  |142.00    |132.00    |35,076    |92,144      |743      |134,016.75   |                       
2023-01-09 |SM304        |7,504.00   |7,568.00 |7,660.00 |7,544.00 |7,642.00 |7,632.00  |138.00    |128.00    |23,203    |59,549      |3,106    |88,526.98    |                       
2023-01-09 |SM305        |7,490.00   |7,550.00 |7,646.00 |7,518.00 |7,626.00 |7,608.00  |136.00    |118.00    |126,205   |173,883     |14,590   |480,039.73   |                       
2023-01-09 |SM306        |7,446.00   |7,494.00 |7,614.00 |7,484.00 |7,594.00 |7,582.00  |148.00    |136.00    |8,545     |19,274      |1,973    |32,390.60    |                       
2023-01-09 |SM307        |7,452.00   |7,576.00 |7,576.00 |7,552.00 |7,576.00 |7,566.00  |124.00    |114.00    |90        |313         |53       |340.42       |                       
2023-01-09 |SM308        |7,470.00   |7,570.00 |7,570.00 |7,562.00 |7,562.00 |7,566.00  |92.00     |96.00     |2         |1,192       |0        |7.57         |                       
2023-01-09 |SM309        |7,428.00   |7,454.00 |7,568.00 |7,454.00 |7,542.00 |7,540.00  |114.00    |112.00    |273       |2,403       |29       |1,029.06     |                       
2023-01-09 |SM310        |7,458.00   |7,522.00 |7,548.00 |7,514.00 |7,540.00 |7,532.00  |82.00     |74.00     |4         |119         |-2       |15.06        |                       
2023-01-09 |SM311        |7,484.00   |7,526.00 |7,526.00 |7,526.00 |7,526.00 |7,526.00  |42.00     |42.00     |1         |30          |-1       |3.76         |                       
2023-01-09 |SM312        |7,482.00   |0.00     |0.00     |0.00     |0.00     |7,482.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2023-01-10 |SM301        |7,688.00   |7,688.00 |7,704.00 |7,688.00 |7,704.00 |7,692.00  |16.00     |4.00      |271       |1,614       |-271     |1,041.80     |7,614.00               
2023-01-10 |SM302        |7,628.00   |7,652.00 |7,722.00 |7,652.00 |7,718.00 |7,692.00  |90.00     |64.00     |1,638     |8,857       |-687     |6,299.74     |                       
2023-01-10 |SM303        |7,642.00   |7,618.00 |7,672.00 |7,594.00 |7,660.00 |7,646.00  |18.00     |4.00      |25,552    |90,157      |-1,987   |97,682.71    |                       
2023-01-10 |SM304        |7,632.00   |7,624.00 |7,662.00 |7,584.00 |7,656.00 |7,636.00  |24.00     |4.00      |18,062    |60,039      |490      |68,965.17    |                       
2023-01-10 |SM305        |7,608.00   |7,600.00 |7,648.00 |7,564.00 |7,632.00 |7,616.00  |24.00     |8.00      |92,271    |176,876     |2,993    |351,320.12   |                       
2023-01-10 |SM306        |7,582.00   |7,548.00 |7,606.00 |7,528.00 |7,600.00 |7,582.00  |18.00     |0.00      |5,835     |20,720      |1,446    |22,120.35    |                       
2023-01-10 |SM307        |7,566.00   |7,536.00 |7,572.00 |7,536.00 |7,548.00 |7,562.00  |-18.00    |-4.00     |101       |369         |56       |381.82       |                       
2023-01-10 |SM308        |7,566.00   |7,562.00 |7,562.00 |7,562.00 |7,562.00 |7,562.00  |-4.00     |-4.00     |2         |1,192       |0        |7.56         |                       
2023-01-10 |SM309        |7,540.00   |7,500.00 |7,562.00 |7,494.00 |7,544.00 |7,536.00  |4.00      |-4.00     |231       |2,470       |67       |870.35       |                       
2023-01-10 |SM310        |7,532.00   |0.00     |0.00     |0.00     |0.00     |7,532.00  |0.00      |0.00      |0         |119         |0        |0.00         |                       
