					CZCE History data(2015MA)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice|
2015-01-05 |MA506        |2,057.00   |2,030.00 |2,057.00 |2,001.00 |2,008.00 |2,022.00  |-49.00    |-35.00    |848,336   |323,164     |17,650   |1,715,516.42 |0.00                   |
2015-01-05 |MA507        |2,082.00   |2,165.00 |2,165.00 |2,042.00 |2,044.00 |2,089.00  |-38.00    |7.00      |224       |126         |70       |467.91       |0.00                   |
2015-01-05 |MA508        |2,096.00   |2,095.00 |2,201.00 |2,070.00 |2,076.00 |2,151.00  |-20.00    |55.00     |2,034     |128         |116      |4,374.33     |0.00                   |
2015-01-05 |MA509        |2,128.00   |2,109.00 |2,133.00 |2,076.00 |2,083.00 |2,097.00  |-45.00    |-31.00    |50,714    |78,688      |1,014    |106,334.36   |0.00                   |
2015-01-05 |MA510        |2,129.00   |0.00     |0.00     |0.00     |0.00     |2,083.00  |-46.00    |-46.00    |0         |22          |0        |0.00         |0.00                   |
2015-01-05 |MA511        |2,124.00   |2,039.00 |2,139.00 |2,039.00 |2,080.00 |2,096.00  |-44.00    |-28.00    |182       |3,814       |-46      |381.47       |0.00                   |
2015-01-05 |MA512        |2,170.00   |2,219.00 |2,219.00 |2,117.00 |2,117.00 |2,157.00  |-53.00    |-13.00    |24        |18          |-6       |51.77        |0.00                   |
2015-01-06 |MA506        |2,022.00   |1,990.00 |2,041.00 |1,986.00 |2,022.00 |2,013.00  |0.00      |-9.00     |1,459,904 |355,152     |31,988   |2,939,433.23 |0.00                   |
2015-01-06 |MA507        |2,089.00   |2,034.00 |2,058.00 |2,034.00 |2,058.00 |2,048.00  |-31.00    |-41.00    |14        |134         |8        |28.67        |0.00                   |
2015-01-06 |MA508        |2,151.00   |2,065.00 |2,099.00 |2,064.00 |2,082.00 |2,073.00  |-69.00    |-78.00    |202       |204         |76       |418.75       |0.00                   |
2015-01-06 |MA509        |2,097.00   |2,063.00 |2,113.00 |2,062.00 |2,093.00 |2,086.00  |-4.00     |-11.00    |57,012    |80,736      |2,048    |118,902.16   |0.00                   |
2015-01-06 |MA510        |2,083.00   |0.00     |0.00     |0.00     |0.00     |2,083.00  |0.00      |0.00      |0         |22          |0        |0.00         |0.00                   |
2015-01-06 |MA511        |2,096.00   |2,070.00 |2,105.00 |2,065.00 |2,093.00 |2,077.00  |-3.00     |-19.00    |316       |3,804       |-10      |656.40       |0.00                   |
2015-01-06 |MA512        |2,157.00   |0.00     |0.00     |0.00     |0.00     |2,157.00  |0.00      |0.00      |0         |18          |0        |0.00         |0.00                   |
2015-01-07 |MA506        |2,013.00   |2,014.00 |2,053.00 |2,000.00 |2,022.00 |2,027.00  |9.00      |14.00     |1,956,456 |365,132     |9,980    |3,966,372.34 |0.00                   |
2015-01-07 |MA507        |2,048.00   |2,048.00 |2,077.00 |2,027.00 |2,049.00 |2,047.00  |1.00      |-1.00     |22        |134         |0        |45.04        |0.00                   |
2015-01-07 |MA508        |2,073.00   |2,074.00 |2,104.00 |2,074.00 |2,080.00 |2,092.00  |7.00      |19.00     |32        |194         |-10      |66.94        |0.00                   |
2015-01-07 |MA509        |2,086.00   |2,081.00 |2,124.00 |2,077.00 |2,096.00 |2,099.00  |10.00     |13.00     |41,428    |83,330      |2,594    |86,960.35    |0.00                   |
2015-01-07 |MA510        |2,083.00   |0.00     |0.00     |0.00     |0.00     |2,086.00  |3.00      |3.00      |0         |22          |0        |0.00         |0.00                   |
2015-01-07 |MA511        |2,077.00   |2,087.00 |2,116.00 |2,075.00 |2,092.00 |2,096.00  |15.00     |19.00     |308       |3,762       |-42      |645.60       |0.00                   |
2015-01-07 |MA512        |2,157.00   |0.00     |0.00     |0.00     |0.00     |2,157.00  |0.00      |0.00      |0         |18          |0        |0.00         |0.00                   |
2015-01-08 |MA506        |2,027.00   |2,039.00 |2,048.00 |2,023.00 |2,031.00 |2,036.00  |4.00      |9.00      |1,254,914 |358,318     |-6,814   |2,555,144.18 |0.00                   |
2015-01-08 |MA507        |2,047.00   |2,088.00 |2,097.00 |2,066.00 |2,072.00 |2,083.00  |25.00     |36.00     |86        |114         |-20      |179.17       |0.00                   |
2015-01-08 |MA508        |2,092.00   |2,095.00 |2,107.00 |2,095.00 |2,097.00 |2,098.00  |5.00      |6.00      |84        |130         |-64      |176.25       |0.00                   |
2015-01-08 |MA509        |2,099.00   |2,112.00 |2,118.00 |2,095.00 |2,103.00 |2,108.00  |4.00      |9.00      |25,488    |82,120      |-1,210   |53,722.45    |0.00                   |
2015-01-08 |MA510        |2,086.00   |0.00     |0.00     |0.00     |0.00     |2,093.00  |7.00      |7.00      |0         |22          |0        |0.00         |0.00                   |
2015-01-08 |MA511        |2,096.00   |2,106.00 |2,115.00 |2,093.00 |2,098.00 |2,106.00  |2.00      |10.00     |278       |3,734       |-28      |585.59       |0.00                   |
2015-01-08 |MA512        |2,157.00   |0.00     |0.00     |0.00     |0.00     |2,157.00  |0.00      |0.00      |0         |18          |0        |0.00         |0.00                   |
2015-01-09 |MA506        |2,036.00   |2,036.00 |2,038.00 |2,006.00 |2,017.00 |2,024.00  |-19.00    |-12.00    |1,134,404 |353,614     |-4,704   |2,296,213.99 |0.00                   |
2015-01-09 |MA507        |2,083.00   |2,051.00 |2,066.00 |2,049.00 |2,052.00 |2,057.00  |-31.00    |-26.00    |22        |112         |-2       |45.26        |0.00                   |
2015-01-09 |MA508        |2,098.00   |2,079.00 |2,091.00 |2,074.00 |2,074.00 |2,082.00  |-24.00    |-16.00    |66        |100         |-30      |137.41       |0.00                   |
2015-01-09 |MA509        |2,108.00   |2,107.00 |2,108.00 |2,081.00 |2,087.00 |2,097.00  |-21.00    |-11.00    |31,860    |81,024      |-1,096   |66,815.50    |0.00                   |
2015-01-09 |MA510        |2,093.00   |2,088.00 |2,088.00 |2,088.00 |2,088.00 |2,088.00  |-5.00     |-5.00     |2         |24          |2        |4.18         |0.00                   |
2015-01-09 |MA511        |2,106.00   |2,106.00 |2,106.00 |2,084.00 |2,096.00 |2,095.00  |-10.00    |-11.00    |126       |3,676       |-58      |264.02       |0.00                   |
2015-01-09 |MA512        |2,157.00   |0.00     |0.00     |0.00     |0.00     |2,157.00  |0.00      |0.00      |0         |18          |0        |0.00         |0.00                   |
2015-01-12 |MA506        |2,024.00   |2,009.00 |2,022.00 |1,943.00 |1,945.00 |1,973.00  |-79.00    |-51.00    |1,922,098 |496,114     |142,500  |3,793,057.75 |0.00                   |
