					CZCE History data(2021MA)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice
2021-01-04 |MA101        |2,416.00   |2,409.00 |2,476.00 |2,393.00 |2,445.00 |2,410.00  |29.00     |-6.00     |902       |7,393       |-637     |2,173.72     |2,476.00               
2021-01-04 |MA102        |2,457.00   |2,474.00 |2,505.00 |2,418.00 |2,474.00 |2,452.00  |17.00     |-5.00     |22,548    |26,680      |-3,762   |55,286.44    |                       
2021-01-04 |MA103        |2,459.00   |2,470.00 |2,505.00 |2,435.00 |2,492.00 |2,467.00  |33.00     |8.00      |72,311    |101,231     |569      |178,424.95   |                       
2021-01-04 |MA104        |2,421.00   |2,439.00 |2,468.00 |2,406.00 |2,454.00 |2,434.00  |33.00     |13.00     |4,189     |3,985       |1,446    |10,196.59    |                       
2021-01-04 |MA105        |2,375.00   |2,392.00 |2,418.00 |2,367.00 |2,405.00 |2,392.00  |30.00     |17.00     |1,057,338 |934,658     |71,424   |2,528,917.11 |                       
2021-01-04 |MA106        |2,373.00   |2,366.00 |2,411.00 |2,365.00 |2,400.00 |2,392.00  |27.00     |19.00     |898       |334         |271      |2,148.25     |                       
2021-01-04 |MA107        |2,329.00   |2,346.00 |2,374.00 |2,346.00 |2,374.00 |2,362.00  |45.00     |33.00     |4         |1,257       |1        |9.45         |                       
2021-01-04 |MA108        |2,352.00   |2,358.00 |2,380.00 |2,358.00 |2,380.00 |2,358.00  |28.00     |6.00      |1,625     |2,900       |-1,620   |3,831.86     |                       
2021-01-04 |MA109        |2,317.00   |2,334.00 |2,350.00 |2,310.00 |2,338.00 |2,330.00  |21.00     |13.00     |7,686     |26,808      |1,733    |17,905.61    |                       
2021-01-04 |MA110        |2,351.00   |2,365.00 |2,365.00 |2,365.00 |2,365.00 |2,365.00  |14.00     |14.00     |1         |10          |-1       |2.37         |                       
2021-01-04 |MA111        |2,375.00   |2,367.00 |2,378.00 |2,367.00 |2,372.00 |2,367.00  |-3.00     |-8.00     |3,003     |10,524      |2,999    |7,108.12     |                       
2021-01-04 |MA112        |2,365.00   |0.00     |0.00     |0.00     |0.00     |2,388.00  |23.00     |23.00     |0         |9           |0        |0.00         |                       
2021-01-05 |MA101        |2,410.00   |2,446.00 |2,471.00 |2,445.00 |2,460.00 |2,452.00  |50.00     |42.00     |1,797     |5,930       |-1,463   |4,406.13     |2,466.00               
2021-01-05 |MA102        |2,452.00   |2,463.00 |2,506.00 |2,463.00 |2,502.00 |2,485.00  |50.00     |33.00     |15,442    |23,517      |-3,163   |38,346.30    |                       
2021-01-05 |MA103        |2,467.00   |2,482.00 |2,521.00 |2,480.00 |2,515.00 |2,500.00  |48.00     |33.00     |73,256    |103,048     |1,817    |183,118.87   |                       
2021-01-05 |MA104        |2,434.00   |2,428.00 |2,474.00 |2,428.00 |2,473.00 |2,458.00  |39.00     |24.00     |4,531     |4,801       |816      |11,138.80    |                       
2021-01-05 |MA105        |2,392.00   |2,392.00 |2,425.00 |2,387.00 |2,416.00 |2,409.00  |24.00     |17.00     |1,222,454 |889,468     |-45,190  |2,944,376.84 |                       
2021-01-05 |MA106        |2,392.00   |2,406.00 |2,417.00 |2,389.00 |2,412.00 |2,407.00  |20.00     |15.00     |1,741     |487         |153      |4,189.89     |                       
2021-01-05 |MA107        |2,362.00   |2,371.00 |2,375.00 |2,353.00 |2,371.00 |2,367.00  |9.00      |5.00      |14        |1,261       |4        |33.14        |                       
2021-01-05 |MA108        |2,358.00   |2,382.00 |2,382.00 |2,366.00 |2,381.00 |2,378.00  |23.00     |20.00     |10        |2,906       |6        |23.78        |                       
2021-01-05 |MA109        |2,330.00   |2,328.00 |2,360.00 |2,327.00 |2,349.00 |2,342.00  |19.00     |12.00     |7,684     |27,471      |663      |17,999.38    |                       
2021-01-05 |MA110        |2,365.00   |2,359.00 |2,378.00 |2,359.00 |2,378.00 |2,372.00  |13.00     |7.00      |6         |13          |3        |14.23        |                       
2021-01-05 |MA111        |2,367.00   |2,385.00 |2,385.00 |2,385.00 |2,385.00 |2,385.00  |18.00     |18.00     |2         |10,522      |-2       |4.77         |                       
2021-01-05 |MA112        |2,388.00   |2,419.00 |2,419.00 |2,400.00 |2,410.00 |2,410.00  |22.00     |22.00     |3         |10          |1        |7.23         |                       
2021-01-06 |MA101        |2,452.00   |2,470.00 |2,485.00 |2,415.00 |2,415.00 |2,448.00  |-37.00    |-4.00     |352       |5,737       |-193     |861.77       |2,458.00               
2021-01-06 |MA102        |2,485.00   |2,532.00 |2,532.00 |2,448.00 |2,462.00 |2,495.00  |-23.00    |10.00     |40,655    |22,207      |-1,310   |100,809.52   |                       
2021-01-06 |MA103        |2,500.00   |2,549.00 |2,549.00 |2,455.00 |2,472.00 |2,505.00  |-28.00    |5.00      |81,808    |103,385     |337      |204,896.94   |                       
2021-01-06 |MA104        |2,458.00   |2,483.00 |2,491.00 |2,418.00 |2,425.00 |2,455.00  |-33.00    |-3.00     |5,892     |5,311       |510      |14,465.85    |                       
2021-01-06 |MA105        |2,409.00   |2,426.00 |2,436.00 |2,371.00 |2,386.00 |2,409.00  |-23.00    |0.00      |1,339,162 |987,317     |97,849   |3,226,036.42 |                       
2021-01-06 |MA106        |2,407.00   |2,422.00 |2,434.00 |2,369.00 |2,375.00 |2,400.00  |-32.00    |-7.00     |540       |576         |89       |1,295.88     |                       
2021-01-06 |MA107        |2,367.00   |2,380.00 |2,386.00 |2,339.00 |2,339.00 |2,349.00  |-28.00    |-18.00    |53        |1,243       |-18      |124.51       |                       
2021-01-06 |MA108        |2,378.00   |2,391.00 |2,391.00 |2,343.00 |2,343.00 |2,385.00  |-35.00    |7.00      |8         |2,900       |-6       |19.08        |                       
2021-01-06 |MA109        |2,342.00   |2,350.00 |2,376.00 |2,316.00 |2,329.00 |2,345.00  |-13.00    |3.00      |11,570    |30,068      |2,597    |27,133.81    |                       
2021-01-06 |MA110        |2,372.00   |0.00     |0.00     |0.00     |0.00     |2,357.00  |-15.00    |-15.00    |0         |13          |0        |0.00         |                       
2021-01-06 |MA111        |2,385.00   |2,417.00 |2,417.00 |2,371.00 |2,384.00 |2,417.00  |-1.00     |32.00     |620       |11,125      |603      |1,498.25     |                       
2021-01-06 |MA112        |2,410.00   |2,426.00 |2,443.00 |2,376.00 |2,376.00 |2,412.00  |-34.00    |2.00      |22        |12          |2        |53.06        |                       
2021-01-07 |MA101        |2,448.00   |2,407.00 |2,407.00 |2,350.00 |2,383.00 |2,376.00  |-65.00    |-72.00    |794       |4,954       |-783     |1,886.22     |2,446.00               
2021-01-07 |MA102        |2,495.00   |2,460.00 |2,460.00 |2,377.00 |2,410.00 |2,413.00  |-85.00    |-82.00    |18,530    |18,050      |-4,157   |44,716.12    |                       
2021-01-07 |MA103        |2,505.00   |2,457.00 |2,473.00 |2,396.00 |2,437.00 |2,437.00  |-68.00    |-68.00    |109,751   |94,460      |-8,925   |267,515.04   |                       
2021-01-07 |MA104        |2,455.00   |2,423.00 |2,429.00 |2,363.00 |2,409.00 |2,398.00  |-46.00    |-57.00    |13,429    |6,549       |1,238    |32,196.70    |                       
2021-01-07 |MA105        |2,409.00   |2,386.00 |2,392.00 |2,335.00 |2,380.00 |2,371.00  |-29.00    |-38.00    |1,461,009 |939,591     |-47,726  |3,464,155.56 |                       
