					ZCE Futures Historical Data(2026MA)
Date       |Contract Code|Pre Settle|Open     |High     |Low      |Close    |Settle|Chg 1   |Chg 2   |Volume (lot)|O.I.|OI Change|Turnover (RMB 10,000)|Final Settle
2026-01-05 |MA601        |2,195.00   |2,195.00 |2,201.00 |2,185.00 |2,191.00 |2,194.00  |-4.00     |-1.00     |2,648     |6,781       |-2,500   |5,809.13     |2,143.00               
2026-01-05 |MA602        |2,219.00   |2,230.00 |2,241.00 |2,214.00 |2,220.00 |2,225.00  |1.00      |6.00      |19,633    |42,573      |-2,045   |43,677.95    |                       
2026-01-05 |MA603        |2,239.00   |2,249.00 |2,264.00 |2,235.00 |2,243.00 |2,247.00  |4.00      |8.00      |60,322    |122,068     |10,195   |135,555.78   |                       
2026-01-05 |MA604        |2,236.00   |2,246.00 |2,262.00 |2,230.00 |2,238.00 |2,242.00  |2.00      |6.00      |24,774    |33,910      |3,093    |55,543.31    |                       
2026-01-05 |MA605        |2,224.00   |2,240.00 |2,242.00 |2,206.00 |2,215.00 |2,224.00  |-9.00     |0.00      |700,314   |773,584     |42,196   |1,557,552.34 |                       
2026-01-05 |MA606        |2,222.00   |2,207.00 |2,239.00 |2,205.00 |2,216.00 |2,224.00  |-6.00     |2.00      |8,043     |6,643       |5,790    |17,886.14    |                       
2026-01-05 |MA607        |2,223.00   |2,225.00 |2,231.00 |2,199.00 |2,205.00 |2,216.00  |-18.00    |-7.00     |386       |2,213       |148      |855.23       |                       
2026-01-05 |MA608        |2,206.00   |2,206.00 |2,222.00 |2,183.00 |2,189.00 |2,198.00  |-17.00    |-8.00     |195       |1,003       |92       |428.62       |                       
2026-01-05 |MA609        |2,195.00   |2,199.00 |2,204.00 |2,165.00 |2,172.00 |2,181.00  |-23.00    |-14.00    |33,426    |76,454      |5,371    |72,902.73    |                       
2026-01-05 |MA610        |2,205.00   |2,204.00 |2,205.00 |2,181.00 |2,185.00 |2,194.00  |-20.00    |-11.00    |23        |227         |-2       |50.46        |                       
2026-01-05 |MA611        |2,218.00   |2,214.00 |2,217.00 |2,193.00 |2,193.00 |2,207.00  |-25.00    |-11.00    |28        |159         |0        |61.80        |                       
2026-01-05 |MA612        |2,259.00   |2,256.00 |2,256.00 |2,217.00 |2,217.00 |2,237.00  |-42.00    |-22.00    |74        |96          |-7       |165.53       |                       
2026-01-06 |MA601        |2,194.00   |2,199.00 |2,268.00 |2,199.00 |2,268.00 |2,228.00  |74.00     |34.00     |2,317     |4,685       |-2,096   |5,161.78     |2,154.00               
2026-01-06 |MA602        |2,225.00   |2,218.00 |2,310.00 |2,218.00 |2,307.00 |2,274.00  |82.00     |49.00     |43,368    |43,569      |996      |98,608.59    |                       
2026-01-06 |MA603        |2,247.00   |2,259.00 |2,336.00 |2,249.00 |2,325.00 |2,300.00  |78.00     |53.00     |159,454   |127,463     |5,395    |366,783.97   |                       
2026-01-06 |MA604        |2,242.00   |2,250.00 |2,326.00 |2,250.00 |2,320.00 |2,291.00  |78.00     |49.00     |57,310    |35,988      |2,078    |131,278.73   |                       
2026-01-06 |MA605        |2,224.00   |2,220.00 |2,299.00 |2,220.00 |2,293.00 |2,264.00  |69.00     |40.00     |1,605,920 |824,536     |50,952   |3,635,644.24 |                       
2026-01-06 |MA606        |2,224.00   |2,219.00 |2,288.00 |2,219.00 |2,285.00 |2,260.00  |61.00     |36.00     |23,928    |13,532      |6,889    |54,071.91    |                       
2026-01-06 |MA607        |2,216.00   |2,210.00 |2,279.00 |2,202.00 |2,275.00 |2,261.00  |59.00     |45.00     |830       |2,764       |551      |1,876.82     |                       
2026-01-06 |MA608        |2,198.00   |2,194.00 |2,259.00 |2,183.00 |2,256.00 |2,232.00  |58.00     |34.00     |1,188     |2,043       |1,040    |2,652.08     |                       
2026-01-06 |MA609        |2,181.00   |2,180.00 |2,244.00 |2,180.00 |2,240.00 |2,216.00  |59.00     |35.00     |55,678    |78,891      |2,437    |123,410.07   |                       
2026-01-06 |MA610        |2,194.00   |2,195.00 |2,250.00 |2,195.00 |2,245.00 |2,230.00  |51.00     |36.00     |1,074     |1,213       |986      |2,394.93     |                       
2026-01-06 |MA611        |2,207.00   |2,207.00 |2,260.00 |2,207.00 |2,260.00 |2,249.00  |53.00     |42.00     |1,094     |1,168       |1,009    |2,459.89     |                       
2026-01-06 |MA612        |2,237.00   |2,222.00 |2,276.00 |2,222.00 |2,276.00 |2,265.00  |39.00     |28.00     |1,166     |1,159       |1,063    |2,641.44     |                       
2026-01-07 |MA601        |2,228.00   |2,275.00 |2,275.00 |2,222.00 |2,235.00 |2,256.00  |7.00      |28.00     |598       |4,087       |-598     |1,348.88     |2,168.00               
2026-01-07 |MA602        |2,274.00   |2,321.00 |2,342.00 |2,241.00 |2,267.00 |2,282.00  |-7.00     |8.00      |31,391    |33,567      |-10,002  |71,622.81    |                       
2026-01-07 |MA603        |2,300.00   |2,337.00 |2,363.00 |2,264.00 |2,286.00 |2,310.00  |-14.00    |10.00     |148,949   |126,511     |-952     |344,067.96   |                       
2026-01-07 |MA604        |2,291.00   |2,329.00 |2,354.00 |2,261.00 |2,287.00 |2,306.00  |-4.00     |15.00     |76,712    |34,889      |-1,099   |176,892.24   |                       
2026-01-07 |MA605        |2,264.00   |2,296.00 |2,323.00 |2,241.00 |2,267.00 |2,280.00  |3.00      |16.00     |1,857,665 |818,847     |-5,689   |4,234,878.08 |                       
2026-01-07 |MA606        |2,260.00   |2,283.00 |2,335.00 |2,241.00 |2,263.00 |2,278.00  |3.00      |18.00     |30,406    |17,442      |3,910    |69,254.45    |                       
2026-01-07 |MA607        |2,261.00   |2,274.00 |2,300.00 |2,238.00 |2,258.00 |2,266.00  |-3.00     |5.00      |1,089     |2,696       |-68      |2,467.40     |                       
2026-01-07 |MA608        |2,232.00   |2,261.00 |2,316.00 |2,231.00 |2,256.00 |2,250.00  |24.00     |18.00     |462       |1,913       |-130     |1,039.57     |                       
2026-01-07 |MA609        |2,216.00   |2,240.00 |2,263.00 |2,220.00 |2,247.00 |2,242.00  |31.00     |26.00     |74,129    |73,546      |-5,345   |166,208.39   |                       
2026-01-07 |MA610        |2,230.00   |2,262.00 |2,267.00 |2,230.00 |2,252.00 |2,252.00  |22.00     |22.00     |99        |1,207       |-6       |222.91       |                       
2026-01-07 |MA611        |2,249.00   |2,269.00 |2,285.00 |2,243.00 |2,263.00 |2,265.00  |14.00     |16.00     |187       |1,189       |21       |423.55       |                       
2026-01-07 |MA612        |2,265.00   |2,280.00 |2,296.00 |2,272.00 |2,281.00 |2,284.00  |16.00     |19.00     |208       |1,239       |80       |475.04       |                       
2026-01-08 |MA601        |2,256.00   |2,160.00 |2,219.00 |2,160.00 |2,195.00 |2,206.00  |-61.00    |-50.00    |869       |3,229       |-858     |1,917.08     |2,176.00               
2026-01-08 |MA602        |2,282.00   |2,272.00 |2,272.00 |2,213.00 |2,225.00 |2,241.00  |-57.00    |-41.00    |19,755    |29,073      |-4,494   |44,175.90    |                       
2026-01-08 |MA603        |2,310.00   |2,290.00 |2,290.00 |2,228.00 |2,242.00 |2,254.00  |-68.00    |-56.00    |124,825   |124,638     |-1,873   |281,396.71   |                       
2026-01-08 |MA604        |2,306.00   |2,283.00 |2,286.00 |2,230.00 |2,243.00 |2,255.00  |-63.00    |-51.00    |49,761    |31,642      |-3,247   |112,203.50   |                       
2026-01-08 |MA605        |2,280.00   |2,267.00 |2,267.00 |2,219.00 |2,231.00 |2,243.00  |-49.00    |-37.00    |1,390,410 |870,199     |51,352   |3,118,160.77 |                       
2026-01-08 |MA606        |2,278.00   |2,269.00 |2,269.00 |2,227.00 |2,237.00 |2,244.00  |-41.00    |-34.00    |27,441    |19,006      |1,564    |61,575.31    |                       
2026-01-08 |MA607        |2,266.00   |2,263.00 |2,264.00 |2,228.00 |2,235.00 |2,245.00  |-31.00    |-21.00    |944       |3,005       |309      |2,119.03     |                       
2026-01-08 |MA608        |2,250.00   |2,244.00 |2,260.00 |2,234.00 |2,253.00 |2,251.00  |3.00      |1.00      |514       |2,163       |250      |1,156.90     |                       
2026-01-08 |MA609        |2,242.00   |2,250.00 |2,254.00 |2,225.00 |2,235.00 |2,241.00  |-7.00     |-1.00     |70,198    |77,619      |4,073    |157,319.28   |                       
2026-01-08 |MA610        |2,252.00   |2,257.00 |2,259.00 |2,231.00 |2,243.00 |2,246.00  |-9.00     |-6.00     |58        |1,198       |-9       |130.26       |                       
2026-01-08 |MA611        |2,265.00   |2,263.00 |2,271.00 |2,244.00 |2,256.00 |2,259.00  |-9.00     |-6.00     |650       |1,744       |555      |1,468.22     |                       
2026-01-08 |MA612        |2,284.00   |2,283.00 |2,287.00 |2,266.00 |2,274.00 |2,276.00  |-10.00    |-8.00     |720       |1,828       |589      |1,638.87     |                       
2026-01-09 |MA601        |2,206.00   |2,210.00 |2,240.00 |2,210.00 |2,240.00 |2,223.00  |34.00     |17.00     |112       |3,117       |-112     |249.00       |2,185.00               
2026-01-09 |MA602        |2,241.00   |2,230.00 |2,265.00 |2,210.00 |2,259.00 |2,239.00  |18.00     |-2.00     |10,972    |28,236      |-837     |24,564.00    |                       
2026-01-09 |MA603        |2,254.00   |2,250.00 |2,285.00 |2,225.00 |2,281.00 |2,254.00  |27.00     |0.00      |117,744   |120,356     |-4,282   |265,421.09   |                       
2026-01-09 |MA604        |2,255.00   |2,247.00 |2,287.00 |2,224.00 |2,285.00 |2,255.00  |30.00     |0.00      |57,870    |27,710      |-3,932   |130,481.14   |                       
2026-01-09 |MA605        |2,243.00   |2,238.00 |2,276.00 |2,211.00 |2,273.00 |2,245.00  |30.00     |2.00      |1,553,611 |812,955     |-57,244  |3,487,738.40 |                       
2026-01-09 |MA606        |2,244.00   |2,245.00 |2,279.00 |2,220.00 |2,279.00 |2,246.00  |35.00     |2.00      |29,529    |20,850      |1,844    |66,324.90    |                       
2026-01-09 |MA607        |2,245.00   |2,242.00 |2,273.00 |2,220.00 |2,273.00 |2,248.00  |28.00     |3.00      |274       |2,981       |-24      |616.02       |                       
2026-01-09 |MA608        |2,251.00   |2,245.00 |2,280.00 |2,229.00 |2,280.00 |2,256.00  |29.00     |5.00      |155       |2,161       |-2       |349.74       |                       
2026-01-09 |MA609        |2,241.00   |2,240.00 |2,273.00 |2,218.00 |2,271.00 |2,250.00  |30.00     |9.00      |67,652    |90,161      |12,542   |152,235.70   |                       
2026-01-09 |MA610        |2,246.00   |2,244.00 |2,276.00 |2,226.00 |2,271.00 |2,245.00  |25.00     |-1.00     |221       |1,194       |-4       |496.15       |                       
2026-01-09 |MA611        |2,259.00   |2,260.00 |2,284.00 |2,241.00 |2,280.00 |2,264.00  |21.00     |5.00      |141       |1,736       |-8       |319.29       |                       
2026-01-09 |MA612        |2,276.00   |2,276.00 |2,298.00 |2,261.00 |2,298.00 |2,285.00  |22.00     |9.00      |213       |1,900       |72       |486.62       |                       
2026-01-12 |MA601        |2,223.00   |2,240.00 |2,240.00 |2,225.00 |2,225.00 |2,228.00  |2.00      |5.00      |71        |3,047       |-70      |158.16       |2,195.00               
2026-01-12 |MA602        |2,239.00   |2,264.00 |2,300.00 |2,241.00 |2,250.00 |2,257.00  |11.00     |18.00     |18,024    |28,154      |-82      |40,615.24    |                       
2026-01-12 |MA603        |2,254.00   |2,282.00 |2,304.00 |2,257.00 |2,266.00 |2,274.00  |12.00     |20.00     |127,732   |123,044     |2,688    |290,502.41   |                       
2026-01-12 |MA604        |2,255.00   |2,281.00 |2,309.00 |2,261.00 |2,271.00 |2,276.00  |16.00     |21.00     |58,260    |26,378      |-1,332   |132,628.77   |                       
2026-01-12 |MA605        |2,245.00   |2,275.00 |2,299.00 |2,248.00 |2,263.00 |2,267.00  |18.00     |22.00     |1,462,981 |863,591     |50,636   |3,316,989.41 |                       
2026-01-12 |MA606        |2,246.00   |2,274.00 |2,301.00 |2,252.00 |2,262.00 |2,268.00  |16.00     |22.00     |32,293    |23,986      |3,136    |73,241.98    |                       
2026-01-12 |MA607        |2,248.00   |2,270.00 |2,290.00 |2,250.00 |2,260.00 |2,264.00  |12.00     |16.00     |352       |3,037       |56       |797.08       |                       
2026-01-12 |MA608        |2,256.00   |2,261.00 |2,286.00 |2,255.00 |2,270.00 |2,268.00  |14.00     |12.00     |125       |2,152       |-9       |283.50       |                       
2026-01-12 |MA609        |2,250.00   |2,272.00 |2,289.00 |2,245.00 |2,261.00 |2,261.00  |11.00     |11.00     |51,537    |95,671      |5,510    |116,535.67   |                       
2026-01-12 |MA610        |2,245.00   |2,259.00 |2,286.00 |2,257.00 |2,266.00 |2,271.00  |21.00     |26.00     |38        |1,188       |-6       |86.28        |                       
2026-01-12 |MA611        |2,264.00   |2,273.00 |2,292.00 |2,264.00 |2,271.00 |2,278.00  |7.00      |14.00     |99        |1,737       |1        |225.57       |                       
2026-01-12 |MA612        |2,285.00   |2,290.00 |2,308.00 |2,278.00 |2,288.00 |2,293.00  |3.00      |8.00      |112       |1,903       |3        |256.85       |                       
2026-01-13 |MA601        |2,228.00   |2,163.00 |2,219.00 |2,094.00 |2,169.00 |2,180.00  |-59.00    |-48.00    |380       |2,972       |-75      |828.24       |2,201.00               
2026-01-13 |MA602        |2,257.00   |2,241.00 |2,267.00 |2,212.00 |2,226.00 |2,239.00  |-31.00    |-18.00    |104,259   |40,114      |11,960   |232,336.95   |                       
2026-01-13 |MA603        |2,274.00   |2,256.00 |2,288.00 |2,227.00 |2,249.00 |2,258.00  |-25.00    |-16.00    |156,119   |124,579     |1,535    |352,438.85   |                       
2026-01-13 |MA604        |2,276.00   |2,262.00 |2,298.00 |2,235.00 |2,262.00 |2,265.00  |-14.00    |-11.00    |70,643    |27,254      |876      |160,005.54   |                       
2026-01-13 |MA605        |2,267.00   |2,250.00 |2,295.00 |2,229.00 |2,263.00 |2,262.00  |-4.00     |-5.00     |1,600,904 |830,030     |-33,561  |3,621,444.92 |                       
2026-01-13 |MA606        |2,268.00   |2,256.00 |2,305.00 |2,241.00 |2,272.00 |2,274.00  |4.00      |6.00      |32,189    |23,597      |-389     |73,193.34    |                       
2026-01-13 |MA607        |2,264.00   |2,262.00 |2,300.00 |2,240.00 |2,270.00 |2,265.00  |6.00      |1.00      |680       |3,112       |75       |1,540.31     |                       
2026-01-13 |MA608        |2,268.00   |2,263.00 |2,303.00 |2,248.00 |2,280.00 |2,270.00  |12.00     |2.00      |249       |2,210       |58       |565.33       |                       
2026-01-13 |MA609        |2,261.00   |2,250.00 |2,297.00 |2,242.00 |2,268.00 |2,270.00  |7.00      |9.00      |49,105    |102,149     |6,478    |111,471.59   |                       
2026-01-13 |MA610        |2,271.00   |2,260.00 |2,297.00 |2,250.00 |2,277.00 |2,278.00  |6.00      |7.00      |89        |1,175       |-13      |202.75       |                       
2026-01-13 |MA611        |2,278.00   |2,270.00 |2,302.00 |2,258.00 |2,280.00 |2,287.00  |2.00      |9.00      |126       |1,734       |-3       |288.20       |                       
2026-01-13 |MA612        |2,293.00   |2,283.00 |2,316.00 |2,274.00 |2,298.00 |2,298.00  |5.00      |5.00      |218       |1,954       |51       |501.00       |                       
2026-01-14 |MA601        |2,180.00   |2,251.00 |2,251.00 |2,251.00 |2,251.00 |2,251.00  |71.00     |71.00     |5         |2,972       |0        |11.26        |2,213.00               
2026-01-14 |MA602        |2,239.00   |2,232.00 |2,280.00 |2,228.00 |2,253.00 |2,246.00  |14.00     |7.00      |27,919    |24,957      |-15,157  |62,700.44    |                       
2026-01-14 |MA603        |2,258.00   |2,258.00 |2,306.00 |2,256.00 |2,279.00 |2,279.00  |21.00     |21.00     |135,063   |124,933     |354      |307,875.52   |                       
2026-01-14 |MA604        |2,265.00   |2,265.00 |2,315.00 |2,265.00 |2,293.00 |2,288.00  |28.00     |23.00     |66,405    |28,911      |1,657    |151,936.70   |                       
2026-01-14 |MA605        |2,262.00   |2,273.00 |2,310.00 |2,263.00 |2,288.00 |2,285.00  |26.00     |23.00     |1,571,983 |823,784     |-6,246   |3,592,518.47 |                       
2026-01-14 |MA606        |2,274.00   |2,280.00 |2,312.00 |2,272.00 |2,291.00 |2,291.00  |17.00     |17.00     |35,051    |23,919      |322      |80,303.92    |                       
2026-01-14 |MA607        |2,265.00   |2,278.00 |2,310.00 |2,273.00 |2,289.00 |2,287.00  |24.00     |22.00     |572       |3,148       |36       |1,307.89     |                       
2026-01-14 |MA608        |2,270.00   |2,301.00 |2,314.00 |2,278.00 |2,295.00 |2,295.00  |25.00     |25.00     |181       |2,229       |19       |415.41       |                       
2026-01-14 |MA609        |2,270.00   |2,277.00 |2,306.00 |2,269.00 |2,288.00 |2,288.00  |18.00     |18.00     |36,796    |104,538     |2,389    |84,207.51    |                       
