					CZCE History data(2019TA)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice|
2019-01-02 |TA901        |5,922.00   |5,850.00 |5,878.00 |5,820.00 |5,866.00 |5,854.00  |-56.00    |-68.00    |1,926     |91,232      |-1,004   |5,636.43     |6,208.00               |
2019-01-02 |TA902        |5,728.00   |5,708.00 |5,740.00 |5,674.00 |5,674.00 |5,696.00  |-54.00    |-32.00    |300       |230         |6        |854.33       |0.00                   |
2019-01-02 |TA903        |5,752.00   |5,694.00 |5,704.00 |5,620.00 |5,650.00 |5,654.00  |-102.00   |-98.00    |68,288    |148,928     |-8,854   |193,027.57   |0.00                   |
2019-01-02 |TA904        |5,682.00   |5,676.00 |5,676.00 |5,652.00 |5,652.00 |5,664.00  |-30.00    |-18.00    |4         |16          |0        |11.33        |0.00                   |
2019-01-02 |TA905        |5,690.00   |5,622.00 |5,652.00 |5,560.00 |5,588.00 |5,602.00  |-102.00   |-88.00    |1,208,902 |1,119,304   |57,606   |3,386,285.08 |0.00                   |
2019-01-02 |TA906        |5,638.00   |0.00     |0.00     |0.00     |0.00     |5,574.00  |-64.00    |-64.00    |0         |20          |0        |0.00         |0.00                   |
2019-01-02 |TA907        |5,634.00   |5,596.00 |5,596.00 |5,504.00 |5,530.00 |5,540.00  |-104.00   |-94.00    |53,682    |68,190      |14,754   |148,685.69   |0.00                   |
2019-01-02 |TA908        |5,570.00   |0.00     |0.00     |0.00     |0.00     |5,518.00  |-52.00    |-52.00    |0         |28          |0        |0.00         |0.00                   |
2019-01-02 |TA909        |5,560.00   |5,522.00 |5,532.00 |5,452.00 |5,472.00 |5,488.00  |-88.00    |-72.00    |30,970    |84,958      |4,774    |84,988.08    |0.00                   |
2019-01-02 |TA910        |5,530.00   |0.00     |0.00     |0.00     |0.00     |5,488.00  |-42.00    |-42.00    |0         |180         |0        |0.00         |0.00                   |
2019-01-02 |TA911        |5,520.00   |5,480.00 |5,484.00 |5,442.00 |5,454.00 |5,464.00  |-66.00    |-56.00    |1,446     |1,756       |1,212    |3,949.65     |0.00                   |
2019-01-02 |TA912        |5,450.00   |5,500.00 |5,500.00 |5,418.00 |5,422.00 |5,448.00  |-28.00    |-2.00     |6         |38          |4        |16.34        |0.00                   |
2019-01-03 |TA901        |5,854.00   |5,860.00 |5,938.00 |5,850.00 |5,900.00 |5,886.00  |46.00     |32.00     |17,910    |77,270      |-13,962  |52,706.54    |6,144.00               |
2019-01-03 |TA902        |5,696.00   |5,708.00 |5,822.00 |5,708.00 |5,752.00 |5,764.00  |56.00     |68.00     |90        |168         |-62      |259.34       |0.00                   |
2019-01-03 |TA903        |5,654.00   |5,652.00 |5,760.00 |5,622.00 |5,732.00 |5,700.00  |78.00     |46.00     |84,148    |141,024     |-7,904   |239,782.67   |0.00                   |
2019-01-03 |TA904        |5,664.00   |0.00     |0.00     |0.00     |0.00     |5,688.00  |24.00     |24.00     |0         |16          |0        |0.00         |0.00                   |
2019-01-03 |TA905        |5,602.00   |5,586.00 |5,700.00 |5,564.00 |5,668.00 |5,636.00  |66.00     |34.00     |1,904,798 |1,112,138   |-7,166   |5,367,674.85 |0.00                   |
2019-01-03 |TA906        |5,574.00   |5,570.00 |5,670.00 |5,566.00 |5,654.00 |5,614.00  |80.00     |40.00     |38        |30          |10       |106.66       |0.00                   |
2019-01-03 |TA907        |5,540.00   |5,530.00 |5,632.00 |5,508.00 |5,602.00 |5,586.00  |62.00     |46.00     |84,660    |86,350      |18,160   |236,406.37   |0.00                   |
2019-01-03 |TA908        |5,518.00   |0.00     |0.00     |0.00     |0.00     |5,550.00  |32.00     |32.00     |0         |28          |0        |0.00         |0.00                   |
2019-01-03 |TA909        |5,488.00   |5,470.00 |5,574.00 |5,450.00 |5,538.00 |5,512.00  |50.00     |24.00     |36,768    |86,758      |1,800    |101,332.82   |0.00                   |
2019-01-03 |TA910        |5,488.00   |5,492.00 |5,492.00 |5,484.00 |5,484.00 |5,488.00  |-4.00     |0.00      |6         |174         |-6       |16.46        |0.00                   |
2019-01-03 |TA911        |5,464.00   |5,434.00 |5,532.00 |5,434.00 |5,500.00 |5,480.00  |36.00     |16.00     |190       |1,712       |-44      |520.54       |0.00                   |
2019-01-03 |TA912        |5,448.00   |5,538.00 |5,578.00 |5,538.00 |5,570.00 |5,538.00  |122.00    |90.00     |4,006     |4,042       |4,004    |11,092.69    |0.00                   |
2019-01-04 |TA901        |5,886.00   |5,978.00 |6,116.00 |5,954.00 |6,116.00 |6,006.00  |230.00    |120.00    |9,880     |68,244      |-9,026   |29,667.68    |6,096.00               |
2019-01-04 |TA902        |5,764.00   |5,938.00 |5,972.00 |5,810.00 |5,972.00 |5,876.00  |208.00    |112.00    |52        |158         |-10      |152.76       |0.00                   |
2019-01-04 |TA903        |5,700.00   |5,770.00 |5,918.00 |5,744.00 |5,906.00 |5,810.00  |206.00    |110.00    |77,288    |134,784     |-6,240   |224,476.00   |0.00                   |
2019-01-04 |TA904        |5,688.00   |5,764.00 |5,844.00 |5,764.00 |5,842.00 |5,812.00  |154.00    |124.00    |50        |48          |32       |145.30       |0.00                   |
2019-01-04 |TA905        |5,636.00   |5,696.00 |5,854.00 |5,674.00 |5,834.00 |5,750.00  |198.00    |114.00    |2,441,786 |955,244     |-156,894 |7,019,787.73 |0.00                   |
2019-01-04 |TA906        |5,614.00   |5,676.00 |5,810.00 |5,668.00 |5,810.00 |5,718.00  |196.00    |104.00    |28        |22          |-8       |80.04        |0.00                   |
2019-01-04 |TA907        |5,586.00   |5,644.00 |5,782.00 |5,608.00 |5,758.00 |5,676.00  |172.00    |90.00     |86,058    |100,982     |14,632   |244,201.46   |0.00                   |
2019-01-04 |TA908        |5,550.00   |0.00     |0.00     |0.00     |0.00     |5,712.00  |162.00    |162.00    |0         |28          |0        |0.00         |0.00                   |
2019-01-04 |TA909        |5,512.00   |5,580.00 |5,714.00 |5,546.00 |5,694.00 |5,620.00  |182.00    |108.00    |53,890    |91,190      |4,432    |151,393.57   |0.00                   |
2019-01-04 |TA910        |5,488.00   |5,700.00 |5,700.00 |5,700.00 |5,700.00 |5,700.00  |212.00    |212.00    |2         |172         |-2       |5.70         |0.00                   |
2019-01-04 |TA911        |5,480.00   |5,240.00 |5,666.00 |5,240.00 |5,660.00 |5,324.00  |180.00    |-156.00   |2,596     |3,724       |2,012    |6,909.32     |0.00                   |
2019-01-04 |TA912        |5,538.00   |5,586.00 |5,670.00 |5,556.00 |5,666.00 |5,670.00  |128.00    |132.00    |8,028     |12,044      |8,002    |22,754.89    |0.00                   |
2019-01-07 |TA901        |6,006.00   |6,114.00 |6,130.00 |6,100.00 |6,120.00 |6,118.00  |114.00    |112.00    |6,086     |63,424      |-4,820   |18,615.76    |6,064.00               |
2019-01-07 |TA902        |5,876.00   |5,910.00 |6,008.00 |5,910.00 |5,956.00 |5,958.00  |80.00     |82.00     |22        |158         |0        |65.53        |0.00                   |
2019-01-07 |TA903        |5,810.00   |5,950.00 |5,964.00 |5,886.00 |5,936.00 |5,924.00  |126.00    |114.00    |53,088    |134,400     |-384     |157,249.90   |0.00                   |
2019-01-07 |TA904        |5,812.00   |5,906.00 |5,906.00 |5,874.00 |5,886.00 |5,886.00  |74.00     |74.00     |20        |32          |-16      |58.85        |0.00                   |
2019-01-07 |TA905        |5,750.00   |5,866.00 |5,874.00 |5,808.00 |5,842.00 |5,836.00  |92.00     |86.00     |1,668,564 |965,948     |10,704   |4,868,422.45 |0.00                   |
2019-01-07 |TA906        |5,718.00   |5,814.00 |5,814.00 |5,804.00 |5,804.00 |5,808.00  |86.00     |90.00     |8         |20          |-2       |23.23        |0.00                   |
2019-01-07 |TA907        |5,676.00   |5,776.00 |5,798.00 |5,732.00 |5,766.00 |5,758.00  |90.00     |82.00     |91,928    |110,082     |9,100    |264,652.44   |0.00                   |
2019-01-07 |TA908        |5,712.00   |0.00     |0.00     |0.00     |0.00     |5,714.00  |2.00      |2.00      |0         |28          |0        |0.00         |0.00                   |
2019-01-07 |TA909        |5,620.00   |5,700.00 |5,728.00 |5,666.00 |5,692.00 |5,692.00  |72.00     |72.00     |38,698    |94,114      |2,924    |110,129.20   |0.00                   |
