					CZCE History data(2022TA)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice
2022-01-04 |TA201        |4,932.00   |4,940.00 |5,022.00 |4,934.00 |4,986.00 |4,968.00  |54.00     |36.00     |11,718    |54,868      |-9,611   |29,099.48    |4,808.00               
2022-01-04 |TA202        |4,948.00   |4,958.00 |5,032.00 |4,938.00 |4,996.00 |4,976.00  |48.00     |28.00     |55,944    |171,386     |-21,744  |139,136.12   |                       
2022-01-04 |TA203        |4,966.00   |4,962.00 |5,046.00 |4,950.00 |5,010.00 |4,992.00  |44.00     |26.00     |169,874   |425,156     |9,451    |424,007.15   |                       
2022-01-04 |TA204        |4,980.00   |4,984.00 |5,064.00 |4,970.00 |5,030.00 |5,012.00  |50.00     |32.00     |59,398    |65,881      |31,334   |148,839.60   |                       
2022-01-04 |TA205        |5,002.00   |5,018.00 |5,082.00 |4,984.00 |5,046.00 |5,032.00  |44.00     |30.00     |1,048,189 |1,185,751   |39,045   |2,637,263.86 |                       
2022-01-04 |TA206        |5,008.00   |5,020.00 |5,086.00 |4,994.00 |5,052.00 |5,042.00  |44.00     |34.00     |3,816     |5,345       |2,867    |9,618.64     |                       
2022-01-04 |TA207        |5,028.00   |5,046.00 |5,100.00 |5,010.00 |5,052.00 |5,068.00  |24.00     |40.00     |150       |25,435      |-24      |380.07       |                       
2022-01-04 |TA208        |5,038.00   |5,062.00 |5,084.00 |5,044.00 |5,056.00 |5,072.00  |18.00     |34.00     |43        |16,142      |-22      |109.05       |                       
2022-01-04 |TA209        |5,042.00   |5,062.00 |5,110.00 |5,028.00 |5,080.00 |5,070.00  |38.00     |28.00     |18,725    |56,905      |2,849    |47,469.51    |                       
2022-01-04 |TA210        |5,100.00   |5,094.00 |5,140.00 |5,094.00 |5,122.00 |5,116.00  |22.00     |16.00     |7         |95          |-1       |17.91        |                       
2022-01-04 |TA211        |5,116.00   |5,116.00 |5,166.00 |5,116.00 |5,134.00 |5,146.00  |18.00     |30.00     |6         |992         |1        |15.44        |                       
2022-01-04 |TA212        |5,094.00   |0.00     |0.00     |0.00     |0.00     |5,126.00  |32.00     |32.00     |0         |4           |0        |0.00         |                       
2022-01-05 |TA201        |4,968.00   |4,962.00 |5,150.00 |4,962.00 |5,080.00 |5,018.00  |112.00    |50.00     |16,923    |43,060      |-11,808  |42,503.77    |4,854.00               
2022-01-05 |TA202        |4,976.00   |5,012.00 |5,172.00 |5,012.00 |5,086.00 |5,074.00  |110.00    |98.00     |77,715    |136,657     |-34,729  |197,165.77   |                       
2022-01-05 |TA203        |4,992.00   |5,050.00 |5,186.00 |5,028.00 |5,098.00 |5,110.00  |106.00    |118.00    |253,179   |432,155     |6,999    |646,872.41   |                       
2022-01-05 |TA204        |5,012.00   |5,050.00 |5,208.00 |5,046.00 |5,120.00 |5,136.00  |108.00    |124.00    |115,452   |115,172     |49,291   |296,505.22   |                       
2022-01-05 |TA205        |5,032.00   |5,070.00 |5,226.00 |5,064.00 |5,138.00 |5,150.00  |106.00    |118.00    |1,725,638 |1,217,955   |32,204   |4,443,167.43 |                       
2022-01-05 |TA206        |5,042.00   |5,066.00 |5,228.00 |5,066.00 |5,146.00 |5,152.00  |104.00    |110.00    |9,705     |11,912      |6,567    |24,995.55    |                       
