					ZCE Futures Historical Data(2026TA)
Date       |Contract Code|Pre Settle|Open     |High     |Low      |Close    |Settle|Chg 1   |Chg 2   |Volume (lot)|O.I.|OI Change|Turnover (RMB 10,000)|Final Settle
2026-01-05 |TA601        |5,106.00   |5,058.00 |5,102.00 |4,984.00 |5,008.00 |5,048.00  |-98.00    |-58.00    |6,692     |47,873      |-2,933   |16,888.92    |5,026.00               
2026-01-05 |TA602        |5,116.00   |5,100.00 |5,116.00 |4,988.00 |5,024.00 |5,058.00  |-92.00    |-58.00    |31,992    |55,544      |-267     |80,893.14    |                       
2026-01-05 |TA603        |5,128.00   |5,116.00 |5,134.00 |4,998.00 |5,036.00 |5,070.00  |-92.00    |-58.00    |116,363   |136,476     |6,038    |294,971.29   |                       
2026-01-05 |TA604        |5,134.00   |5,106.00 |5,132.00 |5,006.00 |5,038.00 |5,088.00  |-96.00    |-46.00    |45,052    |40,775      |10,802   |114,588.73   |                       
2026-01-05 |TA605        |5,142.00   |5,128.00 |5,142.00 |5,014.00 |5,046.00 |5,080.00  |-96.00    |-62.00    |1,132,846 |1,383,234   |-32,511  |2,877,542.67 |                       
2026-01-05 |TA606        |5,112.00   |5,108.00 |5,130.00 |5,000.00 |5,030.00 |5,060.00  |-82.00    |-52.00    |5,325     |3,377       |3,176    |13,472.45    |                       
2026-01-05 |TA607        |5,084.00   |5,100.00 |5,100.00 |4,994.00 |5,006.00 |5,056.00  |-78.00    |-28.00    |17        |141         |-9       |42.97        |                       
2026-01-05 |TA608        |5,052.00   |5,060.00 |5,060.00 |4,988.00 |4,988.00 |5,040.00  |-64.00    |-12.00    |15        |49          |-6       |37.79        |                       
2026-01-05 |TA609        |5,030.00   |5,028.00 |5,044.00 |4,932.00 |4,956.00 |4,998.00  |-74.00    |-32.00    |37,832    |155,544     |2,414    |94,534.75    |                       
2026-01-05 |TA610        |5,034.00   |5,016.00 |5,020.00 |4,954.00 |4,970.00 |4,982.00  |-64.00    |-52.00    |6         |314         |-3       |14.94        |                       
2026-01-05 |TA611        |5,036.00   |5,028.00 |5,028.00 |4,946.00 |4,946.00 |4,988.00  |-90.00    |-48.00    |24        |58          |7        |59.86        |                       
