					ZCE Futures Historical Data(2024PX)
Date       |Contract Code|Pre Settle|Open     |High     |Low      |Close    |Settle|Chg 1   |Chg 2   |Volume (lot)|O.I.|OI Change|Turnover (RMB 10,000)|Final Settle
2024-01-02 |PX405        |8,590.00   |8,602.00 |8,742.00 |8,592.00 |8,614.00 |8,660.00  |24.00     |70.00     |48,313    |89,678      |212      |209,190.32   |                       
2024-01-02 |PX406        |8,556.00   |8,714.00 |8,726.00 |8,590.00 |8,590.00 |8,656.00  |34.00     |100.00    |26        |2,226       |-8       |112.53       |                       
2024-01-02 |PX407        |8,568.00   |8,642.00 |8,660.00 |8,634.00 |8,634.00 |8,646.00  |66.00     |78.00     |28        |76          |-1       |121.05       |                       
2024-01-02 |PX408        |8,542.00   |8,570.00 |8,594.00 |8,570.00 |8,574.00 |8,582.00  |32.00     |40.00     |4         |53          |2        |17.16        |                       
2024-01-02 |PX409        |8,502.00   |8,518.00 |8,656.00 |8,518.00 |8,528.00 |8,572.00  |26.00     |70.00     |462       |9,777       |35       |1,980.05     |                       
2024-01-02 |PX410        |8,552.00   |8,576.00 |8,576.00 |8,576.00 |8,576.00 |8,576.00  |24.00     |24.00     |1         |8           |0        |4.29         |                       
2024-01-02 |PX411        |8,422.00   |0.00     |0.00     |0.00     |0.00     |8,430.00  |8.00      |8.00      |0         |1           |0        |0.00         |                       
2024-01-02 |PX412        |8,448.00   |8,612.00 |8,612.00 |8,612.00 |8,612.00 |8,612.00  |164.00    |164.00    |1         |1           |-1       |4.31         |                       
2024-01-03 |PX405        |8,660.00   |8,602.00 |8,670.00 |8,478.00 |8,522.00 |8,552.00  |-138.00   |-108.00   |60,611    |90,417      |739      |259,149.21   |                       
2024-01-03 |PX406        |8,656.00   |8,650.00 |8,650.00 |8,464.00 |8,500.00 |8,564.00  |-156.00   |-92.00    |40        |2,238       |12       |171.27       |                       
2024-01-03 |PX407        |8,646.00   |8,616.00 |8,636.00 |8,476.00 |8,478.00 |8,528.00  |-168.00   |-118.00   |9         |79          |3        |38.37        |                       
2024-01-03 |PX408        |8,582.00   |8,598.00 |8,598.00 |8,434.00 |8,434.00 |8,520.00  |-148.00   |-62.00    |13        |52          |-1       |55.38        |                       
2024-01-03 |PX409        |8,572.00   |8,538.00 |8,582.00 |8,396.00 |8,444.00 |8,470.00  |-128.00   |-102.00   |667       |9,752       |-25      |2,824.63     |                       
2024-01-03 |PX410        |8,576.00   |0.00     |0.00     |0.00     |0.00     |8,470.00  |-106.00   |-106.00   |0         |8           |0        |0.00         |                       
2024-01-03 |PX411        |8,430.00   |0.00     |0.00     |0.00     |0.00     |8,430.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2024-01-03 |PX412        |8,612.00   |0.00     |0.00     |0.00     |0.00     |8,612.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2024-01-04 |PX405        |8,552.00   |8,540.00 |8,638.00 |8,500.00 |8,528.00 |8,560.00  |-24.00    |8.00      |61,505    |93,080      |2,663    |263,197.98   |                       
2024-01-04 |PX406        |8,564.00   |8,490.00 |8,616.00 |8,490.00 |8,514.00 |8,536.00  |-50.00    |-28.00    |34        |2,235       |-3       |145.09       |                       
2024-01-04 |PX407        |8,528.00   |8,554.00 |8,554.00 |8,510.00 |8,510.00 |8,532.00  |-18.00    |4.00      |2         |77          |-2       |8.53         |                       
2024-01-04 |PX408        |8,520.00   |8,462.00 |8,542.00 |8,462.00 |8,542.00 |8,508.00  |22.00     |-12.00    |4         |51          |-1       |17.01        |                       
2024-01-04 |PX409        |8,470.00   |8,450.00 |8,558.00 |8,428.00 |8,456.00 |8,464.00  |-14.00    |-6.00     |1,691     |10,552      |800      |7,156.36     |                       
2024-01-04 |PX410        |8,470.00   |0.00     |0.00     |0.00     |0.00     |8,470.00  |0.00      |0.00      |0         |8           |0        |0.00         |                       
2024-01-04 |PX411        |8,430.00   |0.00     |0.00     |0.00     |0.00     |8,430.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2024-01-04 |PX412        |8,612.00   |0.00     |0.00     |0.00     |0.00     |8,608.00  |-4.00     |-4.00     |0         |1           |0        |0.00         |                       
2024-01-05 |PX405        |8,560.00   |8,526.00 |8,600.00 |8,452.00 |8,558.00 |8,522.00  |-2.00     |-38.00    |71,390    |93,058      |-22      |304,195.55   |                       
2024-01-05 |PX406        |8,536.00   |8,498.00 |8,564.00 |8,456.00 |8,536.00 |8,522.00  |0.00      |-14.00    |25        |2,229       |-6       |106.52       |                       
2024-01-05 |PX407        |8,532.00   |8,460.00 |8,460.00 |8,460.00 |8,460.00 |8,460.00  |-72.00    |-72.00    |10        |77          |0        |42.30        |                       
2024-01-05 |PX408        |8,508.00   |8,498.00 |8,498.00 |8,438.00 |8,438.00 |8,452.00  |-70.00    |-56.00    |10        |49          |-2       |42.26        |                       
2024-01-05 |PX409        |8,464.00   |8,428.00 |8,528.00 |8,390.00 |8,490.00 |8,450.00  |26.00     |-14.00    |1,676     |11,064      |512      |7,081.24     |                       
2024-01-05 |PX410        |8,470.00   |0.00     |0.00     |0.00     |0.00     |8,470.00  |0.00      |0.00      |0         |8           |0        |0.00         |                       
2024-01-05 |PX411        |8,430.00   |0.00     |0.00     |0.00     |0.00     |8,430.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2024-01-05 |PX412        |8,608.00   |0.00     |0.00     |0.00     |0.00     |8,608.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2024-01-08 |PX405        |8,522.00   |8,548.00 |8,646.00 |8,362.00 |8,370.00 |8,496.00  |-152.00   |-26.00    |105,868   |87,007      |-6,051   |449,667.27   |                       
2024-01-08 |PX406        |8,522.00   |8,552.00 |8,608.00 |8,346.00 |8,352.00 |8,436.00  |-170.00   |-86.00    |157       |2,127       |-102     |662.13       |                       
2024-01-08 |PX407        |8,460.00   |8,470.00 |8,470.00 |8,356.00 |8,378.00 |8,384.00  |-82.00    |-76.00    |12        |76          |-1       |50.30        |                       
2024-01-08 |PX408        |8,452.00   |8,416.00 |8,416.00 |8,292.00 |8,316.00 |8,328.00  |-136.00   |-124.00   |6         |50          |1        |24.98        |                       
2024-01-08 |PX409        |8,450.00   |8,456.00 |8,568.00 |8,286.00 |8,296.00 |8,406.00  |-154.00   |-44.00    |1,080     |10,950      |-114     |4,538.52     |                       
2024-01-08 |PX410        |8,470.00   |0.00     |0.00     |0.00     |0.00     |8,342.00  |-128.00   |-128.00   |0         |8           |0        |0.00         |                       
2024-01-08 |PX411        |8,430.00   |0.00     |0.00     |0.00     |0.00     |8,362.00  |-68.00    |-68.00    |0         |1           |0        |0.00         |                       
2024-01-08 |PX412        |8,608.00   |0.00     |0.00     |0.00     |0.00     |8,416.00  |-192.00   |-192.00   |0         |1           |0        |0.00         |                       
2024-01-09 |PX405        |8,496.00   |8,352.00 |8,362.00 |8,266.00 |8,274.00 |8,316.00  |-222.00   |-180.00   |62,475    |88,006      |999      |259,764.29   |                       
2024-01-09 |PX406        |8,436.00   |8,332.00 |8,336.00 |8,240.00 |8,240.00 |8,302.00  |-196.00   |-134.00   |116       |2,053       |-74      |481.51       |                       
2024-01-09 |PX407        |8,384.00   |8,300.00 |8,308.00 |8,232.00 |8,232.00 |8,286.00  |-152.00   |-98.00    |8         |71          |-5       |33.15        |                       
2024-01-09 |PX408        |8,328.00   |8,266.00 |8,266.00 |8,240.00 |8,264.00 |8,254.00  |-64.00    |-74.00    |8         |49          |-1       |33.01        |                       
2024-01-09 |PX409        |8,406.00   |8,284.00 |8,286.00 |8,202.00 |8,206.00 |8,248.00  |-200.00   |-158.00   |2,109     |11,702      |752      |8,697.90     |                       
2024-01-09 |PX410        |8,342.00   |0.00     |0.00     |0.00     |0.00     |8,234.00  |-108.00   |-108.00   |0         |8           |0        |0.00         |                       
2024-01-09 |PX411        |8,362.00   |0.00     |0.00     |0.00     |0.00     |8,252.00  |-110.00   |-110.00   |0         |1           |0        |0.00         |                       
2024-01-09 |PX412        |8,416.00   |0.00     |0.00     |0.00     |0.00     |8,328.00  |-88.00    |-88.00    |0         |1           |0        |0.00         |                       
2024-01-10 |PX405        |8,316.00   |8,322.00 |8,372.00 |8,300.00 |8,318.00 |8,332.00  |2.00      |16.00     |56,514    |81,247      |-6,759   |235,399.60   |                       
2024-01-10 |PX406        |8,302.00   |8,328.00 |8,336.00 |8,282.00 |8,296.00 |8,306.00  |-6.00     |4.00      |124       |2,035       |-18      |514.98       |                       
2024-01-10 |PX407        |8,286.00   |0.00     |0.00     |0.00     |0.00     |8,292.00  |6.00      |6.00      |0         |71          |0        |0.00         |                       
2024-01-10 |PX408        |8,254.00   |8,248.00 |8,248.00 |8,248.00 |8,248.00 |8,248.00  |-6.00     |-6.00     |1         |49          |0        |4.12         |                       
2024-01-10 |PX409        |8,248.00   |8,240.00 |8,300.00 |8,238.00 |8,242.00 |8,260.00  |-6.00     |12.00     |877       |11,672      |-30      |3,622.08     |                       
2024-01-10 |PX410        |8,234.00   |0.00     |0.00     |0.00     |0.00     |8,234.00  |0.00      |0.00      |0         |8           |0        |0.00         |                       
2024-01-10 |PX411        |8,252.00   |0.00     |0.00     |0.00     |0.00     |8,252.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2024-01-10 |PX412        |8,328.00   |0.00     |0.00     |0.00     |0.00     |8,328.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2024-01-11 |PX405        |8,332.00   |8,328.00 |8,360.00 |8,250.00 |8,314.00 |8,306.00  |-18.00    |-26.00    |55,927    |81,898      |651      |232,238.80   |                       
2024-01-11 |PX406        |8,306.00   |8,296.00 |8,342.00 |8,264.00 |8,304.00 |8,310.00  |-2.00     |4.00      |44        |2,057       |22       |182.80       |                       
2024-01-11 |PX407        |8,292.00   |8,258.00 |8,258.00 |8,258.00 |8,258.00 |8,258.00  |-34.00    |-34.00    |1         |71          |0        |4.13         |                       
2024-01-11 |PX408        |8,248.00   |0.00     |0.00     |0.00     |0.00     |8,248.00  |0.00      |0.00      |0         |49          |0        |0.00         |                       
2024-01-11 |PX409        |8,260.00   |8,260.00 |8,292.00 |8,194.00 |8,244.00 |8,234.00  |-16.00    |-26.00    |1,846     |12,493      |821      |7,599.72     |                       
2024-01-11 |PX410        |8,234.00   |0.00     |0.00     |0.00     |0.00     |8,234.00  |0.00      |0.00      |0         |8           |0        |0.00         |                       
2024-01-11 |PX411        |8,252.00   |0.00     |0.00     |0.00     |0.00     |8,252.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2024-01-11 |PX412        |8,328.00   |0.00     |0.00     |0.00     |0.00     |8,328.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2024-01-12 |PX405        |8,306.00   |8,336.00 |8,428.00 |8,308.00 |8,364.00 |8,370.00  |58.00     |64.00     |59,450    |83,351      |1,453    |248,758.72   |                       
2024-01-12 |PX406        |8,310.00   |8,312.00 |8,408.00 |8,312.00 |8,350.00 |8,388.00  |40.00     |78.00     |60        |2,006       |-51      |251.63       |                       
2024-01-12 |PX407        |8,258.00   |8,350.00 |8,382.00 |8,350.00 |8,364.00 |8,360.00  |106.00    |102.00    |5         |68          |-3       |20.90        |                       
2024-01-12 |PX408        |8,248.00   |8,302.00 |8,342.00 |8,266.00 |8,328.00 |8,314.00  |80.00     |66.00     |7         |47          |-2       |29.10        |                       
2024-01-12 |PX409        |8,234.00   |8,258.00 |8,340.00 |8,234.00 |8,286.00 |8,294.00  |52.00     |60.00     |1,715     |12,582      |89       |7,112.26     |                       
2024-01-12 |PX410        |8,234.00   |0.00     |0.00     |0.00     |0.00     |8,234.00  |0.00      |0.00      |0         |8           |0        |0.00         |                       
2024-01-12 |PX411        |8,252.00   |0.00     |0.00     |0.00     |0.00     |8,252.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2024-01-12 |PX412        |8,328.00   |0.00     |0.00     |0.00     |0.00     |8,328.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2024-01-15 |PX405        |8,370.00   |8,366.00 |8,432.00 |8,320.00 |8,360.00 |8,378.00  |-10.00    |8.00      |52,342    |81,419      |-1,932   |219,271.98   |                       
2024-01-15 |PX406        |8,388.00   |8,410.00 |8,410.00 |8,342.00 |8,356.00 |8,368.00  |-32.00    |-20.00    |141       |1,922       |-84      |589.92       |                       
2024-01-15 |PX407        |8,360.00   |0.00     |0.00     |0.00     |0.00     |8,360.00  |0.00      |0.00      |0         |68          |0        |0.00         |                       
2024-01-15 |PX408        |8,314.00   |0.00     |0.00     |0.00     |0.00     |8,314.00  |0.00      |0.00      |0         |47          |0        |0.00         |                       
2024-01-15 |PX409        |8,294.00   |8,298.00 |8,344.00 |8,248.00 |8,290.00 |8,290.00  |-4.00     |-4.00     |1,600     |13,365      |783      |6,632.13     |                       
2024-01-15 |PX410        |8,234.00   |0.00     |0.00     |0.00     |0.00     |8,234.00  |0.00      |0.00      |0         |8           |0        |0.00         |                       
2024-01-15 |PX411        |8,252.00   |0.00     |0.00     |0.00     |0.00     |8,252.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2024-01-15 |PX412        |8,328.00   |0.00     |0.00     |0.00     |0.00     |8,304.00  |-24.00    |-24.00    |0         |1           |0        |0.00         |                       
2024-01-16 |PX405        |8,378.00   |8,338.00 |8,478.00 |8,316.00 |8,440.00 |8,418.00  |62.00     |40.00     |59,446    |82,780      |1,361    |250,219.58   |                       
2024-01-16 |PX406        |8,368.00   |8,326.00 |8,422.00 |8,326.00 |8,408.00 |8,404.00  |40.00     |36.00     |23        |1,913       |-9       |96.63        |                       
2024-01-16 |PX407        |8,360.00   |8,430.00 |8,430.00 |8,418.00 |8,418.00 |8,420.00  |58.00     |60.00     |6         |66          |-2       |25.26        |                       
2024-01-16 |PX408        |8,314.00   |8,420.00 |8,420.00 |8,420.00 |8,420.00 |8,420.00  |106.00    |106.00    |1         |47          |0        |4.21         |                       
2024-01-16 |PX409        |8,290.00   |8,268.00 |8,396.00 |8,244.00 |8,358.00 |8,358.00  |68.00     |68.00     |2,122     |13,444      |79       |8,867.00     |                       
2024-01-16 |PX410        |8,234.00   |0.00     |0.00     |0.00     |0.00     |8,234.00  |0.00      |0.00      |0         |8           |0        |0.00         |                       
2024-01-16 |PX411        |8,252.00   |0.00     |0.00     |0.00     |0.00     |8,252.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2024-01-16 |PX412        |8,304.00   |0.00     |0.00     |0.00     |0.00     |8,304.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2024-01-16 |PX501        |8,304.00   |8,430.00 |8,430.00 |8,430.00 |8,430.00 |8,430.00  |126.00    |126.00    |1         |1           |1        |4.22         |                       
2024-01-17 |PX405        |8,418.00   |8,450.00 |8,480.00 |8,396.00 |8,428.00 |8,440.00  |10.00     |22.00     |52,230    |77,738      |-5,042   |220,415.44   |                       
2024-01-17 |PX406        |8,404.00   |8,422.00 |8,450.00 |8,386.00 |8,402.00 |8,420.00  |-2.00     |16.00     |90        |1,846       |-67      |378.85       |                       
2024-01-17 |PX407        |8,420.00   |0.00     |0.00     |0.00     |0.00     |8,420.00  |0.00      |0.00      |0         |66          |0        |0.00         |                       
2024-01-17 |PX408        |8,420.00   |8,332.00 |8,332.00 |8,332.00 |8,332.00 |8,332.00  |-88.00    |-88.00    |1         |46          |-1       |4.17         |                       
2024-01-17 |PX409        |8,358.00   |8,362.00 |8,378.00 |8,302.00 |8,322.00 |8,346.00  |-36.00    |-12.00    |2,112     |14,201      |757      |8,813.07     |                       
2024-01-17 |PX410        |8,234.00   |8,392.00 |8,392.00 |8,392.00 |8,392.00 |8,392.00  |158.00    |158.00    |1         |9           |1        |4.20         |                       
2024-01-17 |PX411        |8,252.00   |0.00     |0.00     |0.00     |0.00     |8,252.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2024-01-17 |PX412        |8,304.00   |0.00     |0.00     |0.00     |0.00     |8,304.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2024-01-17 |PX501        |8,430.00   |0.00     |0.00     |0.00     |0.00     |8,396.00  |-34.00    |-34.00    |0         |1           |0        |0.00         |                       
2024-01-18 |PX405        |8,440.00   |8,406.00 |8,518.00 |8,374.00 |8,474.00 |8,462.00  |34.00     |22.00     |66,650    |79,803      |2,065    |281,952.42   |                       
2024-01-18 |PX406        |8,420.00   |8,366.00 |8,490.00 |8,366.00 |8,438.00 |8,454.00  |18.00     |34.00     |442       |1,835       |-11      |1,868.25     |                       
2024-01-18 |PX407        |8,420.00   |8,448.00 |8,458.00 |8,402.00 |8,438.00 |8,438.00  |18.00     |18.00     |14        |67          |1        |59.06        |                       
2024-01-18 |PX408        |8,332.00   |8,358.00 |8,384.00 |8,356.00 |8,356.00 |8,374.00  |24.00     |42.00     |5         |49          |3        |20.93        |                       
2024-01-18 |PX409        |8,346.00   |8,312.00 |8,376.00 |8,282.00 |8,320.00 |8,334.00  |-26.00    |-12.00    |2,987     |14,833      |632      |12,446.65    |                       
2024-01-18 |PX410        |8,392.00   |8,376.00 |8,376.00 |8,376.00 |8,376.00 |8,376.00  |-16.00    |-16.00    |1         |9           |0        |4.19         |                       
2024-01-18 |PX411        |8,252.00   |0.00     |0.00     |0.00     |0.00     |8,252.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2024-01-18 |PX412        |8,304.00   |0.00     |0.00     |0.00     |0.00     |8,304.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2024-01-18 |PX501        |8,396.00   |8,230.00 |8,230.00 |8,230.00 |8,230.00 |8,230.00  |-166.00   |-166.00   |1         |0           |-1       |4.12         |                       
2024-01-19 |PX405        |8,462.00   |8,468.00 |8,576.00 |8,460.00 |8,566.00 |8,518.00  |104.00    |56.00     |50,111    |83,054      |3,251    |213,427.49   |                       
2024-01-19 |PX406        |8,454.00   |8,496.00 |8,532.00 |8,492.00 |8,526.00 |8,516.00  |72.00     |62.00     |16        |1,824       |-11      |68.12        |                       
2024-01-19 |PX407        |8,438.00   |0.00     |0.00     |0.00     |0.00     |8,508.00  |70.00     |70.00     |0         |67          |0        |0.00         |                       
2024-01-19 |PX408        |8,374.00   |0.00     |0.00     |0.00     |0.00     |8,406.00  |32.00     |32.00     |0         |49          |0        |0.00         |                       
