					CZCE History data(2021PK)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice
2021-02-01 |PK110        |9,350.00   |9,866.00 |10,630.00|9,866.00 |10,504.00|10,346.00 |1,154.00  |996.00    |521,558   |45,054      |45,054   |2,697,680.19 |                       
2021-02-01 |PK111        |9,350.00   |9,820.00 |10,630.00|9,820.00 |10,524.00|10,314.00 |1,174.00  |964.00    |4,558     |759         |759      |23,504.29    |                       
2021-02-01 |PK112        |9,350.00   |9,950.00 |10,650.00|9,938.00 |10,550.00|10,346.00 |1,200.00  |996.00    |1,070     |306         |306      |5,534.97     |                       
2021-02-01 |PK201        |9,350.00   |10,112.00|10,660.00|10,050.00|10,590.00|10,450.00 |1,240.00  |1,100.00  |12,934    |2,989       |2,989    |67,573.82    |                       
2021-02-02 |PK110        |10,346.00  |10,504.00|10,754.00|10,352.00|10,414.00|10,566.00 |68.00     |220.00    |566,353   |44,592      |-462     |2,992,153.62 |                       
2021-02-02 |PK111        |10,314.00  |10,530.00|10,740.00|10,350.00|10,398.00|10,564.00 |84.00     |250.00    |1,854     |499         |-260     |9,792.23     |                       
2021-02-02 |PK112        |10,346.00  |10,550.00|10,760.00|10,380.00|10,410.00|10,572.00 |64.00     |226.00    |537       |246         |-60      |2,838.30     |                       
2021-02-02 |PK201        |10,450.00  |10,598.00|10,798.00|10,396.00|10,450.00|10,628.00 |0.00      |178.00    |8,118     |2,434       |-555     |43,140.20    |                       
2021-02-03 |PK110        |10,566.00  |10,330.00|10,396.00|10,124.00|10,304.00|10,264.00 |-262.00   |-302.00   |365,639   |39,129      |-5,463   |1,876,444.02 |                       
2021-02-03 |PK111        |10,564.00  |10,450.00|10,450.00|10,146.00|10,278.00|10,260.00 |-286.00   |-304.00   |646       |441         |-58      |3,313.73     |                       
2021-02-03 |PK112        |10,572.00  |10,344.00|10,380.00|10,168.00|10,300.00|10,270.00 |-272.00   |-302.00   |174       |204         |-42      |893.43       |                       
2021-02-03 |PK201        |10,628.00  |10,398.00|10,404.00|10,168.00|10,310.00|10,290.00 |-318.00   |-338.00   |5,518     |2,677       |243      |28,390.13    |                       
2021-02-04 |PK110        |10,264.00  |10,348.00|10,416.00|10,232.00|10,302.00|10,308.00 |38.00     |44.00     |163,381   |34,081      |-5,048   |841,993.94   |                       
2021-02-04 |PK111        |10,260.00  |10,366.00|10,400.00|10,232.00|10,316.00|10,318.00 |56.00     |58.00     |327       |439         |-2       |1,686.93     |                       
2021-02-04 |PK112        |10,270.00  |10,370.00|10,416.00|10,278.00|10,334.00|10,348.00 |64.00     |78.00     |42        |185         |-19      |217.30       |                       
2021-02-04 |PK201        |10,290.00  |10,302.00|10,414.00|10,252.00|10,314.00|10,328.00 |24.00     |38.00     |1,410     |2,421       |-256     |7,280.63     |                       
2021-02-05 |PK110        |10,308.00  |10,340.00|10,400.00|10,266.00|10,288.00|10,326.00 |-20.00    |18.00     |102,226   |27,237      |-6,844   |527,756.95   |                       
2021-02-05 |PK111        |10,318.00  |10,322.00|10,382.00|10,242.00|10,286.00|10,312.00 |-32.00    |-6.00     |198       |346         |-93      |1,020.92     |                       
2021-02-05 |PK112        |10,348.00  |10,330.00|10,388.00|10,246.00|10,300.00|10,326.00 |-48.00    |-22.00    |75        |198         |13       |387.19       |                       
2021-02-05 |PK201        |10,328.00  |10,334.00|10,400.00|10,274.00|10,292.00|10,336.00 |-36.00    |8.00      |1,005     |2,682       |261      |5,193.71     |                       
2021-02-08 |PK110        |10,326.00  |10,290.00|10,466.00|10,284.00|10,346.00|10,386.00 |20.00     |60.00     |92,351    |25,857      |-1,380   |479,598.86   |                       
2021-02-08 |PK111        |10,312.00  |10,298.00|10,456.00|10,298.00|10,348.00|10,378.00 |36.00     |66.00     |173       |301         |-45      |897.58       |                       
2021-02-08 |PK112        |10,326.00  |10,362.00|10,430.00|10,330.00|10,356.00|10,400.00 |30.00     |74.00     |44        |177         |-21      |228.79       |                       
2021-02-08 |PK201        |10,336.00  |10,300.00|10,458.00|10,298.00|10,350.00|10,384.00 |14.00     |48.00     |853       |2,564       |-118     |4,428.35     |                       
2021-02-09 |PK110        |10,386.00  |10,380.00|10,444.00|10,354.00|10,376.00|10,394.00 |-10.00    |8.00      |67,913    |21,307      |-4,550   |352,910.71   |                       
2021-02-09 |PK111        |10,378.00  |10,342.00|10,426.00|10,278.00|10,362.00|10,386.00 |-16.00    |8.00      |96        |266         |-35      |498.47       |                       
2021-02-09 |PK112        |10,400.00  |10,400.00|10,428.00|10,280.00|10,360.00|10,368.00 |-40.00    |-32.00    |198       |248         |71       |1,026.31     |                       
2021-02-09 |PK201        |10,384.00  |10,390.00|10,438.00|10,354.00|10,370.00|10,384.00 |-14.00    |0.00      |667       |2,539       |-25      |3,462.85     |                       
