					ZCE Futures Historical Data(2023PK)
Date       |Contract Code|Pre Settle|Open     |High     |Low      |Close    |Settle|Chg 1   |Chg 2   |Volume (lot)|O.I.|OI Change|Turnover (RMB 10,000)|Final Settle
2023-01-03 |PK301        |9,672.00   |9,672.00 |9,930.00 |9,672.00 |9,716.00 |9,706.00  |44.00     |34.00     |65        |499         |-238     |315.41       |9,910.00               
2023-01-03 |PK303        |9,976.00   |9,978.00 |10,158.00|9,978.00 |10,058.00|10,074.00 |82.00     |98.00     |379       |3,893       |-24      |1,908.87     |                       
2023-01-03 |PK304        |10,030.00  |9,968.00 |10,202.00|9,958.00 |10,076.00|10,082.00 |46.00     |52.00     |121,358   |105,478     |2,663    |611,746.59   |                       
2023-01-03 |PK310        |10,134.00  |10,096.00|10,258.00|10,058.00|10,120.00|10,174.00 |-14.00    |40.00     |3,201     |14,667      |299      |16,284.25    |                       
2023-01-03 |PK311        |10,064.00  |10,088.00|10,200.00|10,070.00|10,080.00|10,138.00 |16.00     |74.00     |23        |1,101       |9        |116.57       |                       
2023-01-03 |PK312        |10,040.00  |10,008.00|10,176.00|10,008.00|10,080.00|10,104.00 |40.00     |64.00     |18        |658         |6        |90.94        |                       
2023-01-04 |PK301        |9,706.00   |9,800.00 |9,800.00 |9,598.00 |9,598.00 |9,634.00  |-108.00   |-72.00    |208       |147         |-352     |1,001.81     |9,858.00               
2023-01-04 |PK303        |10,074.00  |10,042.00|10,048.00|9,932.00 |9,978.00 |9,982.00  |-96.00    |-92.00    |214       |3,897       |4        |1,068.11     |                       
2023-01-04 |PK304        |10,082.00  |10,060.00|10,074.00|9,906.00 |10,000.00|10,000.00 |-82.00    |-82.00    |100,534   |104,043     |-1,435   |502,671.88   |                       
2023-01-04 |PK310        |10,174.00  |10,130.00|10,168.00|10,002.00|10,142.00|10,116.00 |-32.00    |-58.00    |3,118     |14,617      |-50      |15,768.78    |                       
2023-01-04 |PK311        |10,138.00  |10,058.00|10,120.00|9,988.00 |10,082.00|10,066.00 |-56.00    |-72.00    |56        |1,079       |-22      |281.84       |                       
2023-01-04 |PK312        |10,104.00  |10,100.00|10,126.00|10,020.00|10,062.00|10,080.00 |-42.00    |-24.00    |285       |930         |272      |1,436.28     |                       
2023-01-05 |PK301        |9,634.00   |9,586.00 |9,750.00 |9,560.00 |9,750.00 |9,620.00  |116.00    |-14.00    |54        |3           |-144     |259.71       |9,820.00               
2023-01-05 |PK303        |9,982.00   |9,966.00 |10,012.00|9,900.00 |9,960.00 |9,980.00  |-22.00    |-2.00     |454       |3,786       |-111     |2,265.34     |                       
2023-01-05 |PK304        |10,000.00  |9,980.00 |10,022.00|9,896.00 |9,924.00 |9,952.00  |-76.00    |-48.00    |71,498    |111,932     |7,889    |355,754.99   |                       
2023-01-05 |PK310        |10,116.00  |10,114.00|10,162.00|10,036.00|10,062.00|10,098.00 |-54.00    |-18.00    |2,959     |14,851      |234      |14,938.70    |                       
2023-01-05 |PK311        |10,066.00  |10,100.00|10,100.00|10,046.00|10,052.00|10,072.00 |-14.00    |6.00      |11        |1,080       |1        |55.39        |                       
2023-01-05 |PK312        |10,080.00  |9,992.00 |9,992.00 |9,954.00 |9,984.00 |9,984.00  |-96.00    |-96.00    |15        |933         |3        |74.88        |                       
2023-01-06 |PK301        |9,620.00   |9,760.00 |9,760.00 |9,760.00 |9,760.00 |9,760.00  |140.00    |140.00    |3         |3           |0        |14.64        |9,796.00               
2023-01-06 |PK303        |9,980.00   |9,942.00 |9,998.00 |9,940.00 |9,964.00 |9,976.00  |-16.00    |-4.00     |124       |3,732       |-54      |618.42       |                       
2023-01-06 |PK304        |9,952.00   |9,900.00 |9,986.00 |9,886.00 |9,944.00 |9,944.00  |-8.00     |-8.00     |51,646    |112,444     |512      |256,765.28   |                       
2023-01-06 |PK310        |10,098.00  |10,054.00|10,112.00|10,028.00|10,080.00|10,080.00 |-18.00    |-18.00    |2,993     |14,676      |-175     |15,083.55    |                       
2023-01-06 |PK311        |10,072.00  |10,038.00|10,070.00|10,036.00|10,044.00|10,044.00 |-28.00    |-28.00    |14        |1,085       |5        |70.31        |                       
2023-01-06 |PK312        |9,984.00   |9,984.00 |10,058.00|9,960.00 |10,022.00|9,968.00  |38.00     |-16.00    |2,211     |3,129       |2,196    |11,020.13    |                       
2023-01-09 |PK301        |9,760.00   |0.00     |0.00     |0.00     |0.00     |9,894.00  |134.00    |134.00    |0         |3           |0        |0.00         |9,792.00               
2023-01-09 |PK303        |9,976.00   |10,030.00|10,168.00|9,998.00 |10,140.00|10,084.00 |164.00    |108.00    |323       |3,654       |-78      |1,628.47     |                       
2023-01-09 |PK304        |9,944.00   |9,968.00 |10,170.00|9,968.00 |10,160.00|10,080.00 |216.00    |136.00    |91,018    |108,622     |-3,822   |458,674.89   |                       
2023-01-09 |PK310        |10,080.00  |10,118.00|10,286.00|10,118.00|10,262.00|10,222.00 |182.00    |142.00    |3,527     |15,269      |593      |18,026.51    |                       
2023-01-09 |PK311        |10,044.00  |10,090.00|10,246.00|10,080.00|10,224.00|10,174.00 |180.00    |130.00    |60        |1,080       |-5       |305.22       |                       
2023-01-09 |PK312        |9,968.00   |10,098.00|10,222.00|10,098.00|10,192.00|10,152.00 |224.00    |184.00    |43        |3,147       |18       |218.24       |                       
2023-01-10 |PK301        |9,894.00   |0.00     |0.00     |0.00     |0.00     |9,908.00  |14.00     |14.00     |0         |0           |-3       |0.00         |9,800.00               
2023-01-10 |PK303        |10,084.00  |10,112.00|10,202.00|10,030.00|10,150.00|10,106.00 |66.00     |22.00     |276       |3,509       |-145     |1,394.59     |                       
2023-01-10 |PK304        |10,080.00  |10,160.00|10,210.00|10,000.00|10,136.00|10,094.00 |56.00     |14.00     |107,228   |99,670      |-8,952   |541,124.49   |                       
2023-01-10 |PK310        |10,222.00  |10,252.00|10,308.00|10,124.00|10,218.00|10,210.00 |-4.00     |-12.00    |3,033     |15,380      |111      |15,482.73    |                       
2023-01-10 |PK311        |10,174.00  |10,194.00|10,234.00|10,114.00|10,170.00|10,190.00 |-4.00     |16.00     |39        |1,070       |-10      |198.70       |                       
2023-01-10 |PK312        |10,152.00  |10,218.00|10,220.00|10,084.00|10,150.00|10,124.00 |-2.00     |-28.00    |288       |2,896       |-251     |1,457.84     |                       
2023-01-11 |PK301        |9,908.00   |0.00     |0.00     |0.00     |0.00     |9,978.00  |70.00     |70.00     |0         |0           |0        |0.00         |9,800.00               
2023-01-11 |PK303        |10,106.00  |10,132.00|10,230.00|10,132.00|10,206.00|10,160.00 |100.00    |54.00     |192       |3,423       |-86      |975.36       |                       
2023-01-11 |PK304        |10,094.00  |10,150.00|10,228.00|10,102.00|10,192.00|10,164.00 |98.00     |70.00     |54,011    |99,582      |-88      |274,493.64   |                       
2023-01-11 |PK310        |10,210.00  |10,240.00|10,272.00|10,192.00|10,238.00|10,230.00 |28.00     |20.00     |2,865     |16,280      |900      |14,653.72    |                       
2023-01-11 |PK311        |10,190.00  |10,212.00|10,226.00|10,160.00|10,160.00|10,180.00 |-30.00    |-10.00    |33        |1,050       |-20      |167.95       |                       
2023-01-11 |PK312        |10,124.00  |10,124.00|10,194.00|10,124.00|10,140.00|10,126.00 |16.00     |2.00      |784       |2,131       |-765     |3,969.11     |                       
2023-01-12 |PK301        |9,978.00   |0.00     |0.00     |0.00     |0.00     |10,148.00 |170.00    |170.00    |0         |0           |0        |0.00         |9,820.00               
2023-01-12 |PK303        |10,160.00  |10,206.00|10,386.00|10,206.00|10,356.00|10,318.00 |196.00    |158.00    |177       |3,392       |-31      |913.06       |                       
2023-01-12 |PK304        |10,164.00  |10,190.00|10,400.00|10,184.00|10,370.00|10,336.00 |206.00    |172.00    |89,162    |100,423     |841      |460,776.84   |                       
2023-01-12 |PK310        |10,230.00  |10,260.00|10,408.00|10,218.00|10,380.00|10,336.00 |150.00    |106.00    |3,048     |16,233      |-47      |15,750.54    |                       
2023-01-12 |PK311        |10,180.00  |10,234.00|10,324.00|10,234.00|10,324.00|10,284.00 |144.00    |104.00    |16        |1,055       |5        |82.27        |                       
2023-01-12 |PK312        |10,126.00  |10,226.00|10,300.00|10,220.00|10,280.00|10,264.00 |154.00    |138.00    |59        |2,171       |40       |302.77       |                       
2023-01-13 |PK301        |10,148.00  |0.00     |0.00     |0.00     |0.00     |10,202.00 |54.00     |54.00     |0         |0           |0        |0.00         |9,852.00               
2023-01-13 |PK303        |10,318.00  |10,342.00|10,452.00|10,322.00|10,390.00|10,354.00 |72.00     |36.00     |134       |3,294       |-98      |693.63       |                       
2023-01-13 |PK304        |10,336.00  |10,388.00|10,460.00|10,318.00|10,396.00|10,390.00 |60.00     |54.00     |73,335    |99,525      |-898     |380,972.11   |                       
2023-01-13 |PK310        |10,336.00  |10,400.00|10,448.00|10,322.00|10,394.00|10,396.00 |58.00     |60.00     |3,753     |15,710      |-523     |19,508.99    |                       
2023-01-13 |PK311        |10,284.00  |10,330.00|10,368.00|10,278.00|10,306.00|10,320.00 |22.00     |36.00     |33        |1,054       |-1       |170.27       |                       
2023-01-13 |PK312        |10,264.00  |10,274.00|10,336.00|10,250.00|10,294.00|10,278.00 |30.00     |14.00     |1,565     |813         |-1,358   |8,041.67     |                       
