					CZCE History data(2020PF)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice|
2020-10-12 |PF105        |5,400.00   |5,798.00 |5,832.00 |5,750.00 |5,832.00 |5,808.00  |432.00    |408.00    |51,327    |19,362      |19,362   |149,061.29   |0.00                   |
2020-10-12 |PF106        |5,400.00   |5,710.00 |5,832.00 |5,710.00 |5,832.00 |5,782.00  |432.00    |382.00    |290       |117         |117      |838.26       |0.00                   |
2020-10-12 |PF107        |5,400.00   |5,714.00 |5,832.00 |5,714.00 |5,832.00 |5,788.00  |432.00    |388.00    |91        |80          |80       |263.38       |0.00                   |
2020-10-12 |PF108        |5,400.00   |5,720.00 |5,832.00 |5,720.00 |5,832.00 |5,760.00  |432.00    |360.00    |70        |54          |54       |201.57       |0.00                   |
2020-10-12 |PF109        |5,400.00   |5,750.00 |5,832.00 |5,744.00 |5,832.00 |5,794.00  |432.00    |394.00    |1,973     |1,169       |1,169    |5,714.47     |0.00                   |
2020-10-13 |PF105        |5,808.00   |5,932.00 |6,042.00 |5,900.00 |6,042.00 |6,008.00  |234.00    |200.00    |538,024   |77,665      |58,303   |1,616,111.39 |0.00                   |
2020-10-13 |PF106        |5,782.00   |5,900.00 |6,014.00 |5,896.00 |6,014.00 |5,988.00  |232.00    |206.00    |664       |173         |56       |1,987.81     |0.00                   |
2020-10-13 |PF107        |5,788.00   |5,918.00 |6,020.00 |5,838.00 |6,018.00 |5,978.00  |230.00    |190.00    |158       |87          |7        |472.20       |0.00                   |
2020-10-13 |PF108        |5,760.00   |5,900.00 |5,992.00 |5,880.00 |5,992.00 |5,966.00  |232.00    |206.00    |71        |67          |13       |211.80       |0.00                   |
2020-10-13 |PF109        |5,794.00   |5,900.00 |6,026.00 |5,900.00 |6,026.00 |5,996.00  |232.00    |202.00    |11,827    |4,301       |3,132    |35,451.88    |0.00                   |
