					CZCE History data(2021PF)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice
2021-01-04 |PF105        |6,364.00   |6,400.00 |6,560.00 |6,400.00 |6,538.00 |6,492.00  |174.00    |128.00    |81,076    |119,217     |8,368    |263,166.81   |                       
2021-01-04 |PF106        |6,354.00   |0.00     |0.00     |0.00     |0.00     |6,522.00  |168.00    |168.00    |0         |30          |0        |0.00         |                       
2021-01-04 |PF107        |6,434.00   |0.00     |0.00     |0.00     |0.00     |6,536.00  |102.00    |102.00    |0         |23          |0        |0.00         |                       
2021-01-04 |PF108        |6,436.00   |0.00     |0.00     |0.00     |0.00     |6,524.00  |88.00     |88.00     |0         |13          |0        |0.00         |                       
2021-01-04 |PF109        |6,404.00   |6,478.00 |6,580.00 |6,442.00 |6,562.00 |6,518.00  |158.00    |114.00    |446       |3,196       |-3       |1,453.38     |                       
2021-01-04 |PF110        |6,438.00   |0.00     |0.00     |0.00     |0.00     |6,474.00  |36.00     |36.00     |0         |10          |0        |0.00         |                       
2021-01-04 |PF111        |6,418.00   |0.00     |0.00     |0.00     |0.00     |6,494.00  |76.00     |76.00     |0         |3           |0        |0.00         |                       
2021-01-04 |PF112        |6,368.00   |0.00     |0.00     |0.00     |0.00     |6,452.00  |84.00     |84.00     |0         |0           |0        |0.00         |                       
2021-01-05 |PF105        |6,492.00   |6,522.00 |6,696.00 |6,514.00 |6,594.00 |6,606.00  |102.00    |114.00    |242,893   |130,278     |11,061   |802,116.93   |                       
2021-01-05 |PF106        |6,522.00   |6,620.00 |6,620.00 |6,620.00 |6,620.00 |6,620.00  |98.00     |98.00     |1         |31          |1        |3.31         |                       
2021-01-05 |PF107        |6,536.00   |0.00     |0.00     |0.00     |0.00     |6,596.00  |60.00     |60.00     |0         |23          |0        |0.00         |                       
2021-01-05 |PF108        |6,524.00   |0.00     |0.00     |0.00     |0.00     |6,600.00  |76.00     |76.00     |0         |13          |0        |0.00         |                       
2021-01-05 |PF109        |6,518.00   |6,562.00 |6,714.00 |6,560.00 |6,624.00 |6,628.00  |106.00    |110.00    |1,414     |3,099       |-97      |4,685.91     |                       
2021-01-05 |PF110        |6,474.00   |6,570.00 |6,570.00 |6,570.00 |6,570.00 |6,570.00  |96.00     |96.00     |1         |9           |-1       |3.29         |                       
2021-01-05 |PF111        |6,494.00   |0.00     |0.00     |0.00     |0.00     |6,580.00  |86.00     |86.00     |0         |3           |0        |0.00         |                       
2021-01-05 |PF112        |6,452.00   |0.00     |0.00     |0.00     |0.00     |6,540.00  |88.00     |88.00     |0         |0           |0        |0.00         |                       
2021-01-06 |PF105        |6,606.00   |6,610.00 |6,746.00 |6,580.00 |6,714.00 |6,674.00  |108.00    |68.00     |199,265   |131,341     |1,063    |664,926.72   |                       
2021-01-06 |PF106        |6,620.00   |6,622.00 |6,702.00 |6,524.00 |6,702.00 |6,644.00  |82.00     |24.00     |16        |30          |-1       |53.15        |                       
2021-01-06 |PF107        |6,596.00   |6,634.00 |6,706.00 |6,530.00 |6,686.00 |6,668.00  |90.00     |72.00     |23        |25          |2        |76.68        |                       
2021-01-06 |PF108        |6,600.00   |6,646.00 |6,726.00 |6,646.00 |6,706.00 |6,696.00  |106.00    |96.00     |5         |12          |-1       |16.74        |                       
2021-01-06 |PF109        |6,628.00   |6,664.00 |6,778.00 |6,616.00 |6,740.00 |6,708.00  |112.00    |80.00     |615       |3,167       |68       |2,062.51     |                       
2021-01-06 |PF110        |6,570.00   |6,690.00 |6,690.00 |6,680.00 |6,680.00 |6,686.00  |110.00    |116.00    |5         |8           |-1       |16.72        |                       
2021-01-06 |PF111        |6,580.00   |6,700.00 |6,738.00 |6,676.00 |6,730.00 |6,730.00  |150.00    |150.00    |158       |154         |151      |531.57       |                       
2021-01-06 |PF112        |6,540.00   |0.00     |0.00     |0.00     |0.00     |6,666.00  |126.00    |126.00    |0         |0           |0        |0.00         |                       
2021-01-07 |PF105        |6,674.00   |6,702.00 |6,866.00 |6,666.00 |6,848.00 |6,770.00  |174.00    |96.00     |166,757   |144,270     |12,929   |564,380.05   |                       
2021-01-07 |PF106        |6,644.00   |6,794.00 |6,794.00 |6,794.00 |6,794.00 |6,794.00  |150.00    |150.00    |1         |30          |0        |3.40         |                       
2021-01-07 |PF107        |6,668.00   |6,766.00 |6,766.00 |6,766.00 |6,766.00 |6,766.00  |98.00     |98.00     |1         |25          |0        |3.38         |                       
2021-01-07 |PF108        |6,696.00   |0.00     |0.00     |0.00     |0.00     |6,856.00  |160.00    |160.00    |0         |12          |0        |0.00         |                       
2021-01-07 |PF109        |6,708.00   |6,730.00 |6,882.00 |6,702.00 |6,866.00 |6,788.00  |158.00    |80.00     |1,470     |3,493       |326      |4,989.02     |                       
2021-01-07 |PF110        |6,686.00   |0.00     |0.00     |0.00     |0.00     |6,832.00  |146.00    |146.00    |0         |8           |0        |0.00         |                       
2021-01-07 |PF111        |6,730.00   |6,764.00 |6,822.00 |6,764.00 |6,822.00 |6,794.00  |92.00     |64.00     |2         |155         |1        |6.79         |                       
2021-01-07 |PF112        |6,666.00   |0.00     |0.00     |0.00     |0.00     |6,800.00  |134.00    |134.00    |0         |0           |0        |0.00         |                       
