					ZCE Futures Historical Data(2024PF)
Date       |Contract Code|Pre Settle|Open     |High     |Low      |Close    |Settle|Chg 1   |Chg 2   |Volume (lot)|O.I.|OI Change|Turnover (RMB 10,000)|Final Settle
2024-01-02 |PF401        |7,066.00   |7,084.00 |7,084.00 |7,084.00 |7,084.00 |7,084.00  |18.00     |18.00     |1         |657         |-1       |3.54         |7,220.00               
2024-01-02 |PF402        |7,360.00   |7,318.00 |7,418.00 |7,318.00 |7,378.00 |7,380.00  |18.00     |20.00     |53,173    |139,118     |-2,790   |196,195.86   |                       
2024-01-02 |PF403        |7,386.00   |7,338.00 |7,450.00 |7,338.00 |7,408.00 |7,410.00  |22.00     |24.00     |46,360    |293,350     |6,754    |171,747.69   |                       
2024-01-02 |PF404        |7,382.00   |7,378.00 |7,468.00 |7,350.00 |7,424.00 |7,424.00  |42.00     |42.00     |1,914     |6,054       |1,181    |7,103.42     |                       
2024-01-02 |PF405        |7,400.00   |7,372.00 |7,482.00 |7,364.00 |7,434.00 |7,442.00  |34.00     |42.00     |7,150     |24,957      |628      |26,602.07    |                       
2024-01-02 |PF406        |7,416.00   |7,416.00 |7,512.00 |7,416.00 |7,440.00 |7,448.00  |24.00     |32.00     |142       |169         |25       |528.77       |                       
2024-01-02 |PF407        |7,394.00   |7,436.00 |7,500.00 |7,422.00 |7,422.00 |7,448.00  |28.00     |54.00     |12        |1,028       |-1       |44.68        |                       
2024-01-02 |PF408        |7,390.00   |7,472.00 |7,482.00 |7,400.00 |7,400.00 |7,418.00  |10.00     |28.00     |30        |2,104       |8        |111.28       |                       
2024-01-02 |PF409        |7,382.00   |7,454.00 |7,488.00 |7,408.00 |7,408.00 |7,438.00  |26.00     |56.00     |21        |739         |18       |78.10        |                       
2024-01-02 |PF410        |7,410.00   |7,470.00 |7,470.00 |7,470.00 |7,470.00 |7,470.00  |60.00     |60.00     |1         |723         |-1       |3.74         |                       
2024-01-02 |PF411        |7,428.00   |0.00     |0.00     |0.00     |0.00     |7,428.00  |0.00      |0.00      |0         |106         |0        |0.00         |                       
2024-01-02 |PF412        |7,472.00   |0.00     |0.00     |0.00     |0.00     |7,472.00  |0.00      |0.00      |0         |3           |0        |0.00         |                       
2024-01-03 |PF401        |7,084.00   |6,588.00 |6,968.00 |6,588.00 |6,966.00 |6,912.00  |-118.00   |-172.00   |56        |614         |-43      |193.54       |7,196.00               
2024-01-03 |PF402        |7,380.00   |7,376.00 |7,400.00 |7,298.00 |7,314.00 |7,340.00  |-66.00    |-40.00    |68,391    |121,544     |-17,574  |250,951.19   |                       
2024-01-03 |PF403        |7,410.00   |7,408.00 |7,428.00 |7,330.00 |7,348.00 |7,370.00  |-62.00    |-40.00    |60,440    |291,833     |-1,517   |222,684.71   |                       
2024-01-03 |PF404        |7,424.00   |7,418.00 |7,450.00 |7,356.00 |7,376.00 |7,410.00  |-48.00    |-14.00    |1,956     |6,780       |726      |7,246.70     |                       
2024-01-03 |PF405        |7,442.00   |7,428.00 |7,460.00 |7,364.00 |7,386.00 |7,402.00  |-56.00    |-40.00    |8,596     |25,580      |623      |31,815.46    |                       
2024-01-03 |PF406        |7,448.00   |7,442.00 |7,476.00 |7,390.00 |7,410.00 |7,428.00  |-38.00    |-20.00    |203       |157         |-12      |753.90       |                       
2024-01-03 |PF407        |7,448.00   |7,440.00 |7,440.00 |7,392.00 |7,404.00 |7,418.00  |-44.00    |-30.00    |37        |1,000       |-28      |137.21       |                       
2024-01-03 |PF408        |7,418.00   |7,438.00 |7,438.00 |7,368.00 |7,368.00 |7,394.00  |-50.00    |-24.00    |638       |1,473       |-631     |2,358.82     |                       
2024-01-03 |PF409        |7,438.00   |7,436.00 |7,450.00 |7,360.00 |7,380.00 |7,394.00  |-58.00    |-44.00    |625       |136         |-603     |2,310.77     |                       
2024-01-03 |PF410        |7,470.00   |7,438.00 |7,438.00 |7,390.00 |7,390.00 |7,438.00  |-80.00    |-32.00    |103       |623         |-100     |383.02       |                       
2024-01-03 |PF411        |7,428.00   |7,418.00 |7,418.00 |7,418.00 |7,418.00 |7,418.00  |-10.00    |-10.00    |100       |6           |-100     |370.90       |                       
2024-01-03 |PF412        |7,472.00   |7,558.00 |7,558.00 |7,558.00 |7,558.00 |7,558.00  |86.00     |86.00     |1         |4           |1        |3.78         |                       
2024-01-04 |PF401        |6,912.00   |0.00     |0.00     |0.00     |0.00     |6,912.00  |0.00      |0.00      |0         |614         |0        |0.00         |7,166.00               
2024-01-04 |PF402        |7,340.00   |7,338.00 |7,396.00 |7,320.00 |7,346.00 |7,354.00  |6.00      |14.00     |45,656    |113,130     |-8,414   |167,876.17   |                       
2024-01-04 |PF403        |7,370.00   |7,356.00 |7,428.00 |7,350.00 |7,374.00 |7,388.00  |4.00      |18.00     |57,744    |294,642     |2,809    |213,290.38   |                       
2024-01-04 |PF404        |7,410.00   |7,374.00 |7,446.00 |7,374.00 |7,402.00 |7,400.00  |-8.00     |-10.00    |764       |6,808       |28       |2,826.61     |                       
2024-01-04 |PF405        |7,402.00   |7,408.00 |7,458.00 |7,382.00 |7,406.00 |7,418.00  |4.00      |16.00     |8,271     |25,887      |307      |30,676.36    |                       
2024-01-04 |PF406        |7,428.00   |7,444.00 |7,470.00 |7,412.00 |7,448.00 |7,436.00  |20.00     |8.00      |68        |171         |14       |252.80       |                       
2024-01-04 |PF407        |7,418.00   |7,450.00 |7,450.00 |7,414.00 |7,414.00 |7,430.00  |-4.00     |12.00     |7         |1,000       |0        |26.00        |                       
2024-01-04 |PF408        |7,394.00   |7,434.00 |7,452.00 |7,398.00 |7,402.00 |7,408.00  |8.00      |14.00     |50        |1,457       |-16      |185.18       |                       
2024-01-04 |PF409        |7,394.00   |7,432.00 |7,452.00 |7,396.00 |7,402.00 |7,428.00  |8.00      |34.00     |10        |136         |0        |37.13        |                       
2024-01-04 |PF410        |7,438.00   |7,436.00 |7,436.00 |7,436.00 |7,436.00 |7,436.00  |-2.00     |-2.00     |36        |605         |-18      |133.85       |                       
2024-01-04 |PF411        |7,418.00   |7,476.00 |7,476.00 |7,476.00 |7,476.00 |7,476.00  |58.00     |58.00     |2         |8           |2        |7.48         |                       
2024-01-04 |PF412        |7,558.00   |7,428.00 |7,488.00 |7,428.00 |7,488.00 |7,468.00  |-70.00    |-90.00    |3         |4           |0        |11.20        |                       
2024-01-05 |PF401        |6,912.00   |0.00     |0.00     |0.00     |0.00     |6,912.00  |0.00      |0.00      |0         |614         |0        |0.00         |7,128.00               
2024-01-05 |PF402        |7,354.00   |7,358.00 |7,394.00 |7,282.00 |7,368.00 |7,338.00  |14.00     |-16.00    |51,215    |94,969      |-18,161  |187,884.92   |                       
2024-01-05 |PF403        |7,388.00   |7,388.00 |7,426.00 |7,310.00 |7,392.00 |7,368.00  |4.00      |-20.00    |100,097   |302,367     |7,725    |368,708.22   |                       
2024-01-05 |PF404        |7,400.00   |7,406.00 |7,440.00 |7,336.00 |7,410.00 |7,386.00  |10.00     |-14.00    |874       |6,853       |45       |3,227.68     |                       
2024-01-05 |PF405        |7,418.00   |7,416.00 |7,458.00 |7,346.00 |7,424.00 |7,402.00  |6.00      |-16.00    |10,544    |27,580      |1,693    |39,017.06    |                       
2024-01-05 |PF406        |7,436.00   |7,448.00 |7,450.00 |7,378.00 |7,448.00 |7,430.00  |12.00     |-6.00     |61        |183         |12       |226.59       |                       
2024-01-05 |PF407        |7,430.00   |7,422.00 |7,434.00 |7,376.00 |7,434.00 |7,406.00  |4.00      |-24.00    |17        |997         |-3       |62.95        |                       
2024-01-05 |PF408        |7,408.00   |7,406.00 |7,412.00 |7,366.00 |7,412.00 |7,388.00  |4.00      |-20.00    |30        |1,451       |-6       |110.83       |                       
2024-01-05 |PF409        |7,428.00   |7,402.00 |7,446.00 |7,358.00 |7,414.00 |7,396.00  |-14.00    |-32.00    |95        |134         |-2       |351.28       |                       
2024-01-05 |PF410        |7,436.00   |7,434.00 |7,462.00 |7,394.00 |7,462.00 |7,418.00  |26.00     |-18.00    |11        |607         |2        |40.80        |                       
2024-01-05 |PF411        |7,476.00   |7,414.00 |7,414.00 |7,414.00 |7,414.00 |7,414.00  |-62.00    |-62.00    |1         |9           |1        |3.71         |                       
2024-01-05 |PF412        |7,468.00   |0.00     |0.00     |0.00     |0.00     |7,468.00  |0.00      |0.00      |0         |4           |0        |0.00         |                       
2024-01-08 |PF401        |6,912.00   |0.00     |0.00     |0.00     |0.00     |6,912.00  |0.00      |0.00      |0         |614         |0        |0.00         |7,088.00               
2024-01-08 |PF402        |7,338.00   |7,364.00 |7,458.00 |7,300.00 |7,326.00 |7,366.00  |-12.00    |28.00     |58,572    |71,795      |-23,174  |215,713.06   |                       
2024-01-08 |PF403        |7,368.00   |7,392.00 |7,490.00 |7,320.00 |7,350.00 |7,396.00  |-18.00    |28.00     |155,336   |298,060     |-4,307   |574,346.74   |                       
2024-01-08 |PF404        |7,386.00   |7,398.00 |7,510.00 |7,340.00 |7,366.00 |7,402.00  |-20.00    |16.00     |1,753     |6,322       |-531     |6,488.01     |                       
2024-01-08 |PF405        |7,402.00   |7,410.00 |7,510.00 |7,348.00 |7,368.00 |7,420.00  |-34.00    |18.00     |19,653    |26,149      |-1,431   |72,911.48    |                       
2024-01-08 |PF406        |7,430.00   |7,464.00 |7,510.00 |7,370.00 |7,382.00 |7,468.00  |-48.00    |38.00     |373       |306         |123      |1,392.79     |                       
2024-01-08 |PF407        |7,406.00   |7,444.00 |7,502.00 |7,370.00 |7,370.00 |7,450.00  |-36.00    |44.00     |36        |998         |1        |134.09       |                       
2024-01-08 |PF408        |7,388.00   |7,424.00 |7,470.00 |7,346.00 |7,346.00 |7,406.00  |-42.00    |18.00     |50        |1,450       |-1       |185.16       |                       
2024-01-08 |PF409        |7,396.00   |7,410.00 |7,472.00 |7,340.00 |7,340.00 |7,396.00  |-56.00    |0.00      |42        |130         |-4       |155.32       |                       
2024-01-08 |PF410        |7,418.00   |7,446.00 |7,448.00 |7,382.00 |7,382.00 |7,432.00  |-36.00    |14.00     |4         |608         |1        |14.86        |                       
2024-01-08 |PF411        |7,414.00   |7,444.00 |7,444.00 |7,336.00 |7,336.00 |7,390.00  |-78.00    |-24.00    |2         |8           |-1       |7.39         |                       
2024-01-08 |PF412        |7,468.00   |0.00     |0.00     |0.00     |0.00     |7,416.00  |-52.00    |-52.00    |0         |4           |0        |0.00         |                       
2024-01-09 |PF401        |6,912.00   |0.00     |0.00     |0.00     |0.00     |6,912.00  |0.00      |0.00      |0         |614         |0        |0.00         |7,050.00               
2024-01-09 |PF402        |7,366.00   |7,314.00 |7,316.00 |7,236.00 |7,240.00 |7,268.00  |-126.00   |-98.00    |47,136    |43,523      |-28,272  |171,286.66   |                       
2024-01-09 |PF403        |7,396.00   |7,340.00 |7,340.00 |7,250.00 |7,258.00 |7,284.00  |-138.00   |-112.00   |122,017   |273,903     |-24,157  |444,389.95   |                       
2024-01-09 |PF404        |7,402.00   |7,356.00 |7,358.00 |7,270.00 |7,276.00 |7,300.00  |-126.00   |-102.00   |3,166     |6,733       |411      |11,555.77    |                       
2024-01-09 |PF405        |7,420.00   |7,358.00 |7,360.00 |7,282.00 |7,288.00 |7,310.00  |-132.00   |-110.00   |12,470    |26,605      |456      |45,573.30    |                       
2024-01-09 |PF406        |7,468.00   |7,350.00 |7,368.00 |7,316.00 |7,330.00 |7,330.00  |-138.00   |-138.00   |367       |206         |-100     |1,344.89     |                       
2024-01-09 |PF407        |7,450.00   |7,346.00 |7,346.00 |7,294.00 |7,318.00 |7,312.00  |-132.00   |-138.00   |29        |992         |-6       |106.02       |                       
2024-01-09 |PF408        |7,406.00   |7,332.00 |7,332.00 |7,276.00 |7,284.00 |7,292.00  |-122.00   |-114.00   |41        |1,421       |-29      |149.47       |                       
2024-01-09 |PF409        |7,396.00   |7,320.00 |7,338.00 |7,268.00 |7,280.00 |7,286.00  |-116.00   |-110.00   |70        |105         |-25      |254.96       |                       
2024-01-09 |PF410        |7,432.00   |7,314.00 |7,330.00 |7,314.00 |7,330.00 |7,318.00  |-102.00   |-114.00   |6         |608         |0        |21.95        |                       
2024-01-09 |PF411        |7,390.00   |7,322.00 |7,322.00 |7,296.00 |7,296.00 |7,310.00  |-94.00    |-80.00    |2         |9           |1        |7.31         |                       
2024-01-09 |PF412        |7,416.00   |0.00     |0.00     |0.00     |0.00     |7,416.00  |0.00      |0.00      |0         |4           |0        |0.00         |                       
2024-01-10 |PF401        |6,912.00   |0.00     |0.00     |0.00     |0.00     |6,912.00  |0.00      |0.00      |0         |614         |0        |0.00         |7,014.00               
2024-01-10 |PF402        |7,268.00   |7,280.00 |7,304.00 |7,240.00 |7,248.00 |7,272.00  |-20.00    |4.00      |22,416    |36,320      |-7,203   |81,493.83    |                       
2024-01-10 |PF403        |7,284.00   |7,298.00 |7,320.00 |7,254.00 |7,268.00 |7,288.00  |-16.00    |4.00      |115,663   |245,971     |-27,932  |421,443.54   |                       
2024-01-10 |PF404        |7,300.00   |7,312.00 |7,334.00 |7,274.00 |7,278.00 |7,304.00  |-22.00    |4.00      |10,068    |6,835       |102      |36,760.81    |                       
2024-01-10 |PF405        |7,310.00   |7,322.00 |7,344.00 |7,288.00 |7,296.00 |7,314.00  |-14.00    |4.00      |14,894    |26,259      |-346     |54,463.56    |                       
2024-01-10 |PF406        |7,330.00   |7,374.00 |7,384.00 |7,334.00 |7,334.00 |7,362.00  |4.00      |32.00     |98        |208         |2        |360.73       |                       
2024-01-10 |PF407        |7,312.00   |7,304.00 |7,352.00 |7,304.00 |7,318.00 |7,332.00  |6.00      |20.00     |7         |993         |1        |25.66        |                       
2024-01-10 |PF408        |7,292.00   |7,280.00 |7,330.00 |7,280.00 |7,300.00 |7,310.00  |8.00      |18.00     |23        |1,409       |-12      |84.06        |                       
2024-01-10 |PF409        |7,286.00   |7,278.00 |7,328.00 |7,276.00 |7,276.00 |7,298.00  |-10.00    |12.00     |42        |100         |-5       |153.23       |                       
2024-01-10 |PF410        |7,318.00   |7,362.00 |7,362.00 |7,362.00 |7,362.00 |7,362.00  |44.00     |44.00     |1         |607         |-1       |3.68         |                       
2024-01-10 |PF411        |7,310.00   |0.00     |0.00     |0.00     |0.00     |7,310.00  |0.00      |0.00      |0         |9           |0        |0.00         |                       
2024-01-10 |PF412        |7,416.00   |7,304.00 |7,316.00 |7,304.00 |7,316.00 |7,308.00  |-100.00   |-108.00   |3         |3           |-1       |10.96        |                       
2024-01-11 |PF401        |6,912.00   |0.00     |0.00     |0.00     |0.00     |6,886.00  |-26.00    |-26.00    |0         |614         |0        |0.00         |6,976.00               
2024-01-11 |PF402        |7,272.00   |7,248.00 |7,272.00 |7,216.00 |7,248.00 |7,244.00  |-24.00    |-28.00    |17,901    |31,292      |-5,028   |64,853.76    |                       
2024-01-11 |PF403        |7,288.00   |7,270.00 |7,288.00 |7,230.00 |7,268.00 |7,260.00  |-20.00    |-28.00    |90,675    |232,223     |-13,748  |329,142.67   |                       
2024-01-11 |PF404        |7,304.00   |7,288.00 |7,300.00 |7,248.00 |7,278.00 |7,276.00  |-26.00    |-28.00    |3,930     |7,039       |204      |14,296.19    |                       
2024-01-11 |PF405        |7,314.00   |7,310.00 |7,316.00 |7,260.00 |7,296.00 |7,288.00  |-18.00    |-26.00    |9,382     |25,974      |-285     |34,182.25    |                       
2024-01-11 |PF406        |7,362.00   |7,346.00 |7,348.00 |7,306.00 |7,334.00 |7,328.00  |-28.00    |-34.00    |25        |206         |-2       |91.60        |                       
