					ZCE Futures Historical Data(2025PR)
Date       |Contract Code|Pre Settle|Open     |High     |Low      |Close    |Settle|Chg 1   |Chg 2   |Volume (lot)|O.I.|OI Change|Turnover (RMB 10,000)|Final Settle
2025-01-02 |PR503        |6,146.00   |6,162.00 |6,240.00 |6,158.00 |6,238.00 |6,216.00  |92.00     |70.00     |11,769    |17,073      |-939     |109,717.85   |                       
2025-01-02 |PR504        |6,188.00   |6,218.00 |6,266.00 |6,214.00 |6,262.00 |6,246.00  |74.00     |58.00     |60        |336         |9        |562.06       |                       
2025-01-02 |PR505        |6,192.00   |6,226.00 |6,292.00 |6,226.00 |6,286.00 |6,266.00  |94.00     |74.00     |1,388     |6,245       |340      |13,043.98    |                       
2025-01-02 |PR506        |6,322.00   |0.00     |0.00     |0.00     |0.00     |6,394.00  |72.00     |72.00     |0         |57          |0        |0.00         |                       
2025-01-02 |PR507        |6,334.00   |6,420.00 |6,420.00 |6,420.00 |6,420.00 |6,420.00  |86.00     |86.00     |1         |36          |-1       |9.63         |                       
2025-01-02 |PR508        |6,344.00   |6,420.00 |6,422.00 |6,420.00 |6,422.00 |6,422.00  |78.00     |78.00     |2         |49          |-1       |19.26        |                       
2025-01-02 |PR509        |6,362.00   |0.00     |0.00     |0.00     |0.00     |6,434.00  |72.00     |72.00     |0         |106         |0        |0.00         |                       
2025-01-02 |PR510        |6,392.00   |0.00     |0.00     |0.00     |0.00     |6,462.00  |70.00     |70.00     |0         |10          |0        |0.00         |                       
2025-01-02 |PR511        |6,388.00   |0.00     |0.00     |0.00     |0.00     |6,424.00  |36.00     |36.00     |0         |2           |0        |0.00         |                       
2025-01-02 |PR512        |6,420.00   |0.00     |0.00     |0.00     |0.00     |6,420.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2025-01-03 |PR503        |6,216.00   |6,242.00 |6,266.00 |6,202.00 |6,212.00 |6,230.00  |-4.00     |14.00     |10,715    |15,816      |-1,257   |100,139.50   |                       
2025-01-03 |PR504        |6,246.00   |6,250.00 |6,264.00 |6,240.00 |6,240.00 |6,258.00  |-6.00     |12.00     |39        |331         |-5       |366.06       |                       
2025-01-03 |PR505        |6,266.00   |6,296.00 |6,312.00 |6,248.00 |6,254.00 |6,278.00  |-12.00    |12.00     |1,190     |6,124       |-121     |11,205.25    |                       
2025-01-03 |PR506        |6,394.00   |0.00     |0.00     |0.00     |0.00     |6,394.00  |0.00      |0.00      |0         |57          |0        |0.00         |                       
2025-01-03 |PR507        |6,420.00   |0.00     |0.00     |0.00     |0.00     |6,412.00  |-8.00     |-8.00     |0         |36          |0        |0.00         |                       
2025-01-03 |PR508        |6,422.00   |6,444.00 |6,444.00 |6,434.00 |6,434.00 |6,438.00  |12.00     |16.00     |4         |46          |-3       |38.62        |                       
2025-01-03 |PR509        |6,434.00   |0.00     |0.00     |0.00     |0.00     |6,434.00  |0.00      |0.00      |0         |106         |0        |0.00         |                       
2025-01-03 |PR510        |6,462.00   |0.00     |0.00     |0.00     |0.00     |6,462.00  |0.00      |0.00      |0         |10          |0        |0.00         |                       
2025-01-03 |PR511        |6,424.00   |0.00     |0.00     |0.00     |0.00     |6,424.00  |0.00      |0.00      |0         |2           |0        |0.00         |                       
2025-01-03 |PR512        |6,420.00   |0.00     |0.00     |0.00     |0.00     |6,420.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2025-01-06 |PR503        |6,230.00   |6,218.00 |6,280.00 |6,172.00 |6,174.00 |6,226.00  |-56.00    |-4.00     |15,778    |15,615      |-201     |147,355.71   |                       
2025-01-06 |PR504        |6,258.00   |6,232.00 |6,298.00 |6,232.00 |6,232.00 |6,256.00  |-26.00    |-2.00     |31        |333         |2        |290.92       |                       
2025-01-06 |PR505        |6,278.00   |6,258.00 |6,326.00 |6,222.00 |6,222.00 |6,280.00  |-56.00    |2.00      |2,326     |6,394       |270      |21,908.98    |                       
2025-01-06 |PR506        |6,394.00   |0.00     |0.00     |0.00     |0.00     |6,368.00  |-26.00    |-26.00    |0         |57          |0        |0.00         |                       
2025-01-06 |PR507        |6,412.00   |0.00     |0.00     |0.00     |0.00     |6,382.00  |-30.00    |-30.00    |0         |36          |0        |0.00         |                       
2025-01-06 |PR508        |6,438.00   |6,448.00 |6,448.00 |6,448.00 |6,448.00 |6,448.00  |10.00     |10.00     |1         |47          |1        |9.67         |                       
2025-01-06 |PR509        |6,434.00   |6,480.00 |6,484.00 |6,480.00 |6,484.00 |6,482.00  |50.00     |48.00     |3         |105         |-1       |29.17        |                       
2025-01-06 |PR510        |6,462.00   |0.00     |0.00     |0.00     |0.00     |6,454.00  |-8.00     |-8.00     |0         |10          |0        |0.00         |                       
2025-01-06 |PR511        |6,424.00   |0.00     |0.00     |0.00     |0.00     |6,424.00  |0.00      |0.00      |0         |2           |0        |0.00         |                       
2025-01-06 |PR512        |6,420.00   |0.00     |0.00     |0.00     |0.00     |6,420.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2025-01-07 |PR503        |6,226.00   |6,184.00 |6,214.00 |6,120.00 |6,134.00 |6,164.00  |-92.00    |-62.00    |12,388    |16,356      |741      |114,533.06   |                       
2025-01-07 |PR504        |6,256.00   |0.00     |0.00     |0.00     |0.00     |6,158.00  |-98.00    |-98.00    |0         |333         |0        |0.00         |                       
2025-01-07 |PR505        |6,280.00   |6,222.00 |6,260.00 |6,166.00 |6,172.00 |6,204.00  |-108.00   |-76.00    |1,800     |6,352       |-42      |16,747.40    |                       
2025-01-07 |PR506        |6,368.00   |0.00     |0.00     |0.00     |0.00     |6,314.00  |-54.00    |-54.00    |0         |57          |0        |0.00         |                       
2025-01-07 |PR507        |6,382.00   |0.00     |0.00     |0.00     |0.00     |6,332.00  |-50.00    |-50.00    |0         |36          |0        |0.00         |                       
2025-01-07 |PR508        |6,448.00   |0.00     |0.00     |0.00     |0.00     |6,344.00  |-104.00   |-104.00   |0         |47          |0        |0.00         |                       
2025-01-07 |PR509        |6,482.00   |6,434.00 |6,434.00 |6,360.00 |6,360.00 |6,400.00  |-122.00   |-82.00    |4         |105         |0        |38.39        |                       
2025-01-07 |PR510        |6,454.00   |0.00     |0.00     |0.00     |0.00     |6,424.00  |-30.00    |-30.00    |0         |10          |0        |0.00         |                       
2025-01-07 |PR511        |6,424.00   |0.00     |0.00     |0.00     |0.00     |6,424.00  |0.00      |0.00      |0         |2           |0        |0.00         |                       
2025-01-07 |PR512        |6,420.00   |0.00     |0.00     |0.00     |0.00     |6,420.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2025-01-08 |PR503        |6,164.00   |6,134.00 |6,156.00 |6,116.00 |6,138.00 |6,134.00  |-26.00    |-30.00    |11,266    |16,683      |327      |103,640.69   |                       
2025-01-08 |PR504        |6,158.00   |6,164.00 |6,168.00 |6,154.00 |6,156.00 |6,160.00  |-2.00     |2.00      |24        |339         |6        |221.78       |                       
2025-01-08 |PR505        |6,204.00   |6,180.00 |6,206.00 |6,164.00 |6,186.00 |6,180.00  |-18.00    |-24.00    |3,724     |6,507       |155      |34,516.52    |                       
2025-01-08 |PR506        |6,314.00   |6,322.00 |6,348.00 |6,322.00 |6,344.00 |6,336.00  |30.00     |22.00     |12        |55          |-2       |114.03       |                       
2025-01-08 |PR507        |6,332.00   |6,336.00 |6,358.00 |6,336.00 |6,342.00 |6,348.00  |10.00     |16.00     |5         |38          |2        |47.60        |                       
2025-01-08 |PR508        |6,344.00   |6,344.00 |6,366.00 |6,344.00 |6,364.00 |6,358.00  |20.00     |14.00     |3         |44          |-3       |28.61        |                       
2025-01-08 |PR509        |6,400.00   |6,356.00 |6,382.00 |6,356.00 |6,382.00 |6,366.00  |-18.00    |-34.00    |3         |105         |0        |28.64        |                       
2025-01-08 |PR510        |6,424.00   |6,408.00 |6,408.00 |6,408.00 |6,408.00 |6,408.00  |-16.00    |-16.00    |1         |10          |0        |9.61         |                       
2025-01-08 |PR511        |6,424.00   |0.00     |0.00     |0.00     |0.00     |6,424.00  |0.00      |0.00      |0         |2           |0        |0.00         |                       
2025-01-08 |PR512        |6,420.00   |0.00     |0.00     |0.00     |0.00     |6,420.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
