					ZCE Futures Historical Data(2025PL)
Date       |Contract Code|Pre Settle|Open     |High     |Low      |Close    |Settle|Chg 1   |Chg 2   |Volume (lot)|O.I.|OI Change|Turnover (RMB 10,000)|Final Settle
2025-07-22 |PL601        |6,350.00   |6,550.00 |6,708.00 |6,501.00 |6,613.00 |6,597.00  |263.00    |247.00    |43,897    |7,983       |7,983    |579,139.98   |                       
2025-07-22 |PL602        |6,350.00   |6,526.00 |6,757.00 |6,526.00 |6,669.00 |6,649.00  |319.00    |299.00    |2,371     |1,444       |1,444    |31,528.99    |                       
2025-07-22 |PL603        |6,350.00   |6,500.00 |6,715.00 |6,500.00 |6,571.00 |6,618.00  |221.00    |268.00    |681       |395         |395      |9,013.16     |                       
2025-07-22 |PL604        |6,350.00   |6,596.00 |6,633.00 |6,562.00 |6,618.00 |6,599.00  |268.00    |249.00    |21        |12          |12       |277.17       |                       
2025-07-22 |PL605        |6,350.00   |6,450.00 |6,660.00 |6,450.00 |6,550.00 |6,584.00  |200.00    |234.00    |266       |116         |116      |3,502.50     |                       
2025-07-22 |PL606        |6,350.00   |6,654.00 |6,688.00 |6,600.00 |6,610.00 |6,627.00  |260.00    |277.00    |12        |6           |6        |159.06       |                       
2025-07-22 |PL607        |6,350.00   |6,637.00 |6,698.00 |6,596.00 |6,596.00 |6,636.00  |246.00    |286.00    |15        |8           |8        |199.07       |                       
2025-07-23 |PL601        |6,597.00   |6,600.00 |6,661.00 |6,540.00 |6,578.00 |6,595.00  |-19.00    |-2.00     |20,996    |6,668       |-1,315   |276,942.96   |                       
2025-07-23 |PL602        |6,649.00   |6,649.00 |6,706.00 |6,623.00 |6,644.00 |6,645.00  |-5.00     |-4.00     |728       |1,449       |5        |9,674.54     |                       
2025-07-23 |PL603        |6,618.00   |6,604.00 |6,622.00 |6,532.00 |6,559.00 |6,573.00  |-59.00    |-45.00    |113       |438         |43       |1,485.50     |                       
2025-07-23 |PL604        |6,599.00   |6,663.00 |6,663.00 |6,589.00 |6,589.00 |6,610.00  |-10.00    |11.00     |9         |7           |-5       |118.98       |                       
2025-07-23 |PL605        |6,584.00   |6,507.00 |6,546.00 |6,504.00 |6,507.00 |6,519.00  |-77.00    |-65.00    |16        |107         |-9       |208.62       |                       
2025-07-23 |PL606        |6,627.00   |0.00     |0.00     |0.00     |0.00     |6,611.00  |-16.00    |-16.00    |0         |6           |0        |0.00         |                       
2025-07-23 |PL607        |6,636.00   |0.00     |0.00     |0.00     |0.00     |6,596.00  |-40.00    |-40.00    |0         |8           |0        |0.00         |                       
2025-07-24 |PL601        |6,595.00   |6,594.00 |6,622.00 |6,564.00 |6,601.00 |6,590.00  |6.00      |-5.00     |7,405     |6,140       |-528     |97,602.87    |                       
2025-07-24 |PL602        |6,645.00   |6,641.00 |6,688.00 |6,641.00 |6,688.00 |6,668.00  |43.00     |23.00     |162       |1,425       |-24      |2,160.46     |                       
2025-07-24 |PL603        |6,573.00   |6,578.00 |6,588.00 |6,566.00 |6,588.00 |6,584.00  |15.00     |11.00     |22        |427         |-11      |289.72       |                       
2025-07-24 |PL604        |6,610.00   |6,494.00 |6,494.00 |6,494.00 |6,494.00 |6,494.00  |-116.00   |-116.00   |1         |7           |0        |12.99        |                       
2025-07-24 |PL605        |6,519.00   |6,520.00 |6,554.00 |6,511.00 |6,523.00 |6,524.00  |4.00      |5.00      |44        |99          |-8       |574.10       |                       
2025-07-24 |PL606        |6,611.00   |0.00     |0.00     |0.00     |0.00     |6,611.00  |0.00      |0.00      |0         |6           |0        |0.00         |                       
2025-07-24 |PL607        |6,596.00   |0.00     |0.00     |0.00     |0.00     |6,596.00  |0.00      |0.00      |0         |8           |0        |0.00         |                       
2025-07-25 |PL601        |6,590.00   |6,630.00 |6,694.00 |6,598.00 |6,657.00 |6,643.00  |67.00     |53.00     |9,663     |5,838       |-302     |128,389.27   |                       
2025-07-25 |PL602        |6,668.00   |6,707.00 |6,732.00 |6,684.00 |6,705.00 |6,701.00  |37.00     |33.00     |167       |1,412       |-13      |2,237.99     |                       
2025-07-25 |PL603        |6,584.00   |6,599.00 |6,630.00 |6,596.00 |6,606.00 |6,611.00  |22.00     |27.00     |27        |427         |0        |357.00       |                       
2025-07-25 |PL604        |6,494.00   |6,608.00 |6,641.00 |6,608.00 |6,616.00 |6,632.00  |122.00    |138.00    |10        |13          |6        |132.65       |                       
2025-07-25 |PL605        |6,524.00   |6,555.00 |6,639.00 |6,525.00 |6,573.00 |6,586.00  |49.00     |62.00     |60        |107         |8        |790.29       |                       
