					CZCE History data(2019RM)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice|
2019-01-02 |RM901        |2,013.00   |1,990.00 |2,079.00 |1,990.00 |2,046.00 |2,047.00  |33.00     |34.00     |414       |2,834       |-280     |847.27       |2,088.00               |
2019-01-02 |RM903        |2,060.00   |2,053.00 |2,078.00 |2,053.00 |2,078.00 |2,074.00  |18.00     |14.00     |8,282     |13,802      |-8,020   |17,174.47    |0.00                   |
2019-01-02 |RM905        |2,094.00   |2,093.00 |2,129.00 |2,093.00 |2,123.00 |2,116.00  |29.00     |22.00     |328,562   |497,888     |-11,526  |695,317.87   |0.00                   |
2019-01-02 |RM907        |2,097.00   |2,121.00 |2,135.00 |2,121.00 |2,134.00 |2,132.00  |37.00     |35.00     |864       |9,176       |34       |1,841.63     |0.00                   |
2019-01-02 |RM908        |2,126.00   |2,149.00 |2,153.00 |2,149.00 |2,152.00 |2,151.00  |26.00     |25.00     |6         |14,046      |4        |12.91        |0.00                   |
2019-01-02 |RM909        |2,131.00   |2,135.00 |2,164.00 |2,131.00 |2,155.00 |2,151.00  |24.00     |20.00     |29,942    |83,290      |-1,618   |64,399.52    |0.00                   |
2019-01-02 |RM911        |2,102.00   |2,116.00 |2,129.00 |2,112.00 |2,121.00 |2,115.00  |19.00     |13.00     |8,270     |12,858      |-8,184   |17,493.73    |0.00                   |
2019-01-03 |RM901        |2,047.00   |2,045.00 |2,077.00 |2,045.00 |2,059.00 |2,061.00  |12.00     |14.00     |226       |2,830       |-4       |465.71       |2,083.00               |
2019-01-03 |RM903        |2,074.00   |2,074.00 |2,097.00 |2,074.00 |2,097.00 |2,089.00  |23.00     |15.00     |7,450     |6,404       |-7,398   |15,562.91    |0.00                   |
2019-01-03 |RM905        |2,116.00   |2,126.00 |2,144.00 |2,117.00 |2,139.00 |2,131.00  |23.00     |15.00     |442,942   |452,780     |-45,108  |944,113.32   |0.00                   |
2019-01-03 |RM907        |2,132.00   |2,211.00 |2,211.00 |2,130.00 |2,148.00 |2,147.00  |16.00     |15.00     |1,096     |8,182       |-994     |2,353.12     |0.00                   |
2019-01-03 |RM908        |2,151.00   |2,155.00 |2,173.00 |2,155.00 |2,173.00 |2,166.00  |22.00     |15.00     |6,010     |8,040       |-6,006   |13,017.66    |0.00                   |
2019-01-03 |RM909        |2,151.00   |2,159.00 |2,174.00 |2,150.00 |2,172.00 |2,164.00  |21.00     |13.00     |27,526    |79,560      |-3,730   |59,578.68    |0.00                   |
2019-01-03 |RM911        |2,115.00   |2,121.00 |2,139.00 |2,118.00 |2,139.00 |2,137.00  |24.00     |22.00     |8,482     |5,008       |-7,850   |18,125.07    |0.00                   |
2019-01-04 |RM901        |2,061.00   |2,075.00 |2,120.00 |2,073.00 |2,120.00 |2,084.00  |59.00     |23.00     |400       |2,796       |-34      |833.65       |2,079.00               |
2019-01-04 |RM903        |2,089.00   |2,103.00 |2,169.00 |2,103.00 |2,163.00 |2,138.00  |74.00     |49.00     |336       |6,204       |-200     |718.52       |0.00                   |
2019-01-04 |RM905        |2,131.00   |2,141.00 |2,179.00 |2,138.00 |2,177.00 |2,162.00  |46.00     |31.00     |655,322   |448,888     |-3,892   |1,416,915.41 |0.00                   |
2019-01-04 |RM907        |2,147.00   |2,152.00 |2,190.00 |2,152.00 |2,188.00 |2,173.00  |41.00     |26.00     |210       |8,086       |-96      |456.39       |0.00                   |
2019-01-04 |RM908        |2,166.00   |2,183.00 |2,203.00 |2,183.00 |2,203.00 |2,188.00  |37.00     |22.00     |6,012     |2,030       |-6,010   |13,154.33    |0.00                   |
2019-01-04 |RM909        |2,164.00   |2,172.00 |2,201.00 |2,170.00 |2,198.00 |2,189.00  |34.00     |25.00     |41,966    |78,138      |-1,422   |91,878.76    |0.00                   |
2019-01-04 |RM911        |2,137.00   |2,143.00 |2,168.00 |2,141.00 |2,168.00 |2,155.00  |31.00     |18.00     |2,556     |2,976       |-2,032   |5,508.08     |0.00                   |
2019-01-07 |RM901        |2,084.00   |2,120.00 |2,130.00 |2,120.00 |2,130.00 |2,129.00  |46.00     |45.00     |48        |2,768       |-28      |102.17       |2,078.00               |
2019-01-07 |RM903        |2,138.00   |2,173.00 |2,173.00 |2,143.00 |2,172.00 |2,162.00  |34.00     |24.00     |234       |6,148       |-56      |505.89       |0.00                   |
2019-01-07 |RM905        |2,162.00   |2,180.00 |2,197.00 |2,167.00 |2,176.00 |2,181.00  |14.00     |19.00     |657,316   |414,176     |-34,712  |1,433,384.56 |0.00                   |
2019-01-07 |RM907        |2,173.00   |2,184.00 |2,200.00 |2,165.00 |2,177.00 |2,178.00  |4.00      |5.00      |8,028     |15,800      |7,714    |17,485.06    |0.00                   |
2019-01-07 |RM908        |2,188.00   |2,206.00 |2,206.00 |2,196.00 |2,196.00 |2,198.00  |8.00      |10.00     |7,832     |7,872       |5,842    |17,210.94    |0.00                   |
2019-01-07 |RM909        |2,189.00   |2,202.00 |2,216.00 |2,191.00 |2,200.00 |2,202.00  |11.00     |13.00     |42,244    |73,970      |-4,168   |93,033.80    |0.00                   |
2019-01-07 |RM911        |2,155.00   |2,170.00 |2,180.00 |2,152.00 |2,170.00 |2,169.00  |15.00     |14.00     |494       |3,118       |142      |1,071.59     |0.00                   |
2019-01-08 |RM901        |2,129.00   |2,118.00 |2,120.00 |2,103.00 |2,120.00 |2,116.00  |-9.00     |-13.00    |46        |2,738       |-30      |97.36        |2,076.00               |
2019-01-08 |RM903        |2,162.00   |2,165.00 |2,165.00 |2,146.00 |2,146.00 |2,158.00  |-16.00    |-4.00     |32        |6,160       |12       |69.06        |0.00                   |
2019-01-08 |RM905        |2,181.00   |2,176.00 |2,185.00 |2,161.00 |2,171.00 |2,172.00  |-10.00    |-9.00     |588,336   |420,756     |6,580    |1,277,821.75 |0.00                   |
2019-01-08 |RM907        |2,178.00   |2,180.00 |2,182.00 |2,170.00 |2,171.00 |2,174.00  |-7.00     |-4.00     |7,812     |23,602      |7,802    |16,981.33    |0.00                   |
2019-01-08 |RM908        |2,198.00   |2,196.00 |2,200.00 |2,192.00 |2,192.00 |2,196.00  |-6.00     |-2.00     |9,816     |13,682      |5,810    |21,559.93    |0.00                   |
2019-01-08 |RM909        |2,202.00   |2,201.00 |2,209.00 |2,190.00 |2,194.00 |2,198.00  |-8.00     |-4.00     |49,730    |78,640      |4,670    |109,283.16   |0.00                   |
2019-01-08 |RM911        |2,169.00   |2,172.00 |2,174.00 |2,160.00 |2,161.00 |2,164.00  |-8.00     |-5.00     |7,974     |11,038      |7,920    |17,256.07    |0.00                   |
2019-01-09 |RM901        |2,116.00   |2,115.00 |2,120.00 |2,115.00 |2,120.00 |2,116.00  |4.00      |0.00      |230       |2,510       |-228     |486.72       |2,077.00               |
2019-01-09 |RM903        |2,158.00   |2,153.00 |2,164.00 |2,147.00 |2,164.00 |2,154.00  |6.00      |-4.00     |16        |6,158       |-2       |34.46        |0.00                   |
2019-01-09 |RM905        |2,172.00   |2,172.00 |2,189.00 |2,166.00 |2,179.00 |2,176.00  |7.00      |4.00      |556,074   |418,692     |-2,064   |1,209,825.05 |0.00                   |
2019-01-09 |RM907        |2,174.00   |2,173.00 |2,189.00 |2,172.00 |2,180.00 |2,180.00  |6.00      |6.00      |52        |23,578      |-24      |113.33       |0.00                   |
2019-01-09 |RM908        |2,196.00   |2,191.00 |2,206.00 |2,191.00 |2,206.00 |2,199.00  |10.00     |3.00      |4         |13,680      |-2       |8.79         |0.00                   |
2019-01-09 |RM909        |2,198.00   |2,195.00 |2,210.00 |2,190.00 |2,201.00 |2,199.00  |3.00      |1.00      |39,960    |73,222      |-5,418   |87,857.56    |0.00                   |
2019-01-09 |RM911        |2,164.00   |2,165.00 |2,177.00 |2,161.00 |2,169.00 |2,171.00  |5.00      |7.00      |728       |11,696      |658      |1,580.81     |0.00                   |
2019-01-10 |RM901        |2,116.00   |2,100.00 |2,100.00 |2,100.00 |2,100.00 |2,100.00  |-16.00    |-16.00    |6         |2,504       |-6       |12.60        |2,080.00               |
2019-01-10 |RM903        |2,154.00   |2,155.00 |2,155.00 |2,121.00 |2,137.00 |2,140.00  |-17.00    |-14.00    |18        |6,148       |-10      |38.53        |0.00                   |
2019-01-10 |RM905        |2,176.00   |2,177.00 |2,186.00 |2,150.00 |2,170.00 |2,170.00  |-6.00     |-6.00     |762,666   |418,288     |-404     |1,655,145.53 |0.00                   |
2019-01-10 |RM907        |2,180.00   |2,174.00 |2,187.00 |2,157.00 |2,167.00 |2,175.00  |-13.00    |-5.00     |56        |23,582      |4        |121.81       |0.00                   |
2019-01-10 |RM908        |2,199.00   |2,194.00 |2,208.00 |2,192.00 |2,194.00 |2,201.00  |-5.00     |2.00      |64        |13,670      |-10      |140.89       |0.00                   |
2019-01-10 |RM909        |2,199.00   |2,201.00 |2,206.00 |2,178.00 |2,195.00 |2,195.00  |-4.00     |-4.00     |54,996    |67,950      |-5,272   |120,700.63   |0.00                   |
2019-01-10 |RM911        |2,171.00   |2,170.00 |2,173.00 |2,150.00 |2,165.00 |2,163.00  |-6.00     |-8.00     |176       |11,720      |24       |380.65       |0.00                   |
2019-01-11 |RM901        |2,100.00   |2,100.00 |2,130.00 |2,100.00 |2,130.00 |2,125.00  |30.00     |25.00     |170       |2,338       |-166     |361.32       |2,085.00               |
2019-01-11 |RM903        |2,140.00   |2,138.00 |2,159.00 |2,122.00 |2,129.00 |2,134.00  |-11.00    |-6.00     |52        |6,124       |-24      |110.98       |0.00                   |
2019-01-11 |RM905        |2,170.00   |2,170.00 |2,173.00 |2,135.00 |2,139.00 |2,151.00  |-31.00    |-19.00    |616,930   |417,396     |-892     |1,326,903.62 |0.00                   |
2019-01-11 |RM907        |2,175.00   |2,171.00 |2,171.00 |2,145.00 |2,148.00 |2,156.00  |-27.00    |-19.00    |128       |23,660      |78       |275.91       |0.00                   |
2019-01-11 |RM908        |2,201.00   |2,183.00 |2,183.00 |2,164.00 |2,164.00 |2,168.00  |-37.00    |-33.00    |12        |13,668      |-2       |26.01        |0.00                   |
2019-01-11 |RM909        |2,195.00   |2,194.00 |2,197.00 |2,158.00 |2,160.00 |2,173.00  |-35.00    |-22.00    |55,304    |79,320      |11,370   |120,150.20   |0.00                   |
2019-01-11 |RM911        |2,163.00   |2,160.00 |2,165.00 |2,130.00 |2,132.00 |2,148.00  |-31.00    |-15.00    |662       |12,134      |414      |1,421.74     |0.00                   |
2019-01-14 |RM901        |2,125.00   |2,101.00 |2,102.00 |2,100.00 |2,100.00 |2,100.00  |-25.00    |-25.00    |1,454     |884         |-1,454   |3,053.82     |2,089.00               |
2019-01-14 |RM903        |2,134.00   |2,134.00 |2,134.00 |2,093.00 |2,111.00 |2,106.00  |-23.00    |-28.00    |236       |5,932       |-192     |496.96       |0.00                   |
2019-01-14 |RM905        |2,151.00   |2,137.00 |2,144.00 |2,094.00 |2,100.00 |2,115.00  |-51.00    |-36.00    |789,056   |458,666     |41,270   |1,669,058.30 |0.00                   |
2019-01-14 |RM907        |2,156.00   |2,146.00 |2,146.00 |2,110.00 |2,111.00 |2,143.00  |-45.00    |-13.00    |146       |23,672      |12       |312.89       |0.00                   |
2019-01-14 |RM908        |2,168.00   |2,134.00 |2,134.00 |2,125.00 |2,125.00 |2,130.00  |-43.00    |-38.00    |4         |13,672      |4        |8.52         |0.00                   |
2019-01-14 |RM909        |2,173.00   |2,160.00 |2,166.00 |2,120.00 |2,125.00 |2,140.00  |-48.00    |-33.00    |68,576    |87,470      |8,150    |146,721.62   |0.00                   |
2019-01-14 |RM911        |2,148.00   |2,129.00 |2,136.00 |2,095.00 |2,099.00 |2,109.00  |-49.00    |-39.00    |1,108     |12,778      |644      |2,337.08     |0.00                   |
2019-01-15 |RM901        |2,100.00   |2,103.00 |2,103.00 |2,103.00 |2,103.00 |2,103.00  |3.00      |3.00      |260       |0           |-884     |546.78       |2,098.00               |
2019-01-15 |RM903        |2,106.00   |2,115.00 |2,123.00 |2,105.00 |2,116.00 |2,115.00  |10.00     |9.00      |28        |5,934       |2        |59.21        |0.00                   |
2019-01-15 |RM905        |2,115.00   |2,097.00 |2,112.00 |2,087.00 |2,110.00 |2,104.00  |-5.00     |-11.00    |561,518   |455,140     |-3,526   |1,181,165.95 |0.00                   |
2019-01-15 |RM907        |2,143.00   |2,112.00 |2,119.00 |2,112.00 |2,119.00 |2,116.00  |-24.00    |-27.00    |28        |23,678      |6        |59.23        |0.00                   |
2019-01-15 |RM908        |2,130.00   |2,119.00 |2,126.00 |2,119.00 |2,126.00 |2,123.00  |-4.00     |-7.00     |4         |13,674      |2        |8.49         |0.00                   |
2019-01-15 |RM909        |2,140.00   |2,120.00 |2,138.00 |2,113.00 |2,134.00 |2,129.00  |-6.00     |-11.00    |46,682    |88,176      |706      |99,386.88    |0.00                   |
2019-01-15 |RM911        |2,109.00   |2,093.00 |2,109.00 |2,093.00 |2,108.00 |2,102.00  |-1.00     |-7.00     |574       |12,628      |-150     |1,206.41     |0.00                   |
