					CZCE History data(2021RM)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice
2021-01-04 |RM101        |2,738.00   |2,739.00 |2,873.00 |2,739.00 |2,752.00 |2,779.00  |14.00     |41.00     |370       |3,531       |-367     |1,028.10     |2,684.00               
2021-01-04 |RM103        |2,729.00   |2,787.00 |2,815.00 |2,748.00 |2,753.00 |2,775.00  |24.00     |46.00     |28,953    |22,061      |2,760    |80,346.79    |                       
2021-01-04 |RM105        |2,831.00   |2,880.00 |2,922.00 |2,863.00 |2,872.00 |2,886.00  |41.00     |55.00     |664,379   |392,444     |-2,827   |1,917,135.54 |                       
2021-01-04 |RM107        |2,819.00   |2,866.00 |2,908.00 |2,852.00 |2,858.00 |2,874.00  |39.00     |55.00     |86        |3,210       |-22      |247.13       |                       
2021-01-04 |RM108        |2,820.00   |2,888.00 |2,932.00 |2,876.00 |2,887.00 |2,901.00  |67.00     |81.00     |102       |3,972       |-7       |295.90       |                       
2021-01-04 |RM109        |2,834.00   |2,885.00 |2,930.00 |2,871.00 |2,882.00 |2,893.00  |48.00     |59.00     |80,385    |54,225      |4,944    |232,527.98   |                       
2021-01-04 |RM111        |2,691.00   |2,725.00 |2,784.00 |2,722.00 |2,739.00 |2,747.00  |48.00     |56.00     |1,274     |3,921       |-112     |3,499.79     |                       
2021-01-05 |RM101        |2,779.00   |2,752.00 |2,804.00 |2,737.00 |2,764.00 |2,756.00  |-15.00    |-23.00    |147       |3,445       |-86      |405.19       |2,698.00               
2021-01-05 |RM103        |2,775.00   |2,750.00 |2,775.00 |2,719.00 |2,763.00 |2,749.00  |-12.00    |-26.00    |37,619    |20,891      |-1,170   |103,426.60   |                       
2021-01-05 |RM105        |2,886.00   |2,869.00 |2,885.00 |2,832.00 |2,873.00 |2,861.00  |-13.00    |-25.00    |670,209   |385,630     |-6,814   |1,917,203.11 |                       
2021-01-05 |RM107        |2,874.00   |2,868.00 |2,871.00 |2,830.00 |2,867.00 |2,852.00  |-7.00     |-22.00    |59        |3,217       |7        |168.30       |                       
2021-01-05 |RM108        |2,901.00   |2,890.00 |2,895.00 |2,848.00 |2,883.00 |2,871.00  |-18.00    |-30.00    |80        |3,972       |0        |229.65       |                       
2021-01-05 |RM109        |2,893.00   |2,880.00 |2,895.00 |2,840.00 |2,879.00 |2,868.00  |-14.00    |-25.00    |83,719    |57,141      |2,916    |240,123.25   |                       
2021-01-05 |RM111        |2,747.00   |2,737.00 |2,758.00 |2,710.00 |2,742.00 |2,732.00  |-5.00     |-15.00    |1,829     |3,972       |51       |4,996.03     |                       
2021-01-06 |RM101        |2,756.00   |2,761.00 |2,766.00 |2,758.00 |2,766.00 |2,762.00  |10.00     |6.00      |18        |3,435       |-10      |49.72        |2,708.00               
2021-01-06 |RM103        |2,749.00   |2,763.00 |2,824.00 |2,761.00 |2,809.00 |2,789.00  |60.00     |40.00     |36,074    |20,566      |-325     |100,613.06   |                       
2021-01-06 |RM105        |2,861.00   |2,877.00 |2,926.00 |2,861.00 |2,911.00 |2,893.00  |50.00     |32.00     |726,926   |399,089     |13,459   |2,102,769.50 |                       
2021-01-06 |RM107        |2,852.00   |2,868.00 |2,910.00 |2,850.00 |2,896.00 |2,880.00  |44.00     |28.00     |69        |3,217       |0        |198.69       |                       
