					ZCE Futures Historical Data(2023RM)
Date       |Contract Code|Pre Settle|Open     |High     |Low      |Close    |Settle|Chg 1   |Chg 2   |Volume (lot)|O.I.|OI Change|Turnover (RMB 10,000)|Final Settle
2023-01-03 |RM301        |3,206.00   |3,386.00 |3,463.00 |3,231.00 |3,299.00 |3,335.00  |93.00     |129.00    |338       |1,344       |-157     |1,127.21     |3,134.00               
2023-01-03 |RM303        |3,143.00   |3,200.00 |3,240.00 |3,174.00 |3,191.00 |3,205.00  |48.00     |62.00     |38,517    |140,867     |450      |123,433.99   |                       
2023-01-03 |RM305        |3,173.00   |3,231.00 |3,270.00 |3,201.00 |3,222.00 |3,231.00  |49.00     |58.00     |393,839   |497,369     |12,760   |1,272,641.29 |                       
2023-01-03 |RM307        |3,130.00   |3,182.00 |3,221.00 |3,152.00 |3,174.00 |3,184.00  |44.00     |54.00     |11,796    |31,548      |834      |37,559.15    |                       
2023-01-03 |RM308        |3,182.00   |3,232.00 |3,266.00 |3,201.00 |3,230.00 |3,229.00  |48.00     |47.00     |4,453     |21,683      |-361     |14,380.85    |                       
2023-01-03 |RM309        |3,140.00   |3,188.00 |3,221.00 |3,156.00 |3,185.00 |3,186.00  |45.00     |46.00     |15,358    |40,267      |-1,253   |48,927.18    |                       
2023-01-03 |RM311        |2,952.00   |3,022.00 |3,043.00 |2,987.00 |3,018.00 |3,014.00  |66.00     |62.00     |525       |4,145       |-71      |1,582.13     |                       
2023-01-04 |RM301        |3,335.00   |3,250.00 |3,350.00 |3,225.00 |3,225.00 |3,235.00  |-110.00   |-100.00   |71        |1,275       |-69      |229.71       |3,156.00               
2023-01-04 |RM303        |3,205.00   |3,188.00 |3,215.00 |3,146.00 |3,163.00 |3,178.00  |-42.00    |-27.00    |62,451    |141,085     |218      |198,448.50   |                       
2023-01-04 |RM305        |3,231.00   |3,222.00 |3,241.00 |3,168.00 |3,184.00 |3,201.00  |-47.00    |-30.00    |476,475   |494,877     |-2,492   |1,525,255.09 |                       
2023-01-04 |RM307        |3,184.00   |3,173.00 |3,191.00 |3,120.00 |3,134.00 |3,151.00  |-50.00    |-33.00    |13,372    |32,638      |1,090    |42,137.54    |                       
2023-01-04 |RM308        |3,229.00   |3,230.00 |3,242.00 |3,180.00 |3,201.00 |3,206.00  |-28.00    |-23.00    |4,108     |22,004      |321      |13,171.89    |                       
2023-01-04 |RM309        |3,186.00   |3,185.00 |3,198.00 |3,134.00 |3,155.00 |3,163.00  |-31.00    |-23.00    |22,219    |44,445      |4,178    |70,268.18    |                       
2023-01-04 |RM311        |3,014.00   |3,018.00 |3,028.00 |2,985.00 |2,997.00 |3,003.00  |-17.00    |-11.00    |942       |4,565       |420      |2,828.56     |                       
2023-01-05 |RM301        |3,235.00   |3,140.00 |3,490.00 |3,127.00 |3,220.00 |3,232.00  |-15.00    |-3.00     |2,197     |262         |-1,013   |7,100.86     |3,174.00               
2023-01-05 |RM303        |3,178.00   |3,158.00 |3,170.00 |3,131.00 |3,146.00 |3,152.00  |-32.00    |-26.00    |46,781    |139,496     |-1,589   |147,438.14   |                       
2023-01-05 |RM305        |3,201.00   |3,179.00 |3,191.00 |3,151.00 |3,158.00 |3,168.00  |-43.00    |-33.00    |343,926   |487,085     |-7,792   |1,089,563.88 |                       
2023-01-05 |RM307        |3,151.00   |3,138.00 |3,142.00 |3,104.00 |3,109.00 |3,119.00  |-42.00    |-32.00    |8,654     |33,007      |369      |26,990.58    |                       
2023-01-05 |RM308        |3,206.00   |3,197.00 |3,200.00 |3,168.00 |3,186.00 |3,184.00  |-20.00    |-22.00    |3,445     |23,080      |1,076    |10,969.47    |                       
2023-01-05 |RM309        |3,163.00   |3,158.00 |3,158.00 |3,123.00 |3,140.00 |3,139.00  |-23.00    |-24.00    |20,856    |46,217      |1,772    |65,462.23    |                       
2023-01-05 |RM311        |3,003.00   |2,990.00 |2,999.00 |2,970.00 |2,979.00 |2,982.00  |-24.00    |-21.00    |1,177     |4,970       |405      |3,510.38     |                       
2023-01-06 |RM301        |3,232.00   |3,476.00 |3,490.00 |3,476.00 |3,490.00 |3,479.00  |258.00    |247.00    |10        |260         |-2       |34.79        |3,215.00               
2023-01-06 |RM303        |3,152.00   |3,146.00 |3,146.00 |3,093.00 |3,138.00 |3,121.00  |-14.00    |-31.00    |51,530    |138,646     |-850     |160,808.66   |                       
2023-01-06 |RM305        |3,168.00   |3,155.00 |3,157.00 |3,101.00 |3,140.00 |3,128.00  |-28.00    |-40.00    |415,982   |473,787     |-13,298  |1,301,143.21 |                       
2023-01-06 |RM307        |3,119.00   |3,104.00 |3,110.00 |3,055.00 |3,097.00 |3,080.00  |-22.00    |-39.00    |13,067    |33,820      |813      |40,240.43    |                       
2023-01-06 |RM308        |3,184.00   |3,177.00 |3,182.00 |3,141.00 |3,175.00 |3,162.00  |-9.00     |-22.00    |5,131     |24,781      |1,701    |16,225.94    |                       
2023-01-06 |RM309        |3,139.00   |3,134.00 |3,137.00 |3,096.00 |3,133.00 |3,118.00  |-6.00     |-21.00    |24,287    |50,203      |3,986    |75,722.69    |                       
2023-01-06 |RM311        |2,982.00   |2,969.00 |2,974.00 |2,939.00 |2,971.00 |2,958.00  |-11.00    |-24.00    |1,391     |5,534       |564      |4,114.82     |                       
2023-01-09 |RM301        |3,479.00   |0.00     |0.00     |0.00     |0.00     |3,479.00  |0.00      |0.00      |0         |260         |0        |0.00         |3,256.00               
2023-01-09 |RM303        |3,121.00   |3,134.00 |3,189.00 |3,128.00 |3,155.00 |3,155.00  |34.00     |34.00     |50,758    |137,042     |-1,604   |160,161.52   |                       
2023-01-09 |RM305        |3,128.00   |3,131.00 |3,189.00 |3,129.00 |3,152.00 |3,156.00  |24.00     |28.00     |430,440   |485,131     |11,344   |1,358,494.13 |                       
2023-01-09 |RM307        |3,080.00   |3,089.00 |3,142.00 |3,084.00 |3,108.00 |3,110.00  |28.00     |30.00     |11,388    |35,572      |1,752    |35,417.27    |                       
2023-01-09 |RM308        |3,162.00   |3,164.00 |3,220.00 |3,164.00 |3,196.00 |3,191.00  |34.00     |29.00     |3,489     |25,156      |375      |11,132.52    |                       
2023-01-09 |RM309        |3,118.00   |3,121.00 |3,175.00 |3,120.00 |3,147.00 |3,147.00  |29.00     |29.00     |18,540    |51,880      |1,677    |58,344.05    |                       
2023-01-09 |RM311        |2,958.00   |2,968.00 |3,012.00 |2,965.00 |2,988.00 |2,988.00  |30.00     |30.00     |1,121     |5,937       |403      |3,349.31     |                       
2023-01-10 |RM301        |3,479.00   |3,750.00 |3,750.00 |3,750.00 |3,750.00 |3,750.00  |271.00    |271.00    |3         |257         |-3       |11.25        |3,319.00               
2023-01-10 |RM303        |3,155.00   |3,150.00 |3,167.00 |3,111.00 |3,140.00 |3,137.00  |-15.00    |-18.00    |44,355    |136,652     |-390     |139,152.88   |                       
2023-01-10 |RM305        |3,156.00   |3,149.00 |3,165.00 |3,115.00 |3,138.00 |3,137.00  |-18.00    |-19.00    |411,937   |500,006     |14,875   |1,292,235.01 |                       
2023-01-10 |RM307        |3,110.00   |3,102.00 |3,118.00 |3,071.00 |3,091.00 |3,091.00  |-19.00    |-19.00    |10,678    |37,388      |1,816    |33,003.45    |                       
2023-01-10 |RM308        |3,191.00   |3,186.00 |3,199.00 |3,157.00 |3,181.00 |3,173.00  |-10.00    |-18.00    |2,671     |25,552      |396      |8,473.77     |                       
2023-01-10 |RM309        |3,147.00   |3,143.00 |3,155.00 |3,111.00 |3,134.00 |3,130.00  |-13.00    |-17.00    |14,723    |51,740      |-140     |46,086.63    |                       
2023-01-10 |RM311        |2,988.00   |2,980.00 |2,997.00 |2,953.00 |2,972.00 |2,971.00  |-16.00    |-17.00    |1,686     |5,721       |-216     |5,008.60     |                       
2023-01-11 |RM301        |3,750.00   |3,600.00 |3,600.00 |3,600.00 |3,600.00 |3,600.00  |-150.00   |-150.00   |1         |257         |0        |3.60         |3,363.00               
2023-01-11 |RM303        |3,137.00   |3,150.00 |3,175.00 |3,128.00 |3,167.00 |3,156.00  |30.00     |19.00     |42,618    |136,224     |-428     |134,485.85   |                       
2023-01-11 |RM305        |3,137.00   |3,146.00 |3,174.00 |3,128.00 |3,170.00 |3,153.00  |33.00     |16.00     |393,759   |516,255     |16,249   |1,241,684.80 |                       
2023-01-11 |RM307        |3,091.00   |3,098.00 |3,133.00 |3,084.00 |3,129.00 |3,108.00  |38.00     |17.00     |11,646    |39,951      |2,563    |36,191.52    |                       
2023-01-11 |RM308        |3,173.00   |3,181.00 |3,209.00 |3,168.00 |3,207.00 |3,187.00  |34.00     |14.00     |4,664     |27,108      |1,556    |14,866.03    |                       
2023-01-11 |RM309        |3,130.00   |3,135.00 |3,163.00 |3,122.00 |3,159.00 |3,145.00  |29.00     |15.00     |15,303    |51,704      |-36      |48,123.30    |                       
2023-01-11 |RM311        |2,971.00   |2,977.00 |3,000.00 |2,966.00 |2,994.00 |2,991.00  |23.00     |20.00     |778       |6,031       |310      |2,327.00     |                       
2023-01-12 |RM301        |3,600.00   |0.00     |0.00     |0.00     |0.00     |3,600.00  |0.00      |0.00      |0         |157         |-100     |0.00         |3,408.00               
2023-01-12 |RM303        |3,156.00   |3,173.00 |3,232.00 |3,158.00 |3,208.00 |3,197.00  |52.00     |41.00     |56,910    |134,965     |-1,259   |181,928.73   |                       
2023-01-12 |RM305        |3,153.00   |3,177.00 |3,229.00 |3,156.00 |3,204.00 |3,196.00  |51.00     |43.00     |454,709   |532,892     |16,637   |1,453,378.96 |                       
2023-01-12 |RM307        |3,108.00   |3,134.00 |3,184.00 |3,114.00 |3,159.00 |3,151.00  |51.00     |43.00     |10,390    |40,427      |476      |32,740.81    |                       
2023-01-12 |RM308        |3,187.00   |3,209.00 |3,259.00 |3,195.00 |3,234.00 |3,229.00  |47.00     |42.00     |4,143     |27,423      |315      |13,379.20    |                       
2023-01-12 |RM309        |3,145.00   |3,164.00 |3,216.00 |3,152.00 |3,190.00 |3,183.00  |45.00     |38.00     |23,156    |52,449      |745      |73,695.21    |                       
2023-01-12 |RM311        |2,991.00   |2,999.00 |3,041.00 |2,984.00 |3,015.00 |3,021.00  |24.00     |30.00     |678       |5,848       |-183     |2,048.12     |                       
2023-01-13 |RM301        |3,600.00   |3,335.00 |3,335.00 |3,335.00 |3,335.00 |3,335.00  |-265.00   |-265.00   |1         |156         |-1       |3.34         |3,425.00               
2023-01-13 |RM303        |3,197.00   |3,215.00 |3,258.00 |3,206.00 |3,233.00 |3,223.00  |36.00     |26.00     |58,697    |129,171     |-5,794   |189,177.59   |                       
2023-01-13 |RM305        |3,196.00   |3,215.00 |3,255.00 |3,203.00 |3,238.00 |3,224.00  |42.00     |28.00     |450,003   |546,647     |13,755   |1,450,746.23 |                       
2023-01-13 |RM307        |3,151.00   |3,163.00 |3,211.00 |3,160.00 |3,195.00 |3,181.00  |44.00     |30.00     |9,246     |39,942      |-485     |29,408.10    |                       
2023-01-13 |RM308        |3,229.00   |3,239.00 |3,280.00 |3,235.00 |3,269.00 |3,253.00  |40.00     |24.00     |2,116     |27,466      |43       |6,883.67     |                       
2023-01-13 |RM309        |3,183.00   |3,199.00 |3,241.00 |3,190.00 |3,224.00 |3,211.00  |41.00     |28.00     |20,633    |53,636      |1,187    |66,251.00    |                       
2023-01-13 |RM311        |3,021.00   |3,021.00 |3,063.00 |3,020.00 |3,048.00 |3,040.00  |27.00     |19.00     |789       |5,661       |-187     |2,398.35     |                       
2023-01-16 |RM301        |3,335.00   |3,602.00 |3,602.00 |3,602.00 |3,602.00 |3,602.00  |267.00    |267.00    |46        |0           |-156     |165.69       |3,465.00               
2023-01-16 |RM303        |3,223.00   |3,217.00 |3,231.00 |3,186.00 |3,209.00 |3,216.00  |-14.00    |-7.00     |42,445    |128,353     |-818     |136,482.68   |                       
2023-01-16 |RM305        |3,224.00   |3,227.00 |3,236.00 |3,191.00 |3,210.00 |3,220.00  |-14.00    |-4.00     |375,186   |537,091     |-9,556   |1,208,178.36 |                       
2023-01-16 |RM307        |3,181.00   |3,181.00 |3,191.00 |3,148.00 |3,169.00 |3,177.00  |-12.00    |-4.00     |8,611     |39,881      |-61      |27,356.05    |                       
2023-01-16 |RM308        |3,253.00   |3,256.00 |3,264.00 |3,224.00 |3,246.00 |3,250.00  |-7.00     |-3.00     |2,144     |27,420      |-46      |6,968.95     |                       
2023-01-16 |RM309        |3,211.00   |3,215.00 |3,221.00 |3,181.00 |3,201.00 |3,207.00  |-10.00    |-4.00     |15,365    |53,360      |-276     |49,281.89    |                       
2023-01-16 |RM311        |3,040.00   |3,038.00 |3,047.00 |3,014.00 |3,028.00 |3,034.00  |-12.00    |-6.00     |498       |5,552       |-109     |1,510.94     |                       
2023-01-17 |RM303        |3,216.00   |3,210.00 |3,237.00 |3,173.00 |3,231.00 |3,206.00  |15.00     |-10.00    |63,837    |113,833     |-14,520  |204,639.76   |                       
2023-01-17 |RM305        |3,220.00   |3,210.00 |3,218.00 |3,169.00 |3,201.00 |3,196.00  |-19.00    |-24.00    |411,236   |531,491     |-5,600   |1,314,230.52 |                       
2023-01-17 |RM307        |3,177.00   |3,173.00 |3,174.00 |3,126.00 |3,157.00 |3,149.00  |-20.00    |-28.00    |9,259     |40,928      |1,047    |29,158.34    |                       
2023-01-17 |RM308        |3,250.00   |3,246.00 |3,250.00 |3,200.00 |3,230.00 |3,225.00  |-20.00    |-25.00    |3,667     |27,651      |231      |11,826.40    |                       
2023-01-17 |RM309        |3,207.00   |3,205.00 |3,209.00 |3,156.00 |3,183.00 |3,183.00  |-24.00    |-24.00    |27,365    |57,750      |4,390    |87,092.07    |                       
2023-01-17 |RM311        |3,034.00   |3,031.00 |3,032.00 |2,992.00 |3,012.00 |3,011.00  |-22.00    |-23.00    |325       |5,617       |65       |978.50       |                       
2023-01-17 |RM401        |3,034.00   |3,001.00 |3,003.00 |2,903.00 |2,936.00 |2,930.00  |-98.00    |-104.00   |2,827     |1,142       |1,142    |8,282.31     |                       
2023-01-18 |RM303        |3,206.00   |3,242.00 |3,340.00 |3,233.00 |3,336.00 |3,298.00  |130.00    |92.00     |49,586    |104,758     |-9,075   |163,553.17   |                       
2023-01-18 |RM305        |3,196.00   |3,212.00 |3,291.00 |3,200.00 |3,281.00 |3,253.00  |85.00     |57.00     |513,287   |553,361     |21,870   |1,669,734.69 |                       
2023-01-18 |RM307        |3,149.00   |3,165.00 |3,247.00 |3,159.00 |3,239.00 |3,208.00  |90.00     |59.00     |12,587    |41,551      |623      |40,374.73    |                       
2023-01-18 |RM308        |3,225.00   |3,240.00 |3,307.00 |3,222.00 |3,291.00 |3,277.00  |66.00     |52.00     |6,398     |27,654      |3        |20,967.33    |                       
2023-01-18 |RM309        |3,183.00   |3,194.00 |3,264.00 |3,178.00 |3,253.00 |3,229.00  |70.00     |46.00     |30,474    |60,633      |2,883    |98,395.51    |                       
2023-01-18 |RM311        |3,011.00   |3,022.00 |3,083.00 |3,008.00 |3,072.00 |3,053.00  |61.00     |42.00     |682       |5,269       |-348     |2,082.44     |                       
2023-01-18 |RM401        |2,930.00   |2,940.00 |2,970.00 |2,925.00 |2,964.00 |2,949.00  |34.00     |19.00     |1,504     |1,226       |84       |4,434.82     |                       
2023-01-19 |RM303        |3,298.00   |3,339.00 |3,339.00 |3,231.00 |3,237.00 |3,269.00  |-61.00    |-29.00    |40,595    |91,457      |-13,301  |132,695.87   |                       
2023-01-19 |RM305        |3,253.00   |3,280.00 |3,280.00 |3,193.00 |3,198.00 |3,222.00  |-55.00    |-31.00    |454,774   |532,754     |-20,607  |1,465,059.05 |                       
2023-01-19 |RM307        |3,208.00   |3,233.00 |3,233.00 |3,151.00 |3,154.00 |3,177.00  |-54.00    |-31.00    |7,960     |41,494      |-57      |25,287.30    |                       
2023-01-19 |RM308        |3,277.00   |3,289.00 |3,289.00 |3,219.00 |3,222.00 |3,242.00  |-55.00    |-35.00    |3,698     |27,570      |-84      |11,989.05    |                       
2023-01-19 |RM309        |3,229.00   |3,250.00 |3,250.00 |3,175.00 |3,177.00 |3,198.00  |-52.00    |-31.00    |19,034    |61,323      |690      |60,870.71    |                       
2023-01-19 |RM311        |3,053.00   |3,066.00 |3,066.00 |3,010.00 |3,012.00 |3,025.00  |-41.00    |-28.00    |384       |5,367       |98       |1,161.56     |                       
