					CZCE History data(2019OI)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice|
2019-01-02 |OI901        |6,292.00   |5,978.00 |6,460.00 |5,978.00 |6,357.00 |6,331.00  |65.00     |39.00     |932       |47,220      |-866     |5,900.78     |6,366.00               |
2019-01-02 |OI903        |6,549.00   |0.00     |0.00     |0.00     |0.00     |6,549.00  |0.00      |0.00      |0         |6           |0        |0.00         |0.00                   |
2019-01-02 |OI905        |6,433.00   |6,431.00 |6,507.00 |6,430.00 |6,493.00 |6,477.00  |60.00     |44.00     |93,658    |282,420     |7,328    |606,664.28   |0.00                   |
2019-01-02 |OI907        |6,725.00   |0.00     |0.00     |0.00     |0.00     |6,725.00  |0.00      |0.00      |0         |12          |0        |0.00         |0.00                   |
2019-01-02 |OI909        |6,606.00   |6,608.00 |6,678.00 |6,607.00 |6,671.00 |6,654.00  |65.00     |48.00     |13,734    |53,082      |3,734    |91,380.80    |0.00                   |
2019-01-02 |OI911        |6,678.00   |0.00     |0.00     |0.00     |0.00     |6,678.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-03 |OI901        |6,331.00   |6,347.00 |6,394.00 |6,347.00 |6,350.00 |6,360.00  |19.00     |29.00     |1,988     |46,734      |-486     |12,643.31    |6,357.00               |
2019-01-03 |OI903        |6,549.00   |0.00     |0.00     |0.00     |0.00     |6,549.00  |0.00      |0.00      |0         |6           |0        |0.00         |0.00                   |
2019-01-03 |OI905        |6,477.00   |6,497.00 |6,534.00 |6,474.00 |6,524.00 |6,510.00  |47.00     |33.00     |136,900   |281,872     |-548     |891,160.87   |0.00                   |
2019-01-03 |OI907        |6,725.00   |0.00     |0.00     |0.00     |0.00     |6,736.00  |11.00     |11.00     |0         |12          |0        |0.00         |0.00                   |
2019-01-03 |OI909        |6,654.00   |6,672.00 |6,708.00 |6,652.00 |6,696.00 |6,682.00  |42.00     |28.00     |20,310    |54,772      |1,690    |135,715.55   |0.00                   |
2019-01-03 |OI911        |6,678.00   |0.00     |0.00     |0.00     |0.00     |6,678.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-04 |OI901        |6,360.00   |6,376.00 |6,400.00 |6,341.00 |6,353.00 |6,353.00  |-7.00     |-7.00     |3,036     |44,844      |-1,890   |19,286.79    |6,346.00               |
2019-01-04 |OI903        |6,549.00   |6,324.00 |6,471.00 |6,287.00 |6,464.00 |6,348.00  |-85.00    |-201.00   |64        |26          |20       |406.29       |0.00                   |
2019-01-04 |OI905        |6,510.00   |6,523.00 |6,548.00 |6,516.00 |6,540.00 |6,532.00  |30.00     |22.00     |125,654   |280,240     |-1,632   |820,733.93   |0.00                   |
2019-01-04 |OI907        |6,736.00   |6,748.00 |6,748.00 |6,744.00 |6,744.00 |6,748.00  |8.00      |12.00     |1,002     |1,012       |1,000    |6,761.49     |0.00                   |
