					CZCE History data(2022OI)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice
2022-01-04 |OI201        |12,682.00  |12,611.00|12,800.00|12,255.00|12,420.00|12,504.00 |-262.00   |-178.00   |323       |1,113       |-297     |4,038.95     |12,507.00              
2022-01-04 |OI203        |12,629.00  |12,665.00|12,727.00|12,210.00|12,337.00|12,534.00 |-292.00   |-95.00    |36,624    |25,730      |-506     |459,053.85   |                       
2022-01-04 |OI205        |12,254.00  |12,310.00|12,368.00|11,975.00|12,039.00|12,171.00 |-215.00   |-83.00    |406,708   |215,924     |-1,375   |4,949,956.11 |                       
2022-01-04 |OI207        |11,900.00  |11,979.00|12,020.00|11,680.00|11,740.00|11,843.00 |-160.00   |-57.00    |597       |1,929       |97       |7,070.04     |                       
2022-01-04 |OI209        |11,497.00  |11,559.00|11,674.00|11,377.00|11,405.00|11,533.00 |-92.00    |36.00     |10,417    |10,812      |844      |120,140.99   |                       
2022-01-04 |OI211        |10,965.00  |11,012.00|11,175.00|10,960.00|11,046.00|11,072.00 |81.00     |107.00    |559       |1,283       |-91      |6,189.01     |                       
2022-01-05 |OI201        |12,504.00  |12,429.00|12,491.00|11,980.00|12,036.00|12,212.00 |-468.00   |-292.00   |188       |977         |-136     |2,295.87     |12,493.00              
2022-01-05 |OI203        |12,534.00  |12,395.00|12,516.00|12,006.00|12,018.00|12,270.00 |-516.00   |-264.00   |41,367    |26,794      |1,064    |507,577.13   |                       
2022-01-05 |OI205        |12,171.00  |12,089.00|12,267.00|11,765.00|11,797.00|12,009.00 |-374.00   |-162.00   |644,763   |214,875     |-1,049   |7,743,256.57 |                       
2022-01-05 |OI207        |11,843.00  |11,741.00|11,958.00|11,508.00|11,521.00|11,698.00 |-322.00   |-145.00   |5,912     |4,293       |2,364    |69,158.77    |                       
2022-01-05 |OI209        |11,533.00  |11,435.00|11,645.00|11,246.00|11,280.00|11,396.00 |-253.00   |-137.00   |20,965    |12,994      |2,182    |238,912.84   |                       
2022-01-05 |OI211        |11,072.00  |11,033.00|11,262.00|10,971.00|11,022.00|11,079.00 |-50.00    |7.00      |349       |1,342       |59       |3,866.50     |                       
2022-01-06 |OI201        |12,212.00  |12,020.00|12,039.00|11,942.00|11,999.00|11,991.00 |-213.00   |-221.00   |296       |1,016       |39       |3,549.22     |12,446.00              
2022-01-06 |OI203        |12,270.00  |12,060.00|12,084.00|11,833.00|11,887.00|11,989.00 |-383.00   |-281.00   |28,561    |26,716      |-78      |342,406.74   |                       
2022-01-06 |OI205        |12,009.00  |11,823.00|11,864.00|11,637.00|11,671.00|11,762.00 |-338.00   |-247.00   |485,626   |216,497     |1,622    |5,712,152.59 |                       
2022-01-06 |OI207        |11,698.00  |11,573.00|11,595.00|11,391.00|11,427.00|11,490.00 |-271.00   |-208.00   |4,774     |4,994       |701      |54,853.80    |                       
2022-01-06 |OI209        |11,396.00  |11,310.00|11,357.00|11,136.00|11,170.00|11,264.00 |-226.00   |-132.00   |12,166    |13,350      |356      |137,032.33   |                       
2022-01-06 |OI211        |11,079.00  |11,069.00|11,095.00|10,944.00|10,947.00|11,024.00 |-132.00   |-55.00    |614       |1,571       |229      |6,768.63     |                       
2022-01-07 |OI201        |11,991.00  |0.00     |0.00     |0.00     |0.00     |12,066.00 |75.00     |75.00     |0         |1,016       |0        |0.00         |12,412.00              
