					ZCE Futures Historical Data(2024OI)
Date       |Contract Code|Pre Settle|Open     |High     |Low      |Close    |Settle|Chg 1   |Chg 2   |Volume (lot)|O.I.|OI Change|Turnover (RMB 10,000)|Final Settle
2024-01-02 |OI401        |8,047.00   |7,898.00 |7,965.00 |7,832.00 |7,862.00 |7,876.00  |-185.00   |-171.00   |746       |4,194       |-539     |5,875.55     |8,057.00               
2024-01-02 |OI403        |8,098.00   |8,032.00 |8,032.00 |7,885.00 |7,906.00 |7,933.00  |-192.00   |-165.00   |30,426    |192,420     |-369     |239,885.30   |                       
2024-01-02 |OI405        |8,073.00   |7,970.00 |7,978.00 |7,859.00 |7,884.00 |7,907.00  |-189.00   |-166.00   |295,510   |340,151     |32,652   |2,336,738.32 |                       
2024-01-02 |OI407        |8,105.00   |8,027.00 |8,034.00 |7,923.00 |7,950.00 |7,965.00  |-155.00   |-140.00   |2,075     |8,985       |-45      |16,527.71    |                       
2024-01-02 |OI409        |8,057.00   |7,960.00 |7,984.00 |7,869.00 |7,892.00 |7,915.00  |-165.00   |-142.00   |10,989    |13,811      |1,113    |86,973.77    |                       
2024-01-02 |OI411        |8,025.00   |7,926.00 |7,970.00 |7,856.00 |7,880.00 |7,898.00  |-145.00   |-127.00   |1,489     |1,438       |32       |11,759.78    |                       
2024-01-03 |OI401        |7,876.00   |7,878.00 |7,878.00 |7,754.00 |7,755.00 |7,768.00  |-121.00   |-108.00   |89        |4,107       |-87      |691.32       |8,027.00               
2024-01-03 |OI403        |7,933.00   |7,887.00 |7,933.00 |7,788.00 |7,844.00 |7,856.00  |-89.00    |-77.00    |49,082    |185,375     |-7,045   |384,768.76   |                       
2024-01-03 |OI405        |7,907.00   |7,872.00 |7,907.00 |7,760.00 |7,816.00 |7,828.00  |-91.00    |-79.00    |416,136   |353,722     |13,571   |3,257,613.41 |                       
2024-01-03 |OI407        |7,965.00   |7,955.00 |7,974.00 |7,847.00 |7,890.00 |7,903.00  |-75.00    |-62.00    |4,113     |9,590       |605      |32,503.43    |                       
2024-01-03 |OI409        |7,915.00   |7,875.00 |7,920.00 |7,809.00 |7,855.00 |7,861.00  |-60.00    |-54.00    |19,990    |17,690      |3,879    |157,144.50   |                       
2024-01-03 |OI411        |7,898.00   |7,884.00 |7,906.00 |7,799.00 |7,845.00 |7,842.00  |-53.00    |-56.00    |739       |1,586       |148      |5,795.01     |                       
2024-01-04 |OI401        |7,768.00   |7,768.00 |7,801.00 |7,768.00 |7,801.00 |7,783.00  |33.00     |15.00     |44        |4,068       |-39      |342.46       |8,000.00               
2024-01-04 |OI403        |7,856.00   |7,851.00 |7,891.00 |7,817.00 |7,858.00 |7,852.00  |2.00      |-4.00     |25,538    |181,809     |-3,566   |200,526.57   |                       
2024-01-04 |OI405        |7,828.00   |7,830.00 |7,863.00 |7,787.00 |7,833.00 |7,825.00  |5.00      |-3.00     |311,053   |349,203     |-4,519   |2,434,067.12 |                       
2024-01-04 |OI407        |7,903.00   |7,900.00 |7,936.00 |7,864.00 |7,901.00 |7,897.00  |-2.00     |-6.00     |2,117     |9,949       |359      |16,718.16    |                       
2024-01-04 |OI409        |7,861.00   |7,862.00 |7,907.00 |7,834.00 |7,870.00 |7,869.00  |9.00      |8.00      |11,274    |19,066      |1,376    |88,716.54    |                       
2024-01-04 |OI411        |7,842.00   |7,848.00 |7,890.00 |7,822.00 |7,852.00 |7,857.00  |10.00     |15.00     |246       |1,599       |13       |1,932.89     |                       
