					CZCE History data(2016RS)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice|
2016-01-04 |RS607        |3,995.00   |3,930.00 |3,985.00 |3,852.00 |3,914.00 |3,888.00  |-81.00    |-107.00   |146       |762         |42       |567.67       |0.00                   |
2016-01-04 |RS608        |3,942.00   |0.00     |0.00     |0.00     |0.00     |3,942.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2016-01-04 |RS609        |4,074.00   |0.00     |0.00     |0.00     |0.00     |3,965.00  |-109.00   |-109.00   |0         |8           |0        |0.00         |0.00                   |
2016-01-04 |RS611        |4,046.00   |0.00     |0.00     |0.00     |0.00     |3,938.00  |-108.00   |-108.00   |0         |0           |0        |0.00         |0.00                   |
2016-01-05 |RS607        |3,888.00   |3,917.00 |4,044.00 |3,880.00 |3,948.00 |3,993.00  |60.00     |105.00    |218       |696         |-66      |870.40       |0.00                   |
2016-01-05 |RS608        |3,942.00   |0.00     |0.00     |0.00     |0.00     |3,942.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2016-01-05 |RS609        |3,965.00   |0.00     |0.00     |0.00     |0.00     |3,965.00  |0.00      |0.00      |0         |8           |0        |0.00         |0.00                   |
2016-01-05 |RS611        |3,938.00   |0.00     |0.00     |0.00     |0.00     |4,044.00  |106.00    |106.00    |0         |0           |0        |0.00         |0.00                   |
2016-01-06 |RS607        |3,993.00   |3,915.00 |3,986.00 |3,915.00 |3,957.00 |3,957.00  |-36.00    |-36.00    |28        |694         |-2       |110.81       |0.00                   |
2016-01-06 |RS608        |3,942.00   |0.00     |0.00     |0.00     |0.00     |3,942.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2016-01-06 |RS609        |3,965.00   |0.00     |0.00     |0.00     |0.00     |3,929.00  |-36.00    |-36.00    |0         |8           |0        |0.00         |0.00                   |
2016-01-06 |RS611        |4,044.00   |0.00     |0.00     |0.00     |0.00     |4,044.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
