					CZCE History data(2021RS)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice
2021-01-04 |RS107        |5,365.00   |5,143.00 |5,209.00 |5,143.00 |5,209.00 |5,176.00  |-156.00   |-189.00   |2         |2           |2        |10.35        |                       
2021-01-04 |RS108        |5,260.00   |0.00     |0.00     |0.00     |0.00     |5,260.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-04 |RS109        |5,227.00   |0.00     |0.00     |0.00     |0.00     |5,227.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-04 |RS111        |5,227.00   |0.00     |0.00     |0.00     |0.00     |5,227.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-05 |RS107        |5,176.00   |0.00     |0.00     |0.00     |0.00     |5,256.00  |80.00     |80.00     |0         |2           |0        |0.00         |                       
2021-01-05 |RS108        |5,260.00   |0.00     |0.00     |0.00     |0.00     |5,260.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-05 |RS109        |5,227.00   |0.00     |0.00     |0.00     |0.00     |5,227.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-05 |RS111        |5,227.00   |0.00     |0.00     |0.00     |0.00     |5,227.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-06 |RS107        |5,256.00   |5,353.00 |5,640.00 |5,353.00 |5,434.00 |5,412.00  |178.00    |156.00    |14        |8           |6        |75.76        |                       
2021-01-06 |RS108        |5,260.00   |0.00     |0.00     |0.00     |0.00     |5,260.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-06 |RS109        |5,227.00   |0.00     |0.00     |0.00     |0.00     |5,227.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-06 |RS111        |5,227.00   |0.00     |0.00     |0.00     |0.00     |5,227.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-07 |RS107        |5,412.00   |5,600.00 |5,895.00 |5,552.00 |5,863.00 |5,807.00  |451.00    |395.00    |175       |30          |22       |1,016.25     |                       
2021-01-07 |RS108        |5,260.00   |0.00     |0.00     |0.00     |0.00     |5,260.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-07 |RS109        |5,227.00   |0.00     |0.00     |0.00     |0.00     |5,270.00  |43.00     |43.00     |0         |0           |0        |0.00         |                       
2021-01-07 |RS111        |5,227.00   |0.00     |0.00     |0.00     |0.00     |5,227.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-08 |RS107        |5,807.00   |5,646.00 |6,216.00 |5,646.00 |6,198.00 |6,099.00  |391.00    |292.00    |370       |55          |25       |2,256.69     |                       
2021-01-08 |RS108        |5,260.00   |0.00     |0.00     |0.00     |0.00     |5,272.00  |12.00     |12.00     |0         |0           |0        |0.00         |                       
2021-01-08 |RS109        |5,270.00   |0.00     |0.00     |0.00     |0.00     |5,270.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-08 |RS111        |5,227.00   |0.00     |0.00     |0.00     |0.00     |5,490.00  |263.00    |263.00    |0         |0           |0        |0.00         |                       
2021-01-11 |RS107        |6,099.00   |6,370.00 |6,449.00 |6,206.00 |6,299.00 |6,337.00  |200.00    |238.00    |293       |66          |11       |1,856.78     |                       
2021-01-11 |RS108        |5,272.00   |0.00     |0.00     |0.00     |0.00     |5,478.00  |206.00    |206.00    |0         |0           |0        |0.00         |                       
2021-01-11 |RS109        |5,270.00   |0.00     |0.00     |0.00     |0.00     |5,476.00  |206.00    |206.00    |0         |0           |0        |0.00         |                       
2021-01-11 |RS111        |5,490.00   |0.00     |0.00     |0.00     |0.00     |5,490.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-12 |RS107        |6,337.00   |6,220.00 |6,479.00 |6,200.00 |6,318.00 |6,328.00  |-19.00    |-9.00     |107       |74          |8        |677.12       |                       
2021-01-12 |RS108        |5,478.00   |0.00     |0.00     |0.00     |0.00     |5,690.00  |212.00    |212.00    |0         |0           |0        |0.00         |                       
2021-01-12 |RS109        |5,476.00   |0.00     |0.00     |0.00     |0.00     |5,693.00  |217.00    |217.00    |0         |0           |0        |0.00         |                       
