					ZCE Futures Historical Data(2026RS)
Date       |Contract Code|Pre Settle|Open     |High     |Low      |Close    |Settle|Chg 1   |Chg 2   |Volume (lot)|O.I.|OI Change|Turnover (RMB 10,000)|Final Settle
2026-01-05 |RS607        |5,454.00   |5,453.00 |5,453.00 |5,453.00 |5,453.00 |5,453.00  |-1.00     |-1.00     |1         |10          |1        |5.45         |                       
2026-01-05 |RS608        |5,498.00   |0.00     |0.00     |0.00     |0.00     |5,498.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-05 |RS609        |5,349.00   |5,291.00 |5,380.00 |5,290.00 |5,332.00 |5,335.00  |-17.00    |-14.00    |8         |10          |0        |42.68        |                       
2026-01-05 |RS611        |5,481.00   |0.00     |0.00     |0.00     |0.00     |5,481.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-06 |RS607        |5,453.00   |0.00     |0.00     |0.00     |0.00     |5,453.00  |0.00      |0.00      |0         |10          |0        |0.00         |                       
2026-01-06 |RS608        |5,498.00   |0.00     |0.00     |0.00     |0.00     |5,498.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-06 |RS609        |5,335.00   |5,418.00 |5,448.00 |5,418.00 |5,448.00 |5,432.00  |113.00    |97.00     |5         |8           |-2       |27.16        |                       
2026-01-06 |RS611        |5,481.00   |0.00     |0.00     |0.00     |0.00     |5,481.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-07 |RS607        |5,453.00   |5,460.00 |5,460.00 |5,460.00 |5,460.00 |5,460.00  |7.00      |7.00      |1         |9           |-1       |5.46         |                       
2026-01-07 |RS608        |5,498.00   |0.00     |0.00     |0.00     |0.00     |5,498.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-07 |RS609        |5,432.00   |5,333.00 |5,453.00 |5,333.00 |5,449.00 |5,417.00  |17.00     |-15.00    |20        |6           |-2       |108.35       |                       
2026-01-07 |RS611        |5,481.00   |0.00     |0.00     |0.00     |0.00     |5,481.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-08 |RS607        |5,460.00   |5,420.00 |5,580.00 |5,420.00 |5,446.00 |5,485.00  |-14.00    |25.00     |4         |8           |-1       |21.94        |                       
2026-01-08 |RS608        |5,498.00   |0.00     |0.00     |0.00     |0.00     |5,498.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-08 |RS609        |5,417.00   |5,430.00 |5,430.00 |5,430.00 |5,430.00 |5,430.00  |13.00     |13.00     |1         |5           |-1       |5.43         |                       
2026-01-08 |RS611        |5,481.00   |0.00     |0.00     |0.00     |0.00     |5,481.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-09 |RS607        |5,485.00   |0.00     |0.00     |0.00     |0.00     |5,485.00  |0.00      |0.00      |0         |8           |0        |0.00         |                       
2026-01-09 |RS608        |5,498.00   |0.00     |0.00     |0.00     |0.00     |5,498.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-09 |RS609        |5,430.00   |5,517.00 |5,517.00 |5,517.00 |5,517.00 |5,517.00  |87.00     |87.00     |1         |5           |0        |5.52         |                       
2026-01-09 |RS611        |5,481.00   |0.00     |0.00     |0.00     |0.00     |5,481.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-12 |RS607        |5,485.00   |5,573.00 |5,573.00 |5,514.00 |5,557.00 |5,550.00  |72.00     |65.00     |4         |10          |2        |22.20        |                       
2026-01-12 |RS608        |5,498.00   |0.00     |0.00     |0.00     |0.00     |5,498.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-12 |RS609        |5,517.00   |5,530.00 |5,530.00 |5,350.00 |5,447.00 |5,443.00  |-70.00    |-74.00    |17        |3           |-2       |92.53        |                       
2026-01-12 |RS611        |5,481.00   |0.00     |0.00     |0.00     |0.00     |5,481.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-13 |RS607        |5,550.00   |5,462.00 |5,520.00 |5,005.00 |5,460.00 |5,219.00  |-90.00    |-331.00   |511       |80          |70       |2,666.68     |                       
2026-01-13 |RS608        |5,498.00   |0.00     |0.00     |0.00     |0.00     |5,498.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-13 |RS609        |5,443.00   |5,408.00 |5,483.00 |5,270.00 |5,483.00 |5,372.00  |40.00     |-71.00    |36        |6           |3        |193.39       |                       
2026-01-13 |RS611        |5,481.00   |0.00     |0.00     |0.00     |0.00     |5,481.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-14 |RS607        |5,219.00   |5,460.00 |5,549.00 |5,421.00 |5,520.00 |5,484.00  |301.00    |265.00    |56        |72          |-8       |307.11       |                       
2026-01-14 |RS608        |5,498.00   |0.00     |0.00     |0.00     |0.00     |5,498.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-14 |RS609        |5,372.00   |5,390.00 |5,519.00 |5,390.00 |5,483.00 |5,450.00  |111.00    |78.00     |6         |3           |-3       |32.70        |                       
2026-01-14 |RS611        |5,481.00   |0.00     |0.00     |0.00     |0.00     |5,481.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-15 |RS607        |5,484.00   |5,529.00 |5,551.00 |5,492.00 |5,550.00 |5,540.00  |66.00     |56.00     |38        |56          |-16      |210.50       |                       
2026-01-15 |RS608        |5,498.00   |0.00     |0.00     |0.00     |0.00     |5,498.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-15 |RS609        |5,450.00   |5,620.00 |5,620.00 |5,461.00 |5,526.00 |5,518.00  |76.00     |68.00     |6         |3           |0        |33.11        |                       
2026-01-15 |RS611        |5,481.00   |0.00     |0.00     |0.00     |0.00     |5,481.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-16 |RS607        |5,540.00   |5,548.00 |5,551.00 |5,430.00 |5,547.00 |5,538.00  |7.00      |-2.00     |70        |30          |-26      |387.66       |                       
2026-01-16 |RS608        |5,498.00   |0.00     |0.00     |0.00     |0.00     |5,498.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-16 |RS609        |5,518.00   |5,496.00 |5,559.00 |5,485.00 |5,520.00 |5,521.00  |2.00      |3.00      |6         |2           |-1       |33.13        |                       
2026-01-16 |RS611        |5,481.00   |0.00     |0.00     |0.00     |0.00     |5,481.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-19 |RS607        |5,538.00   |5,501.00 |5,552.00 |5,501.00 |5,549.00 |5,539.00  |11.00     |1.00      |53        |18          |-12      |293.56       |                       
2026-01-19 |RS608        |5,498.00   |0.00     |0.00     |0.00     |0.00     |5,498.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-19 |RS609        |5,521.00   |5,451.00 |5,559.00 |5,451.00 |5,463.00 |5,510.00  |-58.00    |-11.00    |10        |3           |1        |55.10        |                       
2026-01-19 |RS611        |5,481.00   |0.00     |0.00     |0.00     |0.00     |5,481.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-20 |RS607        |5,539.00   |5,500.00 |5,548.00 |5,461.00 |5,530.00 |5,523.00  |-9.00     |-16.00    |24        |13          |-5       |132.56       |                       
2026-01-20 |RS608        |5,498.00   |0.00     |0.00     |0.00     |0.00     |5,498.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-20 |RS609        |5,510.00   |5,462.00 |5,544.00 |5,462.00 |5,544.00 |5,507.00  |34.00     |-3.00     |7         |2           |-1       |38.55        |                       
2026-01-20 |RS611        |5,481.00   |0.00     |0.00     |0.00     |0.00     |5,481.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-21 |RS607        |5,523.00   |5,565.00 |5,565.00 |5,520.00 |5,537.00 |5,542.00  |14.00     |19.00     |10        |13          |0        |55.42        |                       
2026-01-21 |RS608        |5,498.00   |0.00     |0.00     |0.00     |0.00     |5,498.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-21 |RS609        |5,507.00   |5,507.00 |5,576.00 |5,507.00 |5,534.00 |5,544.00  |27.00     |37.00     |9         |1           |-1       |49.90        |                       
2026-01-21 |RS611        |5,481.00   |0.00     |0.00     |0.00     |0.00     |5,481.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-22 |RS607        |5,542.00   |5,526.00 |5,548.00 |5,516.00 |5,548.00 |5,535.00  |6.00      |-7.00     |26        |11          |-2       |143.91       |                       
2026-01-22 |RS608        |5,498.00   |5,670.00 |5,670.00 |5,506.00 |5,506.00 |5,588.00  |8.00      |90.00     |2         |0           |0        |11.18        |                       
2026-01-22 |RS609        |5,544.00   |5,503.00 |5,537.00 |5,503.00 |5,537.00 |5,520.00  |-7.00     |-24.00    |2         |1           |0        |11.04        |                       
2026-01-22 |RS611        |5,481.00   |0.00     |0.00     |0.00     |0.00     |5,481.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-23 |RS607        |5,535.00   |5,534.00 |5,549.00 |5,526.00 |5,541.00 |5,537.00  |6.00      |2.00      |15        |10          |-1       |83.05        |                       
2026-01-23 |RS608        |5,588.00   |0.00     |0.00     |0.00     |0.00     |5,588.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-23 |RS609        |5,520.00   |0.00     |0.00     |0.00     |0.00     |5,520.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2026-01-23 |RS611        |5,481.00   |0.00     |0.00     |0.00     |0.00     |5,481.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-26 |RS607        |5,537.00   |5,535.00 |5,552.00 |5,530.00 |5,539.00 |5,542.00  |2.00      |5.00      |10        |10          |0        |55.42        |                       
2026-01-26 |RS608        |5,588.00   |0.00     |0.00     |0.00     |0.00     |5,588.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-26 |RS609        |5,520.00   |5,476.00 |5,610.00 |5,462.00 |5,480.00 |5,534.00  |-40.00    |14.00     |30        |7           |6        |166.03       |                       
2026-01-26 |RS611        |5,481.00   |0.00     |0.00     |0.00     |0.00     |5,481.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2026-01-27 |RS607        |5,542.00   |5,565.00 |5,572.00 |5,520.00 |5,550.00 |5,553.00  |8.00      |11.00     |15        |9           |-1       |83.29        |                       
2026-01-27 |RS608        |5,588.00   |5,423.00 |5,423.00 |5,423.00 |5,423.00 |5,423.00  |-165.00   |-165.00   |1         |1           |1        |5.42         |                       
