					CZCE History data(2020SA)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice|
2020-01-02 |SA005        |1,635.00   |1,633.00 |1,641.00 |1,618.00 |1,625.00 |1,631.00  |-10.00    |-4.00     |26,179    |34,862      |-1,836   |85,387.04    |0.00                   |
2020-01-02 |SA006        |1,639.00   |0.00     |0.00     |0.00     |0.00     |1,639.00  |0.00      |0.00      |0         |2           |0        |0.00         |0.00                   |
2020-01-02 |SA007        |1,676.00   |0.00     |0.00     |0.00     |0.00     |1,676.00  |0.00      |0.00      |0         |23          |0        |0.00         |0.00                   |
2020-01-02 |SA008        |1,674.00   |0.00     |0.00     |0.00     |0.00     |1,674.00  |0.00      |0.00      |0         |3           |0        |0.00         |0.00                   |
2020-01-02 |SA009        |1,691.00   |1,691.00 |1,702.00 |1,678.00 |1,680.00 |1,686.00  |-11.00    |-5.00     |1,519     |5,250       |24       |5,122.70     |0.00                   |
2020-01-02 |SA010        |1,654.00   |0.00     |0.00     |0.00     |0.00     |1,654.00  |0.00      |0.00      |0         |5           |0        |0.00         |0.00                   |
2020-01-02 |SA011        |1,672.00   |1,699.00 |1,699.00 |1,699.00 |1,699.00 |1,699.00  |27.00     |27.00     |2         |821         |0        |6.80         |0.00                   |
2020-01-02 |SA012        |1,640.00   |0.00     |0.00     |0.00     |0.00     |1,640.00  |0.00      |0.00      |0         |1           |0        |0.00         |0.00                   |
2020-01-03 |SA005        |1,631.00   |1,626.00 |1,634.00 |1,620.00 |1,629.00 |1,627.00  |-2.00     |-4.00     |23,178    |33,974      |-888     |75,429.05    |0.00                   |
2020-01-03 |SA006        |1,639.00   |1,634.00 |1,634.00 |1,634.00 |1,634.00 |1,634.00  |-5.00     |-5.00     |1         |1           |-1       |3.27         |0.00                   |
2020-01-03 |SA007        |1,676.00   |0.00     |0.00     |0.00     |0.00     |1,676.00  |0.00      |0.00      |0         |23          |0        |0.00         |0.00                   |
2020-01-03 |SA008        |1,674.00   |1,670.00 |1,697.00 |1,670.00 |1,697.00 |1,689.00  |23.00     |15.00     |10        |10          |7        |33.78        |0.00                   |
2020-01-03 |SA009        |1,686.00   |1,680.00 |1,690.00 |1,677.00 |1,689.00 |1,685.00  |3.00      |-1.00     |813       |5,375       |125      |2,739.24     |0.00                   |
2020-01-03 |SA010        |1,654.00   |0.00     |0.00     |0.00     |0.00     |1,654.00  |0.00      |0.00      |0         |5           |0        |0.00         |0.00                   |
2020-01-03 |SA011        |1,699.00   |1,698.00 |1,699.00 |1,664.00 |1,699.00 |1,692.00  |0.00      |-7.00     |8         |823         |2        |27.08        |0.00                   |
2020-01-03 |SA012        |1,640.00   |0.00     |0.00     |0.00     |0.00     |1,640.00  |0.00      |0.00      |0         |1           |0        |0.00         |0.00                   |
2020-01-06 |SA005        |1,627.00   |1,629.00 |1,646.00 |1,628.00 |1,638.00 |1,637.00  |11.00     |10.00     |40,966    |33,327      |-647     |134,126.04   |0.00                   |
2020-01-06 |SA006        |1,634.00   |1,677.00 |1,677.00 |1,677.00 |1,677.00 |1,677.00  |43.00     |43.00     |1         |2           |1        |3.36         |0.00                   |
2020-01-06 |SA007        |1,676.00   |0.00     |0.00     |0.00     |0.00     |1,676.00  |0.00      |0.00      |0         |23          |0        |0.00         |0.00                   |
2020-01-06 |SA008        |1,689.00   |0.00     |0.00     |0.00     |0.00     |1,690.00  |1.00      |1.00      |0         |10          |0        |0.00         |0.00                   |
2020-01-06 |SA009        |1,685.00   |1,693.00 |1,702.00 |1,687.00 |1,689.00 |1,693.00  |4.00      |8.00      |1,492     |4,931       |-444     |5,052.74     |0.00                   |
2020-01-06 |SA010        |1,654.00   |1,641.00 |1,679.00 |1,641.00 |1,679.00 |1,669.00  |25.00     |15.00     |4         |5           |0        |13.35        |0.00                   |
