					CZCE History data(2021SA)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice
2021-01-04 |SA101        |1,383.00   |1,361.00 |1,378.00 |1,360.00 |1,363.00 |1,368.00  |-20.00    |-15.00    |2,830     |1,751       |-2,140   |7,735.80     |1,424.00               
2021-01-04 |SA102        |1,467.00   |1,450.00 |1,474.00 |1,443.00 |1,455.00 |1,454.00  |-12.00    |-13.00    |1,001     |4,049       |-321     |2,910.72     |                       
2021-01-04 |SA103        |1,481.00   |1,474.00 |1,496.00 |1,456.00 |1,471.00 |1,470.00  |-10.00    |-11.00    |11,898    |27,016      |766      |34,970.94    |                       
2021-01-04 |SA104        |1,601.00   |1,604.00 |1,625.00 |1,581.00 |1,600.00 |1,599.00  |-1.00     |-2.00     |16,046    |18,597      |422      |51,311.62    |                       
2021-01-04 |SA105        |1,605.00   |1,611.00 |1,636.00 |1,588.00 |1,609.00 |1,606.00  |4.00      |1.00      |277,664   |175,758     |29,310   |891,683.70   |                       
2021-01-04 |SA106        |1,653.00   |1,652.00 |1,664.00 |1,633.00 |1,664.00 |1,649.00  |11.00     |-4.00     |2,445     |523         |313      |8,061.57     |                       
2021-01-04 |SA107        |1,673.00   |1,665.00 |1,676.00 |1,653.00 |1,676.00 |1,663.00  |3.00      |-10.00    |52        |182         |-15      |172.98       |                       
2021-01-04 |SA108        |1,707.00   |1,702.00 |1,702.00 |1,702.00 |1,702.00 |1,702.00  |-5.00     |-5.00     |1         |73          |1        |3.40         |                       
2021-01-04 |SA109        |1,724.00   |1,726.00 |1,748.00 |1,710.00 |1,730.00 |1,723.00  |6.00      |-1.00     |2,165     |4,299       |281      |7,460.42     |                       
2021-01-04 |SA110        |1,754.00   |1,735.00 |1,747.00 |1,725.00 |1,725.00 |1,729.00  |-29.00    |-25.00    |22        |19          |-12      |76.09        |                       
2021-01-04 |SA111        |1,722.00   |1,715.00 |1,749.00 |1,710.00 |1,715.00 |1,720.00  |-7.00     |-2.00     |16        |47          |1        |55.04        |                       
2021-01-04 |SA112        |1,729.00   |1,733.00 |1,733.00 |1,733.00 |1,733.00 |1,733.00  |4.00      |4.00      |1         |2           |0        |3.47         |                       
2021-01-05 |SA101        |1,368.00   |1,364.00 |1,378.00 |1,358.00 |1,377.00 |1,372.00  |9.00      |4.00      |961       |1,788       |37       |2,637.01     |1,417.00               
2021-01-05 |SA102        |1,454.00   |1,460.00 |1,472.00 |1,453.00 |1,453.00 |1,460.00  |-1.00     |6.00      |675       |4,059       |10       |1,970.83     |                       
2021-01-05 |SA103        |1,470.00   |1,472.00 |1,488.00 |1,465.00 |1,470.00 |1,475.00  |0.00      |5.00      |15,180    |24,698      |-2,318   |44,793.13    |                       
2021-01-05 |SA104        |1,599.00   |1,601.00 |1,619.00 |1,585.00 |1,592.00 |1,599.00  |-7.00     |0.00      |22,187    |17,882      |-715     |70,945.08    |                       
2021-01-05 |SA105        |1,606.00   |1,608.00 |1,627.00 |1,592.00 |1,599.00 |1,609.00  |-7.00     |3.00      |360,539   |176,301     |543      |1,160,453.41 |                       
2021-01-05 |SA106        |1,649.00   |1,670.00 |1,678.00 |1,638.00 |1,638.00 |1,662.00  |-11.00    |13.00     |2,455     |887         |364      |8,160.52     |                       
2021-01-05 |SA107        |1,663.00   |1,685.00 |1,690.00 |1,637.00 |1,651.00 |1,672.00  |-12.00    |9.00      |83        |167         |-15      |277.50       |                       
2021-01-05 |SA108        |1,702.00   |1,721.00 |1,721.00 |1,680.00 |1,710.00 |1,699.00  |8.00      |-3.00     |20        |64          |-9       |67.97        |                       
2021-01-05 |SA109        |1,723.00   |1,727.00 |1,742.00 |1,720.00 |1,728.00 |1,729.00  |5.00      |6.00      |2,165     |4,561       |262      |7,487.16     |                       
2021-01-05 |SA110        |1,729.00   |1,738.00 |1,738.00 |1,723.00 |1,736.00 |1,729.00  |7.00      |0.00      |209       |220         |201      |722.79       |                       
2021-01-05 |SA111        |1,720.00   |1,732.00 |1,738.00 |1,708.00 |1,710.00 |1,722.00  |-10.00    |2.00      |30        |47          |0        |103.29       |                       
2021-01-05 |SA112        |1,733.00   |0.00     |0.00     |0.00     |0.00     |1,733.00  |0.00      |0.00      |0         |2           |0        |0.00         |                       
2021-01-06 |SA101        |1,372.00   |1,372.00 |1,381.00 |1,364.00 |1,381.00 |1,375.00  |9.00      |3.00      |112       |1,798       |10       |308.02       |1,410.00               
2021-01-06 |SA102        |1,460.00   |1,453.00 |1,488.00 |1,451.00 |1,488.00 |1,478.00  |28.00     |18.00     |2,732     |3,873       |-186     |8,075.81     |                       
2021-01-06 |SA103        |1,475.00   |1,475.00 |1,508.00 |1,466.00 |1,507.00 |1,489.00  |32.00     |14.00     |18,173    |25,926      |1,228    |54,128.18    |                       
2021-01-06 |SA104        |1,599.00   |1,595.00 |1,640.00 |1,579.00 |1,639.00 |1,613.00  |40.00     |14.00     |22,743    |20,233      |2,351    |73,375.43    |                       
2021-01-06 |SA105        |1,609.00   |1,604.00 |1,650.00 |1,585.00 |1,650.00 |1,619.00  |41.00     |10.00     |571,014   |210,459     |34,158   |1,848,547.00 |                       
2021-01-06 |SA106        |1,662.00   |1,635.00 |1,681.00 |1,634.00 |1,678.00 |1,660.00  |16.00     |-2.00     |4,476     |994         |107      |14,861.24    |                       
2021-01-06 |SA107        |1,672.00   |1,648.00 |1,685.00 |1,648.00 |1,684.00 |1,679.00  |12.00     |7.00      |167       |88          |-79      |560.71       |                       
2021-01-06 |SA108        |1,699.00   |1,711.00 |1,734.00 |1,711.00 |1,734.00 |1,722.00  |35.00     |23.00     |5         |65          |1        |17.22        |                       
2021-01-06 |SA109        |1,729.00   |1,728.00 |1,750.00 |1,717.00 |1,750.00 |1,738.00  |21.00     |9.00      |4,769     |5,574       |1,013    |16,576.63    |                       
2021-01-06 |SA110        |1,729.00   |1,740.00 |1,749.00 |1,740.00 |1,749.00 |1,746.00  |20.00     |17.00     |6         |218         |-2       |20.95        |                       
2021-01-06 |SA111        |1,722.00   |1,713.00 |1,735.00 |1,706.00 |1,735.00 |1,718.00  |13.00     |-4.00     |33        |44          |-3       |113.36       |                       
2021-01-06 |SA112        |1,733.00   |1,739.00 |1,739.00 |1,723.00 |1,723.00 |1,731.00  |-10.00    |-2.00     |2         |2           |0        |6.92         |                       
2021-01-07 |SA101        |1,375.00   |1,390.00 |1,420.00 |1,390.00 |1,412.00 |1,399.00  |37.00     |24.00     |84        |1,798       |0        |235.06       |1,407.00               
2021-01-07 |SA102        |1,478.00   |1,485.00 |1,519.00 |1,477.00 |1,479.00 |1,494.00  |1.00      |16.00     |1,198     |3,620       |-253     |3,579.07     |                       
2021-01-07 |SA103        |1,489.00   |1,508.00 |1,536.00 |1,493.00 |1,495.00 |1,513.00  |6.00      |24.00     |13,316    |26,534      |608      |40,290.36    |                       
