					ZCE Futures Historical Data(2026SA)
Date       |Contract Code|Pre Settle|Open     |High     |Low      |Close    |Settle|Chg 1   |Chg 2   |Volume (lot)|O.I.|OI Change|Turnover (RMB 10,000)|Final Settle
2026-01-05 |SA601        |1,125.00   |1,147.00 |1,147.00 |1,095.00 |1,095.00 |1,110.00  |-30.00    |-15.00    |2,701     |6,572       |-2,151   |5,994.64     |1,118.00               
2026-01-05 |SA602        |1,154.00   |1,145.00 |1,152.00 |1,129.00 |1,134.00 |1,140.00  |-20.00    |-14.00    |11,368    |18,697      |-1,882   |25,958.74    |                       
2026-01-05 |SA603        |1,162.00   |1,158.00 |1,162.00 |1,133.00 |1,139.00 |1,148.00  |-23.00    |-14.00    |45,344    |127,640     |2,871    |104,095.69   |                       
2026-01-05 |SA604        |1,199.00   |1,199.00 |1,199.00 |1,168.00 |1,175.00 |1,186.00  |-24.00    |-13.00    |21,487    |31,673      |2,410    |50,971.53    |                       
2026-01-05 |SA605        |1,209.00   |1,205.00 |1,206.00 |1,169.00 |1,177.00 |1,186.00  |-32.00    |-23.00    |896,697   |1,053,853   |101,240  |2,127,069.70 |                       
2026-01-05 |SA606        |1,235.00   |1,235.00 |1,237.00 |1,205.00 |1,214.00 |1,227.00  |-21.00    |-8.00     |11,829    |12,881      |1,559    |29,035.96    |                       
2026-01-05 |SA607        |1,239.00   |1,239.00 |1,242.00 |1,217.00 |1,219.00 |1,232.00  |-20.00    |-7.00     |6,524     |10,387      |126      |16,081.43    |                       
2026-01-05 |SA608        |1,266.00   |1,266.00 |1,270.00 |1,250.00 |1,252.00 |1,261.00  |-14.00    |-5.00     |3,907     |4,244       |-451     |9,856.30     |                       
2026-01-05 |SA609        |1,272.00   |1,272.00 |1,274.00 |1,244.00 |1,249.00 |1,260.00  |-23.00    |-12.00    |30,848    |81,922      |3,064    |77,715.03    |                       
2026-01-05 |SA610        |1,289.00   |1,290.00 |1,293.00 |1,277.00 |1,281.00 |1,287.00  |-8.00     |-2.00     |3,391     |5,530       |62       |8,725.95     |                       
2026-01-05 |SA611        |1,293.00   |1,294.00 |1,296.00 |1,282.00 |1,284.00 |1,288.00  |-9.00     |-5.00     |914       |2,796       |-228     |2,355.16     |                       
2026-01-05 |SA612        |1,311.00   |1,303.00 |1,314.00 |1,298.00 |1,308.00 |1,307.00  |-3.00     |-4.00     |354       |912         |178      |925.17       |                       
2026-01-06 |SA601        |1,110.00   |1,099.00 |1,113.00 |1,099.00 |1,111.00 |1,103.00  |1.00      |-7.00     |708       |5,319       |-1,253   |1,561.48     |1,115.00               
2026-01-06 |SA602        |1,140.00   |1,134.00 |1,149.00 |1,129.00 |1,146.00 |1,141.00  |6.00      |1.00      |6,833     |18,214      |-483     |15,595.88    |                       
2026-01-06 |SA603        |1,148.00   |1,142.00 |1,157.00 |1,134.00 |1,151.00 |1,147.00  |3.00      |-1.00     |49,122    |129,518     |1,878    |112,713.63   |                       
2026-01-06 |SA604        |1,186.00   |1,174.00 |1,190.00 |1,170.00 |1,188.00 |1,182.00  |2.00      |-4.00     |14,192    |33,375      |1,702    |33,563.66    |                       
2026-01-06 |SA605        |1,186.00   |1,178.00 |1,191.00 |1,172.00 |1,190.00 |1,182.00  |4.00      |-4.00     |744,640   |1,056,646   |2,793    |1,760,590.79 |                       
2026-01-06 |SA606        |1,227.00   |1,216.00 |1,228.00 |1,208.00 |1,227.00 |1,218.00  |0.00      |-9.00     |8,589     |18,682      |5,801    |20,929.24    |                       
2026-01-06 |SA607        |1,232.00   |1,221.00 |1,232.00 |1,216.00 |1,231.00 |1,223.00  |-1.00     |-9.00     |1,384     |10,428      |41       |3,385.17     |                       
2026-01-06 |SA608        |1,261.00   |1,251.00 |1,262.00 |1,245.00 |1,262.00 |1,253.00  |1.00      |-8.00     |561       |4,257       |13       |1,405.59     |                       
2026-01-06 |SA609        |1,260.00   |1,250.00 |1,259.00 |1,242.00 |1,259.00 |1,251.00  |-1.00     |-9.00     |19,180    |84,768      |2,846    |47,974.20    |                       
2026-01-06 |SA610        |1,287.00   |1,283.00 |1,289.00 |1,276.00 |1,287.00 |1,284.00  |0.00      |-3.00     |392       |5,496       |-34      |1,006.73     |                       
2026-01-06 |SA611        |1,288.00   |1,282.00 |1,292.00 |1,280.00 |1,292.00 |1,289.00  |4.00      |1.00      |1,284     |3,763       |967      |3,309.24     |                       
2026-01-06 |SA612        |1,307.00   |1,303.00 |1,312.00 |1,301.00 |1,311.00 |1,309.00  |4.00      |2.00      |1,352     |2,005       |1,093    |3,539.37     |                       
2026-01-07 |SA601        |1,103.00   |1,120.00 |1,184.00 |1,120.00 |1,183.00 |1,145.00  |80.00     |42.00     |1,501     |4,904       |-415     |3,437.32     |1,119.00               
2026-01-07 |SA602        |1,141.00   |1,150.00 |1,224.00 |1,146.00 |1,219.00 |1,191.00  |78.00     |50.00     |36,862    |24,449      |6,235    |87,819.37    |                       
