					ZCE Futures Historical Data(2023SH)
Date       |Contract Code|Pre Settle|Open     |High     |Low      |Close    |Settle|Chg 1   |Chg 2   |Volume (lot)|O.I.|OI Change|Turnover (RMB 10,000)|Final Settle
2023-09-15 |SH405        |2,950.00   |2,950.00 |3,060.00 |2,790.00 |2,859.00 |2,915.00  |-91.00    |-35.00    |407,987   |30,330      |30,330   |3,568,419.77 |                       
2023-09-15 |SH406        |2,950.00   |2,920.00 |3,031.00 |2,751.00 |2,819.00 |2,890.00  |-131.00   |-60.00    |2,280     |388         |388      |19,766.77    |                       
2023-09-15 |SH407        |2,950.00   |2,868.00 |2,978.00 |2,685.00 |2,778.00 |2,844.00  |-172.00   |-106.00   |913       |233         |233      |7,790.65     |                       
2023-09-15 |SH408        |2,950.00   |2,816.00 |2,944.00 |2,666.00 |2,748.00 |2,804.00  |-202.00   |-146.00   |526       |105         |105      |4,424.99     |                       
2023-09-15 |SH409        |2,950.00   |2,815.00 |2,929.00 |2,644.00 |2,728.00 |2,749.00  |-222.00   |-201.00   |5,486     |1,060       |1,060    |45,251.04    |                       
2023-09-18 |SH405        |2,915.00   |2,858.00 |2,922.00 |2,836.00 |2,904.00 |2,884.00  |-11.00    |-31.00    |283,416   |32,473      |2,143    |2,451,882.28 |                       
2023-09-18 |SH406        |2,890.00   |2,810.00 |2,879.00 |2,794.00 |2,868.00 |2,838.00  |-22.00    |-52.00    |923       |341         |-47      |7,859.81     |                       
2023-09-18 |SH407        |2,844.00   |2,789.00 |2,825.00 |2,747.00 |2,810.00 |2,794.00  |-34.00    |-50.00    |286       |178         |-55      |2,397.23     |                       
2023-09-18 |SH408        |2,804.00   |2,744.00 |2,805.00 |2,720.00 |2,793.00 |2,768.00  |-11.00    |-36.00    |186       |108         |3        |1,544.37     |                       
2023-09-18 |SH409        |2,749.00   |2,716.00 |2,784.00 |2,701.00 |2,765.00 |2,747.00  |16.00     |-2.00     |3,026     |757         |-303     |24,932.73    |                       
2023-09-19 |SH405        |2,884.00   |2,913.00 |3,086.00 |2,898.00 |3,040.00 |3,023.00  |156.00    |139.00    |515,904   |46,067      |13,594   |4,678,352.06 |                       
2023-09-19 |SH406        |2,838.00   |2,873.00 |3,037.00 |2,860.00 |2,994.00 |2,996.00  |156.00    |158.00    |2,537     |658         |317      |22,800.57    |                       
2023-09-19 |SH407        |2,794.00   |2,879.00 |2,980.00 |2,807.00 |2,935.00 |2,911.00  |141.00    |117.00    |363       |144         |-34      |3,169.68     |                       
2023-09-19 |SH408        |2,768.00   |2,865.00 |2,962.00 |2,790.00 |2,913.00 |2,883.00  |145.00    |115.00    |242       |55          |-53      |2,093.16     |                       
2023-09-19 |SH409        |2,747.00   |2,781.00 |2,929.00 |2,763.00 |2,874.00 |2,876.00  |127.00    |129.00    |5,214     |1,377       |620      |44,991.80    |                       
