					CZCE History data(2017ZC)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice|
2017-01-03 |ZC701        |620.20     |632.00   |650.00   |596.00   |596.00   |623.40    |-24.20    |3.20      |116       |3,782       |-44      |723.02       |612.60                 |
2017-01-03 |ZC702        |605.80     |601.00   |601.00   |590.00   |590.00   |592.60    |-15.80    |-13.20    |32        |484         |-18      |189.65       |0.00                   |
2017-01-03 |ZC703        |558.40     |524.80   |524.80   |524.80   |524.80   |524.80    |-33.60    |-33.60    |4         |4           |-2       |20.99        |0.00                   |
2017-01-03 |ZC704        |511.40     |499.00   |499.00   |499.00   |499.00   |499.00    |-12.40    |-12.40    |2         |4           |-2       |9.98         |0.00                   |
2017-01-03 |ZC705        |503.40     |500.00   |504.60   |490.00   |493.00   |495.60    |-10.40    |-7.80     |102,390   |239,198     |25,148   |507,361.04   |0.00                   |
2017-01-03 |ZC706        |500.20     |0.00     |0.00     |0.00     |0.00     |493.40    |-6.80     |-6.80     |0         |10          |0        |0.00         |0.00                   |
2017-01-03 |ZC707        |502.00     |0.00     |0.00     |0.00     |0.00     |500.80    |-1.20     |-1.20     |0         |4           |0        |0.00         |0.00                   |
2017-01-03 |ZC708        |502.20     |474.00   |504.20   |474.00   |504.20   |489.20    |2.00      |-13.00    |4         |4           |0        |19.56        |0.00                   |
2017-01-03 |ZC709        |500.40     |495.00   |500.60   |486.20   |488.60   |492.80    |-11.80    |-7.60     |3,222     |16,116      |1,056    |15,878.68    |0.00                   |
2017-01-03 |ZC710        |503.40     |0.00     |0.00     |0.00     |0.00     |495.80    |-7.60     |-7.60     |0         |2           |0        |0.00         |0.00                   |
2017-01-03 |ZC711        |515.80     |0.00     |0.00     |0.00     |0.00     |508.00    |-7.80     |-7.80     |0         |0           |0        |0.00         |0.00                   |
2017-01-03 |ZC712        |514.80     |514.00   |514.00   |514.00   |514.00   |514.00    |-0.80     |-0.80     |2         |2           |0        |10.28        |0.00                   |
2017-01-04 |ZC701        |623.40     |597.00   |620.00   |595.00   |602.00   |607.20    |-21.40    |-16.20    |422       |3,444       |-338     |2,561.96     |612.60                 |
2017-01-04 |ZC702        |592.60     |601.40   |603.00   |581.00   |581.00   |600.60    |-11.60    |8.00      |56        |468         |-16      |336.28       |0.00                   |
2017-01-04 |ZC703        |524.80     |521.20   |521.20   |521.20   |521.20   |521.20    |-3.60     |-3.60     |2         |2           |-2       |10.42        |0.00                   |
2017-01-04 |ZC704        |499.00     |0.00     |0.00     |0.00     |0.00     |499.00    |0.00      |0.00      |0         |4           |0        |0.00         |0.00                   |
2017-01-04 |ZC705        |495.60     |493.00   |502.00   |487.20   |496.80   |494.60    |1.20      |-1.00     |148,824   |217,774     |-21,424  |736,047.26   |0.00                   |
2017-01-04 |ZC706        |493.40     |496.20   |496.20   |488.80   |488.80   |492.60    |-4.60     |-0.80     |4         |8           |-2       |19.70        |0.00                   |
2017-01-04 |ZC707        |500.80     |0.00     |0.00     |0.00     |0.00     |500.80    |0.00      |0.00      |0         |4           |0        |0.00         |0.00                   |
2017-01-04 |ZC708        |489.20     |0.00     |0.00     |0.00     |0.00     |489.20    |0.00      |0.00      |0         |4           |0        |0.00         |0.00                   |
2017-01-04 |ZC709        |492.80     |488.60   |492.60   |483.40   |489.60   |487.20    |-3.20     |-5.60     |4,832     |16,756      |640      |23,545.64    |0.00                   |
2017-01-04 |ZC710        |495.80     |494.60   |494.60   |494.60   |494.60   |494.60    |-1.20     |-1.20     |2         |0           |-2       |9.89         |0.00                   |
2017-01-04 |ZC711        |508.00     |0.00     |0.00     |0.00     |0.00     |508.00    |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2017-01-04 |ZC712        |514.00     |0.00     |0.00     |0.00     |0.00     |514.00    |0.00      |0.00      |0         |2           |0        |0.00         |0.00                   |
2017-01-05 |ZC701        |607.20     |605.00   |605.00   |605.00   |605.00   |605.00    |-2.20     |-2.20     |1,044     |2,400       |-1,044   |6,316.20     |612.20                 |
2017-01-05 |ZC702        |600.60     |600.00   |606.80   |592.40   |605.00   |598.20    |4.40      |-2.40     |90        |386         |-82      |538.45       |0.00                   |
2017-01-05 |ZC703        |521.20     |0.00     |0.00     |0.00     |0.00     |519.20    |-2.00     |-2.00     |0         |2           |0        |0.00         |0.00                   |
2017-01-05 |ZC704        |499.00     |505.60   |505.60   |505.60   |505.60   |505.60    |6.60      |6.60      |2         |2           |-2       |10.11        |0.00                   |
2017-01-05 |ZC705        |494.60     |497.60   |512.00   |495.60   |509.60   |505.00    |15.00     |10.40     |127,650   |201,528     |-16,246  |644,731.00   |0.00                   |
2017-01-05 |ZC706        |492.60     |0.00     |0.00     |0.00     |0.00     |502.00    |9.40      |9.40      |0         |8           |0        |0.00         |0.00                   |
2017-01-05 |ZC707        |500.80     |0.00     |0.00     |0.00     |0.00     |500.80    |0.00      |0.00      |0         |4           |0        |0.00         |0.00                   |
2017-01-05 |ZC708        |489.20     |0.00     |0.00     |0.00     |0.00     |491.80    |2.60      |2.60      |0         |4           |0        |0.00         |0.00                   |
2017-01-05 |ZC709        |487.20     |489.20   |502.20   |486.80   |500.60   |495.60    |13.40     |8.40      |3,156     |16,774      |18       |15,638.05    |0.00                   |
2017-01-05 |ZC710        |494.60     |0.00     |0.00     |0.00     |0.00     |494.60    |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2017-01-05 |ZC711        |508.00     |0.00     |0.00     |0.00     |0.00     |508.00    |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2017-01-05 |ZC712        |514.00     |0.00     |0.00     |0.00     |0.00     |514.00    |0.00      |0.00      |0         |2           |0        |0.00         |0.00                   |
2017-01-06 |ZC701        |605.00     |600.00   |600.00   |600.00   |600.00   |600.00    |-5.00     |-5.00     |164       |2,400       |0        |984.00       |611.40                 |
2017-01-06 |ZC702        |598.20     |590.00   |618.00   |590.00   |607.40   |611.40    |9.20      |13.20     |20        |380         |-6       |122.26       |0.00                   |
2017-01-06 |ZC703        |519.20     |0.00     |0.00     |0.00     |0.00     |525.60    |6.40      |6.40      |0         |2           |0        |0.00         |0.00                   |
2017-01-06 |ZC704        |505.60     |0.00     |0.00     |0.00     |0.00     |507.40    |1.80      |1.80      |0         |2           |0        |0.00         |0.00                   |
2017-01-06 |ZC705        |505.00     |509.40   |514.80   |506.00   |508.00   |509.40    |3.00      |4.40      |106,828   |185,006     |-16,522  |544,190.81   |0.00                   |
