					CZCE History data(2022ZC)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice
2022-01-04 |ZC201        |717.40     |655.20   |658.20   |624.00   |624.00   |630.40    |-93.40    |-87.00    |217       |204         |-60      |1,367.89     |792.40                 
2022-01-04 |ZC202        |662.00     |704.00   |725.00   |680.60   |693.00   |703.60    |31.00     |41.60     |172       |334         |14       |1,210.14     |                       
2022-01-04 |ZC203        |651.60     |685.00   |715.60   |685.00   |693.60   |700.20    |42.00     |48.60     |215       |700         |10       |1,505.28     |                       
2022-01-04 |ZC204        |663.00     |723.00   |723.40   |692.80   |700.00   |707.00    |37.00     |44.00     |40        |95          |-5       |282.77       |                       
2022-01-04 |ZC205        |671.00     |718.00   |724.80   |700.00   |713.80   |712.00    |42.80     |41.00     |22,857    |29,861      |1,070    |162,762.10   |                       
2022-01-04 |ZC206        |679.40     |719.60   |719.60   |708.80   |711.20   |712.80    |31.80     |33.40     |20        |106         |-3       |142.57       |                       
2022-01-04 |ZC207        |686.20     |726.80   |728.80   |716.60   |723.20   |724.00    |37.00     |37.80     |13        |107         |-7       |94.12        |                       
2022-01-04 |ZC208        |681.00     |732.80   |732.80   |718.00   |718.00   |728.60    |37.00     |47.60     |4         |34          |0        |29.14        |                       
2022-01-04 |ZC209        |672.80     |705.00   |728.00   |692.40   |704.80   |705.60    |32.00     |32.80     |551       |2,653       |-130     |3,887.89     |                       
2022-01-04 |ZC210        |689.60     |720.00   |739.60   |706.60   |714.20   |721.40    |24.60     |31.80     |10        |294         |1        |72.15        |                       
2022-01-04 |ZC211        |690.80     |719.80   |728.80   |714.00   |714.00   |724.00    |23.20     |33.20     |5         |22          |-1       |36.20        |                       
2022-01-04 |ZC212        |701.60     |742.20   |742.20   |742.20   |742.20   |742.20    |40.60     |40.60     |1         |13          |0        |7.42         |                       
2022-01-05 |ZC201        |630.40     |567.20   |664.20   |567.20   |662.20   |608.00    |31.80     |-22.40    |134       |205         |1        |814.75       |767.60                 
2022-01-05 |ZC202        |703.60     |695.40   |705.00   |688.40   |698.00   |697.00    |-5.60     |-6.60     |83        |331         |-3       |579.07       |                       
2022-01-05 |ZC203        |700.20     |705.00   |705.00   |681.00   |696.00   |691.80    |-4.20     |-8.40     |68        |681         |-19      |470.40       |                       
2022-01-05 |ZC204        |707.00     |704.40   |704.40   |697.00   |699.60   |700.20    |-7.40     |-6.80     |6         |95          |0        |42.01        |                       
2022-01-05 |ZC205        |712.00     |713.80   |716.60   |688.60   |702.60   |701.80    |-9.40     |-10.20    |13,202    |29,865      |4        |92,648.04    |                       
2022-01-05 |ZC206        |712.80     |710.00   |710.00   |710.00   |710.00   |710.00    |-2.80     |-2.80     |1         |105         |-1       |7.10         |                       
2022-01-05 |ZC207        |724.00     |717.00   |717.00   |709.00   |715.80   |714.00    |-8.20     |-10.00    |7         |110         |3        |49.98        |                       
2022-01-05 |ZC208        |728.60     |723.60   |723.60   |723.60   |723.60   |723.60    |-5.00     |-5.00     |1         |33          |-1       |7.24         |                       
2022-01-05 |ZC209        |705.60     |705.00   |709.20   |690.00   |695.00   |697.60    |-10.60    |-8.00     |245       |2,639       |-14      |1,709.12     |                       
2022-01-05 |ZC210        |721.40     |715.00   |715.00   |712.00   |712.00   |713.00    |-9.40     |-8.40     |3         |296         |2        |21.39        |                       
2022-01-05 |ZC211        |724.00     |710.80   |710.80   |707.60   |707.60   |708.80    |-16.40    |-15.20    |3         |23          |1        |21.26        |                       
2022-01-05 |ZC212        |742.20     |727.40   |727.40   |727.40   |727.40   |727.40    |-14.80    |-14.80    |1         |13          |0        |7.27         |                       
2022-01-06 |ZC201        |608.00     |630.00   |667.80   |630.00   |660.00   |659.60    |52.00     |51.60     |52        |203         |-2       |342.96       |749.40                 
2022-01-06 |ZC202        |697.00     |692.20   |707.80   |692.20   |702.20   |701.20    |5.20      |4.20      |102       |330         |-1       |718.19       |                       
2022-01-06 |ZC203        |691.80     |695.00   |695.00   |682.00   |686.60   |689.40    |-5.20     |-2.40     |33        |684         |3        |227.53       |                       
2022-01-06 |ZC204        |700.20     |686.00   |700.00   |686.00   |699.80   |696.40    |-0.40     |-3.80     |4         |96          |1        |27.86        |                       
2022-01-06 |ZC205        |701.80     |702.60   |706.00   |695.00   |697.20   |700.80    |-4.60     |-1.00     |8,794     |29,748      |-117     |61,626.43    |                       
2022-01-06 |ZC206        |710.00     |700.20   |719.00   |700.20   |702.60   |708.60    |-7.40     |-1.40     |5         |104         |-1       |35.43        |                       
2022-01-06 |ZC207        |714.00     |711.60   |712.60   |711.60   |712.60   |712.20    |-1.40     |-1.80     |2         |109         |-1       |14.24        |                       
2022-01-06 |ZC208        |723.60     |0.00     |0.00     |0.00     |0.00     |719.40    |-4.20     |-4.20     |0         |33          |0        |0.00         |                       
2022-01-06 |ZC209        |697.60     |691.40   |703.00   |691.40   |696.20   |697.40    |-1.40     |-0.20     |156       |2,650       |11       |1,087.91     |                       
2022-01-06 |ZC210        |713.00     |701.00   |714.80   |701.00   |714.80   |704.40    |1.80      |-8.60     |5         |293         |-3       |35.22        |                       
2022-01-06 |ZC211        |708.80     |728.80   |728.80   |703.40   |703.40   |715.20    |-5.40     |6.40      |4         |23          |0        |28.61        |                       
2022-01-06 |ZC212        |727.40     |719.20   |728.40   |719.20   |728.40   |723.80    |1.00      |-3.60     |2         |13          |0        |14.48        |                       
2022-01-07 |ZC201        |659.60     |594.80   |660.00   |594.80   |660.00   |656.40    |0.40      |-3.20     |53        |201         |-2       |347.84       |731.00                 
2022-01-07 |ZC202        |701.20     |696.20   |719.00   |696.00   |718.60   |707.00    |17.40     |5.80      |41        |301         |-29      |289.85       |                       
2022-01-07 |ZC203        |689.40     |687.80   |697.40   |684.00   |696.00   |690.40    |6.60      |1.00      |23        |684         |0        |158.80       |                       
2022-01-07 |ZC204        |696.40     |707.40   |707.40   |688.00   |702.60   |698.80    |6.20      |2.40      |17        |89          |-7       |118.81       |                       
2022-01-07 |ZC205        |700.80     |700.00   |715.80   |693.00   |713.20   |705.80    |12.40     |5.00      |12,443    |28,374      |-1,374   |87,817.34    |                       
2022-01-07 |ZC206        |708.60     |724.60   |724.60   |701.40   |716.80   |712.80    |8.20      |4.20      |6         |100         |-4       |42.77        |                       
2022-01-07 |ZC207        |712.20     |721.00   |725.00   |715.20   |725.00   |719.60    |12.80     |7.40      |5         |111         |2        |35.98        |                       
2022-01-07 |ZC208        |719.40     |0.00     |0.00     |0.00     |0.00     |719.20    |-0.20     |-0.20     |0         |33          |0        |0.00         |                       
2022-01-07 |ZC209        |697.40     |702.40   |708.80   |692.60   |706.00   |701.80    |8.60      |4.40      |213       |2,654       |4        |1,494.64     |                       
2022-01-07 |ZC210        |704.40     |717.80   |717.80   |700.00   |716.00   |710.20    |11.60     |5.80      |11        |292         |-1       |78.11        |                       
2022-01-07 |ZC211        |715.20     |0.00     |0.00     |0.00     |0.00     |715.20    |0.00      |0.00      |0         |23          |0        |0.00         |                       
2022-01-07 |ZC212        |723.80     |0.00     |0.00     |0.00     |0.00     |723.80    |0.00      |0.00      |0         |13          |0        |0.00         |                       
2022-01-10 |ZC201        |656.40     |660.00   |722.00   |660.00   |688.00   |721.00    |31.60     |64.60     |204       |0           |-201     |1,470.69     |719.60                 
2022-01-10 |ZC202        |707.00     |705.20   |739.80   |705.20   |715.20   |720.80    |8.20      |13.80     |84        |284         |-17      |605.52       |                       
2022-01-10 |ZC203        |690.40     |704.80   |704.80   |683.20   |684.20   |691.40    |-6.20     |1.00      |58        |671         |-13      |401.05       |                       
2022-01-10 |ZC204        |698.80     |0.00     |0.00     |0.00     |0.00     |698.80    |0.00      |0.00      |0         |89          |0        |0.00         |                       
2022-01-10 |ZC205        |705.80     |716.00   |723.00   |696.00   |700.00   |708.40    |-5.80     |2.60      |10,332    |28,170      |-204     |73,194.47    |                       
2022-01-10 |ZC206        |712.80     |715.60   |715.60   |715.60   |715.60   |715.60    |2.80      |2.80      |1         |100         |0        |7.16         |                       
2022-01-10 |ZC207        |719.60     |723.00   |723.00   |721.20   |723.00   |722.40    |3.40      |2.80      |4         |113         |2        |28.89        |                       
2022-01-10 |ZC208        |719.20     |0.00     |0.00     |0.00     |0.00     |718.20    |-1.00     |-1.00     |0         |33          |0        |0.00         |                       
2022-01-10 |ZC209        |701.80     |711.60   |716.00   |697.00   |700.60   |706.60    |-1.20     |4.80      |259       |2,699       |45       |1,830.02     |                       
