					CZCE History data(2020UR)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice|
2020-01-02 |UR001        |1,643.00   |1,610.00 |1,643.00 |1,610.00 |1,633.00 |1,622.00  |-10.00    |-21.00    |18        |779         |-3       |58.39        |1,675.00               |
2020-01-02 |UR002        |1,669.00   |1,679.00 |1,680.00 |1,679.00 |1,680.00 |1,680.00  |11.00     |11.00     |3         |103         |0        |10.08        |0.00                   |
2020-01-02 |UR003        |1,703.00   |0.00     |0.00     |0.00     |0.00     |1,703.00  |0.00      |0.00      |0         |21          |0        |0.00         |0.00                   |
2020-01-02 |UR004        |1,716.00   |0.00     |0.00     |0.00     |0.00     |1,716.00  |0.00      |0.00      |0         |7           |0        |0.00         |0.00                   |
2020-01-02 |UR005        |1,722.00   |1,722.00 |1,731.00 |1,716.00 |1,716.00 |1,723.00  |-6.00     |1.00      |21,569    |53,300      |566      |74,311.53    |0.00                   |
2020-01-02 |UR006        |1,731.00   |0.00     |0.00     |0.00     |0.00     |1,731.00  |0.00      |0.00      |0         |13          |0        |0.00         |0.00                   |
2020-01-02 |UR007        |1,714.00   |1,717.00 |1,717.00 |1,711.00 |1,711.00 |1,716.00  |-3.00     |2.00      |38        |2,360       |15       |130.39       |0.00                   |
2020-01-02 |UR008        |1,715.00   |0.00     |0.00     |0.00     |0.00     |1,715.00  |0.00      |0.00      |0         |6           |0        |0.00         |0.00                   |
2020-01-02 |UR009        |1,706.00   |1,701.00 |1,710.00 |1,700.00 |1,704.00 |1,702.00  |-2.00     |-4.00     |1,479     |2,701       |837      |5,034.17     |0.00                   |
2020-01-02 |UR010        |1,694.00   |0.00     |0.00     |0.00     |0.00     |1,694.00  |0.00      |0.00      |0         |4           |0        |0.00         |0.00                   |
2020-01-02 |UR011        |1,702.00   |0.00     |0.00     |0.00     |0.00     |1,702.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2020-01-02 |UR012        |1,743.00   |0.00     |0.00     |0.00     |0.00     |1,739.00  |-4.00     |-4.00     |0         |1           |0        |0.00         |0.00                   |
2020-01-03 |UR001        |1,622.00   |0.00     |0.00     |0.00     |0.00     |1,622.00  |0.00      |0.00      |0         |779         |0        |0.00         |1,667.00               |
2020-01-03 |UR002        |1,680.00   |0.00     |0.00     |0.00     |0.00     |1,680.00  |0.00      |0.00      |0         |103         |0        |0.00         |0.00                   |
2020-01-03 |UR003        |1,703.00   |0.00     |0.00     |0.00     |0.00     |1,703.00  |0.00      |0.00      |0         |21          |0        |0.00         |0.00                   |
2020-01-03 |UR004        |1,716.00   |1,753.00 |1,753.00 |1,710.00 |1,710.00 |1,732.00  |-6.00     |16.00     |2         |7           |0        |6.93         |0.00                   |
2020-01-03 |UR005        |1,723.00   |1,716.00 |1,719.00 |1,705.00 |1,714.00 |1,712.00  |-9.00     |-11.00    |26,539    |52,847      |-453     |90,855.12    |0.00                   |
2020-01-03 |UR006        |1,731.00   |0.00     |0.00     |0.00     |0.00     |1,731.00  |0.00      |0.00      |0         |13          |0        |0.00         |0.00                   |
2020-01-03 |UR007        |1,716.00   |1,707.00 |1,708.00 |1,707.00 |1,708.00 |1,708.00  |-8.00     |-8.00     |3         |2,363       |3        |10.25        |0.00                   |
2020-01-03 |UR008        |1,715.00   |0.00     |0.00     |0.00     |0.00     |1,715.00  |0.00      |0.00      |0         |6           |0        |0.00         |0.00                   |
2020-01-03 |UR009        |1,702.00   |1,704.00 |1,706.00 |1,695.00 |1,705.00 |1,701.00  |3.00      |-1.00     |545       |2,864       |163      |1,854.43     |0.00                   |
2020-01-03 |UR010        |1,694.00   |0.00     |0.00     |0.00     |0.00     |1,694.00  |0.00      |0.00      |0         |4           |0        |0.00         |0.00                   |
2020-01-03 |UR011        |1,702.00   |0.00     |0.00     |0.00     |0.00     |1,702.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2020-01-03 |UR012        |1,739.00   |0.00     |0.00     |0.00     |0.00     |1,738.00  |-1.00     |-1.00     |0         |1           |0        |0.00         |0.00                   |
2020-01-06 |UR001        |1,622.00   |1,687.00 |1,687.00 |1,680.00 |1,680.00 |1,682.00  |58.00     |60.00     |100       |679         |-100     |336.39       |1,664.00               |
2020-01-06 |UR002        |1,680.00   |1,646.00 |1,672.00 |1,638.00 |1,672.00 |1,649.00  |-8.00     |-31.00    |14        |105         |2        |46.16        |0.00                   |
2020-01-06 |UR003        |1,703.00   |0.00     |0.00     |0.00     |0.00     |1,703.00  |0.00      |0.00      |0         |21          |0        |0.00         |0.00                   |
