					CZCE History data(2022UR)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice
2022-01-04 |UR201        |2,430.00   |2,487.00 |2,649.00 |2,487.00 |2,533.00 |2,562.00  |103.00    |132.00    |1,071     |4,185       |-580     |5,487.17     |2,405.00               
2022-01-04 |UR202        |2,417.00   |2,509.00 |2,570.00 |2,468.00 |2,493.00 |2,491.00  |76.00     |74.00     |109       |528         |-64      |543.04       |                       
2022-01-04 |UR203        |2,463.00   |2,549.00 |2,577.00 |2,517.00 |2,520.00 |2,544.00  |57.00     |81.00     |131       |2,260       |-28      |666.64       |                       
2022-01-04 |UR204        |2,428.00   |2,518.00 |2,518.00 |2,487.00 |2,492.00 |2,504.00  |64.00     |76.00     |4         |287         |-1       |20.03        |                       
2022-01-04 |UR205        |2,413.00   |2,475.00 |2,529.00 |2,457.00 |2,472.00 |2,486.00  |59.00     |73.00     |85,546    |92,231      |5,441    |425,410.75   |                       
2022-01-04 |UR206        |2,395.00   |2,465.00 |2,496.00 |2,430.00 |2,443.00 |2,463.00  |48.00     |68.00     |22        |80          |-4       |108.39       |                       
2022-01-04 |UR207        |2,357.00   |2,440.00 |2,470.00 |2,398.00 |2,407.00 |2,425.00  |50.00     |68.00     |71        |2,417       |10       |344.41       |                       
2022-01-04 |UR208        |2,349.00   |2,440.00 |2,441.00 |2,391.00 |2,397.00 |2,405.00  |48.00     |56.00     |114       |5,161       |-99      |548.34       |                       
2022-01-04 |UR209        |2,313.00   |2,350.00 |2,414.00 |2,350.00 |2,374.00 |2,377.00  |61.00     |64.00     |1,432     |3,491       |152      |6,808.09     |                       
2022-01-04 |UR210        |2,298.00   |2,395.00 |2,395.00 |2,339.00 |2,339.00 |2,349.00  |41.00     |51.00     |67        |1,261       |62       |314.70       |                       
2022-01-04 |UR211        |2,277.00   |2,285.00 |2,365.00 |2,285.00 |2,334.00 |2,338.00  |57.00     |61.00     |31        |822         |6        |144.95       |                       
2022-01-04 |UR212        |2,287.00   |2,358.00 |2,358.00 |2,334.00 |2,341.00 |2,350.00  |54.00     |63.00     |433       |287         |-424     |2,034.89     |                       
2022-01-05 |UR201        |2,562.00   |2,600.00 |2,600.00 |2,460.00 |2,550.00 |2,574.00  |-12.00    |12.00     |983       |3,454       |-731     |5,059.79     |2,430.00               
2022-01-05 |UR202        |2,491.00   |2,523.00 |2,523.00 |2,493.00 |2,519.00 |2,509.00  |28.00     |18.00     |15        |536         |8        |75.26        |                       
2022-01-05 |UR203        |2,544.00   |2,553.00 |2,562.00 |2,522.00 |2,530.00 |2,537.00  |-14.00    |-7.00     |12        |2,263       |3        |60.88        |                       
2022-01-05 |UR204        |2,504.00   |2,504.00 |2,504.00 |2,504.00 |2,504.00 |2,504.00  |0.00      |0.00      |1         |287         |0        |5.01         |                       
2022-01-05 |UR205        |2,486.00   |2,480.00 |2,505.00 |2,460.00 |2,482.00 |2,481.00  |-4.00     |-5.00     |54,681    |90,250      |-1,981   |271,337.96   |                       
2022-01-05 |UR206        |2,463.00   |2,464.00 |2,464.00 |2,439.00 |2,446.00 |2,449.00  |-17.00    |-14.00    |8         |82          |2        |39.18        |                       
2022-01-05 |UR207        |2,425.00   |2,429.00 |2,437.00 |2,408.00 |2,417.00 |2,418.00  |-8.00     |-7.00     |21        |2,418       |1        |101.56       |                       
2022-01-05 |UR208        |2,405.00   |2,410.00 |2,410.00 |2,391.00 |2,397.00 |2,402.00  |-8.00     |-3.00     |9         |5,162       |1        |43.23        |                       
2022-01-05 |UR209        |2,377.00   |2,374.00 |2,395.00 |2,358.00 |2,375.00 |2,374.00  |-2.00     |-3.00     |1,210     |3,528       |37       |5,745.80     |                       
2022-01-05 |UR210        |2,349.00   |0.00     |0.00     |0.00     |0.00     |2,356.00  |7.00      |7.00      |0         |1,261       |0        |0.00         |                       
2022-01-05 |UR211        |2,338.00   |2,350.00 |2,350.00 |2,336.00 |2,336.00 |2,346.00  |-2.00     |8.00      |8         |819         |-3       |37.53        |                       
2022-01-05 |UR212        |2,350.00   |2,345.00 |2,345.00 |2,345.00 |2,345.00 |2,345.00  |-5.00     |-5.00     |1         |286         |-1       |4.69         |                       
2022-01-06 |UR201        |2,574.00   |2,501.00 |2,517.00 |2,500.00 |2,517.00 |2,509.00  |-57.00    |-65.00    |219       |3,271       |-183     |1,099.05     |2,450.00               
2022-01-06 |UR202        |2,509.00   |2,490.00 |2,500.00 |2,465.00 |2,474.00 |2,493.00  |-35.00    |-16.00    |198       |614         |78       |987.24       |                       
2022-01-06 |UR203        |2,537.00   |2,527.00 |2,527.00 |2,462.00 |2,475.00 |2,485.00  |-62.00    |-52.00    |163       |2,275       |12       |810.09       |                       
2022-01-06 |UR204        |2,504.00   |2,457.00 |2,463.00 |2,433.00 |2,440.00 |2,451.00  |-64.00    |-53.00    |7         |289         |2        |34.31        |                       
2022-01-06 |UR205        |2,481.00   |2,480.00 |2,482.00 |2,390.00 |2,431.00 |2,431.00  |-50.00    |-50.00    |104,744   |91,302      |1,052    |509,324.66   |                       
2022-01-06 |UR206        |2,449.00   |2,407.00 |2,409.00 |2,371.00 |2,371.00 |2,392.00  |-78.00    |-57.00    |10        |82          |0        |47.84        |                       
2022-01-06 |UR207        |2,418.00   |2,400.00 |2,400.00 |2,346.00 |2,367.00 |2,369.00  |-51.00    |-49.00    |38        |2,418       |0        |180.06       |                       
2022-01-06 |UR208        |2,402.00   |2,380.00 |2,380.00 |2,355.00 |2,355.00 |2,365.00  |-47.00    |-37.00    |11        |5,164       |2        |52.04        |                       
2022-01-06 |UR209        |2,374.00   |2,374.00 |2,382.00 |2,297.00 |2,322.00 |2,333.00  |-52.00    |-41.00    |2,568     |3,593       |65       |11,982.41    |                       
