					ZCE Futures Historical Data(2025UR)
Date       |Contract Code|Pre Settle|Open     |High     |Low      |Close    |Settle|Chg 1   |Chg 2   |Volume (lot)|O.I.|OI Change|Turnover (RMB 10,000)|Final Settle
2025-01-02 |UR501        |1,667.00   |1,699.00 |1,699.00 |1,660.00 |1,661.00 |1,676.00  |-6.00     |9.00      |1,624     |5,607       |-1,007   |5,443.44     |1,696.00               
2025-01-02 |UR502        |1,677.00   |1,667.00 |1,680.00 |1,666.00 |1,670.00 |1,671.00  |-7.00     |-6.00     |596       |3,264       |26       |1,991.36     |                       
2025-01-02 |UR503        |1,713.00   |1,707.00 |1,715.00 |1,698.00 |1,701.00 |1,708.00  |-12.00    |-5.00     |276       |2,059       |36       |942.92       |                       
2025-01-02 |UR504        |1,715.00   |1,711.00 |1,718.00 |1,703.00 |1,705.00 |1,710.00  |-10.00    |-5.00     |36        |574         |4        |123.15       |                       
2025-01-02 |UR505        |1,710.00   |1,700.00 |1,714.00 |1,695.00 |1,697.00 |1,706.00  |-13.00    |-4.00     |144,901   |256,014     |18,325   |494,306.36   |                       
2025-01-02 |UR506        |1,706.00   |1,705.00 |1,713.00 |1,696.00 |1,698.00 |1,703.00  |-8.00     |-3.00     |214       |1,679       |109      |729.01       |                       
2025-01-02 |UR507        |1,746.00   |1,746.00 |1,751.00 |1,740.00 |1,740.00 |1,745.00  |-6.00     |-1.00     |33        |329         |5        |115.20       |                       
2025-01-02 |UR508        |1,746.00   |1,746.00 |1,750.00 |1,737.00 |1,737.00 |1,746.00  |-9.00     |0.00      |87        |418         |75       |303.77       |                       
2025-01-02 |UR509        |1,733.00   |1,729.00 |1,741.00 |1,723.00 |1,726.00 |1,733.00  |-7.00     |0.00      |5,393     |28,358      |1,255    |18,696.50    |                       
2025-01-02 |UR510        |1,732.00   |1,732.00 |1,739.00 |1,724.00 |1,724.00 |1,732.00  |-8.00     |0.00      |56        |718         |6        |193.97       |                       
2025-01-02 |UR511        |1,767.00   |1,771.00 |1,771.00 |1,741.00 |1,760.00 |1,765.00  |-7.00     |-2.00     |23        |105         |9        |81.17        |                       
2025-01-02 |UR512        |1,770.00   |1,771.00 |1,771.00 |1,741.00 |1,761.00 |1,765.00  |-9.00     |-5.00     |24        |71          |4        |84.71        |                       
2025-01-03 |UR501        |1,676.00   |1,665.00 |1,665.00 |1,631.00 |1,631.00 |1,645.00  |-45.00    |-31.00    |1,429     |4,827       |-780     |4,701.22     |1,691.00               
2025-01-03 |UR502        |1,671.00   |1,667.00 |1,680.00 |1,641.00 |1,641.00 |1,656.00  |-30.00    |-15.00    |1,231     |3,129       |-135     |4,076.59     |                       
2025-01-03 |UR503        |1,708.00   |1,698.00 |1,699.00 |1,657.00 |1,663.00 |1,674.00  |-45.00    |-34.00    |910       |2,234       |175      |3,047.09     |                       
2025-01-03 |UR504        |1,710.00   |1,684.00 |1,701.00 |1,656.00 |1,662.00 |1,671.00  |-48.00    |-39.00    |207       |567         |-7       |691.59       |                       
2025-01-03 |UR505        |1,706.00   |1,680.00 |1,688.00 |1,651.00 |1,659.00 |1,669.00  |-47.00    |-37.00    |216,493   |273,380     |17,366   |722,658.72   |                       
2025-01-03 |UR506        |1,703.00   |1,690.00 |1,690.00 |1,655.00 |1,661.00 |1,670.00  |-42.00    |-33.00    |646       |1,981       |302      |2,157.15     |                       
2025-01-03 |UR507        |1,745.00   |1,725.00 |1,727.00 |1,706.00 |1,706.00 |1,721.00  |-39.00    |-24.00    |163       |398         |69       |560.97       |                       
2025-01-03 |UR508        |1,746.00   |1,724.00 |1,728.00 |1,703.00 |1,705.00 |1,718.00  |-41.00    |-28.00    |65        |428         |10       |223.38       |                       
2025-01-03 |UR509        |1,733.00   |1,716.00 |1,718.00 |1,689.00 |1,697.00 |1,705.00  |-36.00    |-28.00    |13,089    |28,776      |418      |44,632.93    |                       
