					CZCE History data(2019PM)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice|
2019-01-02 |PM901        |2,216.00   |0.00     |0.00     |0.00     |0.00     |2,216.00  |0.00      |0.00      |0         |8           |0        |0.00         |2,371.00               |
2019-01-02 |PM903        |2,365.00   |0.00     |0.00     |0.00     |0.00     |2,365.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-02 |PM905        |2,286.00   |0.00     |0.00     |0.00     |0.00     |2,286.00  |0.00      |0.00      |0         |16          |0        |0.00         |0.00                   |
2019-01-02 |PM907        |2,284.00   |0.00     |0.00     |0.00     |0.00     |2,284.00  |0.00      |0.00      |0         |8           |0        |0.00         |0.00                   |
2019-01-02 |PM909        |2,394.00   |0.00     |0.00     |0.00     |0.00     |2,394.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-02 |PM911        |2,343.00   |0.00     |0.00     |0.00     |0.00     |2,343.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-03 |PM901        |2,216.00   |0.00     |0.00     |0.00     |0.00     |2,216.00  |0.00      |0.00      |0         |8           |0        |0.00         |2,345.00               |
2019-01-03 |PM903        |2,365.00   |0.00     |0.00     |0.00     |0.00     |2,365.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-03 |PM905        |2,286.00   |0.00     |0.00     |0.00     |0.00     |2,286.00  |0.00      |0.00      |0         |16          |0        |0.00         |0.00                   |
2019-01-03 |PM907        |2,284.00   |0.00     |0.00     |0.00     |0.00     |2,284.00  |0.00      |0.00      |0         |8           |0        |0.00         |0.00                   |
2019-01-03 |PM909        |2,394.00   |0.00     |0.00     |0.00     |0.00     |2,394.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-03 |PM911        |2,343.00   |0.00     |0.00     |0.00     |0.00     |2,343.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-04 |PM901        |2,216.00   |0.00     |0.00     |0.00     |0.00     |2,216.00  |0.00      |0.00      |0         |8           |0        |0.00         |2,318.00               |
2019-01-04 |PM903        |2,365.00   |0.00     |0.00     |0.00     |0.00     |2,365.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-04 |PM905        |2,286.00   |0.00     |0.00     |0.00     |0.00     |2,286.00  |0.00      |0.00      |0         |16          |0        |0.00         |0.00                   |
2019-01-04 |PM907        |2,284.00   |0.00     |0.00     |0.00     |0.00     |2,284.00  |0.00      |0.00      |0         |8           |0        |0.00         |0.00                   |
2019-01-04 |PM909        |2,394.00   |0.00     |0.00     |0.00     |0.00     |2,394.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
