					CZCE History data(2021PM)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice
2021-01-04 |PM101        |2,648.00   |0.00     |0.00     |0.00     |0.00     |2,663.00  |15.00     |15.00     |0         |0           |0        |0.00         |2,645.00               
2021-01-04 |PM103        |2,486.00   |0.00     |0.00     |0.00     |0.00     |2,500.00  |14.00     |14.00     |0         |3           |0        |0.00         |                       
2021-01-04 |PM105        |2,366.00   |2,378.00 |2,380.00 |2,378.00 |2,380.00 |2,379.00  |14.00     |13.00     |2         |10          |0        |23.79        |                       
2021-01-04 |PM107        |2,351.00   |0.00     |0.00     |0.00     |0.00     |2,351.00  |0.00      |0.00      |0         |10          |0        |0.00         |                       
2021-01-04 |PM109        |2,438.00   |0.00     |0.00     |0.00     |0.00     |2,438.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-04 |PM111        |2,410.00   |0.00     |0.00     |0.00     |0.00     |2,410.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-05 |PM101        |2,663.00   |0.00     |0.00     |0.00     |0.00     |2,663.00  |0.00      |0.00      |0         |0           |0        |0.00         |2,646.00               
2021-01-05 |PM103        |2,500.00   |0.00     |0.00     |0.00     |0.00     |2,500.00  |0.00      |0.00      |0         |3           |0        |0.00         |                       
2021-01-05 |PM105        |2,379.00   |0.00     |0.00     |0.00     |0.00     |2,379.00  |0.00      |0.00      |0         |10          |0        |0.00         |                       
2021-01-05 |PM107        |2,351.00   |0.00     |0.00     |0.00     |0.00     |2,364.00  |13.00     |13.00     |0         |10          |0        |0.00         |                       
2021-01-05 |PM109        |2,438.00   |0.00     |0.00     |0.00     |0.00     |2,438.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-05 |PM111        |2,410.00   |0.00     |0.00     |0.00     |0.00     |2,410.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-06 |PM101        |2,663.00   |0.00     |0.00     |0.00     |0.00     |2,795.00  |132.00    |132.00    |0         |0           |0        |0.00         |2,662.00               
2021-01-06 |PM103        |2,500.00   |0.00     |0.00     |0.00     |0.00     |2,624.00  |124.00    |124.00    |0         |3           |0        |0.00         |                       
2021-01-06 |PM105        |2,379.00   |2,497.00 |2,497.00 |2,497.00 |2,497.00 |2,497.00  |118.00    |118.00    |2         |11          |1        |24.97        |                       
2021-01-06 |PM107        |2,364.00   |0.00     |0.00     |0.00     |0.00     |2,364.00  |0.00      |0.00      |0         |10          |0        |0.00         |                       
2021-01-06 |PM109        |2,438.00   |0.00     |0.00     |0.00     |0.00     |2,559.00  |121.00    |121.00    |0         |0           |0        |0.00         |                       
2021-01-06 |PM111        |2,410.00   |0.00     |0.00     |0.00     |0.00     |2,530.00  |120.00    |120.00    |0         |0           |0        |0.00         |                       
2021-01-07 |PM101        |2,795.00   |0.00     |0.00     |0.00     |0.00     |2,892.00  |97.00     |97.00     |0         |0           |0        |0.00         |2,687.00               
2021-01-07 |PM103        |2,624.00   |0.00     |0.00     |0.00     |0.00     |2,715.00  |91.00     |91.00     |0         |3           |0        |0.00         |                       
2021-01-07 |PM105        |2,497.00   |2,622.00 |2,622.00 |2,530.00 |2,539.00 |2,584.00  |42.00     |87.00     |23        |11          |0        |297.14       |                       
2021-01-07 |PM107        |2,364.00   |2,458.00 |2,483.00 |2,275.00 |2,275.00 |2,423.00  |-89.00    |59.00     |10        |10          |0        |121.17       |                       
2021-01-07 |PM109        |2,559.00   |0.00     |0.00     |0.00     |0.00     |2,623.00  |64.00     |64.00     |0         |0           |0        |0.00         |                       
2021-01-07 |PM111        |2,530.00   |0.00     |0.00     |0.00     |0.00     |2,530.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-08 |PM101        |2,892.00   |0.00     |0.00     |0.00     |0.00     |2,874.00  |-18.00    |-18.00    |0         |0           |0        |0.00         |2,710.00               
2021-01-08 |PM103        |2,715.00   |0.00     |0.00     |0.00     |0.00     |2,658.00  |-57.00    |-57.00    |0         |3           |0        |0.00         |                       
2021-01-08 |PM105        |2,584.00   |2,481.00 |2,631.00 |2,480.00 |2,550.00 |2,568.00  |-34.00    |-16.00    |14        |13          |2        |179.78       |                       
2021-01-08 |PM107        |2,423.00   |0.00     |0.00     |0.00     |0.00     |2,423.00  |0.00      |0.00      |0         |10          |0        |0.00         |                       
2021-01-08 |PM109        |2,623.00   |0.00     |0.00     |0.00     |0.00     |2,623.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-08 |PM111        |2,530.00   |0.00     |0.00     |0.00     |0.00     |2,530.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-11 |PM101        |2,874.00   |0.00     |0.00     |0.00     |0.00     |2,891.00  |17.00     |17.00     |0         |0           |0        |0.00         |2,735.00               
2021-01-11 |PM103        |2,658.00   |0.00     |0.00     |0.00     |0.00     |2,673.00  |15.00     |15.00     |0         |3           |0        |0.00         |                       
2021-01-11 |PM105        |2,568.00   |2,547.00 |2,547.00 |2,547.00 |2,547.00 |2,547.00  |-21.00    |-21.00    |1         |13          |0        |12.74        |                       
2021-01-11 |PM107        |2,423.00   |2,430.00 |2,441.00 |2,430.00 |2,441.00 |2,437.00  |18.00     |14.00     |6         |10          |0        |73.10        |                       
2021-01-11 |PM109        |2,623.00   |0.00     |0.00     |0.00     |0.00     |2,638.00  |15.00     |15.00     |0         |0           |0        |0.00         |                       
2021-01-11 |PM111        |2,530.00   |0.00     |0.00     |0.00     |0.00     |2,530.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-12 |PM101        |2,891.00   |0.00     |0.00     |0.00     |0.00     |2,873.00  |-18.00    |-18.00    |0         |0           |0        |0.00         |2,759.00               
2021-01-12 |PM103        |2,673.00   |0.00     |0.00     |0.00     |0.00     |2,656.00  |-17.00    |-17.00    |0         |3           |0        |0.00         |                       
2021-01-12 |PM105        |2,547.00   |2,530.00 |2,532.00 |2,529.00 |2,530.00 |2,531.00  |-17.00    |-16.00    |10        |17          |4        |126.54       |                       
2021-01-12 |PM107        |2,437.00   |0.00     |0.00     |0.00     |0.00     |2,446.00  |9.00      |9.00      |0         |10          |0        |0.00         |                       
2021-01-12 |PM109        |2,638.00   |0.00     |0.00     |0.00     |0.00     |2,621.00  |-17.00    |-17.00    |0         |0           |0        |0.00         |                       
2021-01-12 |PM111        |2,530.00   |0.00     |0.00     |0.00     |0.00     |2,530.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-13 |PM101        |2,873.00   |0.00     |0.00     |0.00     |0.00     |2,851.00  |-22.00    |-22.00    |0         |0           |0        |0.00         |2,780.00               
2021-01-13 |PM103        |2,656.00   |0.00     |0.00     |0.00     |0.00     |2,656.00  |0.00      |0.00      |0         |3           |0        |0.00         |                       
2021-01-13 |PM105        |2,531.00   |2,546.00 |2,607.00 |2,410.00 |2,576.00 |2,512.00  |45.00     |-19.00    |9         |17          |0        |113.05       |                       
2021-01-13 |PM107        |2,446.00   |0.00     |0.00     |0.00     |0.00     |2,446.00  |0.00      |0.00      |0         |10          |0        |0.00         |                       
2021-01-13 |PM109        |2,621.00   |0.00     |0.00     |0.00     |0.00     |2,601.00  |-20.00    |-20.00    |0         |0           |0        |0.00         |                       
2021-01-13 |PM111        |2,530.00   |0.00     |0.00     |0.00     |0.00     |2,530.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2021-01-14 |PM101        |2,851.00   |0.00     |0.00     |0.00     |0.00     |2,943.00  |92.00     |92.00     |0         |0           |0        |0.00         |2,809.00               
2021-01-14 |PM103        |2,656.00   |0.00     |0.00     |0.00     |0.00     |2,656.00  |0.00      |0.00      |0         |3           |0        |0.00         |                       
