					CZCE History data(2019WH)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice|
2019-01-02 |WH901        |2,405.00   |2,406.00 |2,420.00 |2,406.00 |2,419.00 |2,416.00  |14.00     |11.00     |42        |112         |-42      |202.93       |2,464.00               |
2019-01-02 |WH903        |2,331.00   |0.00     |0.00     |0.00     |0.00     |2,331.00  |0.00      |0.00      |0         |2           |0        |0.00         |0.00                   |
2019-01-02 |WH905        |2,407.00   |2,413.00 |2,463.00 |2,405.00 |2,410.00 |2,418.00  |3.00      |11.00     |154       |782         |-42      |744.84       |0.00                   |
2019-01-02 |WH907        |2,404.00   |0.00     |0.00     |0.00     |0.00     |2,415.00  |11.00     |11.00     |0         |0           |0        |0.00         |0.00                   |
2019-01-02 |WH909        |2,410.00   |2,505.00 |2,505.00 |2,420.00 |2,420.00 |2,454.00  |10.00     |44.00     |8         |48          |2        |39.26        |0.00                   |
2019-01-02 |WH911        |2,547.00   |0.00     |0.00     |0.00     |0.00     |2,547.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-03 |WH901        |2,416.00   |0.00     |0.00     |0.00     |0.00     |2,416.00  |0.00      |0.00      |0         |112         |0        |0.00         |2,450.00               |
2019-01-03 |WH903        |2,331.00   |0.00     |0.00     |0.00     |0.00     |2,333.00  |2.00      |2.00      |0         |2           |0        |0.00         |0.00                   |
2019-01-03 |WH905        |2,418.00   |2,427.00 |2,430.00 |2,407.00 |2,411.00 |2,420.00  |-7.00     |2.00      |52        |788         |6        |251.69       |0.00                   |
2019-01-03 |WH907        |2,415.00   |0.00     |0.00     |0.00     |0.00     |2,417.00  |2.00      |2.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-03 |WH909        |2,454.00   |2,475.00 |2,475.00 |2,416.00 |2,416.00 |2,437.00  |-38.00    |-17.00    |12        |48          |0        |58.50        |0.00                   |
2019-01-03 |WH911        |2,547.00   |0.00     |0.00     |0.00     |0.00     |2,547.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-04 |WH901        |2,416.00   |2,420.00 |2,420.00 |2,420.00 |2,420.00 |2,420.00  |4.00      |4.00      |72        |40          |-72      |348.48       |2,436.00               |
2019-01-04 |WH903        |2,333.00   |2,400.00 |2,400.00 |2,400.00 |2,400.00 |2,400.00  |67.00     |67.00     |2         |0           |-2       |9.60         |0.00                   |
2019-01-04 |WH905        |2,420.00   |2,410.00 |2,426.00 |2,410.00 |2,426.00 |2,417.00  |6.00      |-3.00     |28        |784         |-4       |135.37       |0.00                   |
2019-01-04 |WH907        |2,417.00   |0.00     |0.00     |0.00     |0.00     |2,414.00  |-3.00     |-3.00     |0         |0           |0        |0.00         |0.00                   |
2019-01-04 |WH909        |2,437.00   |0.00     |0.00     |0.00     |0.00     |2,437.00  |0.00      |0.00      |0         |48          |0        |0.00         |0.00                   |
2019-01-04 |WH911        |2,547.00   |0.00     |0.00     |0.00     |0.00     |2,547.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-07 |WH901        |2,420.00   |0.00     |0.00     |0.00     |0.00     |2,420.00  |0.00      |0.00      |0         |40          |0        |0.00         |2,423.00               |
2019-01-07 |WH903        |2,400.00   |0.00     |0.00     |0.00     |0.00     |2,418.00  |18.00     |18.00     |0         |0           |0        |0.00         |0.00                   |
2019-01-07 |WH905        |2,417.00   |2,422.00 |2,441.00 |2,422.00 |2,437.00 |2,435.00  |20.00     |18.00     |42        |792         |8        |204.55       |0.00                   |
2019-01-07 |WH907        |2,414.00   |0.00     |0.00     |0.00     |0.00     |2,432.00  |18.00     |18.00     |0         |0           |0        |0.00         |0.00                   |
2019-01-07 |WH909        |2,437.00   |2,423.00 |2,423.00 |2,423.00 |2,423.00 |2,423.00  |-14.00    |-14.00    |2         |50          |2        |9.69         |0.00                   |
2019-01-07 |WH911        |2,547.00   |0.00     |0.00     |0.00     |0.00     |2,547.00  |0.00      |0.00      |0         |0           |0        |0.00         |0.00                   |
2019-01-08 |WH901        |2,420.00   |0.00     |0.00     |0.00     |0.00     |2,464.00  |44.00     |44.00     |0         |40          |0        |0.00         |2,417.00               |
2019-01-08 |WH903        |2,418.00   |0.00     |0.00     |0.00     |0.00     |2,462.00  |44.00     |44.00     |0         |0           |0        |0.00         |0.00                   |
2019-01-08 |WH905        |2,435.00   |2,448.00 |2,528.00 |2,445.00 |2,473.00 |2,479.00  |38.00     |44.00     |246       |786         |-6       |1,219.56     |0.00                   |
