					CZCE History data(2022WH)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice
2022-01-04 |WH201        |2,825.00   |0.00     |0.00     |0.00     |0.00     |2,841.00  |16.00     |16.00     |0         |0           |0        |0.00         |2,824.00               
2022-01-04 |WH203        |2,916.00   |0.00     |0.00     |0.00     |0.00     |2,933.00  |17.00     |17.00     |0         |0           |0        |0.00         |                       
2022-01-04 |WH205        |2,939.00   |2,951.00 |2,966.00 |2,951.00 |2,959.00 |2,956.00  |20.00     |17.00     |11        |92          |-1       |65.03        |                       
2022-01-04 |WH207        |2,789.00   |0.00     |0.00     |0.00     |0.00     |2,789.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2022-01-04 |WH209        |2,996.00   |0.00     |0.00     |0.00     |0.00     |2,996.00  |0.00      |0.00      |0         |3           |0        |0.00         |                       
2022-01-04 |WH211        |3,037.00   |0.00     |0.00     |0.00     |0.00     |3,037.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-01-05 |WH201        |2,841.00   |0.00     |0.00     |0.00     |0.00     |2,836.00  |-5.00     |-5.00     |0         |0           |0        |0.00         |2,825.00               
2022-01-05 |WH203        |2,933.00   |0.00     |0.00     |0.00     |0.00     |2,928.00  |-5.00     |-5.00     |0         |0           |0        |0.00         |                       
2022-01-05 |WH205        |2,956.00   |2,958.00 |2,958.00 |2,944.00 |2,944.00 |2,951.00  |-12.00    |-5.00     |6         |92          |0        |35.41        |                       
2022-01-05 |WH207        |2,789.00   |0.00     |0.00     |0.00     |0.00     |2,789.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2022-01-05 |WH209        |2,996.00   |0.00     |0.00     |0.00     |0.00     |2,996.00  |0.00      |0.00      |0         |3           |0        |0.00         |                       
2022-01-05 |WH211        |3,037.00   |0.00     |0.00     |0.00     |0.00     |3,032.00  |-5.00     |-5.00     |0         |0           |0        |0.00         |                       
2022-01-06 |WH201        |2,836.00   |0.00     |0.00     |0.00     |0.00     |2,838.00  |2.00      |2.00      |0         |0           |0        |0.00         |2,827.00               
2022-01-06 |WH203        |2,928.00   |0.00     |0.00     |0.00     |0.00     |2,930.00  |2.00      |2.00      |0         |0           |0        |0.00         |                       
2022-01-06 |WH205        |2,951.00   |2,936.00 |2,961.00 |2,936.00 |2,961.00 |2,953.00  |10.00     |2.00      |3         |91          |-1       |17.72        |                       
2022-01-06 |WH207        |2,789.00   |0.00     |0.00     |0.00     |0.00     |2,791.00  |2.00      |2.00      |0         |1           |0        |0.00         |                       
2022-01-06 |WH209        |2,996.00   |0.00     |0.00     |0.00     |0.00     |2,996.00  |0.00      |0.00      |0         |3           |0        |0.00         |                       
2022-01-06 |WH211        |3,032.00   |0.00     |0.00     |0.00     |0.00     |3,034.00  |2.00      |2.00      |0         |0           |0        |0.00         |                       
2022-01-07 |WH201        |2,838.00   |0.00     |0.00     |0.00     |0.00     |2,829.00  |-9.00     |-9.00     |0         |0           |0        |0.00         |2,827.00               
2022-01-07 |WH203        |2,930.00   |0.00     |0.00     |0.00     |0.00     |2,921.00  |-9.00     |-9.00     |0         |0           |0        |0.00         |                       
2022-01-07 |WH205        |2,953.00   |2,942.00 |2,950.00 |2,940.00 |2,945.00 |2,944.00  |-8.00     |-9.00     |4         |91          |0        |23.55        |                       
2022-01-07 |WH207        |2,791.00   |0.00     |0.00     |0.00     |0.00     |2,791.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2022-01-07 |WH209        |2,996.00   |0.00     |0.00     |0.00     |0.00     |2,996.00  |0.00      |0.00      |0         |3           |0        |0.00         |                       
2022-01-07 |WH211        |3,034.00   |0.00     |0.00     |0.00     |0.00     |3,025.00  |-9.00     |-9.00     |0         |0           |0        |0.00         |                       
2022-01-10 |WH201        |2,829.00   |0.00     |0.00     |0.00     |0.00     |2,834.00  |5.00      |5.00      |0         |0           |0        |0.00         |2,829.00               
2022-01-10 |WH203        |2,921.00   |0.00     |0.00     |0.00     |0.00     |2,926.00  |5.00      |5.00      |0         |0           |0        |0.00         |                       
2022-01-10 |WH205        |2,944.00   |2,949.00 |2,949.00 |2,949.00 |2,949.00 |2,949.00  |5.00      |5.00      |1         |90          |-1       |5.90         |                       
2022-01-10 |WH207        |2,791.00   |0.00     |0.00     |0.00     |0.00     |2,791.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2022-01-10 |WH209        |2,996.00   |0.00     |0.00     |0.00     |0.00     |2,996.00  |0.00      |0.00      |0         |3           |0        |0.00         |                       
2022-01-10 |WH211        |3,025.00   |0.00     |0.00     |0.00     |0.00     |3,030.00  |5.00      |5.00      |0         |0           |0        |0.00         |                       
2022-01-11 |WH201        |2,834.00   |0.00     |0.00     |0.00     |0.00     |2,825.00  |-9.00     |-9.00     |0         |0           |0        |0.00         |2,830.00               
2022-01-11 |WH203        |2,926.00   |0.00     |0.00     |0.00     |0.00     |2,917.00  |-9.00     |-9.00     |0         |0           |0        |0.00         |                       
2022-01-11 |WH205        |2,949.00   |2,940.00 |2,940.00 |2,939.00 |2,939.00 |2,940.00  |-10.00    |-9.00     |2         |90          |0        |11.76        |                       
2022-01-11 |WH207        |2,791.00   |0.00     |0.00     |0.00     |0.00     |2,791.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2022-01-11 |WH209        |2,996.00   |0.00     |0.00     |0.00     |0.00     |2,996.00  |0.00      |0.00      |0         |3           |0        |0.00         |                       
2022-01-11 |WH211        |3,030.00   |0.00     |0.00     |0.00     |0.00     |3,021.00  |-9.00     |-9.00     |0         |0           |0        |0.00         |                       
2022-01-12 |WH201        |2,825.00   |0.00     |0.00     |0.00     |0.00     |2,826.00  |1.00      |1.00      |0         |0           |0        |0.00         |2,830.00               
2022-01-12 |WH203        |2,917.00   |0.00     |0.00     |0.00     |0.00     |2,918.00  |1.00      |1.00      |0         |0           |0        |0.00         |                       
2022-01-12 |WH205        |2,940.00   |2,934.00 |2,945.00 |2,934.00 |2,945.00 |2,941.00  |5.00      |1.00      |6         |90          |0        |35.29        |                       
2022-01-12 |WH207        |2,791.00   |0.00     |0.00     |0.00     |0.00     |2,791.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2022-01-12 |WH209        |2,996.00   |0.00     |0.00     |0.00     |0.00     |2,996.00  |0.00      |0.00      |0         |3           |0        |0.00         |                       
2022-01-12 |WH211        |3,021.00   |0.00     |0.00     |0.00     |0.00     |3,022.00  |1.00      |1.00      |0         |0           |0        |0.00         |                       
2022-01-13 |WH201        |2,826.00   |0.00     |0.00     |0.00     |0.00     |2,826.00  |0.00      |0.00      |0         |0           |0        |0.00         |2,830.00               
2022-01-13 |WH203        |2,918.00   |0.00     |0.00     |0.00     |0.00     |2,918.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-01-13 |WH205        |2,941.00   |0.00     |0.00     |0.00     |0.00     |2,941.00  |0.00      |0.00      |0         |90          |0        |0.00         |                       
2022-01-13 |WH207        |2,791.00   |0.00     |0.00     |0.00     |0.00     |2,791.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2022-01-13 |WH209        |2,996.00   |0.00     |0.00     |0.00     |0.00     |2,996.00  |0.00      |0.00      |0         |3           |0        |0.00         |                       
2022-01-13 |WH211        |3,022.00   |0.00     |0.00     |0.00     |0.00     |3,022.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-01-14 |WH201        |2,826.00   |0.00     |0.00     |0.00     |0.00     |2,826.00  |0.00      |0.00      |0         |0           |0        |0.00         |2,831.00               
2022-01-14 |WH203        |2,918.00   |0.00     |0.00     |0.00     |0.00     |2,918.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-01-14 |WH205        |2,941.00   |0.00     |0.00     |0.00     |0.00     |2,941.00  |0.00      |0.00      |0         |90          |0        |0.00         |                       
2022-01-14 |WH207        |2,791.00   |0.00     |0.00     |0.00     |0.00     |2,791.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2022-01-14 |WH209        |2,996.00   |0.00     |0.00     |0.00     |0.00     |2,996.00  |0.00      |0.00      |0         |3           |0        |0.00         |                       
2022-01-14 |WH211        |3,022.00   |0.00     |0.00     |0.00     |0.00     |3,022.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-01-17 |WH201        |2,826.00   |0.00     |0.00     |0.00     |0.00     |2,832.00  |6.00      |6.00      |0         |0           |0        |0.00         |2,831.00               
2022-01-17 |WH203        |2,918.00   |0.00     |0.00     |0.00     |0.00     |2,924.00  |6.00      |6.00      |0         |0           |0        |0.00         |                       
2022-01-17 |WH205        |2,941.00   |2,978.00 |2,978.00 |2,934.00 |2,942.00 |2,947.00  |1.00      |6.00      |25        |91          |1        |147.37       |                       
2022-01-17 |WH207        |2,791.00   |0.00     |0.00     |0.00     |0.00     |2,791.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2022-01-17 |WH209        |2,996.00   |0.00     |0.00     |0.00     |0.00     |2,996.00  |0.00      |0.00      |0         |3           |0        |0.00         |                       
2022-01-17 |WH211        |3,022.00   |0.00     |0.00     |0.00     |0.00     |3,022.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-01-18 |WH203        |2,924.00   |0.00     |0.00     |0.00     |0.00     |2,919.00  |-5.00     |-5.00     |0         |0           |0        |0.00         |                       
2022-01-18 |WH205        |2,947.00   |2,949.00 |2,949.00 |2,937.00 |2,943.00 |2,942.00  |-4.00     |-5.00     |6         |92          |1        |35.31        |                       
2022-01-18 |WH207        |2,791.00   |0.00     |0.00     |0.00     |0.00     |2,791.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2022-01-18 |WH209        |2,996.00   |0.00     |0.00     |0.00     |0.00     |2,996.00  |0.00      |0.00      |0         |3           |0        |0.00         |                       
2022-01-18 |WH211        |3,022.00   |0.00     |0.00     |0.00     |0.00     |3,022.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-01-18 |WH301        |3,022.00   |0.00     |0.00     |0.00     |0.00     |3,022.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-01-19 |WH203        |2,919.00   |0.00     |0.00     |0.00     |0.00     |2,919.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-01-19 |WH205        |2,942.00   |0.00     |0.00     |0.00     |0.00     |2,942.00  |0.00      |0.00      |0         |92          |0        |0.00         |                       
2022-01-19 |WH207        |2,791.00   |0.00     |0.00     |0.00     |0.00     |2,791.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2022-01-19 |WH209        |2,996.00   |0.00     |0.00     |0.00     |0.00     |2,996.00  |0.00      |0.00      |0         |3           |0        |0.00         |                       
2022-01-19 |WH211        |3,022.00   |0.00     |0.00     |0.00     |0.00     |3,022.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-01-19 |WH301        |3,022.00   |0.00     |0.00     |0.00     |0.00     |3,022.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-01-20 |WH203        |2,919.00   |0.00     |0.00     |0.00     |0.00     |2,923.00  |4.00      |4.00      |0         |0           |0        |0.00         |                       
2022-01-20 |WH205        |2,942.00   |2,942.00 |2,949.00 |2,942.00 |2,949.00 |2,946.00  |7.00      |4.00      |3         |92          |0        |17.68        |                       
2022-01-20 |WH207        |2,791.00   |0.00     |0.00     |0.00     |0.00     |2,791.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2022-01-20 |WH209        |2,996.00   |0.00     |0.00     |0.00     |0.00     |2,996.00  |0.00      |0.00      |0         |3           |0        |0.00         |                       
2022-01-20 |WH211        |3,022.00   |0.00     |0.00     |0.00     |0.00     |3,022.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-01-20 |WH301        |3,022.00   |0.00     |0.00     |0.00     |0.00     |3,022.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-01-21 |WH203        |2,923.00   |0.00     |0.00     |0.00     |0.00     |2,920.00  |-3.00     |-3.00     |0         |0           |0        |0.00         |                       
2022-01-21 |WH205        |2,946.00   |2,938.00 |2,948.00 |2,938.00 |2,948.00 |2,943.00  |2.00      |-3.00     |2         |91          |-1       |11.77        |                       
2022-01-21 |WH207        |2,791.00   |0.00     |0.00     |0.00     |0.00     |2,791.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2022-01-21 |WH209        |2,996.00   |0.00     |0.00     |0.00     |0.00     |2,996.00  |0.00      |0.00      |0         |3           |0        |0.00         |                       
2022-01-21 |WH211        |3,022.00   |0.00     |0.00     |0.00     |0.00     |3,022.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-01-21 |WH301        |3,022.00   |0.00     |0.00     |0.00     |0.00     |3,022.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-01-24 |WH203        |2,920.00   |0.00     |0.00     |0.00     |0.00     |2,925.00  |5.00      |5.00      |0         |0           |0        |0.00         |                       
2022-01-24 |WH205        |2,943.00   |2,948.00 |2,948.00 |2,948.00 |2,948.00 |2,948.00  |5.00      |5.00      |1         |90          |-1       |5.90         |                       
2022-01-24 |WH207        |2,791.00   |0.00     |0.00     |0.00     |0.00     |2,796.00  |5.00      |5.00      |0         |1           |0        |0.00         |                       
2022-01-24 |WH209        |2,996.00   |0.00     |0.00     |0.00     |0.00     |2,996.00  |0.00      |0.00      |0         |3           |0        |0.00         |                       
2022-01-24 |WH211        |3,022.00   |0.00     |0.00     |0.00     |0.00     |3,027.00  |5.00      |5.00      |0         |0           |0        |0.00         |                       
2022-01-24 |WH301        |3,022.00   |0.00     |0.00     |0.00     |0.00     |3,022.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-01-25 |WH203        |2,925.00   |0.00     |0.00     |0.00     |0.00     |2,925.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-01-25 |WH205        |2,948.00   |0.00     |0.00     |0.00     |0.00     |2,946.00  |-2.00     |-2.00     |0         |90          |0        |0.00         |                       
2022-01-25 |WH207        |2,796.00   |0.00     |0.00     |0.00     |0.00     |2,796.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2022-01-25 |WH209        |2,996.00   |0.00     |0.00     |0.00     |0.00     |2,996.00  |0.00      |0.00      |0         |3           |0        |0.00         |                       
2022-01-25 |WH211        |3,027.00   |0.00     |0.00     |0.00     |0.00     |3,027.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-01-25 |WH301        |3,022.00   |0.00     |0.00     |0.00     |0.00     |3,022.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-01-26 |WH203        |2,925.00   |0.00     |0.00     |0.00     |0.00     |2,928.00  |3.00      |3.00      |0         |0           |0        |0.00         |                       
2022-01-26 |WH205        |2,946.00   |2,949.00 |2,949.00 |2,949.00 |2,949.00 |2,949.00  |3.00      |3.00      |1         |90          |0        |5.90         |                       
2022-01-26 |WH207        |2,796.00   |0.00     |0.00     |0.00     |0.00     |2,799.00  |3.00      |3.00      |0         |1           |0        |0.00         |                       
2022-01-26 |WH209        |2,996.00   |0.00     |0.00     |0.00     |0.00     |2,996.00  |0.00      |0.00      |0         |3           |0        |0.00         |                       
2022-01-26 |WH211        |3,027.00   |0.00     |0.00     |0.00     |0.00     |3,030.00  |3.00      |3.00      |0         |0           |0        |0.00         |                       
2022-01-26 |WH301        |3,022.00   |0.00     |0.00     |0.00     |0.00     |3,022.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-01-27 |WH203        |2,928.00   |0.00     |0.00     |0.00     |0.00     |2,911.00  |-17.00    |-17.00    |0         |0           |0        |0.00         |                       
2022-01-27 |WH205        |2,949.00   |2,923.00 |2,940.00 |2,923.00 |2,940.00 |2,932.00  |-9.00     |-17.00    |2         |90          |0        |11.73        |                       
2022-01-27 |WH207        |2,799.00   |0.00     |0.00     |0.00     |0.00     |2,783.00  |-16.00    |-16.00    |0         |1           |0        |0.00         |                       
2022-01-27 |WH209        |2,996.00   |0.00     |0.00     |0.00     |0.00     |2,996.00  |0.00      |0.00      |0         |3           |0        |0.00         |                       
2022-01-27 |WH211        |3,030.00   |0.00     |0.00     |0.00     |0.00     |3,013.00  |-17.00    |-17.00    |0         |0           |0        |0.00         |                       
2022-01-27 |WH301        |3,022.00   |0.00     |0.00     |0.00     |0.00     |3,022.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-01-28 |WH203        |2,911.00   |0.00     |0.00     |0.00     |0.00     |2,902.00  |-9.00     |-9.00     |0         |0           |0        |0.00         |                       
2022-01-28 |WH205        |2,932.00   |2,939.00 |2,939.00 |2,911.00 |2,939.00 |2,923.00  |7.00      |-9.00     |7         |89          |-1       |40.93        |                       
2022-01-28 |WH207        |2,783.00   |0.00     |0.00     |0.00     |0.00     |2,774.00  |-9.00     |-9.00     |0         |1           |0        |0.00         |                       
2022-01-28 |WH209        |2,996.00   |0.00     |0.00     |0.00     |0.00     |2,996.00  |0.00      |0.00      |0         |3           |0        |0.00         |                       
2022-01-28 |WH211        |3,013.00   |0.00     |0.00     |0.00     |0.00     |3,013.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-01-28 |WH301        |3,022.00   |0.00     |0.00     |0.00     |0.00     |3,022.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-02-07 |WH203        |2,902.00   |0.00     |0.00     |0.00     |0.00     |2,897.00  |-5.00     |-5.00     |0         |0           |0        |0.00         |                       
2022-02-07 |WH205        |2,923.00   |2,914.00 |2,926.00 |2,907.00 |2,926.00 |2,918.00  |3.00      |-5.00     |12        |94          |5        |70.02        |                       
2022-02-07 |WH207        |2,774.00   |0.00     |0.00     |0.00     |0.00     |2,774.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2022-02-07 |WH209        |2,996.00   |0.00     |0.00     |0.00     |0.00     |2,996.00  |0.00      |0.00      |0         |3           |0        |0.00         |                       
2022-02-07 |WH211        |3,013.00   |0.00     |0.00     |0.00     |0.00     |3,013.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-02-07 |WH301        |3,022.00   |0.00     |0.00     |0.00     |0.00     |3,022.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-02-08 |WH203        |2,897.00   |0.00     |0.00     |0.00     |0.00     |2,904.00  |7.00      |7.00      |0         |0           |0        |0.00         |                       
2022-02-08 |WH205        |2,918.00   |2,926.00 |2,927.00 |2,918.00 |2,920.00 |2,925.00  |2.00      |7.00      |10        |97          |3        |58.50        |                       
2022-02-08 |WH207        |2,774.00   |0.00     |0.00     |0.00     |0.00     |2,774.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2022-02-08 |WH209        |2,996.00   |0.00     |0.00     |0.00     |0.00     |2,996.00  |0.00      |0.00      |0         |3           |0        |0.00         |                       
2022-02-08 |WH211        |3,013.00   |0.00     |0.00     |0.00     |0.00     |3,013.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-02-08 |WH301        |3,022.00   |0.00     |0.00     |0.00     |0.00     |3,022.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-02-09 |WH203        |2,904.00   |0.00     |0.00     |0.00     |0.00     |2,910.00  |6.00      |6.00      |0         |0           |0        |0.00         |                       
2022-02-09 |WH205        |2,925.00   |2,937.00 |2,937.00 |2,925.00 |2,937.00 |2,931.00  |12.00     |6.00      |7         |94          |-3       |41.04        |                       
2022-02-09 |WH207        |2,774.00   |0.00     |0.00     |0.00     |0.00     |2,780.00  |6.00      |6.00      |0         |1           |0        |0.00         |                       
2022-02-09 |WH209        |2,996.00   |0.00     |0.00     |0.00     |0.00     |2,996.00  |0.00      |0.00      |0         |3           |0        |0.00         |                       
2022-02-09 |WH211        |3,013.00   |0.00     |0.00     |0.00     |0.00     |3,013.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-02-09 |WH301        |3,022.00   |0.00     |0.00     |0.00     |0.00     |3,022.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-02-10 |WH203        |2,910.00   |0.00     |0.00     |0.00     |0.00     |2,907.00  |-3.00     |-3.00     |0         |0           |0        |0.00         |                       
2022-02-10 |WH205        |2,931.00   |2,928.00 |2,928.00 |2,927.00 |2,927.00 |2,928.00  |-4.00     |-3.00     |2         |93          |-1       |11.71        |                       
2022-02-10 |WH207        |2,780.00   |0.00     |0.00     |0.00     |0.00     |2,777.00  |-3.00     |-3.00     |0         |1           |0        |0.00         |                       
2022-02-10 |WH209        |2,996.00   |0.00     |0.00     |0.00     |0.00     |2,996.00  |0.00      |0.00      |0         |3           |0        |0.00         |                       
2022-02-10 |WH211        |3,013.00   |0.00     |0.00     |0.00     |0.00     |3,013.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-02-10 |WH301        |3,022.00   |0.00     |0.00     |0.00     |0.00     |3,022.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-02-11 |WH203        |2,907.00   |0.00     |0.00     |0.00     |0.00     |2,909.00  |2.00      |2.00      |0         |0           |0        |0.00         |                       
2022-02-11 |WH205        |2,928.00   |2,929.00 |2,938.00 |2,926.00 |2,926.00 |2,930.00  |-2.00     |2.00      |86        |90          |-3       |503.98       |                       
2022-02-11 |WH207        |2,777.00   |0.00     |0.00     |0.00     |0.00     |2,779.00  |2.00      |2.00      |0         |1           |0        |0.00         |                       
2022-02-11 |WH209        |2,996.00   |2,992.00 |2,992.00 |2,992.00 |2,992.00 |2,992.00  |-4.00     |-4.00     |1         |3           |0        |5.98         |                       
2022-02-11 |WH211        |3,013.00   |0.00     |0.00     |0.00     |0.00     |3,013.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-02-11 |WH301        |3,022.00   |0.00     |0.00     |0.00     |0.00     |3,022.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-02-14 |WH203        |2,909.00   |0.00     |0.00     |0.00     |0.00     |2,909.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-02-14 |WH205        |2,930.00   |2,936.00 |2,937.00 |2,926.00 |2,937.00 |2,930.00  |7.00      |0.00      |15        |80          |-10      |87.90        |                       
2022-02-14 |WH207        |2,779.00   |0.00     |0.00     |0.00     |0.00     |2,779.00  |0.00      |0.00      |0         |1           |0        |0.00         |                       
2022-02-14 |WH209        |2,992.00   |2,950.00 |2,950.00 |2,950.00 |2,950.00 |2,950.00  |-42.00    |-42.00    |1         |3           |0        |5.90         |                       
2022-02-14 |WH211        |3,013.00   |0.00     |0.00     |0.00     |0.00     |3,013.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-02-14 |WH301        |3,022.00   |0.00     |0.00     |0.00     |0.00     |3,022.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-02-15 |WH203        |2,909.00   |0.00     |0.00     |0.00     |0.00     |2,922.00  |13.00     |13.00     |0         |0           |0        |0.00         |                       
2022-02-15 |WH205        |2,930.00   |2,942.00 |2,956.00 |2,929.00 |2,941.00 |2,943.00  |11.00     |13.00     |56        |81          |1        |329.62       |                       
2022-02-15 |WH207        |2,779.00   |0.00     |0.00     |0.00     |0.00     |2,791.00  |12.00     |12.00     |0         |1           |0        |0.00         |                       
2022-02-15 |WH209        |2,950.00   |0.00     |0.00     |0.00     |0.00     |2,950.00  |0.00      |0.00      |0         |3           |0        |0.00         |                       
2022-02-15 |WH211        |3,013.00   |0.00     |0.00     |0.00     |0.00     |3,013.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-02-15 |WH301        |3,022.00   |0.00     |0.00     |0.00     |0.00     |3,022.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-02-16 |WH203        |2,922.00   |0.00     |0.00     |0.00     |0.00     |2,909.00  |-13.00    |-13.00    |0         |0           |0        |0.00         |                       
2022-02-16 |WH205        |2,943.00   |2,925.00 |2,934.00 |2,925.00 |2,929.00 |2,930.00  |-14.00    |-13.00    |12        |79          |-2       |70.32        |                       
2022-02-16 |WH207        |2,791.00   |0.00     |0.00     |0.00     |0.00     |2,779.00  |-12.00    |-12.00    |0         |1           |0        |0.00         |                       
2022-02-16 |WH209        |2,950.00   |0.00     |0.00     |0.00     |0.00     |2,950.00  |0.00      |0.00      |0         |3           |0        |0.00         |                       
2022-02-16 |WH211        |3,013.00   |0.00     |0.00     |0.00     |0.00     |3,013.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-02-16 |WH301        |3,022.00   |0.00     |0.00     |0.00     |0.00     |3,009.00  |-13.00    |-13.00    |0         |0           |0        |0.00         |                       
2022-02-17 |WH203        |2,909.00   |0.00     |0.00     |0.00     |0.00     |2,908.00  |-1.00     |-1.00     |0         |0           |0        |0.00         |                       
2022-02-17 |WH205        |2,930.00   |2,929.00 |2,932.00 |2,926.00 |2,932.00 |2,929.00  |2.00      |-1.00     |16        |68          |-11      |93.71        |                       
2022-02-17 |WH207        |2,779.00   |0.00     |0.00     |0.00     |0.00     |2,778.00  |-1.00     |-1.00     |0         |1           |0        |0.00         |                       
2022-02-17 |WH209        |2,950.00   |0.00     |0.00     |0.00     |0.00     |2,950.00  |0.00      |0.00      |0         |3           |0        |0.00         |                       
2022-02-17 |WH211        |3,013.00   |0.00     |0.00     |0.00     |0.00     |3,013.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
2022-02-17 |WH301        |3,009.00   |0.00     |0.00     |0.00     |0.00     |3,009.00  |0.00      |0.00      |0         |0           |0        |0.00         |                       
