					CZCE History data(2016SR)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice|
2016-01-04 |SR601        |5,506.00   |5,506.00 |5,726.00 |5,442.00 |5,471.00 |5,476.00  |-35.00    |-30.00    |5,082     |48,124      |-2,610   |27,887.51    |5,480.00               |
2016-01-04 |SR603        |5,576.00   |5,530.00 |5,530.00 |5,518.00 |5,530.00 |5,528.00  |-46.00    |-48.00    |16        |710         |-14      |88.44        |0.00                   |
2016-01-04 |SR605        |5,655.00   |5,663.00 |5,696.00 |5,585.00 |5,613.00 |5,626.00  |-42.00    |-29.00    |943,326   |963,240     |-13,122  |5,306,708.22 |0.00                   |
2016-01-04 |SR607        |5,689.00   |5,641.00 |5,641.00 |5,630.00 |5,631.00 |5,636.00  |-58.00    |-53.00    |24        |48          |2        |135.27       |0.00                   |
2016-01-04 |SR609        |5,748.00   |5,758.00 |5,788.00 |5,680.00 |5,704.00 |5,719.00  |-44.00    |-29.00    |120,936   |381,434     |-2,592   |691,664.96   |0.00                   |
2016-01-04 |SR611        |5,761.00   |0.00     |0.00     |0.00     |0.00     |5,723.00  |-38.00    |-38.00    |0         |302         |0        |0.00         |0.00                   |
2016-01-04 |SR701        |5,670.00   |5,676.00 |5,710.00 |5,610.00 |5,626.00 |5,642.00  |-44.00    |-28.00    |2,486     |29,702      |-52      |14,025.47    |0.00                   |
2016-01-04 |SR703        |5,637.00   |5,619.00 |5,637.00 |5,619.00 |5,637.00 |5,632.00  |0.00      |-5.00     |18        |138         |-6       |101.37       |0.00                   |
2016-01-04 |SR705        |5,623.00   |5,652.00 |5,652.00 |5,570.00 |5,580.00 |5,585.00  |-43.00    |-38.00    |454       |4,146       |120      |2,535.68     |0.00                   |
2016-01-05 |SR601        |5,476.00   |5,467.00 |5,475.00 |5,440.00 |5,461.00 |5,459.00  |-15.00    |-17.00    |6,826     |44,178      |-3,946   |37,262.65    |5,478.00               |
2016-01-05 |SR603        |5,528.00   |5,528.00 |5,536.00 |5,517.00 |5,536.00 |5,524.00  |8.00      |-4.00     |12        |710         |0        |66.29        |0.00                   |
2016-01-05 |SR605        |5,626.00   |5,603.00 |5,621.00 |5,579.00 |5,599.00 |5,601.00  |-27.00    |-25.00    |1,026,492 |979,252     |16,012   |5,749,762.58 |0.00                   |
2016-01-05 |SR607        |5,636.00   |5,623.00 |5,637.00 |5,623.00 |5,637.00 |5,630.00  |1.00      |-6.00     |4         |46          |-2       |22.52        |0.00                   |
2016-01-05 |SR609        |5,719.00   |5,700.00 |5,713.00 |5,675.00 |5,696.00 |5,695.00  |-23.00    |-24.00    |100,902   |387,734     |6,300    |574,588.90   |0.00                   |
2016-01-05 |SR611        |5,723.00   |5,690.00 |5,700.00 |5,690.00 |5,700.00 |5,696.00  |-23.00    |-27.00    |14        |308         |6        |79.75        |0.00                   |
2016-01-05 |SR701        |5,642.00   |5,620.00 |5,632.00 |5,601.00 |5,619.00 |5,614.00  |-23.00    |-28.00    |2,234     |30,438      |736      |12,541.54    |0.00                   |
2016-01-05 |SR703        |5,632.00   |0.00     |0.00     |0.00     |0.00     |5,618.00  |-14.00    |-14.00    |0         |138         |0        |0.00         |0.00                   |
2016-01-05 |SR705        |5,585.00   |5,588.00 |5,588.00 |5,555.00 |5,575.00 |5,566.00  |-10.00    |-19.00    |982       |4,550       |404      |5,466.12     |0.00                   |
2016-01-06 |SR601        |5,459.00   |5,455.00 |5,455.00 |5,390.00 |5,406.00 |5,405.00  |-53.00    |-54.00    |2,472     |42,608      |-1,570   |13,432.86    |5,467.00               |
2016-01-06 |SR603        |5,524.00   |5,510.00 |5,529.00 |5,472.00 |5,486.00 |5,489.00  |-38.00    |-35.00    |50        |698         |-12      |274.44       |0.00                   |
2016-01-06 |SR605        |5,601.00   |5,590.00 |5,600.00 |5,530.00 |5,545.00 |5,555.00  |-56.00    |-46.00    |1,355,252 |942,804     |-36,448  |7,529,088.04 |0.00                   |
2016-01-06 |SR607        |5,630.00   |0.00     |0.00     |0.00     |0.00     |5,590.00  |-40.00    |-40.00    |0         |46          |0        |0.00         |0.00                   |
2016-01-06 |SR609        |5,695.00   |5,683.00 |5,696.00 |5,631.00 |5,650.00 |5,656.00  |-45.00    |-39.00    |170,144   |387,900     |166      |962,281.59   |0.00                   |
2016-01-06 |SR611        |5,696.00   |5,656.00 |5,656.00 |5,655.00 |5,656.00 |5,656.00  |-40.00    |-40.00    |8         |308         |0        |45.24        |0.00                   |
2016-01-06 |SR701        |5,614.00   |5,618.00 |5,635.00 |5,576.00 |5,621.00 |5,608.00  |7.00      |-6.00     |9,304     |32,842      |2,404    |52,176.02    |0.00                   |
2016-01-06 |SR703        |5,618.00   |5,575.00 |5,605.00 |5,570.00 |5,590.00 |5,586.00  |-28.00    |-32.00    |88        |142         |4        |491.55       |0.00                   |
2016-01-06 |SR705        |5,566.00   |5,579.00 |5,579.00 |5,544.00 |5,565.00 |5,556.00  |-1.00     |-10.00    |938       |4,828       |278      |5,211.85     |0.00                   |
2016-01-07 |SR601        |5,405.00   |5,401.00 |5,420.00 |5,363.00 |5,386.00 |5,394.00  |-19.00    |-11.00    |4,324     |40,636      |-1,972   |23,345.58    |5,462.00               |
2016-01-07 |SR603        |5,489.00   |5,482.00 |5,495.00 |5,455.00 |5,458.00 |5,480.00  |-31.00    |-9.00     |26        |700         |2        |142.47       |0.00                   |
2016-01-07 |SR605        |5,555.00   |5,539.00 |5,573.00 |5,492.00 |5,530.00 |5,535.00  |-25.00    |-20.00    |1,440,974 |910,568     |-32,236  |7,976,109.99 |0.00                   |
2016-01-07 |SR607        |5,590.00   |5,589.00 |5,608.00 |5,548.00 |5,572.00 |5,579.00  |-18.00    |-11.00    |18        |60          |14       |100.42       |0.00                   |
2016-01-07 |SR609        |5,656.00   |5,649.00 |5,688.00 |5,602.00 |5,652.00 |5,650.00  |-4.00     |-6.00     |205,488   |399,546     |11,646   |1,160,991.55 |0.00                   |
2016-01-07 |SR611        |5,656.00   |5,669.00 |5,669.00 |5,628.00 |5,628.00 |5,649.00  |-28.00    |-7.00     |42        |304         |-4       |237.26       |0.00                   |
2016-01-07 |SR701        |5,608.00   |5,615.00 |5,676.00 |5,588.00 |5,640.00 |5,644.00  |32.00     |36.00     |14,426    |37,388      |4,546    |81,417.42    |0.00                   |
2016-01-07 |SR703        |5,586.00   |5,623.00 |5,623.00 |5,623.00 |5,623.00 |5,623.00  |37.00     |37.00     |4         |138         |-4       |22.49        |0.00                   |
2016-01-07 |SR705        |5,556.00   |5,570.00 |5,635.00 |5,538.00 |5,599.00 |5,602.00  |43.00     |46.00     |2,274     |5,576       |748      |12,739.18    |0.00                   |
2016-01-08 |SR601        |5,394.00   |5,399.00 |5,431.00 |5,391.00 |5,419.00 |5,419.00  |25.00     |25.00     |8,302     |35,004      |-5,632   |45,017.53    |5,457.00               |
2016-01-08 |SR603        |5,480.00   |5,471.00 |5,504.00 |5,467.00 |5,487.00 |5,483.00  |7.00      |3.00      |138       |664         |-36      |756.60       |0.00                   |
2016-01-08 |SR605        |5,535.00   |5,534.00 |5,578.00 |5,526.00 |5,559.00 |5,554.00  |24.00     |19.00     |1,120,572 |928,026     |17,458   |6,223,839.01 |0.00                   |
2016-01-08 |SR607        |5,579.00   |5,572.00 |5,627.00 |5,572.00 |5,612.00 |5,608.00  |33.00     |29.00     |40        |58          |-2       |224.31       |0.00                   |
2016-01-08 |SR609        |5,650.00   |5,660.00 |5,699.00 |5,647.00 |5,677.00 |5,674.00  |27.00     |24.00     |156,250   |406,462     |6,916    |886,587.96   |0.00                   |
2016-01-08 |SR611        |5,649.00   |5,660.00 |5,670.00 |5,660.00 |5,670.00 |5,667.00  |21.00     |18.00     |6         |306         |2        |34.00        |0.00                   |
2016-01-08 |SR701        |5,644.00   |5,656.00 |5,679.00 |5,632.00 |5,667.00 |5,661.00  |23.00     |17.00     |5,720     |38,632      |1,244    |32,379.52    |0.00                   |
2016-01-08 |SR703        |5,623.00   |0.00     |0.00     |0.00     |0.00     |5,648.00  |25.00     |25.00     |0         |138         |0        |0.00         |0.00                   |
2016-01-08 |SR705        |5,602.00   |5,614.00 |5,630.00 |5,590.00 |5,625.00 |5,612.00  |23.00     |10.00     |680       |5,592       |16       |3,816.33     |0.00                   |
2016-01-11 |SR601        |5,419.00   |5,359.00 |5,359.00 |5,326.00 |5,331.00 |5,341.00  |-88.00    |-78.00    |4,546     |31,770      |-3,234   |24,479.97    |5,443.00               |
2016-01-11 |SR603        |5,483.00   |5,498.00 |5,498.00 |5,401.00 |5,412.00 |5,419.00  |-71.00    |-64.00    |16        |658         |-6       |86.71        |0.00                   |
2016-01-11 |SR605        |5,554.00   |5,568.00 |5,576.00 |5,465.00 |5,470.00 |5,506.00  |-84.00    |-48.00    |1,525,062 |950,850     |22,824   |8,396,936.09 |0.00                   |
2016-01-11 |SR607        |5,608.00   |5,651.00 |5,651.00 |5,531.00 |5,543.00 |5,555.00  |-65.00    |-53.00    |12        |52          |-6       |66.66        |0.00                   |
2016-01-11 |SR609        |5,674.00   |5,685.00 |5,696.00 |5,581.00 |5,583.00 |5,624.00  |-91.00    |-50.00    |230,148   |391,982     |-14,480  |1,294,239.30 |0.00                   |
2016-01-11 |SR611        |5,667.00   |0.00     |0.00     |0.00     |0.00     |5,584.00  |-83.00    |-83.00    |0         |306         |0        |0.00         |0.00                   |
2016-01-11 |SR701        |5,661.00   |5,676.00 |5,681.00 |5,551.00 |5,574.00 |5,609.00  |-87.00    |-52.00    |9,190     |39,926      |1,294    |51,543.72    |0.00                   |
2016-01-11 |SR703        |5,648.00   |0.00     |0.00     |0.00     |0.00     |5,580.00  |-68.00    |-68.00    |0         |138         |0        |0.00         |0.00                   |
